"","School_Label","CIPFamily","CIPFamilyTitle","Value_Type","Value","Percentage","Category","School.Code","CIPF.Code"
"38","Boise State",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","College Major",26,0.010034736,"School","BsSt","FLLAL"
"39","Boise State",23,"ENGLISH LANGUAGE AND LITERATURE/LETTERS.","College Major",91,0.035121575,"School","BsSt","ELAL"
"40","Boise State",24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.","College Major",31,0.442857143,"Football","BsSt","LAASGSAH"
"41","Boise State",24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.","College Major",52,0.020069471,"School","BsSt","LAASGSAH"
"42","Boise State",26,"BIOLOGICAL AND BIOMEDICAL SCIENCES.","College Major",78,0.030104207,"School","BsSt","BABS"
"43","Boise State",27,"MATHEMATICS AND STATISTICS.","College Major",13,0.005017368,"School","BsSt","MAAS"
"44","Boise State",30,"MULTI/INTERDISCIPLINARY STUDIES.","College Major",52,0.020069471,"School","BsSt","MULS"
"45","Boise State",31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.","College Major",28,0.010806638,"School","BsSt","PRLAFS"
"46","Boise State",38,"PHILOSOPHY AND RELIGIOUS STUDIES.","College Major",1,0.014285714,"Football","BsSt","PARS"
"47","Boise State",38,"PHILOSOPHY AND RELIGIOUS STUDIES.","College Major",13,0.005017368,"School","BsSt","PARS"
"48","Boise State",40,"PHYSICAL SCIENCES.","College Major",26,0.010034736,"School","BsSt","PHYS"
"49","Boise State",42,"PSYCHOLOGY.","College Major",2,0.028571429,"Football","BsSt","PSYC"
"50","Boise State",42,"PSYCHOLOGY.","College Major",132,0.050945581,"School","BsSt","PSYC"
"51","Boise State",43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.","College Major",3,0.042857143,"Football","BsSt","HSLEFARPS"
"52","Boise State",43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.","College Major",116,0.044770359,"School","BsSt","HSLEFARPS"
"53","Boise State",44,"PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.","College Major",65,0.025086839,"School","BsSt","PAASSP"
"54","Boise State",45,"SOCIAL SCIENCES.","College Major",2,0.028571429,"Football","BsSt","SOCS"
"55","Boise State",45,"SOCIAL SCIENCES.","College Major",179,0.069085295,"School","BsSt","SOCS"
"56","Boise State",50,"VISUAL AND PERFORMING ARTS.","College Major",119,0.045928213,"School","BsSt","VAPA"
"57","Boise State",51,"HEALTH PROFESSIONS AND RELATED PROGRAMS.","College Major",399,0.153994597,"School","BsSt","HPARP"
"58","Boise State",52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","College Major",11,0.157142857,"Football","BsSt","BMMARSS"
"59","Boise State",52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","College Major",518,0.19992281,"School","BsSt","BMMARSS"
"60","Boise State",54,"HISTORY.","College Major",39,0.015052103,"School","BsSt","HIST"
"61","Clemson",1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","College Major",241,0.07005814,"School","Clms","AAOARS"
"62","Clemson",3,"NATURAL RESOURCES AND CONSERVATION.","College Major",1,0.011363636,"Football","Clms","NRAC"
"63","Clemson",3,"NATURAL RESOURCES AND CONSERVATION.","College Major",34,0.009883721,"School","Clms","NRAC"
"64","Clemson",4,"ARCHITECTURE AND RELATED SERVICES.","College Major",69,0.02005814,"School","Clms","AARS"
"65","Clemson",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","College Major",2,0.022727273,"Football","Clms","CJARP"
"66","Clemson",11,"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.","College Major",1,0.011363636,"Football","Clms","CAISASS"
"67","Clemson",11,"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.","College Major",34,0.009883721,"School","Clms","CAISASS"
"68","Clemson",13,"EDUCATION.","College Major",2,0.022727273,"Football","Clms","EDUC"
"69","Clemson",13,"EDUCATION.","College Major",241,0.07005814,"School","Clms","EDUC"
"70","Clemson",14,"ENGINEERING.","College Major",12,0.136363636,"Football","Clms","ENGI"
"71","Clemson",15,"ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.","College Major",585,0.17005814,"School","Clms","ETAEF"
"72","Clemson",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","College Major",34,0.009883721,"School","Clms","FLLAL"
"73","Clemson",19,"FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.","College Major",69,0.02005814,"School","Clms","FACSS"
"74","Clemson",23,"ENGLISH LANGUAGE AND LITERATURE/LETTERS.","College Major",1,0.011363636,"Football","Clms","ELAL"
"75","Clemson",23,"ENGLISH LANGUAGE AND LITERATURE/LETTERS.","College Major",138,0.040116279,"School","Clms","ELAL"
"76","Clemson",24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.","College Major",4,0.045454545,"Football","Clms","LAASGSAH"
"77","Clemson",26,"BIOLOGICAL AND BIOMEDICAL SCIENCES.","College Major",2,0.022727273,"Football","Clms","BABS"
"78","Clemson",26,"BIOLOGICAL AND BIOMEDICAL SCIENCES.","College Major",275,0.07994186,"School","Clms","BABS"
"79","Clemson",27,"MATHEMATICS AND STATISTICS.","College Major",34,0.009883721,"School","Clms","MAAS"
"80","Clemson",31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.","College Major",17,0.193181818,"Football","Clms","PRLAFS"
"81","Clemson",31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.","College Major",103,0.02994186,"School","Clms","PRLAFS"
"82","Clemson",38,"PHILOSOPHY AND RELIGIOUS STUDIES.","College Major",2,0.022727273,"Football","Clms","PARS"
"83","Clemson",38,"PHILOSOPHY AND RELIGIOUS STUDIES.","College Major",34,0.009883721,"School","Clms","PARS"
"84","Clemson",40,"PHYSICAL SCIENCES.","College Major",69,0.02005814,"School","Clms","PHYS"
"85","Clemson",42,"PSYCHOLOGY.","College Major",1,0.011363636,"Football","Clms","PSYC"
"86","Clemson",42,"PSYCHOLOGY.","College Major",172,0.05,"School","Clms","PSYC"
"87","Clemson",45,"SOCIAL SCIENCES.","College Major",24,0.272727273,"Football","Clms","SOCS"
"88","Clemson",45,"SOCIAL SCIENCES.","College Major",241,0.07005814,"School","Clms","SOCS"
"89","Clemson",50,"VISUAL AND PERFORMING ARTS.","College Major",103,0.02994186,"School","Clms","VAPA"
"90","Clemson",51,"HEALTH PROFESSIONS AND RELATED PROGRAMS.","College Major",241,0.07005814,"School","Clms","HPARP"
"91","Clemson",52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","College Major",18,0.204545455,"Football","Clms","BMMARSS"
"92","Clemson",52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","College Major",654,0.190116279,"School","Clms","BMMARSS"
"93","Clemson",54,"HISTORY.","College Major",1,0.011363636,"Football","Clms","HIST"
"94","Clemson",54,"HISTORY.","College Major",69,0.02005814,"School","Clms","HIST"
"95","Florida",1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","College Major",522,0.060690617,"School","Flrd","AAOARS"
"96","Florida",3,"NATURAL RESOURCES AND CONSERVATION.","College Major",138,0.016044646,"School","Flrd","NRAC"
"97","Florida",4,"ARCHITECTURE AND RELATED SERVICES.","College Major",114,0.013254273,"School","Flrd","AARS"
"98","Florida",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.","College Major",22,0.002557842,"School","Flrd","AECGAGS"
"99","Florida",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","College Major",630,0.073247297,"School","Flrd","CJARP"
"100","Florida",11,"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.","College Major",7,0.000813859,"School","Flrd","CAISASS"
"101","Florida",13,"EDUCATION.","College Major",231,0.026857342,"School","Flrd","EDUC"
"102","Florida",14,"ENGINEERING.","College Major",1062,0.123474015,"School","Flrd","ENGI"
"103","Florida",15,"ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.","College Major",98,0.011394024,"School","Flrd","ETAEF"
"104","Florida",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","College Major",204,0.023718172,"School","Flrd","FLLAL"
"105","Florida",19,"FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.","College Major",175,0.020346471,"School","Flrd","FACSS"
"106","Florida",23,"ENGLISH LANGUAGE AND LITERATURE/LETTERS.","College Major",266,0.030926636,"School","Flrd","ELAL"
"107","Florida",26,"BIOLOGICAL AND BIOMEDICAL SCIENCES.","College Major",1,0.021276596,"Football","Flrd","BABS"
"108","Florida",26,"BIOLOGICAL AND BIOMEDICAL SCIENCES.","College Major",786,0.091384723,"School","Flrd","BABS"
"109","Florida",27,"MATHEMATICS AND STATISTICS.","College Major",101,0.011742821,"School","Flrd","MAAS"
"110","Florida",30,"MULTI/INTERDISCIPLINARY STUDIES.","College Major",79,0.009184978,"School","Flrd","MULS"
"111","Florida",31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.","College Major",3,0.063829787,"Football","Flrd","PRLAFS"
"112","Florida",31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.","College Major",220,0.025578421,"School","Flrd","PRLAFS"
"113","Florida",38,"PHILOSOPHY AND RELIGIOUS STUDIES.","College Major",58,0.006743402,"School","Flrd","PARS"
"114","Florida",40,"PHYSICAL SCIENCES.","College Major",173,0.02011394,"School","Flrd","PHYS"
"115","Florida",42,"PSYCHOLOGY.","College Major",1,0.021276596,"Football","Flrd","PSYC"
"116","Florida",42,"PSYCHOLOGY.","College Major",462,0.053714684,"School","Flrd","PSYC"
"117","Florida",43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.","College Major",7,0.000813859,"School","Flrd","HSLEFARPS"
"118","Florida",45,"SOCIAL SCIENCES.","College Major",38,0.808510638,"Football","Flrd","SOCS"
"119","Florida",45,"SOCIAL SCIENCES.","College Major",1111,0.129171027,"School","Flrd","SOCS"
"120","Florida",50,"VISUAL AND PERFORMING ARTS.","College Major",236,0.02743867,"School","Flrd","VAPA"
"121","Florida",51,"HEALTH PROFESSIONS AND RELATED PROGRAMS.","College Major",658,0.076502732,"School","Flrd","HPARP"
"122","Florida",52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","College Major",4,0.085106383,"Football","Flrd","BMMARSS"
"123","Florida",52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","College Major",1065,0.123822811,"School","Flrd","BMMARSS"
"124","Florida",54,"HISTORY.","College Major",176,0.020462737,"School","Flrd","HIST"
"125","Florida State",3,"NATURAL RESOURCES AND CONSERVATION.","College Major",16,0.002039256,"School","FlrS","NRAC"
"126","Florida State",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.","College Major",24,0.003058884,"School","FlrS","AECGAGS"
"127","Florida State",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","College Major",3,0.045454545,"Football","FlrS","CJARP"
"128","Florida State",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","College Major",291,0.037088963,"School","FlrS","CJARP"
"129","Florida State",10,"COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.","College Major",1,0.015151515,"Football","FlrS","CTASS"
"130","Florida State",11,"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.","College Major",157,0.020010196,"School","FlrS","CAISASS"
"131","Florida State",13,"EDUCATION.","College Major",1,0.015151515,"Football","FlrS","EDUC"
"132","Florida State",13,"EDUCATION.","College Major",267,0.034030079,"School","FlrS","EDUC"
"133","Florida State",14,"ENGINEERING.","College Major",1,0.015151515,"Football","FlrS","ENGI"
"134","Florida State",14,"ENGINEERING.","College Major",307,0.039128218,"School","FlrS","ENGI"
"135","Florida State",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","College Major",86,0.010960999,"School","FlrS","FLLAL"
"136","Florida State",19,"FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.","College Major",1,0.015151515,"Football","FlrS","FACSS"
"137","Florida State",19,"FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.","College Major",432,0.055059903,"School","FlrS","FACSS"
"138","Florida State",23,"ENGLISH LANGUAGE AND LITERATURE/LETTERS.","College Major",3,0.045454545,"Football","FlrS","ELAL"
"139","Florida State",23,"ENGLISH LANGUAGE AND LITERATURE/LETTERS.","College Major",409,0.052128473,"School","FlrS","ELAL"
"140","Florida State",24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.","College Major",11,0.166666667,"Football","FlrS","LAASGSAH"
"141","Florida State",24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.","College Major",47,0.005990314,"School","FlrS","LAASGSAH"
"142","Florida State",26,"BIOLOGICAL AND BIOMEDICAL SCIENCES.","College Major",2,0.03030303,"Football","FlrS","BABS"
"143","Florida State",26,"BIOLOGICAL AND BIOMEDICAL SCIENCES.","College Major",354,0.045118532,"School","FlrS","BABS"
"144","Florida State",27,"MATHEMATICS AND STATISTICS.","College Major",39,0.004970686,"School","FlrS","MAAS"
"145","Florida State",31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.","College Major",11,0.166666667,"Football","FlrS","PRLAFS"
"146","Florida State",31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.","College Major",346,0.044098904,"School","FlrS","PRLAFS"
"147","Florida State",38,"PHILOSOPHY AND RELIGIOUS STUDIES.","College Major",71,0.009049197,"School","FlrS","PARS"
"148","Florida State",40,"PHYSICAL SCIENCES.","College Major",102,0.013000255,"School","FlrS","PHYS"
"149","Florida State",42,"PSYCHOLOGY.","College Major",417,0.053148101,"School","FlrS","PSYC"
"150","Florida State",43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.","College Major",479,0.061050217,"School","FlrS","HSLEFARPS"
"151","Florida State",44,"PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.","College Major",110,0.014019883,"School","FlrS","PAASSP"
"152","Florida State",45,"SOCIAL SCIENCES.","College Major",24,0.363636364,"Football","FlrS","SOCS"
"153","Florida State",45,"SOCIAL SCIENCES.","College Major",1478,0.188376243,"School","FlrS","SOCS"
"154","Florida State",50,"VISUAL AND PERFORMING ARTS.","College Major",1,0.015151515,"Football","FlrS","VAPA"
"155","Florida State",50,"VISUAL AND PERFORMING ARTS.","College Major",401,0.051108845,"School","FlrS","VAPA"
"156","Florida State",51,"HEALTH PROFESSIONS AND RELATED PROGRAMS.","College Major",307,0.039128218,"School","FlrS","HPARP"
"157","Florida State",52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","College Major",7,0.106060606,"Football","FlrS","BMMARSS"
"158","Florida State",52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","College Major",1580,0.201376498,"School","FlrS","BMMARSS"
"159","Florida State",54,"HISTORY.","College Major",126,0.016059138,"School","FlrS","HIST"
"160","Georgia",1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","College Major",4,0.034482759,"Football","Gerg","AAOARS"
"161","Georgia",1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","College Major",246,0.035854832,"School","Gerg","AAOARS"
"162","Georgia",3,"NATURAL RESOURCES AND CONSERVATION.","College Major",1,0.00862069,"Football","Gerg","NRAC"
"163","Georgia",3,"NATURAL RESOURCES AND CONSERVATION.","College Major",84,0.012243113,"School","Gerg","NRAC"
"164","Georgia",4,"ARCHITECTURE AND RELATED SERVICES.","College Major",65,0.009473838,"School","Gerg","AARS"
"165","Georgia",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.","College Major",11,0.001603265,"School","Gerg","AECGAGS"
"166","Georgia",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","College Major",20,0.172413793,"Football","Gerg","CJARP"
"167","Georgia",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","College Major",657,0.095758636,"School","Gerg","CJARP"
"168","Georgia",10,"COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.","College Major",27,0.003935286,"School","Gerg","CTASS"
"169","Georgia",11,"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.","College Major",42,0.006121557,"School","Gerg","CAISASS"
"170","Georgia",13,"EDUCATION.","College Major",4,0.034482759,"Football","Gerg","EDUC"
"171","Georgia",13,"EDUCATION.","College Major",400,0.058300539,"School","Gerg","EDUC"
"172","Georgia",14,"ENGINEERING.","College Major",3,0.025862069,"Football","Gerg","ENGI"
"173","Georgia",14,"ENGINEERING.","College Major",52,0.00757907,"School","Gerg","ENGI"
"174","Georgia",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","College Major",230,0.03352281,"School","Gerg","FLLAL"
"175","Georgia",19,"FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.","College Major",16,0.137931034,"Football","Gerg","FACSS"
"176","Georgia",19,"FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.","College Major",312,0.045474421,"School","Gerg","FACSS"
"177","Georgia",23,"ENGLISH LANGUAGE AND LITERATURE/LETTERS.","College Major",206,0.030024778,"School","Gerg","ELAL"
"178","Georgia",24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.","College Major",5,0.000728757,"School","Gerg","LAASGSAH"
"179","Georgia",26,"BIOLOGICAL AND BIOMEDICAL SCIENCES.","College Major",8,0.068965517,"Football","Gerg","BABS"
"180","Georgia",26,"BIOLOGICAL AND BIOMEDICAL SCIENCES.","College Major",590,0.085993295,"School","Gerg","BABS"
"181","Georgia",27,"MATHEMATICS AND STATISTICS.","College Major",47,0.006850313,"School","Gerg","MAAS"
"182","Georgia",30,"MULTI/INTERDISCIPLINARY STUDIES.","College Major",157,0.022882962,"School","Gerg","MULS"
"183","Georgia",31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.","College Major",20,0.172413793,"Football","Gerg","PRLAFS"
"184","Georgia",31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.","College Major",208,0.03031628,"School","Gerg","PRLAFS"
"185","Georgia",38,"PHILOSOPHY AND RELIGIOUS STUDIES.","College Major",62,0.009036584,"School","Gerg","PARS"
"186","Georgia",40,"PHYSICAL SCIENCES.","College Major",82,0.011951611,"School","Gerg","PHYS"
"187","Georgia",42,"PSYCHOLOGY.","College Major",5,0.043103448,"Football","Gerg","PSYC"
"188","Georgia",42,"PSYCHOLOGY.","College Major",459,0.066899869,"School","Gerg","PSYC"
"189","Georgia",43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.","College Major",2,0.017241379,"Football","Gerg","HSLEFARPS"
"190","Georgia",43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.","College Major",44,0.006413059,"School","Gerg","HSLEFARPS"
"191","Georgia",44,"PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.","College Major",1,0.00862069,"Football","Gerg","PAASSP"
"192","Georgia",44,"PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.","College Major",59,0.00859933,"School","Gerg","PAASSP"
"193","Georgia",45,"SOCIAL SCIENCES.","College Major",9,0.077586207,"Football","Gerg","SOCS"
"194","Georgia",45,"SOCIAL SCIENCES.","College Major",672,0.097944906,"School","Gerg","SOCS"
"195","Georgia",50,"VISUAL AND PERFORMING ARTS.","College Major",1,0.00862069,"Football","Gerg","VAPA"
"196","Georgia",50,"VISUAL AND PERFORMING ARTS.","College Major",282,0.04110188,"School","Gerg","VAPA"
"197","Georgia",51,"HEALTH PROFESSIONS AND RELATED PROGRAMS.","College Major",254,0.037020842,"School","Gerg","HPARP"
"198","Georgia",52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","College Major",18,0.155172414,"Football","Gerg","BMMARSS"
"199","Georgia",52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","College Major",1436,0.209298936,"School","Gerg","BMMARSS"
"200","Georgia",54,"HISTORY.","College Major",4,0.034482759,"Football","Gerg","HIST"
"201","Georgia",54,"HISTORY.","College Major",172,0.025069232,"School","Gerg","HIST"
"202","Kansas State",1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","College Major",4,0.04494382,"Football","KnsS","AAOARS"
"203","Kansas State",1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","College Major",415,0.114010989,"School","KnsS","AAOARS"
"204","Kansas State",4,"ARCHITECTURE AND RELATED SERVICES.","College Major",4,0.001098901,"School","KnsS","AARS"
"205","Kansas State",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.","College Major",11,0.003021978,"School","KnsS","AECGAGS"
"206","Kansas State",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","College Major",4,0.04494382,"Football","KnsS","CJARP"
"207","Kansas State",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","College Major",131,0.035989011,"School","KnsS","CJARP"
"208","Kansas State",11,"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.","College Major",2,0.02247191,"Football","KnsS","CAISASS"
"209","Kansas State",11,"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.","College Major",84,0.023076923,"School","KnsS","CAISASS"
"210","Kansas State",13,"EDUCATION.","College Major",4,0.04494382,"Football","KnsS","EDUC"
"211","Kansas State",13,"EDUCATION.","College Major",306,0.084065934,"School","KnsS","EDUC"
"212","Kansas State",14,"ENGINEERING.","College Major",8,0.08988764,"Football","KnsS","ENGI"
"213","Kansas State",14,"ENGINEERING.","College Major",357,0.098076923,"School","KnsS","ENGI"
"214","Kansas State",15,"ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.","College Major",1,0.011235955,"Football","KnsS","ETAEF"
"215","Kansas State",15,"ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.","College Major",153,0.042032967,"School","KnsS","ETAEF"
"216","Kansas State",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","College Major",29,0.007967033,"School","KnsS","FLLAL"
"217","Kansas State",19,"FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.","College Major",1,0.011235955,"Football","KnsS","FACSS"
