,ID_Position,ID_Race,CIPFamily,CIPFamilyTitle,Value,Percentage_Position_Race,Variable
26,CB,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",1,0.066666667,College Major
27,CB,C,42,PSYCHOLOGY.,1,0.066666667,College Major
28,CB,H,42,PSYCHOLOGY.,1,1,College Major
29,DB,AA,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",6,0.058823529,College Major
30,DB,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",1,0.009803922,College Major
31,DB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",8,0.078431373,College Major
32,DB,AA,42,PSYCHOLOGY.,1,0.009803922,College Major
33,DB,AA,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.,1,0.009803922,College Major
34,DB,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1,0.009803922,College Major
35,DB,AA,13,EDUCATION.,2,0.019607843,College Major
36,DB,AA,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2,0.019607843,College Major
37,DB,AA,14,ENGINEERING.,2,0.019607843,College Major
38,DB,AA,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,1,0.009803922,College Major
39,DB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,4,0.039215686,College Major
40,DB,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,0.009803922,College Major
41,DB,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",21,0.205882353,College Major
42,DB,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2,0.019607843,College Major
43,DB,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",11,0.107843137,College Major
44,DB,AA,38,PHILOSOPHY AND RELIGIOUS STUDIES.,1,0.009803922,College Major
45,DB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",7,0.068627451,College Major
46,DB,AA,45,SOCIAL SCIENCES.,28,0.274509804,College Major
47,DB,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",1,0.009803922,College Major
48,DB,AA,50,VISUAL AND PERFORMING ARTS.,1,0.009803922,College Major
49,DB,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,0.04,College Major
50,DB,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",3,0.12,College Major
51,DB,C,13,EDUCATION.,2,0.08,College Major
52,DB,C,14,ENGINEERING.,2,0.08,College Major
53,DB,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.04,College Major
54,DB,C,45,SOCIAL SCIENCES.,1,0.04,College Major
55,DB,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",7,0.28,College Major
56,DB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",8,0.32,College Major
57,DB,H,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,1,College Major
58,DB,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",1,1,College Major
59,DE,AA,42,PSYCHOLOGY.,4,0.059701493,College Major
60,DE,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,3,0.044776119,College Major
61,DE,AA,14,ENGINEERING.,1,0.014925373,College Major
62,DE,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",6,0.089552239,College Major
63,DE,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,3,0.044776119,College Major
64,DE,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",3,0.044776119,College Major
65,DE,AA,45,SOCIAL SCIENCES.,11,0.164179104,College Major
66,DE,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",5,0.074626866,College Major
67,DE,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",19,0.28358209,College Major
68,DE,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",10,0.149253731,College Major
69,DE,AA,54,HISTORY.,2,0.029850746,College Major
70,DE,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",1,0.03125,College Major
71,DE,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",6,0.1875,College Major
72,DE,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",4,0.125,College Major
73,DE,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.03125,College Major
74,DE,C,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2,0.0625,College Major
75,DE,C,14,ENGINEERING.,2,0.0625,College Major
76,DE,C,45,SOCIAL SCIENCES.,6,0.1875,College Major
77,DE,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,3,0.09375,College Major
78,DE,C,30,MULTI/INTERDISCIPLINARY STUDIES.,3,0.09375,College Major
79,DE,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",4,0.125,College Major
80,DE,H,45,SOCIAL SCIENCES.,1,0.5,College Major
81,DE,H,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,0.5,College Major
82,DE,PI,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.2,College Major
83,DE,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2,0.4,College Major
84,DE,PI,45,SOCIAL SCIENCES.,2,0.4,College Major
85,DL,AA,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",4,0.086956522,College Major
86,DL,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",3,0.065217391,College Major
87,DL,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1,0.02173913,College Major
88,DL,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",1,0.02173913,College Major
89,DL,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.02173913,College Major
90,DL,AA,14,ENGINEERING.,1,0.02173913,College Major
91,DL,AA,45,SOCIAL SCIENCES.,10,0.217391304,College Major
92,DL,AA,13,EDUCATION.,1,0.02173913,College Major
93,DL,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",1,0.02173913,College Major
94,DL,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",12,0.260869565,College Major
95,DL,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.02173913,College Major
96,DL,AA,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,1,0.02173913,College Major
97,DL,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",5,0.108695652,College Major
98,DL,AA,38,PHILOSOPHY AND RELIGIOUS STUDIES.,1,0.02173913,College Major
99,DL,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,0.02173913,College Major
100,DL,AA,42,PSYCHOLOGY.,2,0.043478261,College Major
101,DL,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",5,0.15625,College Major
102,DL,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2,0.0625,College Major
103,DL,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",3,0.09375,College Major
104,DL,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2,0.0625,College Major
105,DL,C,14,ENGINEERING.,2,0.0625,College Major
106,DL,C,13,EDUCATION.,2,0.0625,College Major
107,DL,C,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,1,0.03125,College Major
108,DL,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",9,0.28125,College Major
109,DL,C,45,SOCIAL SCIENCES.,5,0.15625,College Major
110,DL,C,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,1,0.03125,College Major
111,DL,H,3,NATURAL RESOURCES AND CONSERVATION.,1,1,College Major
112,DL,PI,45,SOCIAL SCIENCES.,1,0.125,College Major
113,DL,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",7,0.875,College Major
114,DT,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2,0.037037037,College Major
115,DT,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",3,0.055555556,College Major
116,DT,AA,14,ENGINEERING.,2,0.037037037,College Major
117,DT,AA,38,PHILOSOPHY AND RELIGIOUS STUDIES.,1,0.018518519,College Major
118,DT,AA,13,EDUCATION.,2,0.037037037,College Major
119,DT,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",20,0.37037037,College Major
120,DT,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",3,0.055555556,College Major
121,DT,AA,45,SOCIAL SCIENCES.,9,0.166666667,College Major
122,DT,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,1,0.018518519,College Major
123,DT,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",6,0.111111111,College Major
124,DT,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",3,0.055555556,College Major
125,DT,AA,42,PSYCHOLOGY.,2,0.037037037,College Major
126,DT,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",4,0.2,College Major
127,DT,C,45,SOCIAL SCIENCES.,6,0.3,College Major
128,DT,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2,0.1,College Major
129,DT,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",4,0.2,College Major
130,DT,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.05,College Major
131,DT,C,13,EDUCATION.,1,0.05,College Major
132,DT,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2,0.1,College Major
133,DT,H,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",1,0.333333333,College Major
134,DT,H,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.333333333,College Major
135,DT,H,45,SOCIAL SCIENCES.,1,0.333333333,College Major
136,DT,O,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,1,College Major
137,DT,PI,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",1,0.111111111,College Major
138,DT,PI,50,VISUAL AND PERFORMING ARTS.,1,0.111111111,College Major
139,DT,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",3,0.333333333,College Major
140,DT,PI,42,PSYCHOLOGY.,1,0.111111111,College Major
141,DT,PI,45,SOCIAL SCIENCES.,2,0.222222222,College Major
142,DT,PI,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,0.111111111,College Major
143,FB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.0625,College Major
144,FB,AA,14,ENGINEERING.,2,0.125,College Major
145,FB,AA,33,CITIZENSHIP ACTIVITIES.,1,0.0625,College Major
146,FB,AA,42,PSYCHOLOGY.,1,0.0625,College Major
147,FB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",1,0.0625,College Major
148,FB,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,0.0625,College Major
149,FB,AA,45,SOCIAL SCIENCES.,5,0.3125,College Major
150,FB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2,0.125,College Major
151,FB,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",1,0.0625,College Major
152,FB,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",1,0.0625,College Major
153,FB,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",1,0.03030303,College Major
154,FB,C,45,SOCIAL SCIENCES.,7,0.212121212,College Major
155,FB,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2,0.060606061,College Major
156,FB,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",5,0.151515152,College Major
157,FB,C,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,1,0.03030303,College Major
158,FB,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,3,0.090909091,College Major
159,FB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",5,0.151515152,College Major
160,FB,C,42,PSYCHOLOGY.,1,0.03030303,College Major
161,FB,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",5,0.151515152,College Major
162,FB,C,30,MULTI/INTERDISCIPLINARY STUDIES.,1,0.03030303,College Major
163,FB,C,54,HISTORY.,2,0.060606061,College Major
164,FS,AA,4,ARCHITECTURE AND RELATED SERVICES.,1,0.142857143,College Major
165,FS,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.142857143,College Major
166,FS,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.142857143,College Major
167,FS,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",1,0.142857143,College Major
168,FS,AA,54,HISTORY.,1,0.142857143,College Major
169,FS,AA,45,SOCIAL SCIENCES.,1,0.142857143,College Major
170,FS,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,0.142857143,College Major
171,FS,C,45,SOCIAL SCIENCES.,3,0.6,College Major
172,FS,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2,0.4,College Major
173,ILB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.166666667,College Major
174,ILB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.166666667,College Major
175,ILB,AA,42,PSYCHOLOGY.,1,0.166666667,College Major
176,ILB,AA,30,MULTI/INTERDISCIPLINARY STUDIES.,1,0.166666667,College Major
177,ILB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2,0.333333333,College Major
178,ILB,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.142857143,College Major
179,ILB,C,45,SOCIAL SCIENCES.,2,0.285714286,College Major
180,ILB,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2,0.285714286,College Major
181,ILB,C,42,PSYCHOLOGY.,1,0.142857143,College Major
182,ILB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,0.142857143,College Major
183,ILB,H,30,MULTI/INTERDISCIPLINARY STUDIES.,1,1,College Major
184,ILB,PI,45,SOCIAL SCIENCES.,1,1,College Major
185,K,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",4,0.166666667,College Major
186,K,C,14,ENGINEERING.,1,0.041666667,College Major
187,K,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.041666667,College Major
188,K,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",5,0.208333333,College Major
189,K,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,0.041666667,College Major
190,K,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",6,0.25,College Major
191,K,C,42,PSYCHOLOGY.,1,0.041666667,College Major
192,K,C,45,SOCIAL SCIENCES.,3,0.125,College Major
193,K,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2,0.083333333,College Major
194,LB,AA,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2,0.016666667,College Major
195,LB,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",10,0.083333333,College Major
196,LB,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2,0.016666667,College Major
197,LB,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",31,0.258333333,College Major
198,LB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",10,0.083333333,College Major
199,LB,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",4,0.033333333,College Major
200,LB,AA,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,1,0.008333333,College Major
201,LB,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1,0.008333333,College Major
202,LB,AA,13,EDUCATION.,1,0.008333333,College Major
203,LB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,5,0.041666667,College Major
204,LB,AA,14,ENGINEERING.,2,0.016666667,College Major
205,LB,AA,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2,0.016666667,College Major
206,LB,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,0.008333333,College Major
207,LB,AA,45,SOCIAL SCIENCES.,25,0.208333333,College Major
208,LB,AA,38,PHILOSOPHY AND RELIGIOUS STUDIES.,1,0.008333333,College Major
209,LB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",18,0.15,College Major
210,LB,AA,42,PSYCHOLOGY.,2,0.016666667,College Major
211,LB,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,1,0.008333333,College Major
212,LB,AA,50,VISUAL AND PERFORMING ARTS.,1,0.008333333,College Major
213,LB,C,13,EDUCATION.,1,0.011627907,College Major
214,LB,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.011627907,College Major
215,LB,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",23,0.26744186,College Major
216,LB,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",3,0.034883721,College Major
217,LB,C,14,ENGINEERING.,9,0.104651163,College Major
218,LB,C,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,1,0.011627907,College Major
219,LB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",22,0.255813953,College Major
220,LB,C,30,MULTI/INTERDISCIPLINARY STUDIES.,2,0.023255814,College Major
221,LB,C,40,PHYSICAL SCIENCES.,1,0.011627907,College Major
222,LB,C,42,PSYCHOLOGY.,2,0.023255814,College Major
223,LB,C,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,1,0.011627907,College Major
224,LB,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,0.011627907,College Major
225,LB,C,54,HISTORY.,1,0.011627907,College Major
226,LB,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",8,0.093023256,College Major
227,LB,C,50,VISUAL AND PERFORMING ARTS.,1,0.011627907,College Major
228,LB,C,45,SOCIAL SCIENCES.,5,0.058139535,College Major
229,LB,C,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2,0.023255814,College Major
230,LB,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2,0.023255814,College Major
231,LB,H,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.25,College Major
232,LB,H,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",1,0.25,College Major
233,LB,H,42,PSYCHOLOGY.,1,0.25,College Major
234,LB,H,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",1,0.25,College Major
235,LB,PI,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,0.1,College Major
236,LB,PI,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2,0.2,College Major
237,LB,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",6,0.6,College Major
238,LB,PI,50,VISUAL AND PERFORMING ARTS.,1,0.1,College Major
239,LS,AA,14,ENGINEERING.,1,0.333333333,College Major
240,LS,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,0.333333333,College Major
241,LS,AA,54,HISTORY.,1,0.333333333,College Major
242,LS,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",1,0.022727273,College Major
243,LS,C,3,NATURAL RESOURCES AND CONSERVATION.,1,0.022727273,College Major
244,LS,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",5,0.113636364,College Major
245,LS,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2,0.045454545,College Major
246,LS,C,14,ENGINEERING.,4,0.090909091,College Major
247,LS,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.022727273,College Major
248,LS,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",3,0.068181818,College Major
249,LS,C,45,SOCIAL SCIENCES.,8,0.181818182,College Major
250,LS,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",9,0.204545455,College Major
251,LS,C,38,PHILOSOPHY AND RELIGIOUS STUDIES.,1,0.022727273,College Major
252,LS,C,42,PSYCHOLOGY.,1,0.022727273,College Major
253,LS,C,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,1,0.022727273,College Major
254,LS,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",7,0.159090909,College Major
255,NT,AA,50,VISUAL AND PERFORMING ARTS.,1,0.5,College Major
256,NT,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,0.5,College Major
257,NT,PI,45,SOCIAL SCIENCES.,1,1,College Major
258,OC,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,1,College Major
259,OC,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2,0.111111111,College Major
260,OC,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.055555556,College Major
261,OC,C,14,ENGINEERING.,1,0.055555556,College Major
262,OC,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2,0.111111111,College Major
263,OC,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2,0.111111111,College Major
264,OC,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",1,0.055555556,College Major
265,OC,C,42,PSYCHOLOGY.,2,0.111111111,College Major
266,OC,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",1,0.055555556,College Major
267,OC,C,45,SOCIAL SCIENCES.,1,0.055555556,College Major
268,OC,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",5,0.277777778,College Major
269,OC,PI,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,1,College Major
270,OG,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1,0.076923077,College Major
271,OG,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",1,0.076923077,College Major
272,OG,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",1,0.076923077,College Major
273,OG,AA,45,SOCIAL SCIENCES.,6,0.461538462,College Major
274,OG,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",1,0.076923077,College Major
275,OG,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.076923077,College Major
276,OG,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",1,0.076923077,College Major
277,OG,AA,30,MULTI/INTERDISCIPLINARY STUDIES.,1,0.076923077,College Major
278,OG,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",1,0.045454545,College Major
279,OG,C,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,1,0.045454545,College Major
280,OG,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",4,0.181818182,College Major
281,OG,C,13,EDUCATION.,1,0.045454545,College Major
