"","Fund_Name","Fund_Manager","Fund_Contact","Fund_Contact_Telephone","Fund_Type","Fund_Projected_Equity","Fund_Equity_Raised","Fund_Equity_Invested","Fund_Target_IRR","Fund_Minimum_IRR","Fund_Asset_Classes","Fund_Target_Locations","Fund_Data_Date"
"12","Nl Ventures 9","AIC Ventures","Luis Medina","512-476-5009","Value Add","$150,000,000 ","$40,000,000 ","$0 ","15","15","Office","United States","1/11/12"
"13","Alcion Real Estate Partners 2","Alcion Ventures","Martin Zieff","617-603-1000","Opportunity","$500,000,000 ","$500,000,000 ","$160,000,000 ","","","Distressed, Mortgages, Preferred Equity","United States","1/11/12"
"14","Abr Chesapeake Fund 4","Alex Brown Realty","Thomas Burton","410-547-3009","Value Add","$250,000,000 ","$100,000,000 ","$27,000,000 ","","","Office","United States","1/11/12"
"15","Alliance Residential Fund 2","Alliance Residential","Adam Fruitbine","212-626-2630","Opportunity","$400,000,000 ","$0 ","$0 ","17","17","Multifamily","United States","1/11/12"
"16","Alliancebernstein U.S. Real Estate Partners","AllianceBernstein","Adam Brooks","212-823-3290","Opportunity","$1,000,000,000 ","$700,000,000 ","$100,000,000 ","16-18","16","Distressed","United States","1/11/12"
"17","Almanac Realty Securities 6","Almanac Realty Investors","Matthew Kaplan","212-403-3515","Value Add","$800,000,000 ","$400,000,000 ","$0 ","12-15","12","Buyout","United States","1/11/12"
"18","Alpha Asia Macro Trends Fund 2","Alpha Investment","Loh Chin Hua","656-433-7702","Value Add","$1,500,000,000 ","$485,000,000 ","$25,000,000 ","14-16","14","Office","Asia","1/11/12"
"19","Ag Asia Realty Fund 2","Angelo Gordon & Co.","Wilson Leung","852-3-416-7328","Opportunity","$615,000,000 ","$615,000,000 ","$83,000,000 ","","","Office","Asia","1/11/12"
"20","Ag Core Plus Realty Fund 3","Angelo Gordon & Co.","Adam Schwartz","212-692-2059","Core","$1,000,000,000 ","$780,000,000 ","$200,000,000 ","","","Office, Retail, Multifamily","United States, Asia, Europe","1/11/12"
"21","Ag Net Lease Realty Fund 2","Angelo Gordon & Co.","Gordon Whiting","212-883-4157","Core","$560,000,000 ","$560,000,000 ","$297,000,000 ","10-12","10","Office, Retail","United States, Canada","1/11/12"
"22","Ag Realty Fund 8","Angelo Gordon & Co.","Adam Schwartz","212-692-2059","Opportunity","$1,250,000,000 ","$1,050,000,000 ","$300,000,000 ","","","Office, Industrial","United States, Europe","1/11/12"
"23","Agre U.S. Real Estate Fund","Apollo Global Real Estate","Joseph Azrack","212-515-3200","Value Add","$600,000,000 ","$385,000,000 ","","13-16","13","Office","United States","1/11/12"
"24","Ara Asia Dragon Fund 2","ARA Group","John Lim","656-835-9232","Opportunity","$1,000,000,000 ","$400,000,000 ","$0 ","18-20","18","Office","Asia","1/11/12"
"25","Archstone Multifamily Partners","Archstone","R. Scot Sellers","303-708-5959","Core","$500,000,000 ","$300,000,000 ","$0 ","11-13","11","Multifamily","Eastern United States, Western United States, Washington D.C., Boston, New York City, Philadelphia, Los Angeles, San Francisco, Seattle, Portland, San Diego","1/11/12"
"26","Area Real Estate Opportunity Fund 6","AREA Property","Richard Mack, John Jacobsson","212-515-3233","Opportunity","$518,000,000 ","$518,000,000 ","$0 ","14-18","14","Office, Retail","United States","1/11/12"
"27","Area Value Enhancement Fund 8","AREA Property","Steve Wolf","212-515-3344","Value Add","$750,000,000 ","$0 ","$0 ","12-15","12","Office","United States","1/11/12"
"28","Sun-apollo India Real Estate Fund","AREA Property","Prakash Kalothia","91-226-688-6128","Opportunity","$630,000,000 ","$630,000,000 ","$391,000,000 ","20+","20+","Office","India","1/11/12"
"29","Arminius Real Estate Opportunity Fund 2","Arminius Advisors","Peter Jun","49-69-247-5150","Opportunity","$399,330,000 ","$0 ","$0 ","","","Distressed","Germany","1/11/12"
"30","Artemis Real Estate Partners Fund 1","Artemis Real Estate","Deborah Harmon","202-729-6588","Opportunity","$436,000,000 ","$436,000,000 ","$0 ","16","16","Distressed","United States","1/11/12"
"31","Astrum Fund 1","Astrum Investment","Jonathan Hartman","310-571-3400","Value Add","$50,000,000 ","$5,000,000 ","$0 ","15","15","Net Lease","United States","1/11/12"
"32","Avanti Strategic Land Investors 7","Avanti Properties","Marvin Shapiro","407-628-8488","Opportunity","$350,000,000 ","$0 ","$0 ","18","18","Land","Southwestern United States","1/11/12"
"33","U.S. Strategic Property Partners","AXA Real Estate, Fremont Realty Capital","Steven Karpf","212-771-1810","Value Add","$500,000,000 ","$0 ","$0 ","14-16","14","Office, Multifamily, Lodging, Self Storage, Senior Housing","Western United States, Seattle, San Francisco, Los Angeles, San Diego, Northeastern United States","1/11/12"
"34","Baynorth Realty Fund 8","BayNorth Capital","Charles Wu","617-570-4400","Value Add","$300,000,000 ","$0 ","$0 ","13-15","13","Other, Self Storage, Senior Housing","United States, Europe","1/11/12"
"35","Beacon Capital Strategic Partners 6","Beacon Capital","Jeff Brown","617-457-0411","Opportunity","$2,500,000,000 ","$2,500,000,000 ","$200,000,000 ","15-17","15","Office","United States, Europe","1/11/12"
"36","Bell Institutional Fund 4","Bell Partners","Jon Bell","336-232-1999","Value Add","$200,000,000 ","$0 ","$0 ","","","Multifamily","Boston, Florida, Georgia, North Carolina, South Carolina, Southeastern United States, Atlanta","1/11/12"
"37","Benson Elliot Real Estate Partners 3","Benson Elliot Capital","Trish Barrigan","44-207-808-8907","Opportunity","$672,205,500 ","$672,205,500 ","$133,091,782 ","16+","16+","Office","Europe","1/11/12"
"38","Berkeley Capital Partners 3","Berkeley Capital","Aaron Snegg","415-295-8080","Value Add","$150,000,000 ","$0 ","$0 ","14-16","14","Industrial","United States","1/11/12"
"39","Berkley Asset Fund 1","Berkley Asset Management","Eli Braha","212-867-1234","Value Add","$100,000,000 ","$0 ","$0 ","15","15","Office","New York City","1/11/12"
"40","Berkshire Multifamily Equity Fund","Berkshire Property Advisors","David Olney","617-646-2300","Value Add","$260,000,000 ","$260,000,000 ","$195,000,000 ","13","13","Multifamily","United States","1/11/12"
"41","Berkshire Multifamily Value Fund 3","Berkshire Property Advisors","David Olney","617-646-2300","Core","$400,000,000 ","$0 ","$0 ","11-13","11","Multifamily","United States","1/11/12"
"42","Mexico Residential Fund","Black Creek Group","Bob Batting","303-869-4600","Opportunity","$513,000,000 ","$513,000,000 ","$140,000,000 ","20+","20+","Multifamily","Mexico","1/11/12"
"43","Carbon Capital Fund 5","BlackRock","Robert Karnes","212-810-3313","High Yield Debt","$400,000,000 ","$0 ","$0 ","13-15","13","Mortgages, B-notes, Mezzanine Loans, CMBS","United States","1/11/12"
"44","Blackstone Real Estate Partners 7","Blackstone","Aj Agarwal","212-583-5803","Opportunity","$10,000,000,000 ","$10,000,000,000 ","$1,100,000,000 ","","","Office, Lodging","United States, Asia","1/11/12"
"45","Blackstone Real Estate Partners Europe 3","Blackstone","Ken Caplan","44-207-451-4282","Opportunity","$4,326,075,000 ","$4,326,075,000 ","$1,464,244,132 ","","","Office","Europe","1/11/12"
"46","Blackstone Special Situations Fund 2","Blackstone","Michael Nash","212-583-5127","High Yield Debt","$2,350,000,000 ","$2,350,000,000 ","$1,600,000,000 ","","","Office","United States","1/11/12"
"47","Blackstone Special Situations Fund Europe","Blackstone","Michael Nash","212-583-5127","High Yield Debt","$465,885,000 ","$465,885,000 ","$216,660,217 ","20","20","Office","Europe","1/11/12"
"48","Bloomfield Institutional Opportunity Fund 1","Bloomfield Capital","Erik Stamell","248-745-1700","High Yield Debt","$100,000,000 ","$10,000,000 ","","14-16","14","Mortgages","United States","1/11/12"
"49","Blue Vista Sponsor Equity Fund 3","Blue Vista Capital","Chris Winnen","312-324-6062","Opportunity","$300,000,000 ","$40,000,000 ","$0 ","18","18","Office","United States","1/11/12"
"50","Bluehouse Accession Property Fund 3","Bluehouse Capital","Julia Bernard","30-210-362-8900","Opportunity","$159,732,000 ","$159,732,000 ","$71,894,254 ","","","Office","Balkans","1/11/12"
"51","Bpg Investment Partnership 9","BPG Properties","Arthur Pasquarella","215-575-2432","Value Add","$250,000,000 ","$110,000,000 ","$0 ","","","Office","United States","1/11/12"
"52","Brickman Fund 5","Brickman Associates","Kathy Corton","212-541-5500","Value Add","$250,000,000 ","$250,000,000 ","$40,000,000 ","15","15","Distressed, Office, Multifamily","Western United States, Seattle, San Francisco","1/11/12"
"53","Brightside Hotel Fund","Brightside Investment","James Ryan","678-954-4840","Value Add","$350,000,000 ","$0 ","$0 ","15","15","Distressed, Lodging","United States, Southeastern United States","1/11/12"
"54","Bristol Industrial 2","Bristol Group","Jim Curtis","415-398-1022","Core","$150,000,000 ","$150,000,000 ","$50,000,000 ","9-12","9","Industrial","United States","1/11/12"
"55","Bristol Value 2","Bristol Group","Jim Curtis","415-398-1022","Opportunity","$250,000,000 ","$100,000,000 ","$0 ","14-18","14","Office","United States","1/11/12"
"56","Broadview Real Estate Investors Fund 1","Broadview Investors","Thomas Lavin","617-897-7248","Opportunity","$300,000,000 ","$0 ","$0 ","15-18","15","Office, Retail, Industrial, Lodging, Multifamily","United States, Eastern United States, Boston, New York City, Washington D.C.","1/11/12"
"57","Brockton Capital Fund 2","Brockton Capital","David Marks","44-207-220-2555","Opportunity","$797,850,000 ","$797,850,000 ","$171,665,027 ","","","Office","England","1/11/12"
"58","Brookdale Investors 6","Brookdale Group","Dan Ethridge","404-364-8085","Opportunity","$410,000,000 ","$410,000,000 ","$200,000,000 ","16-19","16","Office","United States","1/11/12"
"59","Brookfield Core-plus Office Fund","Brookfield Asset Management","Scott White","212-417-2578","Core","$1,000,000,000 ","$0 ","$0 ","10-13","10","Office","United States","1/11/12"
"60","Brookfield Fairfield U.S. Multifamily Value Add Fund","Brookfield Asset Management","Greg Pinkalla","858-457-2123","Value Add","$250,000,000 ","$150,000,000 ","$50,000,000 ","13","13","Multifamily","United States","1/11/12"
"61","Brookfield Real Estate Finance 3","Brookfield Asset Management","Andrea Balkan","212-417-7277","High Yield Debt","$500,000,000 ","$400,000,000 ","","13","13","Mortgages","United States","1/11/12"
"62","Brookfield Strategic Real Estate Partners","Brookfield Asset Management","Scott White","212-417-2578","Opportunity","$3,500,000,000 ","$0 ","$0 ","17-20","17","Office","United States","1/11/12"
"63","Brookwood U.S. Real Estate Aggregator","Brookwood Financial","Thomas Trkla","978-927-8300","Opportunity","$300,000,000 ","$0 ","$0 ","15-18","15","Office, Industrial","United States","1/11/12"
"64","Bryanston Real Estate Opportunity Fund 2","Bryanston Realty","Tad Wefel","312-360-3101","Opportunity","$50,000,000 ","$50,000,000 ","$10,000,000 ","","","Office","United States","1/11/12"
"65","Tcw/buchanan Fund 6","Buchanan Street Partners","Tim Ballard","949-219-1584","Core","$600,000,000 ","$75,000,000 ","$25,000,000 ","","","Office","United States","1/11/12"
"66","Cabot Industrial Value Fund 3","Cabot Properties","Andrew Ebbott","617-723-2397","Value Add","$680,000,000 ","$680,000,000 ","$390,000,000 ","12-14","12","Industrial","United States, International","1/11/12"
"67","Calare Real Estate Income Value Fund","Calare Properties","Bill Manley","978-562-0100","Value Add","$50,000,000 ","$10,000,000 ","$5,000,000 ","12-15","12","Industrial, Office","Northeastern United States, Boston, New York City","1/11/12"
"68","Canyon Agassi Charter School Facilities Fund","Canyon Capital Realty","Bobby Turner","310-247-2700","Value Add","$250,000,000 ","$200,000,000 ","$20,000,000 ","14","14","Other","Western United States","1/11/12"
"69","Canyon Johnson Urban Fund 3","Canyon Capital Realty","Bobby Turner","310-247-2700","Opportunity","$1,000,000,000 ","$1,000,000,000 ","$700,000,000 ","16-18","16","Multifamily","United States","1/11/12"
"70","Ct Opportunity Partners Fund 1","Capital Trust","Brian Wilson","212-655-0239","High Yield Debt","$540,000,000 ","$540,000,000 ","$325,000,000 ","15+","15+","Office","United States","1/11/12"
"71","Cardon Institutional Land Fund","Cardon Group","Patrick Cardon, Wil Cardon","480-505-9500","Opportunity","$200,000,000 ","$0 ","$0 ","","","Land","Southwestern United States","1/11/12"
"72","Csv High-yield Lending And Distressed Debt","Carlton Strategic Ventures","Josh Hamby","212-545-1000","High Yield Debt","$200,000,000 ","$200,000,000 ","$0 ","20+","20+","Mortgages, Distressed, Preferred Equity","United States, Other","1/11/12"
"73","Carlyle Asia Real Estate Partners 2","Carlyle Group","Jason Lee","85-22-878-7000","Opportunity","$485,000,000 ","$485,000,000 ","$361,900,000 ","","","Retail","Asia","1/11/12"
"74","Carlyle Europe Real Estate Partners 3","Carlyle Group","Eric Sasson","33-15-370-3520","Opportunity","$2,967,021,900 ","$2,967,021,900 ","$2,095,012,686 ","20+","20+","Office, Other","Europe","1/11/12"
"75","Carlyle Europe Real Estate Partners 4","Carlyle Group","Eric Sasson","33-15-370-3520","Opportunity","$2,662,200,000 ","$0 ","$0 ","20+","20+","Office","Europe","1/11/12"
"76","Carlyle Realty Partners 6","Carlyle Group","Rob Stuckey","202-729-5255","Opportunity","$2,340,000,000 ","$2,340,000,000 ","$468,000,000 ","","","Office","United States","1/11/12"
"77","Carmel Partners Investment Fund 3","Carmel Partners","Chris Beda","415-273-2900","Value Add","$700,000,000 ","$700,000,000 ","$250,000,000 ","12-15","12","Multifamily","Western United States","1/11/12"
"78","Carmel Partners Investment Fund 4","Carmel Partners","Chris Beda","415-273-2900","Value Add","$700,000,000 ","$0 ","$0 ","13-15","13","Multifamily","Western United States","1/11/12"
"79","Carval Europe Real Estate Partners","CarVal Investors","Timothy Clark","952-984-3774","Opportunity","$665,550,000 ","$183,600,000 ","$54,162,000 ","16","16","Office, Retail","England, France","1/11/12"
"80","Cvi Japan Real Estate Partners","CarVal Investors","Timothy Clark","952-984-3774","Opportunity","$500,000,000 ","$200,000,000 ","$0 ","16","16","Distressed","Japan","1/11/12"
"81","Cvi North American Real Estate Partners 3","CarVal Investors","Timothy Clark","952-984-3774","Value Add","$500,000,000 ","$200,000,000 ","$49,300,000 ","14","14","Office, Industrial","United States, Mexico","1/11/12"
"82","Catalyst European Property Fund 2","Catalyst Capital","Guy Wilson","44-207-290-5100","Value Add","$332,775,000 ","$0 ","$0 ","","","Office","Europe","1/11/12"
"83","Cathedral Real Estate Opportunity Fund 1","Cathedral Real Estate","Thomas Lorenz","877-469-1122","Core","$100,000,000 ","$0 ","$0 ","8-12","8","Office, Multifamily, Retail","Miami, New York City, Phoenix","1/11/12"
"84","Cb Richard Ellis Strategic Partners Value Fund 6","CBRE Global Investors","Phil Hench","213-683-4255","Value Add","$1,000,000,000 ","$275,400,000 ","$0 ","","","Office","United States","1/11/12"
"85","Cbre China Opportunity Fund 2","CBRE Global Investors","Richard Van Den Berg","852-2-846-3080","Opportunity","$750,000,000 ","","","","","Multifamily","China","1/11/12"
"86","Centennial Real Estate Fund 4","Centennial Holdings","Andrew Trotter","404-835-3152","Value Add","$150,000,000 ","$0 ","$0 ","14-16","14","Multifamily","Southwestern United States","1/11/12"
"87","Century Bridge China Real Estate Fund","Century Bridge Capital","Thomas Delatour","86-106-566-9907 ","Opportunity","$400,000,000 ","","","20+","20+","Multifamily","China","1/11/12"
"88","Cp Affordable Housing Value Fund 1","Century Pacific Equity","Irwin Deutch","310-208-1888","Value Add","$100,000,000 ","","","","","Multifamily","United States","1/11/12"
"89","Cerberus Institutional Real Estate Partners 3","Cerberus Real Estate Capital","Paul Fox, Ronald Kravit","212-891-2100","High Yield Debt","$1,250,000,000 ","$300,000,000 ","$0 ","13-16","13","Office, Lodging","United States","1/11/12"
"90","Cherokee Investment Partners 4","Cherokee Investment","Tom Darden","919-743-2506","Opportunity","$1,240,000,000 ","$1,240,000,000 ","$496,000,000 ","","","Land","United States","1/11/12"
"91","Crp Opportunity Fund","Chesapeake Realty","Larry Macks","410-356-9900","Opportunity","$66,200,000 ","$66,200,000 ","","","","Land","Boston","1/11/12"
"92","Residential Property Fund","ChrisKen Cos.","Jack Kennedy","312-454-1626","Opportunity","$200,000,000 ","$0 ","$0 ","15-17","15","Multifamily","United States","1/11/12"
"93","C-iii Recovery Fund 1","C-III Capital","Andrew Carr","212-705-5043","Opportunity","$209,000,000 ","$209,000,000 ","","16","16","Office","United States","1/11/12"
"94","Cim Real Estate Fund 3","CIM Group","Shaul Kuba","323-860-4900","Opportunity","$2,000,000,000 ","$2,000,000,000 ","$1,450,000,000 ","","","Office, Retail, Industrial","United States, Mexico, Caribbean","1/11/12"
"95","Citic Capital China Real Estate Investment Fund 3","CITIC Capital","Stanley Ching","852-2-237-6888","Opportunity","$400,000,000 ","$400,000,000 ","$295,000,000 ","","","Office","China","1/11/12"
"96","Citic Capital China Retail Properties Investment Fund","CITIC Capital","Stanley Ching","852-2-237-6888","Opportunity","$600,000,000 ","$225,000,000 ","$126,000,000 ","18","18","Retail","China","1/11/12"
"97","Cityview Bay Area Fund","CityView","Sean Burton","310-566-8700","Value Add","$100,000,000 ","$100,000,000 ","$34,000,000 ","12-14","12","Multifamily","San Francisco","1/11/12"
"98","Cityview Los Angeles Fund","CityView","Con Howe","310-566-8738","Opportunity","$150,000,000 ","$150,000,000 ","$102,000,000 ","","","Land","Los Angeles","1/11/12"
"99","Cityview Southwest Multifamily Partners","CityView","Sean Burton","310-566-8700","Value Add","$100,000,000 ","$0 ","$0 ","12-14","12","Multifamily","Southwestern United States","1/11/12"
"100","Clerestory Small Cap Real Estate Fund 2","Clerestory Capital","Joanne Douvas","212-584-2020","Fund of Funds","$400,000,000 ","$0 ","$0 ","","","Office, Retail, Industrial","United States, Europe, Asia","1/11/12"
"101","Fudo Capital Fund 2","CLSA Capital","John Pattar","852-2-600-8888","Opportunity","$815,800,000 ","$815,800,000 ","$450,000,000 ","","","Office","Asia","1/11/12"
"102","Cobalt Industrial Reit 3","Cobalt Capital Partners","Bruce Petersen","210-641-8409","Value Add","$400,000,000 ","$100,500,000 ","$84,000,000 ","12-15","12","Industrial","United States","1/11/12"
"103","Cohen & Steers Global Realty Partners","Cohen & Steers Capital","Stephen Coyle, Stephen Dunn","212-446-9187","Fund of Funds","$250,000,000 ","$100,000,000 ","$0 ","","","Office, Retail","United States, Canada","1/11/12"
"104","Cam Industrial Value Fund 2","Cohen Asset Management","Jason Haas","310-860-0598","Value Add","$300,000,000 ","$0 ","$0 ","12-15","12","Industrial","United States","1/11/12"
"105","Colony Distressed Credit Fund 2","Colony Capital","Kevin Traenkle","310-552-7212","High Yield Debt","$1,000,000,000 ","$935,000,000 ","$300,000,000 ","15","15","Distressed, Mortgages","United States, Europe","1/11/12"
"106","Colony Realty Partners 4","Colony Realty","Scott Freeman","617-235-6363","Core","$500,000,000 ","$0 ","$0 ","10-13","10","Office","United States","1/11/12"
"107","Composition Capital Asia Fund 3","Composition Capital","William Shaw","852-3-101-7681","Value Add","$300,000,000 ","$0 ","$0 ","","","Multifamily","Asia, Japan","1/11/12"
"108","Composition Capital Europe Sustainable Income Fund","Composition Capital","Morag Beers","31-20-570-8186","Core","$332,775,000 ","$0 ","$0 ","10-12","10","Other","Europe","1/11/12"
"109","Congress Fund 2","Congress Group","Dean Stratouly","617-897-7200","Opportunity","$115,000,000 ","$115,000,000 ","$69,000,000 ","","","Mixed Use","Boston","1/11/12"
"110","Connaught Distressed Situation Fund","Connaught Real Estate Finance","Sean Conlon","312-621-3300","High Yield Debt","$150,000,000 ","","","","","Distressed","United States","1/11/12"
"111","Contrarian Distressed Real Estate Debt Fund 2","Contrarian Capital","Brett Rowland","203-862-8239","High Yield Debt","$450,000,000 ","$450,000,000 ","$45,000,000 ","15-17","15","Distressed","United States","1/11/12"
"112","Conundrum Maple Leaf Real Estate","Conundrum Capital","Jason Currie","416-814-4414","Value Add","$200,294,200 ","$200,294,200 ","$39,815,523 ","13-15","13","Multifamily","Canada","1/11/12"
"113","Corestate German Commercial Fund","Corestate Capital","Phillipp Rohweder","44-207-183-7612","Value Add","$199,665,000 ","$199,665,000 ","$149,013,856 ","","","Office","Germany","1/11/12"
"114","Cornerstone Enhanced Mortgage Fund 1","Cornerstone Real Estate","Robert Little","860-509-2400","High Yield Debt","$500,000,000 ","$260,000,000 ","$0 ","11-14","11","Mortgages, Bridge Loans","United States","1/11/12"
"115","Cornerstone Hotel Income & Equity Fund 2","Cornerstone Real Estate","James O'shaughnessy","860-509-2273","Value Add","$446,000,000 ","$446,000,000 ","$260,000,000 ","","","Lodging","United States","1/11/12"
"116","Covenant Apartment Fund 7","Covenant Capital","Rick Scarola","615-250-1617","Opportunity","$300,000,000 ","$65,000,000 ","$0 ","16","16","Multifamily","Southeastern United States","1/11/12"
"117","Crocker Partners 5","Crocker Partners","Angelo Bianco","561-447-1810","Value Add","$400,000,000 ","$60,000,000 ","$0 ","13-16","13","Office","United States","1/11/12"
"118","Crossbeam Apartment Fund 2 - 2012","Crossbeam Capital","Rich Devaney","240-223-0822","Value Add","$300,000,000 ","$50,000,000 ","$20,000,000 ","13-15","13","Multifamily","United States","1/11/12"
"119","Crossharbor Institutional Partners 2","CrossHarbor Capital","Jay Hart","617-624-8327","High Yield Debt","$750,000,000 ","$500,000,000 ","","","","Office","United States","1/11/12"
"120","Crow Holdings Realty Partners 6","Crow Holdings","Bob Mcclain","214-661-8136","Core","$750,000,000 ","$0 ","$0 ","12","12","Office","United States","1/11/12"
"121","Cypress Equities Retail Acquisition Partners","Cypress Equities","Chris Maguire","214-561-8800","Opportunity","$300,000,000 ","$0 ","$0 ","17","17","Retail","United States","1/11/12"
"122","Davis Investment Ventures Value Opportunity Fund 2","Davis Cos.","Jonathan Davis","617-513-1113","High Yield Debt","$350,000,000 ","$0 ","$0 ","15","15","Multifamily, Residential","United States","1/11/12"
"123","De La Rosa/mjw Real Estate Debt Partners","De La Rosa Co., MJW Investments","Anand Kapadia","310-207-1975","High Yield Debt","$300,000,000 ","","","13-16","13","Distressed, Mortgages","Western United States, Seattle","1/11/12"
"124","Divcowest Fund 3","DivcoWest Properties","Stuart Schiff","415-284-5700","Core","$471,000,000 ","$471,000,000 ","$60,000,000 ","10-13","10","Office, Land","United States","1/11/12"
"125","Divcowest Fund 3 Co-investment Vehicle","DivcoWest Properties","Stuart Schiff","415-284-5700","Core","$400,000,000 ","$400,000,000 ","$60,000,000 ","10-13","10","Office","United States","1/11/12"
"126","Dlj Real Estate Capital Partners 4","DLJ Real Estate Capital","William Helm","212-538-4652","Value Add","$1,100,000,000 ","$1,100,000,000 ","$825,000,000 ","","","Office, Industrial","United States, Japan","1/11/12"
"127","Douglas Emmett Fund 10","Douglas Emmett","Jordan Kaplan","310-255-7700","Value Add","$549,300,000 ","$549,300,000 ","$290,000,000 ","12-14","12","Office","United States","1/11/12"
"128","Dra Growth & Income Fund 7","DRA Advisors","David Luski","212-697-4740","Value Add","$1,000,000,000 ","$1,000,000,000 ","$75,000,000 ","13-15","13","Office","United States","1/11/12"
"129","Duet European Real Estate Debt","Duet Private Equity","Alina Gorbacheva","646-747-2435","High Yield Debt","$478,710,000 ","$478,710,000 ","$287,246,165 ","17","17","Mortgages","Europe","1/11/12"
"130","Duet India Hotels","Duet Private Equity","Alina Gorbacheva","646-747-2435","Opportunity","$160,000,000 ","$160,000,000 ","$63,000,000 ","25","25","Lodging","India","1/11/12"
"131","Duet Japan Special Situations Fund","Duet Private Equity","Alina Gorbacheva","646-747-2435","Opportunity","$300,000,000 ","$0 ","$0 ","20","20","Office","Japan","1/11/12"
"132","South Asian Real Estate Limited","Duet Private Equity","Alina Gorbacheva","646-747-2435","Opportunity","$335,097,000 ","$335,097,000 ","$196,279,741 ","25","25","Multifamily","India","1/11/12"
"133","Dune Real Estate Fund 2","Dune Real Estate","Allie Sweeney","212-301-8301","Opportunity","$800,000,000 ","$800,000,000 ","$600,000,000 ","15-17","15","Office","United States","1/11/12"
"134","Dune Real Estate Fund 3","Dune Real Estate","Allie Sweeney","212-301-8301","Opportunity","$800,000,000 ","$0 ","$0 ","15-17","15","Office","United States","1/11/12"
"135","East End Capital Fund","East End Capital","Jonathon Yormak","212-600-2115","Value Add","$50,000,000 ","$0 ","$0 ","12-15","12","Office, Multifamily","Northeastern United States, Boston","1/11/12"
"136","U.S. Government Properties Income & Growth Fund","Easterly Partners","Bill Trimble","202-741-8400","Core","$105,000,000 ","$105,000,000 ","$80,000,000 ","","","Office","United States","1/11/12"
"137","Edelweiss Realty Fund","Edelweiss Capital","Rajiv Mehrotra, Sanjiv Rastogi","212-564-1634","Opportunity","$250,000,000 ","$250,000,000 ","","20+","20+","Office, Retail","India","1/11/12"
"138","Embarcadero Capital Investors 4","Embarcadero Capital","Sam Hooker","650-373-1615","Value Add","$300,000,000 ","$0 ","$0 ","15","15","Office, Multifamily","Western United States, Seattle","1/11/12"
"139","Emerald Creek Capital Fund 1","Emerald Creek Capital","Mark Bahiri","212-239-6861","High Yield Debt","$250,000,000 ","","","11-13","11","Mortgages","United States","1/11/12"
"140","Unnamed Vehicle","EPN Group","Jeffrey Rothbart","312-915-5331","Opportunity","$500,000,000 ","$0 ","$0 ","16+","16+","Retail","United States","1/11/12"
"141","Equibase Real Estate Fund 2","Equibase Capital","Michael Husman","773-489-7600","High Yield Debt","$300,000,000 ","","","","","Mortgages","United States","1/11/12"
"142","Egm Income & Growth Fund 5","Equity Global Management","Shelby Pruett","312-827-2270","Value Add","$125,000,000 ","$0 ","$0 ","15","15","Office","United States","1/11/12"
"143","Ei Fund 5","Equity International","Jonathan Lulu","312-675-7400","Opportunity","$650,000,000 ","$650,000,000 ","$208,000,000 ","16+","16+","Office, Retail","Brazil, Other","1/11/12"
