ID_Position,CIPFamily,CIPFamilyTitle,Variable,Value,Percentage_Position
DB,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,10,0.07751938
DB,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.007751938
DB,42,PSYCHOLOGY.,College Major,1,0.007751938
DB,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.007751938
DB,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,1,0.007751938
DB,45,SOCIAL SCIENCES.,College Major,29,0.224806202
DB,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.007751938
DB,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,2,0.015503876
DB,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,20,0.15503876
DE,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.009433962
DE,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,6,0.056603774
DE,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,3,0.028301887
DE,14,ENGINEERING.,College Major,3,0.028301887
DE,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,4,0.037735849
DE,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,25,0.235849057
DE,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,3,0.028301887
DE,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,3,0.028301887
DE,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,12,0.113207547
DE,42,PSYCHOLOGY.,College Major,4,0.037735849
DE,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,3,0.028301887
DE,45,SOCIAL SCIENCES.,College Major,20,0.188679245
DE,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,2,0.018867925
DE,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,15,0.141509434
DE,54,HISTORY.,College Major,2,0.018867925
DL,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,6,0.068965517
DL,3,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.011494253
DL,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.011494253
DL,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,4,0.045977011
DL,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.011494253
DL,13,EDUCATION.,College Major,3,0.034482759
DL,14,ENGINEERING.,College Major,3,0.034482759
DL,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.011494253
DL,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,1,0.011494253
DL,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,28,0.32183908
DL,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.011494253
DL,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,7,0.08045977
DL,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.011494253
DL,42,PSYCHOLOGY.,College Major,2,0.022988506
DL,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.011494253
DL,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,1,0.011494253
DL,45,SOCIAL SCIENCES.,College Major,16,0.183908046
DL,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.011494253
DL,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,8,0.091954023
DT,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,2,0.022988506
DT,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,8,0.091954023
DT,13,EDUCATION.,College Major,3,0.034482759
DT,14,ENGINEERING.,College Major,2,0.022988506
DT,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,2,0.022988506
DT,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,26,0.298850575
DT,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,9,0.103448276
DT,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.011494253
DT,42,PSYCHOLOGY.,College Major,3,0.034482759
DT,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,3,0.034482759
DT,45,SOCIAL SCIENCES.,College Major,18,0.206896552
DT,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.011494253
DT,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.011494253
DT,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,8,0.091954023
FB,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.020408163
FB,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,3,0.06122449
FB,14,ENGINEERING.,College Major,2,0.040816327
FB,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,College Major,1,0.020408163
FB,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,2,0.040816327
FB,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,6,0.12244898
FB,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,4,0.081632653
FB,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,1,0.020408163
FB,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,6,0.12244898
FB,33,CITIZENSHIP ACTIVITIES.,College Major,1,0.020408163
FB,42,PSYCHOLOGY.,College Major,2,0.040816327
FB,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.020408163
FB,45,SOCIAL SCIENCES.,College Major,12,0.244897959
FB,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,5,0.102040816
FB,54,HISTORY.,College Major,2,0.040816327
FS,4,ARCHITECTURE AND RELATED SERVICES.,College Major,1,0.083333333
FS,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.083333333
FS,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.083333333
FS,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.083333333
FS,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.166666667
FS,45,SOCIAL SCIENCES.,College Major,4,0.333333333
FS,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.083333333
FS,54,HISTORY.,College Major,1,0.083333333
ILB,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.133333333
ILB,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.066666667
ILB,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.133333333
ILB,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,2,0.133333333
ILB,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.133333333
ILB,42,PSYCHOLOGY.,College Major,2,0.133333333
ILB,45,SOCIAL SCIENCES.,College Major,3,0.2
ILB,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.066666667
K,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,4,0.166666667
K,14,ENGINEERING.,College Major,1,0.041666667
K,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.041666667
K,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,5,0.208333333
K,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.041666667
K,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,6,0.25
K,42,PSYCHOLOGY.,College Major,1,0.041666667
K,45,SOCIAL SCIENCES.,College Major,3,0.125
K,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.083333333
LB,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,4,0.018181818
LB,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,4,0.018181818
LB,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,14,0.063636364
LB,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.004545455
LB,13,EDUCATION.,College Major,2,0.009090909
LB,14,ENGINEERING.,College Major,11,0.05
LB,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,College Major,1,0.004545455
LB,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,6,0.027272727
LB,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,2,0.009090909
LB,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,61,0.277272727
LB,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.009090909
LB,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,2,0.009090909
LB,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,27,0.122727273
LB,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.004545455
LB,40,PHYSICAL SCIENCES.,College Major,1,0.004545455
LB,42,PSYCHOLOGY.,College Major,5,0.022727273
LB,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,4,0.018181818
LB,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,2,0.009090909
LB,45,SOCIAL SCIENCES.,College Major,30,0.136363636
LB,50,VISUAL AND PERFORMING ARTS.,College Major,3,0.013636364
LB,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,3,0.013636364
LB,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,33,0.15
LB,54,HISTORY.,College Major,1,0.004545455
LS,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.021276596
LS,3,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.021276596
LS,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,5,0.106382979
LS,14,ENGINEERING.,College Major,5,0.106382979
LS,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.021276596
LS,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,3,0.063829787
LS,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.042553191
LS,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,9,0.191489362
LS,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.021276596
LS,42,PSYCHOLOGY.,College Major,1,0.021276596
LS,45,SOCIAL SCIENCES.,College Major,8,0.170212766
LS,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.021276596
LS,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,8,0.170212766
LS,54,HISTORY.,College Major,1,0.021276596
NT,45,SOCIAL SCIENCES.,College Major,1,0.333333333
NT,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.333333333
NT,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.333333333
OC,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,2,0.1
OC,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.05
OC,14,ENGINEERING.,College Major,1,0.05
OC,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,2,0.1
OC,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.1
OC,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.05
OC,42,PSYCHOLOGY.,College Major,2,0.1
OC,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.05
OC,45,SOCIAL SCIENCES.,College Major,1,0.05
OC,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,7,0.35
OG,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.027777778
OG,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.027777778
OG,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.027777778
OG,13,EDUCATION.,College Major,1,0.027777778
OG,14,ENGINEERING.,College Major,3,0.083333333
OG,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,2,0.055555556
OG,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.027777778
OG,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,2,0.055555556
OG,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,5,0.138888889
OG,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.027777778
OG,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,3,0.083333333
OG,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,1,0.027777778
OG,45,SOCIAL SCIENCES.,College Major,9,0.25
OG,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.027777778
OG,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,4,0.111111111
OL,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,5,0.020833333
OL,3,NATURAL RESOURCES AND CONSERVATION.,College Major,2,0.008333333
OL,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,2,0.008333333
OL,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,16,0.066666667
OL,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,2,0.008333333
OL,13,EDUCATION.,College Major,3,0.0125
OL,14,ENGINEERING.,College Major,16,0.066666667
OL,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,2,0.008333333
OL,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,56,0.233333333
OL,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,7,0.029166667
OL,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,21,0.0875
OL,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.004166667
OL,40,PHYSICAL SCIENCES.,College Major,1,0.004166667
OL,42,PSYCHOLOGY.,College Major,3,0.0125
OL,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,7,0.029166667
OL,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,3,0.0125
OL,45,SOCIAL SCIENCES.,College Major,40,0.166666667
OL,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.004166667
OL,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,45,0.1875
OL,54,HISTORY.,College Major,7,0.029166667
OLB,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.133333333
OLB,14,ENGINEERING.,College Major,1,0.066666667
OLB,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,3,0.2
OLB,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.066666667
OLB,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,2,0.133333333
OLB,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.133333333
OLB,42,PSYCHOLOGY.,College Major,1,0.066666667
OLB,45,SOCIAL SCIENCES.,College Major,2,0.133333333
OLB,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.066666667
OT,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.066666667
OT,13,EDUCATION.,College Major,1,0.033333333
OT,14,ENGINEERING.,College Major,1,0.033333333
OT,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,2,0.066666667
OT,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,5,0.166666667
OT,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.033333333
OT,27,MATHEMATICS AND STATISTICS.,College Major,1,0.033333333
OT,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,3,0.1
OT,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,1,0.033333333
OT,45,SOCIAL SCIENCES.,College Major,2,0.066666667
OT,49,TRANSPORTATION AND MATERIALS MOVING.,College Major,1,0.033333333
OT,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.033333333
OT,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,8,0.266666667
OT,54,HISTORY.,College Major,1,0.033333333
P,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.025641026
P,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.051282051
P,13,EDUCATION.,College Major,1,0.025641026
P,14,ENGINEERING.,College Major,6,0.153846154
P,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,College Major,1,0.025641026
P,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,5,0.128205128
P,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,3,0.076923077
P,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,6,0.153846154
P,42,PSYCHOLOGY.,College Major,1,0.025641026
P,45,SOCIAL SCIENCES.,College Major,5,0.128205128
P,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,7,0.179487179
P,54,HISTORY.,College Major,1,0.025641026
PK,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.025641026
PK,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.025641026
PK,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,5,0.128205128
PK,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.025641026
PK,13,EDUCATION.,College Major,1,0.025641026
PK,14,ENGINEERING.,College Major,4,0.102564103
PK,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,2,0.051282051
PK,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,1,0.025641026
PK,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,2,0.051282051
PK,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,3,0.076923077
PK,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,6,0.153846154
PK,42,PSYCHOLOGY.,College Major,1,0.025641026
PK,45,SOCIAL SCIENCES.,College Major,4,0.102564103
PK,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,7,0.179487179
QB,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.010638298
QB,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,8,0.085106383
QB,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,3,0.031914894
QB,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,1,0.010638298
QB,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,25,0.265957447
QB,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,3,0.031914894
QB,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,3,0.031914894
QB,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,9,0.095744681
QB,40,PHYSICAL SCIENCES.,College Major,2,0.021276596
QB,42,PSYCHOLOGY.,College Major,3,0.031914894
QB,45,SOCIAL SCIENCES.,College Major,9,0.095744681
QB,49,TRANSPORTATION AND MATERIALS MOVING.,College Major,1,0.010638298
QB,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.010638298
QB,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,23,0.244680851
QB,54,HISTORY.,College Major,2,0.021276596
RB,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,2,0.015625
RB,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,3,0.0234375
RB,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,17,0.1328125
RB,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.0078125
RB,13,EDUCATION.,College Major,2,0.015625
RB,14,ENGINEERING.,College Major,2,0.015625
RB,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,4,0.03125
RB,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,24,0.1875
RB,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,4,0.03125
RB,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,1,0.0078125
RB,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,18,0.140625
RB,33,CITIZENSHIP ACTIVITIES.,College Major,2,0.015625
RB,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.0078125
RB,42,PSYCHOLOGY.,College Major,3,0.0234375
RB,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,6,0.046875
RB,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,1,0.0078125
RB,45,SOCIAL SCIENCES.,College Major,16,0.125
RB,50,VISUAL AND PERFORMING ARTS.,College Major,3,0.0234375
RB,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.0078125
RB,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,16,0.125
RB,54,HISTORY.,College Major,1,0.0078125
S,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,2,0.028571429
S,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,4,0.057142857
S,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.014285714
S,13,EDUCATION.,College Major,1,0.014285714
S,14,ENGINEERING.,College Major,6,0.085714286
S,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,3,0.042857143
S,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,14,0.2
S,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,15,0.214285714
S,42,PSYCHOLOGY.,College Major,1,0.014285714
S,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,2,0.028571429
S,45,SOCIAL SCIENCES.,College Major,5,0.071428571
S,50,VISUAL AND PERFORMING ARTS.,College Major,3,0.042857143
S,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.014285714
S,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,12,0.171428571
SS,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.142857143
SS,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.142857143
