Sport,School_ID,Year,Number,Player,First_Name,Last_Name,Position,Height,Weight,Class,Hometown,City,State,High_School,URL,Height_Inches
FBALL,OKSTATE,2008-2009,60,Brady Bond,Brady,Bond,OL,6'6'',290,JR,"Garber, OK ",Garber,OK,Garber HS,http://www.okstate.com/sports/m-footbl/mtt/bond_brady00.html,78
FBALL,OKSTATE,2008-2009,44,Donald Booker,Donald,Booker,LB,6'1'',225,JR,"Houston, TX ",Houston,TX,Klein Forest HS,http://www.okstate.com/sports/m-footbl/mtt/booker_donald00.html,73
FBALL,OKSTATE,2008-2009,7,Bo Bowling,Bo,Bowling,WR,5'9'',190,JR,"Tonkawa, OK ",Tonkawa,OK,Tonkawa HS,http://www.okstate.com/sports/m-footbl/mtt/bowling_bo00.html,69
FBALL,OKSTATE,2008-2009,30,Brian Bowling,Brian,Bowling,TE,6'4'',240,SR,"Tonkawa, OK ",Tonkawa,OK,Tonkawa HS,http://www.okstate.com/sports/m-footbl/mtt/bowling_brian00.html,76
FBALL,OKSTATE,2008-2009,9,Jeremy Broadway,Jeremy,Broadway,WR,6'1'',195,JR,"Houston, TX ",Houston,TX,Washington B T HS,http://www.okstate.com/sports/m-footbl/mtt/broadway_jeremy00.html,73
FBALL,OKSTATE,2008-2009,19,Brodrick Brown,Brodrick,Brown,CB,5'8'',165,FR,"Houston, TX ",Houston,TX,Westfield HS,http://www.okstate.com/sports/m-footbl/mtt/brown_brodrick00.html,68
FBALL,OKSTATE,2008-2009,1,Dez Bryant,Dez,Bryant,WR,6'2'',210,SO,"Lufkin, TX ",Lufkin,TX,Lufkin HS,http://www.okstate.com/sports/m-footbl/mtt/bryant_dez00.html,74
FBALL,OKSTATE,2008-2009,98,Derek Burton,Derek,Burton,DE,6'5'',265,JR,"Muskogee, OK ",Muskogee,OK,Muskogee HS,http://www.okstate.com/sports/m-footbl/mtt/burton_derek00.html,77
FBALL,OKSTATE,2008-2009,81,Eddie Cameron,Eddie,Cameron,WR,5'11'',175,SO,"Pompano Beach, FL ",Pompano Beach,FL,Blanche Ely HS,http://www.okstate.com/sports/m-footbl/mtt/cameron_eddie00.html,71
FBALL,OKSTATE,2008-2009,3,Alex Cate,Alex,Cate,QB,6'1'',190,SO,"Salt Lake City, UT ",Salt Lake City,UT,Cottonwood HS,http://www.okstate.com/sports/m-footbl/mtt/cate_alex00.html,73
FBALL,OKSTATE,2008-2009,96,Jeray Chatham,Jeray,Chatham,DT,6'3'',285,SR,"Houston, TX ",Houston,TX,Westfield HS,http://www.okstate.com/sports/m-footbl/mtt/chatham_jeray00.html,75
FBALL,OKSTATE,2008-2009,62,Mark Chestnut,Mark,Chestnut,OL,6'1'',305,JR,"Miami, OK ",Miami,OK,Miami HS,http://www.okstate.com/sports/m-footbl/mtt/chestnut_mark00.html,73
FBALL,OKSTATE,2008-2009,91,Ugo Chinasa,Ugo,Chinasa,DE,6'6'',255,SO,"Richardson, TX ",Richardson,TX,Berkner HS,http://www.okstate.com/sports/m-footbl/mtt/chinasa_ugo00.html,78
FBALL,OKSTATE,2008-2009,53,Seb Clements,Seb,Clements,LB,6'1'',225,SR,"Sanger, TX ",Sanger,TX,Sanger HS,http://www.okstate.com/sports/m-footbl/mtt/clements_seb00.html,73
FBALL,OKSTATE,2008-2009,33,William Cole,William,Cole,WR,6'1'',180,SO,"Cedar Hill, TX ",Cedar Hill,TX,Cedar Hill HS,http://www.okstate.com/sports/m-footbl/mtt/cole_william00.html,73
FBALL,OKSTATE,2008-2009,80,DeMarcus Conner,DeMarcus,Conner,WR,6'1'',200,JR,"Houston, TX ",Houston,TX,Westfield HS,http://www.okstate.com/sports/m-footbl/mtt/conner_demarcus00.html,73
FBALL,OKSTATE,2008-2009,25,Josh Cooper,Josh,Cooper,WR,5'11'',190,RS FR,"Mustang, OK ",Mustang,OK,Mustang HS,http://www.okstate.com/sports/m-footbl/mtt/cooper_josh00.html,71
FBALL,OKSTATE,2008-2009,16,Perrish Cox,Perrish,Cox,CB,6'1'',185,JR,"Waco, TX ",Waco,TX,University HS,http://www.okstate.com/sports/m-footbl/mtt/cox_perrish00.html,73
FBALL,OKSTATE,2008-2009,18,Zach Crissup,Zach,Crissup,S,5'11'',200,SR,"Helena, OK ",Helena,OK,Timberlake HS,http://www.okstate.com/sports/m-footbl/mtt/crissup_zach00.html,71
FBALL,OKSTATE,2008-2009,85,Damian Davis,Damian,Davis,WR,6'5'',185,SO,"Mart, TX ",Mart,TX,Mart HS,http://www.okstate.com/sports/m-footbl/mtt/davis_damian00.html,77
FBALL,OKSTATE,2008-2009,66,DeJuan Davis,DeJuan,Davis,OL,6'4'',295,FR,"Crowley, TX ",Crowley,TX,Crowley HS,http://www.okstate.com/sports/m-footbl/mtt/davis_dejuan00.html,76
FBALL,OKSTATE,2008-2009,36,Melvin Davis,Melvin,Davis,RB,5'9'',195,JR,"Houston, TX ",Houston,TX,Aldine HS,http://www.okstate.com/sports/m-footbl/mtt/davis_melvin00.html,69
FBALL,OKSTATE,2008-2009,65,Steven Denning,Steven,Denning,OL,6'5'',300,SR,"Southaven, MS ",Southaven,MS,Southaven HS,http://www.okstate.com/sports/m-footbl/mtt/denning_steven00.html,77
FBALL,OKSTATE,2008-2009,95,Chris Donaldson,Chris,Donaldson,DT,6'1'',290,SO,"Anderson, SC ",Anderson,SC,Westside HS,http://www.okstate.com/sports/m-footbl/mtt/donaldson_chris00.html,73
FBALL,OKSTATE,2008-2009,18,Matt Fodge,Matt,Fodge,P,6'1'',195,SR,"Garland, TX ",Garland,TX,Garland HS,http://www.okstate.com/sports/m-footbl/mtt/fodge_matt00.html,73
FBALL,OKSTATE,2008-2009,24,Deron Fontenot,Deron,Fontenot,LB,5'10'',190,RS FR,"Grand Prairie, TX ",Grand Prairie,TX,So Grand Prairie HS,http://www.okstate.com/sports/m-footbl/mtt/fontenot_deron00.html,70
FBALL,OKSTATE,2008-2009,77,Noah Franklin,Noah,Franklin,OL,6'5'',310,JR,"Vinita, OK ",Vinita,OK,Vinita HS,http://www.okstate.com/sports/m-footbl/mtt/franklin_noah00.html,77
FBALL,OKSTATE,2008-2009,74,Grant Garner,Grant,Garner,OL,6'3'',280,SO,"Mesquite, TX ",Mesquite,TX,North Mesquite HS,http://www.okstate.com/sports/m-footbl/mtt/garner_grant00.html,75
FBALL,OKSTATE,2008-2009,42,Justin Gent,Justin,Gent,LB,6'2'',235,SO,"Irving, TX ",Irving,TX,MacArthur HS,http://www.okstate.com/sports/m-footbl/mtt/gent_justin00.html,74
FBALL,OKSTATE,2008-2009,51,Jared Glover,Jared,Glover,LB,6'4'',225,RS FR,"Bixby, OK ",Bixby,OK,Bixby HS,http://www.okstate.com/sports/m-footbl/mtt/glover_jared00.html,76
FBALL,OKSTATE,2008-2009,85,Jeremy Gray,Jeremy,Gray,DE,6'6'',250,FR,"Sherman, TX ",Sherman,TX,Sherman HS,http://www.okstate.com/sports/m-footbl/mtt/gray_jeremy00.html,78
FBALL,OKSTATE,2008-2009,7,Maurice Gray,Maurice,Gray,CB,5'9'',180,JR,"Warner Robins, GA ",Warner Robins,GA,Warner Robins HS,http://www.okstate.com/sports/m-footbl/mtt/gray_maurice00.html,69
FBALL,OKSTATE,2008-2009,56,Patrick Hoog,Patrick,Hoog,OL,6'4'',295,FR,"Castroville, TX ",Castroville,TX,Medina Valley HS,http://www.okstate.com/sports/m-footbl/mtt/hoog_patrick00.html,76
FBALL,OKSTATE,2008-2009,14,Justin Horton,Justin,Horton,TE,6'4'',220,FR,"Henderson, TX ",Henderson,TX,Henderson HS,http://www.okstate.com/sports/m-footbl/mtt/horton_justin00.html,76
FBALL,OKSTATE,2008-2009,24,Kendall Hunter,Kendall,Hunter,RB,5'8'',180,SO,"Tyler, TX ",Tyler,TX,John Tyler HS,http://www.okstate.com/sports/m-footbl/mtt/hunter_kendall00.html,68
FBALL,OKSTATE,2008-2009,46,Shane Jarka,Shane,Jarka,DE,6'4'',275,SO,"Sugar Land, TX ",Sugar Land,TX,Stephen F Austin HS,http://www.okstate.com/sports/m-footbl/mtt/jarka_shane00.html,76
FBALL,OKSTATE,2008-2009,2,Beau Johnson,Beau,Johnson,RB,5'10'',210,JR,"Lawrenceville, GA ",Lawrenceville,GA,Central Gwinnett HS,http://www.okstate.com/sports/m-footbl/mtt/johnson_beau00.html,70
FBALL,OKSTATE,2008-2009,2,Victor Johnson,Victor,Johnson,S,6'1'',175,FR,"Waco, TX ",Waco,TX,Waco HS,http://www.okstate.com/sports/m-footbl/mtt/johnson_victor00.html,73
FBALL,OKSTATE,2008-2009,79,Ahmad Jones,Ahmad,Jones,DT,6'3'',300,RS FR,"Silsbee, TX ",Silsbee,TX,Silsbee HS,http://www.okstate.com/sports/m-footbl/mtt/jones_ahmad00.html,75
FBALL,OKSTATE,2008-2009,99,Richetti Jones,Richetti,Jones,DE,6'4'',250,RS FR,"Dallas, TX ",Dallas,TX,Lincoln HS,http://www.okstate.com/sports/m-footbl/mtt/jones_richetti00.html,76
FBALL,OKSTATE,2008-2009,45,Patrick Kollars,Patrick,Kollars,K,6'1'',200,JR,"Vinita, OK ",Vinita,OK,Vinita HS,http://www.okstate.com/sports/m-footbl/mtt/kollars_patrick00.html,73
FBALL,OKSTATE,2008-2009,64,Casey LaBrue,Casey,LaBrue,OL,6'3'',265,FR,"Enid, OK ",Enid,OK,Enid HS,http://www.okstate.com/sports/m-footbl/mtt/labrue_casey00.html,75
FBALL,OKSTATE,2008-2009,17,Jacob Lacey,Jacob,Lacey,CB,5'11'',175,SR,"Garland, TX ",Garland,TX,Naaman Forest HS,http://www.okstate.com/sports/m-footbl/mtt/lacey_jacob00.html,71
FBALL,OKSTATE,2008-2009,4,Patrick Lavine,Patrick,Lavine,LB,6'3'',220,JR,"Houston, TX ",Houston,TX,Jersey Village HS,http://www.okstate.com/sports/m-footbl/mtt/lavine_patrick00.html,75
FBALL,OKSTATE,2008-2009,52,Andrew Lawrence,Andrew,Lawrence,OL,6'4'',295,JR,"Dallas, GA ",Dallas,GA,Paulding County HS,http://www.okstate.com/sports/m-footbl/mtt/lawrence_andrew00.html,76
FBALL,OKSTATE,2008-2009,41,Orie Lemon,Orie,Lemon,LB,6'1'',225,JR,"Houston, TX ",Houston,TX,Yates HS,http://www.okstate.com/sports/m-footbl/mtt/lemon_orie00.html,73
FBALL,OKSTATE,2008-2009,54,Andrew Lewis,Andrew,Lewis,OL,6'5'',290,JR,"Joplin, MO ",Joplin,MO,Joplin Sr. HS,http://www.okstate.com/sports/m-footbl/mtt/lewis_andrew00.html,77
FBALL,OKSTATE,2008-2009,10,Markelle Martin,Markelle,Martin,CB,6'1'',180,FR,"Wichita Falls, TX ",Wichita Falls,TX,Rider HS,http://www.okstate.com/sports/m-footbl/mtt/martin_markelle00.html,73
FBALL,OKSTATE,2008-2009,75,Nick Martinez,Nick,Martinez,OL,6'4'',310,RS FR,"Floresville, TX ",Floresville,TX,Floresville HS,http://www.okstate.com/sports/m-footbl/mtt/martinez_nick00.html,76
FBALL,OKSTATE,2008-2009,90,Swanson Miller,Swanson,Miller,DT,6'4'',300,JR,"Alachua, FL ",Alachua,FL,Santa Fe HS,http://www.okstate.com/sports/m-footbl/mtt/miller_swanson00.html,76
FBALL,OKSTATE,2008-2009,32,Travis Miller,Travis,Miller,RB,5'11'',185,FR,"Marlin, TX ",Marlin,TX,Marlin HS,http://www.okstate.com/sports/m-footbl/mtt/miller_travis00.html,71
FBALL,OKSTATE,2008-2009,72,Andrew Mitchell,Andrew,Mitchell,OL,6'5'',305,JR,"Choctaw, OK ",Choctaw,OK,Choctaw HS,http://www.okstate.com/sports/m-footbl/mtt/mitchell_andrew00.html,77
FBALL,OKSTATE,2008-2009,59,Tolu Moala,Tolu,Moala,LB,6'1'',230,JR,"Hawthorne, CA ",Hawthorne,CA,Hawthorne HS,http://www.okstate.com/sports/m-footbl/mtt/moala_tolu00.html,73
FBALL,OKSTATE,2008-2009,26,Quinton Moore,Quinton,Moore,S,5'11'',185,SR,"Pearland, TX ",Pearland,TX,Pearland HS,http://www.okstate.com/sports/m-footbl/mtt/moore_quinton00.html,71
FBALL,OKSTATE,2008-2009,89,Jamal Mosley,Jamal,Mosley,TE,6'4'',230,FR,"Memphis, TN ",Memphis,TN,Kingsbury HS,http://www.okstate.com/sports/m-footbl/mtt/mosley_jamal00.html,76
FBALL,OKSTATE,2008-2009,26,Todd Nelson,Todd,Nelson,WR,6'2'',205,SR,"Edmond, OK ",Edmond,OK,North HS,http://www.okstate.com/sports/m-footbl/mtt/nelson_todd00.html,74
FBALL,OKSTATE,2008-2009,89,Nigel Nicholas,Nigel,Nicholas,DE,6'3'',260,FR,"Rossville, GA ",Rossville,GA,Ridgeland HS,http://www.okstate.com/sports/m-footbl/mtt/nicholas_nigel00.html,75
FBALL,OKSTATE,2008-2009,76,Russell Okung,Russell,Okung,OL,6'5'',300,JR,"Richmond, TX ",Richmond,TX,George Bush HS,http://www.okstate.com/sports/m-footbl/mtt/okung_russell00.html,77
FBALL,OKSTATE,2008-2009,94,Quencey Patrick,Quencey,Patrick,DT,6'3'',275,SO,"Columbus, GA ",Columbus,GA,Pacelli HS,http://www.okstate.com/sports/m-footbl/mtt/patrick_quencey00.html,75
FBALL,OKSTATE,2008-2009,71,Trent Perkins,Trent,Perkins,OL,6'5'',300,SO,"Alice, TX ",Alice,TX,Alice HS,http://www.okstate.com/sports/m-footbl/mtt/perkins_trent00.html,77
FBALL,OKSTATE,2008-2009,87,Brandon Pettigrew,Brandon,Pettigrew,TE,6'5'',257,SR,"Tyler, TX ",Tyler,TX,Lee HS,http://www.okstate.com/sports/m-footbl/mtt/pettigrew_brandon00.html,77
FBALL,OKSTATE,2008-2009,97,Jeremiah Price,Jeremiah,Price,DE,6'2'',260,JR,"Collins, MS ",Collins,MS,Collins HS,http://www.okstate.com/sports/m-footbl/mtt/price_jeremiah00.html,74
FBALL,OKSTATE,2008-2009,6,Ricky Price,Ricky,Price,CB,6'1'',190,SR,"Houston, TX ",Houston,TX,Cypress Falls HS,http://www.okstate.com/sports/m-footbl/mtt/price_ricky00.html,73
FBALL,OKSTATE,2008-2009,15,Adrian Richards,Adrian,Richards,WR,6'4'',190,FR,"Mesquite, TX ",Mesquite,TX,Mesquite HS,http://www.okstate.com/sports/m-footbl/mtt/richards_adrian00.html,76
FBALL,OKSTATE,2008-2009,11,Zac Robinson,Zac,Robinson,QB,6'3'',205,JR,"Littleton, CO ",Littleton,CO,Chatfield HS,http://www.okstate.com/sports/m-footbl/mtt/robinson_zac00.html,75
FBALL,OKSTATE,2008-2009,70,Jonathan Rush,Jonathan,Rush,OL,6'5'',300,RS FR,"Killeen, TX ",Killeen,TX,Killeen HS,http://www.okstate.com/sports/m-footbl/mtt/rush_jonathan00.html,77
FBALL,OKSTATE,2008-2009,20,Andre Sexton,Andre,Sexton,LB,6'1'',210,JR,"Houston, TX ",Houston,TX,Cypress Falls HS,http://www.okstate.com/sports/m-footbl/mtt/sexton_andre00.html,73
FBALL,OKSTATE,2008-2009,13,Quinn Sharp,Quinn,Sharp,K,6'1'',185,FR,"Arlington, TX ",Arlington,TX,Mansfield Summit HS,http://www.okstate.com/sports/m-footbl/mtt/sharp_quinn00.html,73
FBALL,OKSTATE,2008-2009,27,Taylor Sokolosky,Taylor,Sokolosky,RB,5'9'',200,SO,"Tulsa, OK ",Tulsa,OK,Cascia Hall Preparatory School,http://www.okstate.com/sports/m-footbl/mtt/sokolosky_taylor00.html,69
FBALL,OKSTATE,2008-2009,29,Kye Staley,Kye,Staley,RB,6'1'',215,FR,"Guthrie, OK ",Guthrie,OK,Guthrie HS,http://www.okstate.com/sports/m-footbl/mtt/staley_kye00.html,73
FBALL,OKSTATE,2008-2009,17,Brayden Stringer,Brayden,Stringer,QB,6'4'',210,FR,"Lawton, OK ",Lawton,OK,Eisenhower HS,http://www.okstate.com/sports/m-footbl/mtt/stringer_brayden00.html,76
FBALL,OKSTATE,2008-2009,68,Lane Taylor,Lane,Taylor,OL,6'2'',300,FR,"Arlington, TX ",Arlington,TX,Martin HS,http://www.okstate.com/sports/m-footbl/mtt/taylor_lane00.html,74
FBALL,OKSTATE,2008-2009,92,Tonga Tea,Tonga,Tea,DT,6'1'',300,SR,"Anchorage, AK ",Anchorage,AK,Benny Benson/Search,http://www.okstate.com/sports/m-footbl/mtt/tea_tonga00.html,73
FBALL,OKSTATE,2008-2009,22,James Thomas,James,Thomas,CB,6'1'',180,RS FR,"La Marque, TX ",La Marque,TX,La Marque HS,http://www.okstate.com/sports/m-footbl/mtt/thomas_james00.html,73
FBALL,OKSTATE,2008-2009,12,Johnny Thomas,Johnny,Thomas,S,6'1'',175,FR,"Texas City, TX ",Texas City,TX,Texas City HS,http://www.okstate.com/sports/m-footbl/mtt/thomas_johnny00.html,73
FBALL,OKSTATE,2008-2009,48,John Toben,John,Toben,FB,6'1'',235,SO,"Waco, TX ",Waco,TX,Waco HS,http://www.okstate.com/sports/m-footbl/mtt/toben_john00.html,73
FBALL,OKSTATE,2008-2009,5,Keith Toston,Keith,Toston,RB,6'1'',210,JR,"Angleton, TX ",Angleton,TX,Angleton HS,http://www.okstate.com/sports/m-footbl/mtt/toston_keith00.html,73
FBALL,OKSTATE,2008-2009,37,Bryant Ward,Bryant,Ward,FB,5'11'',215,SO,"Stillwater, OK ",Stillwater,OK,Stillwater HS,http://www.okstate.com/sports/m-footbl/mtt/ward_bryant00.html,71
FBALL,OKSTATE,2008-2009,63,David Washington,David,Washington,OL,6'3'',305,SR,"Guthrie, OK ",Guthrie,OK,Guthrie HS,http://www.okstate.com/sports/m-footbl/mtt/washington_david00.html,75
FBALL,OKSTATE,2008-2009,4,Brandon Weeden,Brandon,Weeden,QB,6'4'',220,RS FR,"Edmond, OK ",Edmond,OK,Santa Fe HS,http://www.okstate.com/sports/m-footbl/mtt/weeden_brandon00.html,76
FBALL,OKSTATE,2008-2009,83,Artrell Woods,Artrell,Woods,WR,6'1'',185,RS SO,"Bryan, TX ",Bryan,TX,Bryan HS,http://www.okstate.com/sports/m-footbl/mtt/woods_artrell00.html,73
FBALL,OKSTATE,2008-2009,69,Marc Yerry,Marc,Yerry,LS,6'4'',200,RS FR,"Matthews, NC ",Matthews,NC,Weddington HS,http://www.okstate.com/sports/m-footbl/mtt/yerry_marc00.html,76
FBALL,OKSTATE,2008-2009,86,Wilson Youman,Wilson,Youman,TE,6'4'',245,RS FR,"Saint Martinville, LA ",Saint Martinville,LA,St. Martinville Senior HS,http://www.okstate.com/sports/m-footbl/mtt/youman_wilson00.html,76
FBALL,OKSTATE,2007-2008,50,Kenny Alexander,Kenny,Alexander,LB,6'1'',215,FR,"McKinney, TX ",McKinney,TX,McKinney North HS,http://www.okstate.com/sports/m-footbl/mtt/alexander_kenny00.html,73
FBALL,OKSTATE,2007-2008,55,Zach Allen,Zach,Allen,LS,6'1'',260,JR,"Edmond, OK ",Edmond,OK,Memorial HS,http://www.okstate.com/sports/m-footbl/mtt/allen_zach00.html,73
FBALL,OKSTATE,2007-2008,23,Terrance Anderson,Terrance,Anderson,WR,6'1'',180,SO,"Houston, TX ",Houston,TX,Aldine HS,http://www.okstate.com/sports/m-footbl/mtt/anderson_terrance00.html,73
FBALL,OKSTATE,2007-2008,84,Hubert Anyiam,Hubert,Anyiam,WR,6'1'',175,FR,"Garland, TX ",Garland,TX,N Garland HS,http://www.okstate.com/sports/m-footbl/mtt/anyiam_hubert00.html,73
FBALL,OKSTATE,2007-2008,95,Dan Bailey,Dan,Bailey,K,6'1'',205,RS FR,"Yukon, OK ",Yukon,OK,Southwest Covenant,http://www.okstate.com/sports/m-footbl/mtt/bailey_dan00.html,73
FBALL,OKSTATE,2007-2008,11,T.J. Bell,T.J.,Bell,CB,6'1'',185,JR,"Desoto, TX ",Desoto,TX,De Soto HS,http://www.okstate.com/sports/m-footbl/mtt/bell_tj00.html,73
FBALL,OKSTATE,2007-2008,39,Robert Benge,Robert,Benge,P,5'9'',190,SO,"Lewisville, TX ",Lewisville,TX,Hebron HS,http://www.okstate.com/sports/m-footbl/mtt/benge_robert00.html,69
FBALL,OKSTATE,2007-2008,72,Jamie Blatnick,Jamie,Blatnick,DE,6'3'',250,FR,"Celina, TX ",Celina,TX,Celina HS,http://www.okstate.com/sports/m-footbl/mtt/blatnick_jamie00.html,75
FBALL,OKSTATE,2007-2008,60,Brady Bond,Brady,Bond,OL,6'6'',290,SO,"Garber, OK ",Garber,OK,Garber HS,http://www.okstate.com/sports/m-footbl/mtt/bond_brady00.html,78
FBALL,OKSTATE,2007-2008,78,Michael Booker,Michael,Booker,OL,6'3'',310,RS FR,"Paris, TX ",Paris,TX,North Lamar HS,http://www.okstate.com/sports/m-footbl/mtt/booker_michael00.html,75
FBALL,OKSTATE,2007-2008,12,Adarius Bowman,Adarius,Bowman,WR,6'3'',220,SR,"Chattanooga, TN ",Chattanooga,TN,Notre Dame HS,http://www.okstate.com/sports/m-footbl/mtt/bowman_adarius00.html,75
FBALL,OKSTATE,2007-2008,9,Jeremy Broadway,Jeremy,Broadway,WR,6'1'',195,RS SO,"Houston, TX ",Houston,TX,Washington B T HS,http://www.okstate.com/sports/m-footbl/mtt/broadway_jeremy00.html,73
FBALL,OKSTATE,2007-2008,81,Scott Broughton,Scott,Broughton,WR,6'1'',200,SR,"Hanahan, SC ",Hanahan,SC,Hanahan HS,http://www.okstate.com/sports/m-footbl/mtt/broughton_scott00.html,73
FBALL,OKSTATE,2007-2008,35,Marcus Brown,Marcus,Brown,LB,6'2'',240,JR,"Hephzibah, GA ",Hephzibah,GA,Hephzibah HS,http://www.okstate.com/sports/m-footbl/mtt/brown_marcus00.html,74
FBALL,OKSTATE,2007-2008,8,Dez Bryant,Dez,Bryant,WR,6'2'',210,FR,"Lufkin, TX ",Lufkin,TX,Lufkin HS,http://www.okstate.com/sports/m-footbl/mtt/bryant_dez00.html,74
FBALL,OKSTATE,2007-2008,98,Derek Burton,Derek,Burton,DE,6'5'',265,SO,"Muskogee, OK ",Muskogee,OK,Muskogee HS,http://www.okstate.com/sports/m-footbl/mtt/burton_derek00.html,77
FBALL,OKSTATE,2007-2008,47,Jeremiah Burton,Jeremiah,Burton,LB,6'1'',250,JR,"Enid, OK ",Enid,OK,Enid HS,http://www.okstate.com/sports/m-footbl/mtt/burton_jeremiah00.html,73
FBALL,OKSTATE,2007-2008,48,Zach Carter,Zach,Carter,RB,6'1'',225,SR,"Kennesaw, GA ",Kennesaw,GA,Harrison HS,http://www.okstate.com/sports/m-footbl/mtt/carter_zach00.html,73
FBALL,OKSTATE,2007-2008,3,Alex Cate,Alex,Cate,QB,6'1'',190,RS FR,"Salt Lake City, UT ",Salt Lake City,UT,Cottonwood HS,http://www.okstate.com/sports/m-footbl/mtt/cate_alex00.html,73
FBALL,OKSTATE,2007-2008,96,Jeray Chatham,Jeray,Chatham,DL,6'3'',280,JR,"Houston, TX ",Houston,TX,Westfield HS,http://www.okstate.com/sports/m-footbl/mtt/chatham_jeray00.html,75
FBALL,OKSTATE,2007-2008,91,Ugo Chinasa,Ugo,Chinasa,DE,6'6'',245,RS FR,"Richardson, TX ",Richardson,TX,Berkner HS,http://www.okstate.com/sports/m-footbl/mtt/chinasa_ugo00.html,78
FBALL,OKSTATE,2007-2008,53,Seb Clements,Seb,Clements,LB,6'1'',225,JR,"Sanger, TX ",Sanger,TX,Sanger HS,http://www.okstate.com/sports/m-footbl/mtt/clements_seb00.html,73
FBALL,OKSTATE,2007-2008,25,Clint Coe,Clint,Coe,SS,6'2'',195,SR,"Edmond, OK ",Edmond,OK,Deer Creek HS,http://www.okstate.com/sports/m-footbl/mtt/coe_clint00.html,74
FBALL,OKSTATE,2007-2008,3,William Cole,William,Cole,DB,6'1'',175,FR,"Cedar Hill, TX ",Cedar Hill,TX,Cedar Hill HS,http://www.okstate.com/sports/m-footbl/mtt/cole_william00.html,73
FBALL,OKSTATE,2007-2008,44,Chris Collins,Chris,Collins,LB,6'2'',240,SO,"Texarkana, TX ",Texarkana,TX,Texas HS,http://www.okstate.com/sports/m-footbl/mtt/collins_chris00.html,74
FBALL,OKSTATE,2007-2008,80,DeMarcus Conner,DeMarcus,Conner,WR,6'1'',200,SO,"Houston, TX ",Houston,TX,Westfield HS,http://www.okstate.com/sports/m-footbl/mtt/conner_demarcus00.html,73
