Year,Franchise,Valuation,Investment,Perentage,Buyer,Notes
1952,New York Yankees,0.1000,0.10,,NFL,Franchise forfeit; payment for player contracts
1952,New York Yankees,0.3000,0.30,,Giles and Connell Miller/Syndicate,Renamed Dallas Texans; goes broke and NFL runs it to end of '52 season then cancels franchise
1953,Cleveland Browns,0.6000,0.60,,David Jones and 3 others,
1954,Chicago Bears,0.0400,0.04,,George Halas,"Buys out a partner who put up $5,000 of $40,000 in 1931 (about 1/8 x 50% would be about 6.25%)."
1960,Dallas Cowboys,0.6667,0.60,0.90,Clint Murchison and Beford Wynne,Murchison 90%
1960,Minnesota Vikings,0.6000,0.60,,"MN Vikings, Inc.","Expansion fee; North West Pubg., 30%, three others with 20% each."
1960,Washington Redskins,1.4000,0.35,0.25,Jack Kent Cooke,0.25
1961,Cleveland Browns,7.8500,3.93,0.50,Art Modell and RJ Schaefer/Syndicate,"Modell and Schaefer, 25% ea."
1964,Detroit Lions,5.0000,5.00,,Clay Ford,
1965,Cleveland Browns,3.0000,1.50,0.50,Art Modell,25% (to 50%)
1962,L.A. Rams,13.9216,7.10,0.51,Dan Reeves,0.51
1963,Philadelphia Eagles,10.7941,5.51,0.51,Jerry Wolman & Snider Bros.,Wolman 51%.
1963,Detroit Lions,6.0000,6.00,,W.Clay Ford/Syndicate,1964 Ford buys out partners at implicit price of $6.5 million.
1964,Baltimore Colts,1.0000,1.00,1.00,Carroll Rosenbloom,31% (to 100%)
1965,Atlanta Falcons,8.5000,8.50,,Rankin Smith,Expansion fee
1966,New Orleans Saints,8.0000,8.00,,"John Mecom, Jr.",Expansion fee
1969,Philadelphia Eagles,32.3100,16.16,0.50,Leonard Tose/Syndicate,Tose 50%
1972,L.A. Rams,19.0000,19.00,,Georgia Frontierre,
1972,St. Louis Cardinals,7.2222,6.50,0.90,Bill Bidwell,45% (to 90%)
1972,Baltimore Colts,23.0000,23.00,,Bob Irsay,"After buying Rams for $19 mil, trades Rams + $4 mil. for Colts."
1972,Washington Redskins,12.5000,3.00,0.24,"Pro Football, Inc.","Redskins corp. shell; 260/1070 shares, about 24%."
1974,Seattle Seahawks,16.0000,16.00,,Nordstrom Family/Syndicate,Expansion fee
1974,Tampa Bay Buccaneers,16.0000,16.00,,Hugh Culverhouse/Syndicate,Expansion fee
1974,Washington Redskins,26.0000,5.72,0.22,"Pro Football, Inc.","Redskins corp. shell; 260 more shares, another 22%."
1975,New England Patriots,30.4348,7.00,0.23,Billy Sullivan,28+% (to 51+%)
1976,New England Patriots,1.5000,1.50,,Billy Sullivan,Public nonvoting shares.
1977,Minesota Vikings,10.0000,3.00,0.30,"MN Vikings, Inc.",30%; stock cancelled after purchase raises three remaining shareholders to 33% each.
1977,San Francisco 49ers,22.7500,18.20,0.80,"Edward Debartolo, Jr.",0.8
1978,Philadelphia Eagles,10.3448,3.00,0.29,Leonard Tose,29% (to 79%)
1979,Philadelphia Eagles,16.6667,1.00,0.06,Leonard Tose,6% (to 85%)
1981,Denver Broncos,30.0000,30.00,,Edgar Kaiser,
1982,San Diego Chargers,40.0000,4.00,0.10,Alex Spanos,"10%, plus right of first refusal on co-owner Gene Klein"
1984,Dallas Cowboys,86.0000,60.00,,HR Bright/Synidcate,Plus $26 mil for lease on Texas Stadium; Bright 17%
1984,Denver Broncos,70.5000,70.50,,Pat Bowlen/Syndicate,Forbes 04 says $78 million.
1984,San Diego Chargers,79.3651,50.00,0.63,Alex Spanos,63% (to 73%)
1985,Philadelphia Eagles,70.0000,70.00,,Norman Braman,
1985,New Orleans Saints,70.2000,70.20,,Tom Benson,incl. $15 mil. loan guarantee from state of LA.
1985,Minnesota Vikings,54.3478,25.00,0.46,Carl Pohald/Irwin Jacobs,33% voting interest/46% equity interest
1988,New England Patriots,166.6667,85.00,0.51,Victor Kiam & Fran Murray,Kiam 51%; price includes $20 mil deferred costs; stadium handled separately
1988,Seattle Seahawks,71.4286,35.00,0.49,Nordstrom Family,49% (to 100%)
1988,Dallas Cowboys,269.2453,95.00,0.53,Jerry Jones/Syndicate,"excl. $30 mil in deferred liab.; plus $45 mil Texas Stadium lease; Jones 53%.  Forbes 04 says 1989, $150 million."
1988,Seattle Seahawks,106.6667,80.00,0.75,Ken Behring & Ken Hoffman,Behring 75%; incl. $17 mil deferred costs
1991,New York Giants,150.0000,75.00,0.50,Robert Tisch,50%.  Forbes 04 says $150 million.
1991,Minnesota Vikings,101.9608,52.00,0.51,Mike Lynn/Syndicate,0.51
1993,Carolina Panthers,140.0000,140.00,,Jerry Richardson/Group,Expansion fee.  Forbes 04 says $206 million.
1993,Jacksonville Jaguars,140.0000,140.00,,Wayne Weaver,Expansion fee.  Forbes 04 says $208 million.
1994,Miami Dolphins,143.2353,109.00,0.85,Wayne Huizenga,"85% (to 100%), 50% ProPlayer Stad. (to 100%), plus $15 mil assumed debts.  Forbes04 says 1993, $138 million."
1994,Philadelphia Eagles,193.0000,185.00,,Jeff Lurie,plus $8 mil assumed liabilities
1994,New England Patriots,158.0000,158.00,,Robert Kraft,
1995,Tampa Bay Buccaneers,192.0000,192.00,,Malcolm Glazer,
1995,St. Louis Rams,200.0000,60.00,0.30,Stan Kroenke,30%; option on another 10%.  Forbes 04 says $200 million.
1997,Baltimore Ravens,355.5556,32.00,0.09,Art Modell,9% (to full 43%)
1997,Seattle Seahawks......,200.0000,200.00,,Paul Allen,Forbes 04 says $194 million.
1998,Minnesota Vikings,254.5833,206.00,0.96,Billy Joe McCombs,"96%, plus $40 mil assumed debts"
1998,Cleveland Browns,476.0000,476.00,,Al Lerner & Carmen Policy,Expansion fee.  Forbes 04 says $530 million.
1999,Baltimore Ravens,561.2245,275.00,0.49,Stephen Bisciotti,49%; right to buy balance in 2004 for $325 mil.  Forbes 04 says 2000 and just lists the $600 million total.
1998,St. Louis Rams,200.0000,20.00,0.10,Stan Kroenke,10% (to 40%)
1999,Washington Redskins,800.0000,800.00,,Daniel Snyder/Group,"incl FedEx Field, practice facility, and $495 mil debt.  Forbes 2004 says $750 million."
1999,Houston Texans,700.0000,700.00,,Bob McNair,Expansion fee
2000,New York Jets,635.0000,635.00,,Robert Wood Johnson IV,
2001,Atlanta Falcons,545.0000,545.00,,Arthur Blank,
2002,Atlanta Falcons,540.0000,27.00,0.05,"Joe Gibbs, John Imlay, Jr., & John A. Williams",0.05
2003,Washington Redskins,"1,000.0000",200.00,0.20,Fred W. Smith/Dwight C. Schar/Robert Rothman,0.2
2004,Baltimore Ravens,637.2549,325.00,0.51,Stephen Bisciotti,Remaining 51% after original 49% purchase in 1999.
2005,Minnesota Vikings,600.0000,600.00,,Zygmunt Wilf Group,"Wilf lead investor; brother Mark, cousin Leonard, Reggie Fowler, Alan Landis and David Mandelbaum limited partners."
2008,Miami Dolphins,550.0000,550.00,,Stephen M. Ross,"Half of each of the team, land, and Dolphins stadium, less any debt.  Announced February 24.  Pending."
2009,Pittsburgh Steelers,250.0000,250.00,,Dan Rooney and son Art Rooney II,"Closing in March 2009.  Borrowed and bought out shares of remining four younger sons; three new partners also joined (Paul family, James Haslam, and Thomas Tull) so how much of the borrowing went to buyout isn't known.  The four younger sons each had 16% of the team, and so did Dan.  Two will sell their full 16% and the other two will sell part of their holdings.  So it looks like the buyout is for at least another 32% and up to 64%, plus the 16% already held by Dan Rooney; McGinley family owns the remaining 20%.  Sale price set at $840 million a month earlier by bid by Stanley Druckenmiller, so 16% should be $128 million.  Another story says Dan Rooney will hold 20%, Art Rooney II will hold 10%, two other brothers will remain minority holders.  This sounds like the other 32% must have gone to the three new partners.  But the 30% is a plurality and must stay that way."
2009,Miami Dolphins,"1,100.0000",550.00,0.50,Stephen M. Ross,45% more of the team only takes ownership to 95%.  Calculated from $1.1 billion claim on Ross's total deal (see 2008).
2011,Jacksonville Jaguars,710.0000,710.00,,Shahid Khan,
2012,Cleveland Browns,"1,000.0000",700.00,0.70,Jimmy Haslam,
