"","Stated_Major","CIP_ID","Position","freq"
"61","General Business","BUSINESS.MANAGEMENT.MARKETING","DL",1
"63","General Business","BUSINESS.MANAGEMENT.MARKETING","FB",1
"64","General Business","BUSINESS.MANAGEMENT.MARKETING","K",1
"68","General Business","BUSINESS.MANAGEMENT.MARKETING","RB",1
"72","Geology","PHYSICAL.SCI","OL",1
"73","Geology","PHYSICAL.SCI","S",1
"76","Health Promotion","HEALTH.PROFESSION","RB",1
"77","Health Promotion","HEALTH.PROFESSION","WR",1
"78","Hotel Management","BUSINESS.MANAGEMENT.MARKETING","K",1
"79","Hotel Management","BUSINESS.MANAGEMENT.MARKETING","LS",1
"80","International Business","BUSINESS.MANAGEMENT.MARKETING","LB",1
"81","Journalism","COMM.JOURN","QB",1
"84","Marketing","BUSINESS.MANAGEMENT.MARKETING","K",1
"85","Marketing","BUSINESS.MANAGEMENT.MARKETING","LB",1
"87","Marketing","BUSINESS.MANAGEMENT.MARKETING","S",1
"89","Marketing","BUSINESS.MANAGEMENT.MARKETING","WR",1
"90","Microbiology","BIO","FB",1
"93","Physical Education","EDUCATION","OL",1
"95","Political Science","SOCIAL.SCIENCE","FB",1
"96","Political Science","SOCIAL.SCIENCE","K",1
"97","Political Science","SOCIAL.SCIENCE","OL",1
"98","Political Science","SOCIAL.SCIENCE","S",1
"99","Pre-Medicine","HEALTH.PROFESSION","DE",1
"100","Pre-Medicine","HEALTH.PROFESSION","DT",1
"101","Psychology","PYSCH","CB",1
"102","Psychology","PYSCH","DT",1
"103","Psychology","PYSCH","S",1
"104","Secondary Education","EDUCATION","DL",1
"105","Secondary Education","EDUCATION","DT",1
"106","Secondary Education","EDUCATION","WR",1
"107","Social Studies","EDUCATION","DT",1
"108","Sociology","SOCIAL.SCIENCE","C",1
"109","Sociology","SOCIAL.SCIENCE","DB",1
"111","Sociology","SOCIAL.SCIENCE","FB",1
"115","Sociology","SOCIAL.SCIENCE","S",1
"116","Sociology","SOCIAL.SCIENCE","TE",1
"117","Sociology","SOCIAL.SCIENCE","WR",1
"119","Sports Management","PARKS.REC","DE",1
"120","Sports Management","PARKS.REC","FB",1
"122","Sports Management","PARKS.REC","QB",1
"123","Sports Management","PARKS.REC","RB",1
"124","Sports Management","PARKS.REC","TE",1
