Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.NON,T.NON.M,T.NON.F
1984-1985,100858,Auburn University,Bachelor's degree,Mathematics,27',31,19,12,29,18,11,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1984-1985,100858,Auburn University,Bachelor's degree,Renewable Natural Resources,3',40,36,4,40,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Parks and Recreation,31',11,3,8,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Visual and Performing Arts,50',99,43,56,96,42,54,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Engineering and Engineering Related Technologies,15',245,204,41,148,123,25,10,8,2,10,9,1,33,27,6,13,12,1,5,3,2
1984-1985,122755,San Jose State University,Bachelor's degree,Allied Health,17',83,5,78,50,2,48,1,1,0,1,0,1,14,1,13,2,0,2,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Letters,23',71,32,39,50,25,25,1,0,1,4,2,2,2,1,1,5,0,5,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Computer and Information Sciences,11',72,44,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Home Economics,19',10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Liberal/General Studies,24',9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Multi/Interdisciplinary Studies,30',27,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Visual and Performing Arts,50',111,35,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,131496,Georgetown University,Bachelor's degree,Health Sciences,18',112,3,109,104,3,101,5,0,5,0,0,0,2,0,2,0,0,0,1,0,1
1984-1985,131496,Georgetown University,Bachelor's degree,Philosophy and Religion,38',24,19,5,23,19,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1984-1985,131496,Georgetown University,Bachelor's degree,Physical Sciences,40',34,28,6,25,21,4,2,1,1,2,2,0,2,1,1,0,0,0,3,3,0
1984-1985,131496,Georgetown University,Bachelor's degree,Area and Ethnic Studies,5',12,5,7,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,131496,Georgetown University,Bachelor's degree,Business and Management,6',253,154,99,185,122,63,34,10,24,12,7,5,3,1,2,0,0,0,19,14,5
1984-1985,134097,Florida State University,Bachelor's degree,Education,13',344,60,284,327,59,268,7,0,7,7,0,7,1,0,1,1,1,0,1,0,1
1984-1985,134097,Florida State University,Bachelor's degree,Health Sciences,18',168,5,163,149,5,144,8,0,8,6,0,6,2,0,2,0,0,0,3,0,3
1984-1985,134097,Florida State University,Bachelor's degree,Home Economics,19',213,12,201,190,10,180,19,2,17,2,0,2,0,0,0,0,0,0,2,0,2
1984-1985,134097,Florida State University,Bachelor's degree,Life Sciences,26',87,56,31,74,50,24,5,2,3,3,3,0,3,1,2,0,0,0,1,0,1
1984-1985,134097,Florida State University,Bachelor's degree,Mathematics,27',53,34,19,42,28,14,7,4,3,0,0,0,0,0,0,0,0,0,4,2,2
1984-1985,134097,Florida State University,Bachelor's degree,Protective Services,43',223,153,70,190,136,54,27,12,15,4,3,1,1,1,0,0,0,0,0,0,0
1984-1985,134130,University of Florida,Bachelor's degree,Education,13',528,121,407,482,106,376,23,7,16,18,6,12,1,0,1,0,0,0,3,2,1
1984-1985,134130,University of Florida,Bachelor's degree,Foreign Languages,16',20,5,15,17,5,12,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
1984-1985,134130,University of Florida,Bachelor's degree,Health Sciences,18',351,57,294,312,49,263,8,1,7,17,4,13,8,2,6,1,0,1,4,1,3
1984-1985,134130,University of Florida,Bachelor's degree,Renewable Natural Resources,3',35,23,12,34,22,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1984-1985,134130,University of Florida,Bachelor's degree,Architecture and Environmental Design,4',130,90,40,106,75,31,2,1,1,15,9,6,1,1,0,0,0,0,6,4,2
1984-1985,134130,University of Florida,Bachelor's degree,Social Sciences,45',427,279,148,375,245,130,20,12,8,22,16,6,1,1,0,1,0,1,7,4,3
1984-1985,135726,University of Miami,Bachelor's degree,Letters,23',35,8,27,26,7,19,0,0,0,7,1,6,0,0,0,0,0,0,2,0,2
1984-1985,135726,University of Miami,Bachelor's degree,Mathematics,27',13,4,9,5,2,3,0,0,0,4,1,3,1,0,1,0,0,0,3,1,2
1984-1985,135726,University of Miami,Bachelor's degree,Multi/Interdisciplinary Studies,30',3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,135726,University of Miami,Bachelor's degree,Parks and Recreation,31',3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,135726,University of Miami,Bachelor's degree,Architecture and Environmental Design,4',53,33,20,22,16,6,0,0,0,25,14,11,0,0,0,0,0,0,6,3,3
1984-1985,135726,University of Miami,Bachelor's degree,Area and Ethnic Studies,5',3,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
1984-1985,135726,University of Miami,Bachelor's degree,Business and Management,6',396,232,164,221,133,88,13,5,8,91,49,42,3,3,0,1,1,0,67,41,26
1984-1985,139959,University of Georgia,Bachelor's degree,Communications Technologies,10',116,52,64,108,52,56,5,0,5,1,0,1,2,0,2,0,0,0,0,0,0
1984-1985,139959,University of Georgia,Bachelor's degree,Computer and Information Sciences,11',148,94,54,131,84,47,7,2,5,1,0,1,3,2,1,0,0,0,6,6,0
1984-1985,139959,University of Georgia,Bachelor's degree,Education,13',538,149,389,508,142,366,22,5,17,2,1,1,1,1,0,1,0,1,4,0,4
1984-1985,123961,University of Southern California,Bachelor's degree,Physical Sciences,40',29,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Communications,9',266,80,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,131496,Georgetown University,Bachelor's degree,Letters,23',119,43,76,105,37,68,7,0,7,3,2,1,3,3,0,0,0,0,1,1,0
1984-1985,131496,Georgetown University,Bachelor's degree,Liberal/General Studies,24',3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,131496,Georgetown University,Bachelor's degree,Mathematics,27',6,2,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,131496,Georgetown University,Bachelor's degree,Multi/Interdisciplinary Studies,30',5,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,131496,Georgetown University,Bachelor's degree,Theology,39',11,5,6,9,5,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1984-1985,131496,Georgetown University,Bachelor's degree,Psychology,42',51,13,38,39,11,28,4,2,2,5,0,5,2,0,2,0,0,0,1,0,1
1984-1985,131496,Georgetown University,Bachelor's degree,Social Sciences,45',592,355,237,486,295,191,31,13,18,36,23,13,11,6,5,1,0,1,27,18,9
1984-1985,134097,Florida State University,Bachelor's degree,Computer and Information Sciences,11',103,51,52,90,46,44,7,3,4,0,0,0,2,0,2,0,0,0,4,2,2
1984-1985,134097,Florida State University,Bachelor's degree,Library and Archival Sciences,25',5,1,4,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,134097,Florida State University,Bachelor's degree,Parks and Recreation,31',54,12,42,52,12,40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,134097,Florida State University,Bachelor's degree,Philosophy and Religion,38',17,11,6,16,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,134097,Florida State University,Bachelor's degree,Area and Ethnic Studies,5',7,2,5,5,2,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1984-1985,134097,Florida State University,Bachelor's degree,Visual and Performing Arts,50',170,77,93,156,68,88,10,6,4,2,2,0,1,0,1,0,0,0,0,0,0
1984-1985,134130,University of Florida,Bachelor's degree,Computer and Information Sciences,11',309,193,116,257,161,96,8,5,3,19,13,6,14,7,7,0,0,0,11,7,4
1984-1985,134130,University of Florida,Bachelor's degree,Engineering,14',653,566,87,523,459,64,10,5,5,45,34,11,21,18,3,0,0,0,53,49,4
1984-1985,134130,University of Florida,Bachelor's degree,Multi/Interdisciplinary Studies,30',25,13,12,24,13,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1984-1985,134130,University of Florida,Bachelor's degree,Physical Sciences,40',100,71,29,87,65,22,3,2,1,5,1,4,2,1,1,0,0,0,2,2,0
1984-1985,134130,University of Florida,Bachelor's degree,Area and Ethnic Studies,5',4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,134130,University of Florida,Bachelor's degree,Business and Management,6',1043,595,448,931,535,396,21,11,10,56,31,25,12,5,7,1,0,1,22,13,9
1984-1985,135726,University of Miami,Bachelor's degree,Communications Technologies,10',14,10,4,10,8,2,1,0,1,1,1,0,0,0,0,0,0,0,2,1,1
1984-1985,135726,University of Miami,Bachelor's degree,Computer and Information Sciences,11',92,43,49,35,21,14,5,2,3,29,10,19,2,2,0,0,0,0,21,8,13
1984-1985,135726,University of Miami,Bachelor's degree,Engineering,14',237,203,34,59,45,14,5,3,2,68,56,12,2,2,0,1,1,0,102,96,6
1984-1985,135726,University of Miami,Bachelor's degree,Allied Health,17',44,13,31,31,12,19,3,1,2,7,0,7,0,0,0,0,0,0,3,0,3
1984-1985,123961,University of Southern California,Bachelor's degree,Mathematics,27',3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Architecture and Environmental Design,4',38,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Area and Ethnic Studies,5',12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Business and Management,6',961,596,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,131496,Georgetown University,Bachelor's degree,Foreign Languages,16',137,35,102,120,31,89,7,2,5,3,2,1,1,0,1,0,0,0,6,0,6
1984-1985,131496,Georgetown University,Bachelor's degree,Life Sciences,26',57,38,19,43,29,14,3,1,2,5,3,2,3,2,1,0,0,0,3,3,0
1984-1985,131496,Georgetown University,Bachelor's degree,Visual and Performing Arts,50',11,5,6,9,4,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,134097,Florida State University,Bachelor's degree,Engineering,14',9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,134097,Florida State University,Bachelor's degree,Liberal/General Studies,24',13,4,9,13,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,134097,Florida State University,Bachelor's degree,Architecture and Environmental Design,4',73,12,61,66,11,55,2,0,2,2,0,2,0,0,0,0,0,0,3,1,2
1984-1985,134097,Florida State University,Bachelor's degree,Business and Management,6',1029,593,436,934,548,386,44,13,31,20,15,5,10,5,5,0,0,0,20,11,9
1984-1985,134130,University of Florida,Bachelor's degree,Agricultural Business and Production,1',47,35,12,35,26,9,2,1,1,0,0,0,0,0,0,0,0,0,9,7,2
1984-1985,134130,University of Florida,Bachelor's degree,Allied Health,17',111,33,78,103,28,75,2,2,0,6,3,3,0,0,0,0,0,0,0,0,0
1984-1985,134130,University of Florida,Bachelor's degree,Agricultural Sciences,2',145,97,48,112,72,40,1,0,1,7,3,4,0,0,0,0,0,0,23,21,2
1984-1985,134130,University of Florida,Bachelor's degree,Letters,23',154,56,98,130,44,86,13,4,9,8,6,2,2,2,0,0,0,0,1,0,1
1984-1985,134130,University of Florida,Bachelor's degree,Philosophy and Religion,38',22,17,5,19,14,5,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0
1984-1985,134130,University of Florida,Bachelor's degree,Psychology,42',198,74,124,168,66,102,8,1,7,15,6,9,2,0,2,1,0,1,4,1,3
1984-1985,134130,University of Florida,Bachelor's degree,Protective Services,43',94,56,38,83,51,32,7,3,4,2,1,1,1,0,1,0,0,0,0,0,0
1984-1985,135726,University of Miami,Bachelor's degree,Law (non-first professional),22',8,5,3,5,3,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
1984-1985,135726,University of Miami,Bachelor's degree,Life Sciences,26',33,20,13,11,5,6,2,2,0,13,8,5,1,1,0,0,0,0,6,4,2
1984-1985,135726,University of Miami,Bachelor's degree,Psychology,42',67,20,47,36,12,24,3,0,3,22,5,17,0,0,0,0,0,0,6,3,3
1984-1985,139959,University of Georgia,Bachelor's degree,Agricultural Business and Production,1',123,98,25,118,94,24,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1
1984-1985,139959,University of Georgia,Bachelor's degree,Life Sciences,26',197,123,74,178,112,66,13,5,8,2,2,0,2,2,0,0,0,0,2,2,0
1984-1985,139959,University of Georgia,Bachelor's degree,Psychology,42',114,47,67,101,42,59,9,2,7,4,3,1,0,0,0,0,0,0,0,0,0
1984-1985,139959,University of Georgia,Bachelor's degree,Visual and Performing Arts,50',147,45,102,140,42,98,3,2,1,1,0,1,1,0,1,0,0,0,2,1,1
1984-1985,139959,University of Georgia,Bachelor's degree,Allied Health,17',2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,139959,University of Georgia,Bachelor's degree,Mathematics,27',31,17,14,26,14,12,3,2,1,1,1,0,0,0,0,0,0,0,1,0,1
1984-1985,139959,University of Georgia,Bachelor's degree,Public Affairs,44',26,2,24,22,1,21,3,0,3,0,0,0,0,0,0,1,1,0,0,0,0
1984-1985,139959,University of Georgia,Bachelor's degree,Social Sciences,45',450,322,128,416,300,116,17,11,6,5,3,2,1,0,1,2,1,1,9,7,2
