CIPFamilyTitle,CIPFamily,CIPDefinition,CIPF.Code
ENGLISH LANGUAGE AND LITERATURE/LETTERS.,23,"Instructional programs that focus on the structure and use of the English language and dialects, speech, writing, and various aspects of the literatures and cultures of the English-speaking peoples.",ENG
FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,19,"Instructional programs that focus on the human interface with the physical, social, emotional, and intellectual environments and the developmental stages and needs of individuals in the interrelated spheres of family, workplace, and community.",FAMSCI
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",16,"Instructional programs that focus on foreign languages and literatures, the humanistic and scientific study of linguistics, and the provision of professional interpretation and translation services.",FORLAN
HEALTH PROFESSIONS AND RELATED PROGRAMS.,51,Instructional programs that prepare individuals to practice as licensed professionals and assistants in the health care professions and related clinical sciences and administrative and support services.,HEALTH
HEALTH-RELATED KNOWLEDGE AND SKILLS.,34,Instructional program that focus on the promotion of personal and family health. These CIP codes are not valid for IPEDS reporting.,HEALTH.SK
HIGH SCHOOL/SECONDARY DIPLOMAS AND CERTIFICATES.,53,Instructional programs that define the prescribed requirements for high school/secondary school graduation. These CIP codes are not valid for IPEDS reporting.,HIGH.SC
HISTORY.,54,"Instructional programs that focus on the study and interpretation of past events, institutions, issues, and cultures.",HIST
"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",43,"Instructional programs that focus on the principles and procedures for providing homeland security, police, fire, and other safety services and managing penal institutions. Note: this series is titled Security and Protective Services"" in the Canadian CIP.""",SECURITY
INTERPERSONAL AND SOCIAL SKILLS.,35,"Programs that focus on the development of methods and skills for effective interactions with others in a variety of settings (private, social, and business settings). These CIP codes are not valid for IPEDS reporting.",INT.SK
LEGAL PROFESSIONS AND STUDIES.,22,"Instructional programs that prepare individuals for the legal profession, for related support professions and professional legal research, and focus on the study of legal issues in non-professional programs.",LEGAL
LEISURE AND RECREATIONAL ACTIVITIES.,36,Programs that focus on the development of an appreciation for and competency in recreational and leisure-related activities. These CIP codes are not valid for IPEDS reporting.,LEISURE
"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",24,"General instructional programs and independent or individualized studies in the liberal arts subjects, the humanities disciplines and the general curriculum.",LIBART
LIBRARY SCIENCE.,25,"Instructional programs that focus on the knowledge and skills required for managing and/or maintaining libraries and related information and record systems,  collections and facilities for research and general use.",LIB.SCI
MATHEMATICS AND STATISTICS.,27,Instructional programs that focus on the systematic study of logical symbolic language and its applications.,MATH
MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS.,47,"Instructional programs that prepare individuals to apply technical knowledge and skills in the adjustment, maintenance, part replacement, and repair of tools, equipment, and machines.",MECHTECH
"MILITARY SCIENCE, LEADERSHIP AND OPERATIONAL ART.",28,"Instructional programs that provide professional education and training of military officers in leadership, military science and operational studies, security policy and strategy, military economics and management, and pre-officer training. These CIP codes are not valid for IPEDS reporting.",MIL.SCI
MILITARY TECHNOLOGIES AND APPLIED SCIENCES.,29,"Instructional programs that prepare individuals in specialized and advanced subject matter for the armed services and related national security organizations, including intelligence operations, military applied sciences, and military technologies.",MIL.TECH
MULTI/INTERDISCIPLINARY STUDIES.,30,Instructional programs that derive from two or more distinct programs to provide a cross-cutting focus on a subject concentration that is not subsumed under a single discipline or occupational field.,GENSTUD
NATURAL RESOURCES AND CONSERVATION.,3,Instructional programs that focus on the various natural resources and conservation fields and prepare individuals for related occupations.,NATRESC
"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",31,"Instructional programs that focus on the principles and practices of managing parks and other recreational and fitness facilities; providing recreational, leisure and fitness services; and the study of human fitness.",PARKS
PERSONAL AND CULINARY SERVICES.,12,"Instructional programs that prepare individuals to provide professional services related to cosmetology, funeral services, and food preparation and service.",COOK
PERSONAL AWARENESS AND SELF-IMPROVEMENT.,37,"Programs that focus on the development of improved self-awareness, avoidance of stressful behavior, and improved decision-making skills. These CIP codes are not valid for IPEDS reporting.",MOTIV
PHILOSOPHY AND RELIGIOUS STUDIES.,38,"Instructional programs that focus on logical inquiry, philosophical analysis, and the academic study of organized systems of belief and religious practices.",PHIL
PHYSICAL SCIENCES.,40,"Instructional programs that focus on the scientific study of inanimate objects, processes of matter and energy, and associated phenomena.",PHYSSCI
PRECISION PRODUCTION.,48,Instructional programs that prepare individuals to apply technical knowledge and skills to create products using techniques of precision craftsmanship or technical illustration.,PREPROD
PSYCHOLOGY.,42,"Instructional programs that focus on the scientific study of the behavior of individuals, independently or collectively, and the physical and environmental bases of mental, emotional, and neurological activity.",PSYC
PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,44,"Instructional programs that prepare individuals to analyze, manage, and deliver public programs and services.",PUBADMIN
RESIDENCY PROGRAMS.,60,"Programs that prepare medical doctors (MD), osteopaths (DO), dentists (DDS, DMD), veterinarians (DVM), and podiatrists (DPM) for certification as practitioners of recognized specialties in their respective professions. These programs are approved and accredited by designated professional associations and require from one to five years to complete, depending on the program. Residency programs that also result in an academic degree completion, such as an MS or PhD, should be reported under one of the clinical sciences codes located in Series 26, 51.05, or 51.25, rather than in a residency code located in Series 60. These CIP codes are not valid for IPEDS reporting.",DOC
SCIENCE TECHNOLOGIES/TECHNICIANS.,41,Instructional programs that prepare individuals to apply scientific principles and technical skills in support of scientific research and development.,SCI
SOCIAL SCIENCES.,45,"Instructional programs that focus on the systematic study of social systems, social institutions, and social behavior.",SOCI
THEOLOGY AND RELIGIOUS VOCATIONS.,39,Instructional programs that focus on the intramural study of theology and that prepare individuals for the professional practice of religious vocations.,RELIG
TRANSPORTATION AND MATERIALS MOVING.,49,Instructional programs that prepare individuals to apply technical knowledge and skills to perform tasks and services that facilitate the movement of people or materials.,TRANS
VISUAL AND PERFORMING ARTS.,50,"Instructional programs that focus on the creation and interpretation of works and performances that use auditory, kinesthetic, and visual phenomena to express ideas and emotions in various forms, subject to aesthetic criteria.",ARTS
