Hometown,Latitude,Longitude
"Perkiomenville, PA",40.3242673,-75.4779561
"Malvern, PA",40.0362184,-75.5138118
"Phoenixville, PA",40.1303822,-75.5149128
"Royersford, PA",40.1842688,-75.5379639
"Wilmington, DE",39.7458333,-75.5466667
"Salisbury, MD",38.3606736,-75.5993692
"West Chester, PA",39.9606643,-75.6054882
"Bear, DE",39.6292788,-75.6582628
"Downingtown, PA",40.0064958,-75.7032742
"Middletown, DE",39.449556,-75.7163207
"Kanata, ON",45.3088185,-75.8986835
"Reading, PA",40.3356483,-75.9268747
"Virginia Beach, VA",36.8529263,-75.977985
"Lancaster, PA",40.0378755,-76.3055144
"Hampton, VA",37.0298687,-76.3452218
"Bloomsburg, PA",41.003698,-76.4549457
"Annapolis, MD",38.9784453,-76.4921829
"Baltimore, MD",39.2903848,-76.6121893
"Sparks, MD",39.5309389,-76.6458043
"Parkton, MD",39.6409378,-76.6591375
"Owings Mills, MD",39.4195499,-76.7802528
"Randallstown, MD",39.3673278,-76.7952525
"Havelock, NC",34.8790492,-76.9013301
"Capitol Heights, MD",38.8851122,-76.9158068
"Hyattsville, MD",38.9559442,-76.9455301
"Mechanicsburg, PA",40.2142565,-77.0085876
"Accokeek, MD",38.6676168,-77.0283092
"Washington, DC",38.8951118,-77.0363658
"Alexandria, VA",38.8048355,-77.0469214
"Olney, MD",39.1531627,-77.066923
"Springfield, VA",38.7892801,-77.1872036
"Annandale, VA",38.8303905,-77.1963703
"Gaithersburg, MD",39.1434406,-77.2013705
"Germantown, MD",39.1731621,-77.2716502
"Stafford, VA",38.4220687,-77.4083086
"Rochester, NY",43.16103,-77.6109219
"Teachey, NC",34.7682241,-78.0080407
"Charlottesville, VA",38.0293059,-78.4766781
"Lake Waccamaw, NC",34.3190578,-78.5000088
"Raleigh, NC",35.772096,-78.6386145
"Hamburg, NY",42.7158927,-78.8294768
"Holly Springs, NC",35.6512655,-78.8336218
"Fayetteville, NC",35.0526641,-78.8783585
"Myrtle Beach, SC",33.6890603,-78.8866943
"Loris, SC",34.0562812,-78.8903044
"Hope Mills, NC",34.9704419,-78.9453056
"Conway, SC",33.8360034,-79.0478143
"Pawleys Island, SC",33.4332236,-79.1214313
"Lake View, SC",34.3457189,-79.1655946
"Aynor, SC",33.9998881,-79.1994874
"Fork, SC",34.2881393,-79.2752857
"Georgetown, SC",33.376834,-79.2944964
"Awendaw, SC",33.0376703,-79.613127
"Jeannette, PA",40.3281246,-79.6153198
"Mississauga, ON",43.5890452,-79.6441198
"Bennettsville, SC",34.6173803,-79.6847814
"Jamestown, SC",33.2860005,-79.6925715
"Isle of Palms, SC",32.798747,-79.754486
"Florence, SC",34.1954331,-79.7625625
"Brampton, ON",43.6833333,-79.7666667
"Monroeville, PA",40.4211798,-79.7881024
"Wando, SC",32.9335065,-79.8317486
"Cheraw, SC",34.6976564,-79.8833971
"St. Stephen, SC",33.405202,-79.9251516
"Charleston, SC",32.7765656,-79.9309216
"Gibsonia, PA",40.6300567,-79.9703318
"Pittsburgh, PA",40.4406248,-79.9958864
"Moncks Corner, SC",33.1960027,-80.0131374
"West Palm Beach, FL",26.7153424,-80.0533746
"Riviera Beach, FL",26.7753405,-80.0580969
"Lamar, SC",34.1687661,-80.062568
"Wadesboro, NC",34.9682097,-80.0767266
"Boca Raton, FL",26.3586885,-80.0830984
"Deerfield Beach, FL",26.3184123,-80.0997657
"Oakland Park, FL",26.1723065,-80.1319893
"Palm Beach Gardens, FL",26.8233946,-80.1386547
"Ft. Lauderdale, FL",26.1223084,-80.1433786
"Fort Lauderdale, FL",26.1223084,-80.1433786
"Hollywood, FL",26.0112014,-80.1494901
"North Miami Beach, FL",25.9331488,-80.1625463
"Summerville, SC",33.0185039,-80.1756481
"Polkton, NC",35.0076546,-80.2008947
"Lauderdale Lakes, FL",26.1664736,-80.2083806
"Manning, SC",33.6951627,-80.2109134
"Lauderhill, FL",26.1403635,-80.2133808
"Miami, FL",25.7889689,-80.2264393
"Plantation, FL",26.1275862,-80.2331036
"Davie, FL",26.0628664,-80.2331038
"Washington, PA",40.17396,-80.2461714
"Wellington, FL",26.6552309,-80.2542513
"Coconut Grove, FL",25.7126013,-80.2569947
"Miramar, FL",25.9756704,-80.2867501
"Port Pierce, FL",27.4467056,-80.3256056
"Fort Pierce, FL",27.4467056,-80.3256056
"Sumter, SC",33.9204354,-80.3414693
"Port St. Lucie, FL",27.2758333,-80.355
"Pageland, SC",34.7732102,-80.3917315
"Vero Beach, FL",27.6386434,-80.3972736
"Homestead, FL",25.4687224,-80.4775569
"St. George, SC",33.18623,-80.579407
"Green Pond, SC",32.7318451,-80.6142716
"Youngstown, OH",41.0997803,-80.6495194
"Pahokee, FL",26.8200607,-80.665335
"Walterboro, SC",32.9051704,-80.6667688
"Belle Glade, FL",26.6845104,-80.6675577
"Beaufort, SC",32.4315813,-80.6698286
"Port Royal, SC",32.3790843,-80.6926069
"Matthews, NC",35.1168131,-80.7236804
"Cocoa, FL",28.3861159,-80.7419984
"St. Matthews, SC",33.6647222,-80.7788889
"Titusville, FL",28.6122187,-80.8075537
"Warren, OH",41.2375569,-80.8184166
"Okeechobee, FL",27.2439349,-80.8297828
"Charlotte, NC",35.2270869,-80.8431267
"Mims, FL",28.6652727,-80.8447766
"Fort Mill, SC",35.0073697,-80.9450759
"Ridgeland, SC",32.4807435,-80.980386
"South Daytona, FL",29.1658158,-81.0044995
"Daytona Beach, FL",29.2108147,-81.0228331
"Rock Hill, SC",34.9248667,-81.0250784
"Columbia, SC",34.0007104,-81.0348144
"Winnsboro, SC",34.3807012,-81.0864776
"Swansea, SC",33.7382088,-81.0978734
"Savannah, GA",32.0835407,-81.0998342
"Norway, SC",33.4518194,-81.1253773
"Irmo, SC",34.0859829,-81.1831513
"Chester, SC",34.7048613,-81.2142561
"Lexington, SC",33.9815369,-81.2362107
"Pelion, SC",33.7632063,-81.2448227
"Painesville, OH",41.7244885,-81.245657
"Sanford, FL",28.8028612,-81.269453
"Blackville, SC",33.3579297,-81.2706606
"DeLand, FL",29.028318,-81.3031179
"Allendale, SC",33.0079345,-81.3084405
"St. Augustine, FL",29.8942639,-81.3132083
"Chesterland, OH",41.5222735,-81.3378874
"Winter Park, FL",28.5999998,-81.3392352
"Altamonte Springs, FL",28.6611089,-81.3656242
"Orlando, FL",28.5383355,-81.3792365
"Ponte Vedra, FL",30.2396865,-81.3856384
"Ponte Vedra Beach, FL",30.2396865,-81.3856384
"Kissimmee, FL",28.2919557,-81.407571
"Mayfield Village, OH",41.5519952,-81.4392828
"Solon, OH",41.3897764,-81.4412259
"Icard, NC",35.7273539,-81.4706462
"Lyndhurst, OH",41.5200523,-81.4887315
"Brunswick, GA",31.1499528,-81.4914894
"Hastings, FL",29.7180248,-81.5081338
"Apopka, FL",28.6805529,-81.5095165
"Akron, OH",41.0814447,-81.5190053
"Massillon, OH",40.7967244,-81.5215093
"Bedford, OH",41.3931096,-81.5365094
"Shaker Heights, OH",41.4739419,-81.5370671
"Lenoir, NC",35.9140196,-81.5389849
"Hinesville, GA",31.846877,-81.5959453
"Davenport, FL",28.1614046,-81.6017417
"Jacksonville, FL",30.3321838,-81.655651
"Eustis, FL",28.8527675,-81.6853534
"Kingsland, GA",30.7999563,-81.6898261
"Cleveland, OH",41.4994954,-81.6954088
"Orange Park, FL",30.1660736,-81.706484
"Aiken, SC",33.5604168,-81.7195533
"Winter Haven, FL",28.0222435,-81.7328567
"Clermont, FL",28.5494447,-81.7728543
"Naples, FL",26.1420358,-81.7948103
"Lakewood, OH",41.4819932,-81.7981908
"Cowpens, SC",35.0167918,-81.8039916
"Strongsville, OH",41.3144966,-81.83569
"Groveland, FL",28.5580546,-81.8511889
"Medina, OH",41.1383877,-81.8637474
"Fort Myers, FL",26.640628,-81.8723084
"Jesup, GA",31.6074365,-81.8853924
"Westlake, OH",41.4553232,-81.9179173
"Spartanburg, SC",34.9495672,-81.9320482
"Millen, GA",32.8040512,-81.9492812
"Cape Coral, FL",26.5628537,-81.9495331
"Lakeland, FL",28.0394654,-81.9498042
"Roebuck, SC",34.8795683,-81.9662139
"Boiling Springs, SC",35.046508,-81.9817726
"Folkston, GA",30.8305102,-82.0098375
"Augusta, GA",33.4734978,-82.0105148
"Laurens, SC",34.4990116,-82.0142597
"Ninety Six, SC",34.1751267,-82.024007
"Martinez, GA",33.5173577,-82.0756734
"Hephzibah, GA",33.3140311,-82.0967857
"Reidsville, GA",32.0868611,-82.1178978
"Lyman, SC",34.9481741,-82.1273312
"Ocala, FL",29.1871986,-82.1400923
"Duncan, SC",34.9378962,-82.1451096
"Greenwood, SC",34.1954001,-82.1617883
"Greer, SC",34.9387279,-82.2270568
"Valrico, FL",27.9408333,-82.2425
"Hodges, SC",34.2876186,-82.2442889
"Simpsonville, SC",34.7370639,-82.2542834
"Taylors, SC",34.9203946,-82.2962268
"Gainesville, FL",29.6516344,-82.3248262
"Abbeville, SC",34.1781719,-82.3790147
"Greenville, SC",34.8526176,-82.3940104
"Newark, OH",40.0581205,-82.4012642
"Louisville, GA",33.0015407,-82.4112377
"Venice, FL",27.0997775,-82.4542632
"Tampa, FL",27.950575,-82.4571776
"Dunnellon, FL",29.0491426,-82.4609331
"Lincolnton, GA",33.7923477,-82.479018
"Mt. Vernon, OH",40.3933956,-82.4857181
"Bellville, OH",40.6200588,-82.5107222
"Mansfield, OH",40.75839,-82.5154471
"Hamden, OH",39.1597938,-82.5268259
"Palmetto, FL",27.5214269,-82.5723193
"Bradenton, FL",27.4989278,-82.5748194
"Calhoun Falls, SC",34.0923375,-82.5956875
"Easley, SC",34.829838,-82.6015206
"Lake City, FL",30.1896756,-82.6392899
"St. Petersburg, FL",27.7730556,-82.64
"Windemere, FL",28.1137649,-82.6827704
"New Port Richey, FL",28.2441768,-82.7192671
"Tignall, GA",33.8676229,-82.7412511
"Pickerington, OH",39.8842304,-82.7535049
"Tarpon Springs, FL",28.1461248,-82.7567679
"Central, SC",34.7242749,-82.7812526
"Pendleton, SC",34.6517733,-82.7837514
"New Albany, OH",40.0811745,-82.8087864
"Sandersville, GA",32.9815431,-82.810138
"Blacklick, OH",39.9956194,-82.811286
"Clemson, SC",34.6834382,-82.8373654
"Douglas, GA",31.5088073,-82.8498654
"Sunbury, OH",40.2425623,-82.8590673
"Gahanna, OH",40.0192307,-82.8793446
"Grosse Pointe Farms, MI",42.4092038,-82.8918587
"McRae, GA",32.0679541,-82.9006993
"Westerville, OH",40.1261743,-82.9290696
"Macomb, MI",42.7008652,-82.9590938
"Chillicothe, OH",39.3331197,-82.9824019
"Columbus, OH",39.9611755,-82.9987942
"Windsor, ON",42.279609,-83.0085329
"Lewis Center, OH",40.1983958,-83.0101843
"Detroit, MI",42.331427,-83.0457538
"Upper Arlington, OH",39.9945084,-83.0624078
"Royston, GA",34.2870503,-83.1101483
"Dublin, OH",40.0992294,-83.1140771
"Fremont, OH",41.3503303,-83.1218634
"Marion, OH",40.5886699,-83.1285242
"Rochester, MI",42.680588,-83.1338214
"Rochester Hills, MI",42.6583661,-83.1499322
"Hilliard, OH",40.0333961,-83.1582451
"Oak Park, MI",42.4594803,-83.1827051
"Birmingham, MI",42.5467012,-83.2113192
"Milledgeville, GA",33.0801429,-83.2320991
"Fitzgerald, GA",31.7149082,-83.2526545
"Dearborn Heights, MI",42.3369816,-83.2732627
"Valdosta, GA",30.8327022,-83.2784851
"Elmore, OH",41.4761621,-83.2957584
"Curtice, OH",41.6183339,-83.3673819
"Athens, GA",33.95,-83.3833333
"Watkinsville, GA",33.8628959,-83.4087708
"Washington C.H., OH",39.5364511,-83.4390843
"Walled Lake, MI",42.537811,-83.4810481
"Canton, MI",42.3086444,-83.482116
"Mount Airy, GA",34.5187106,-83.5007265
"Plymouth, MI",42.3735328,-83.5090381
"Bogart, GA",33.949281,-83.534608
"Habersham, GA",34.6478893,-83.5496566
"White Lake, MI",42.69167,-83.55417
"Toledo, OH",41.6639383,-83.555212
"Jefferson, GA",34.1170537,-83.5723876
"Ypsilanti, MI",42.2411499,-83.6129939
"Perrysburg, OH",41.556996,-83.627157
"Greenville, FL",30.4693739,-83.6301544
"Macon, GA",32.8406946,-83.6324022
"Warner Robins, GA",32.6086111,-83.6380556
"Flint, MI",43.0125274,-83.6874562
"Fenton, MI",42.7978061,-83.7049498
"Holland, OH",41.621718,-83.711604
"Winder, GA",33.9926097,-83.7201709
"Ann Arbor, MI",42.2808256,-83.7430378
"Urbana, OH",40.1083912,-83.7524298
"Cleveland, GA",34.5970402,-83.7632366
"Moultrie, GA",31.179908,-83.7890631
"Gainesville, GA",34.2978794,-83.8240663
"Auburn, GA",34.0137179,-83.8276759
"Sylvester, GA",31.5307349,-83.8354542
"Blissfield, MI",41.8325486,-83.8624411
"Monticello, FL",30.5452022,-83.8701636
"Oakwood, GA",34.227602,-83.8843455
"Dacula, GA",33.9887165,-83.8979573
"Flowery Branch, GA",34.1851017,-83.9251809
"Grayson, GA",33.8942729,-83.95574
"Thomasville, GA",30.8365815,-83.9787808
"Lawrenceville, GA",33.9562149,-83.9879625
"Buford, GA",34.1206564,-84.0043513
"Conyers, GA",33.6676103,-84.0176904
"Beavercreek, OH",39.7092262,-84.0632685
"Suwanee, GA",34.0514898,-84.0712997
"Lithonia, GA",33.7123305,-84.1051939
"Locust Grove, GA",33.3459495,-84.109083
"Freeland, MI",43.5250265,-84.1227598
"Huber Heights, OH",39.843947,-84.1246608
"Cumming, GA",34.2073196,-84.1401926
"Wauseon, OH",41.5492182,-84.1416147
"Duluth, GA",34.0028786,-84.1446376
"McDonough, GA",33.4473361,-84.1468616
"Albany, GA",31.5785074,-84.155741
"Centerville, OH",39.6283928,-84.1593818
"Kettering, OH",39.6895036,-84.1688274
"Stone Mountain, GA",33.8081608,-84.170196
"Dayton, OH",39.7589478,-84.1916069
"Johns Creek, GA",34.0289259,-84.198579
"Cairo, GA",30.8774132,-84.2012897
"Camilla, GA",31.2312933,-84.2104611
"Norcross, GA",33.9412127,-84.2135309
"Tucker, GA",33.8545479,-84.2171424
"Griffin, GA",33.2467807,-84.2640904
"Tallahassee, FL",30.4382559,-84.2807329
"Alpharetta, GA",34.0753762,-84.2940899
"Decatur, GA",33.7748275,-84.2963123
"Trotwood, OH",39.7972788,-84.3113334
"Jonesboro, GA",33.5215013,-84.3538128
"Roswell, GA",34.0231553,-84.3615928
"Atlanta, GA",33.7489954,-84.3879824
"Fort Thomas, KY",39.0750607,-84.4471633
"College Park, GA",33.6534427,-84.4493725
"Fayetteville, GA",33.4487257,-84.4549262
"Lexington, KY",38.0405837,-84.5037164
"Cincinnati, OH",39.1031182,-84.5120196
"Woodstock, GA",34.1014873,-84.5193754
"DeWitt, MI",42.7924727,-84.5431867
"Marietta, GA",33.952602,-84.5499327
"Bainbridge, GA",30.9037995,-84.5754699
"Mableton, GA",33.8187167,-84.5824329
"Peachtree City, GA",33.3967829,-84.5957629
"Tyrone, GA",33.4712253,-84.5971524
"Somerset, KY",37.0920222,-84.6041084
"Walton, KY",38.8756194,-84.6102213
"Kennesaw, GA",34.0234337,-84.6154897
"Coldwater, OH",40.4797688,-84.628291
"Powder Springs, GA",33.8595491,-84.683824
"Fairmount, GA",34.4362013,-84.6999346
"Damascus, GA",31.2990682,-84.7188077
"Hiram, GA",33.8756601,-84.7621592
"Newnan, GA",33.3806716,-84.7996573
"Cartersville, GA",34.1650972,-84.7999382
"Dallas, GA",33.9237141,-84.8407732
"Hamilton, GA",32.7579106,-84.8749311
"Donalsonville, GA",31.0404625,-84.8790911
"Lawrenceburg, KY",38.0372967,-84.8966171
"Hogansville, GA",33.1731769,-84.914936
"Adairsville, GA",34.3687021,-84.9341093
"Calhoun, GA",34.502587,-84.9510542
"Dalton, GA",34.7698021,-84.9702228
"Columbus, GA",32.4609764,-84.9877094
"LaGrange, GA",33.0362218,-85.0322444
"Fort Wayne, ID",41.079273,-85.1393513
"Lindale, GA",34.1867623,-85.1746725
"Shelbyville, KY",38.2120144,-85.2235666
"Rossville, GA",34.9831309,-85.2860676
"Summerville, GA",34.480642,-85.3477343
"Dothan, AL",31.2232313,-85.3904888
"Ada, MI",42.9607266,-85.495471
"Portage, MI",42.2011538,-85.5800022
"Fern Creek, KY",38.1582999,-85.59667
"Traverse City, MI",44.7630567,-85.6206317
"Grand Rapids, MI",42.9633599,-85.6680863
"Jeffersonville, ID",38.2775702,-85.7371847
"Louisville, KY",38.2526647,-85.7584557
"Jacksonville, AL",33.8137125,-85.7613536
"Oxford, AL",33.6142714,-85.8349648
"Elizabethtown, KY",37.7030646,-85.8649408
"Hudsonville, MI",42.870859,-85.8650358
"Glasgow, KY",36.9958839,-85.9119215
"Columbus, IN",39.2014404,-85.9213796
"Cecilia, KY",37.6658962,-85.9566304
"Nappanee, ID",41.4428253,-86.0013875
"Gadsden, AL",34.014264,-86.0066386
"Holland, MI",42.7875235,-86.1089301
"Granger, IN",41.7533819,-86.1108377
"Lincoln, AL",33.6131588,-86.1183061
"Indianapolis, IN",39.768403,-86.158068
"Bradenburg, KY",37.9989592,-86.1694143
"South Bend, IN",41.6763545,-86.2519898
"Zionsville, IN",39.9508733,-86.261937
"Bowling Green, KY",36.9903199,-86.4436018
"Niceville, FL",30.5168639,-86.482172
"Andalusia, AL",31.3085039,-86.4832913
"Huntsville, AL",34.7303688,-86.5861037
"Ft. Walton Beach, FL",30.4200708,-86.6170308
"Hendersonville, TN",36.3047735,-86.6199957
"Brentwood, TN",36.0331164,-86.7827772
"Nashville, TN",36.1666667,-86.7833333
"Homewood, AL",33.4717732,-86.8008228
"Birmingham, AL",33.5206608,-86.80249
"Hoover, AL",33.4053867,-86.8113781
"Helena, AL",33.296224,-86.8436004
"Cullman, AL",34.1748208,-86.8436124
"Navarre, FL",30.4109342,-86.9123217
"Adamsville, AL",33.6009389,-86.9561059
"Athens, AL",34.8028661,-86.9716741
"Decatur, AL",34.6059253,-86.9833417
"Selma, AL",32.4073589,-87.0211007
"Centreville, AL",32.9445682,-87.1386067
"Pensacola, FL",30.421309,-87.2169149
"Munster, IN",41.5644798,-87.5125412
"Lansing, IL",41.5647575,-87.538931
"Tuscaloosa, AL",33.2098407,-87.5691735
"Orange Beach, AL",30.2943681,-87.5735935
"Northport, AL",33.229007,-87.5772293
"Dolton, IL",41.6389236,-87.607268
"Chicago, IL",41.8781136,-87.6297982
"Park Forest, IL",41.4914236,-87.6744891
"Foley, AL",30.4065868,-87.6835974
"Flossmoor, IL",41.5428123,-87.6847684
"Evanston, IL",42.0450722,-87.6876969
"Olympia Fields, IL",41.517367,-87.692944
"Robbins, IL",41.6439227,-87.7036602
"Oak Park, IL",41.8850317,-87.7845025
"Glenview, IL",42.0697509,-87.7878408
"North Chicago, IL",42.325578,-87.8411818
"Maywood, IL",41.8791979,-87.8431155
"Lake Bluff, IL",42.2791365,-87.8443151
"Waukegan, IL",42.3636331,-87.8447938
"Frankfort, IL",41.4958665,-87.8486613
"Orland Park, IL",41.6303103,-87.8539425
"Bourbonnais, IL",41.1830556,-87.8780556
"Western Springs, IL",41.8097532,-87.9006155
"Fairhope, AL",30.5229719,-87.9033261
"Daphne, AL",30.6035255,-87.9036047
"Milwaukee, WI",43.0389025,-87.9064736
"Burr Ridge, IL",41.7489203,-87.9183919
"Homer Glen, IL",41.6000317,-87.9381112
"Elmhurst, IL",41.8994744,-87.9403418
"Libertyville, IL",42.2830786,-87.9531303
"Oak Brook, IL",41.8397865,-87.9535534
"Buffalo Grove, IL",42.1738987,-87.9677828
"Vernon Hills, IL",42.2194686,-87.9795187
"Arlington Heights, IL",42.0883603,-87.9806265
"Villa Park, IL",41.8897519,-87.9889543
"Mequon, WI",43.235883,-87.989257
"Greenfield, WI",42.9614039,-88.0125865
"Green Bay, WI",44.519159,-88.019826
"Franklin, WI",42.888627,-88.0384195
"Mobile, AL",30.6943566,-88.0430541
"Woodridge, IL",41.7469749,-88.0503406
"De Pere, WI",44.4488805,-88.0603806
"Glen Ellyn, IL",41.8775293,-88.0670118
"Bolingbrook, IL",41.6986416,-88.0683955
"Joliet, IL",41.525031,-88.0817251
"Romeoville, IL",41.6475306,-88.0895061
"Lake Zurich, IL",42.1969689,-88.0934108
"Inverness, IL",42.1180815,-88.0961865
"Wheaton, IL",41.8661403,-88.1070127
"Carol Stream, IL",41.9125286,-88.1347927
"Muskego, WI",42.905848,-88.1389779
"Naperville, IL",41.7858629,-88.1472893
"Lake Barrington, IL",42.2122015,-88.167149
"Streamwood, IL",42.0255827,-88.1784085
"Trout Valley, IL",42.1980798,-88.2534158
"Geneva, IL",41.8875281,-88.3053525
"St. Charles, IL",41.9188889,-88.3113889
"Batavia, IL",41.8500284,-88.3125738
"Combined Locks, WI",44.2658204,-88.314273
"Aurora, IL",41.7605849,-88.3200715
"Hartland, WI",43.105008,-88.3420398
"Oswego, IL",41.6828074,-88.3514596
"Appleton, WI",44.2619309,-88.4153847
"Oconomowoc, WI",43.1116731,-88.4992659
"Plano, IL",41.6628076,-88.5370197
"Marengo, IL",42.2486332,-88.6084269
"Sycamore, IL",41.9889173,-88.6867538
"D'Iberville, MS",30.4263092,-88.8908638
"Roscoe, IL",42.4133505,-89.0092741
"Peru, IL",41.3275349,-89.1289728
"Wautoma, WI",44.0746995,-89.287897
"Hattiesburg, MS",31.3271189,-89.2903392
"Madison, WI",43.0730517,-89.4012302
"Oxford, MS",34.3664951,-89.5192484
"Hayti, MO",36.233679,-89.7495272
"Slidell, LA",30.2751945,-89.7811745
"Germantown, TN",35.0867577,-89.8100858
"Olive Branch, MS",34.9617604,-89.8295315
"Bartlett, TN",35.2045328,-89.8739753
"Belle Chasse, LA",29.8549287,-89.9906253
"Memphis, TN",35.1495343,-90.0489801
"Gretna, LA",29.9146493,-90.0539603
"New Orleans, LA",29.9510658,-90.0715323
"Marrero, LA",29.8993723,-90.1003506
"Covington, LA",30.4754702,-90.1009108
"Metairie, LA",29.9840922,-90.1528519
"Franklinton, LA",30.8471283,-90.153141
"St. Louis, MO",38.6270025,-90.1994042
"Waggaman, LA",29.9185388,-90.2109093
"Kenner, LA",29.9940924,-90.2417434
"Tunica, MS",34.6845455,-90.3828769
"Boutte, LA",29.9024284,-90.3881369
"Reserve, LA",30.0538131,-90.5517534
"Bonne Terre, MO",37.9231069,-90.5554039
"Chesterfield, MO",38.6631083,-90.5770675
"O'Fallon, MO",38.8106075,-90.6998477
"Thibodaux, LA",29.7957633,-90.822871
"St. Amant, LA",30.2246409,-90.868986
"Prairieville, LA",30.3058611,-90.9723583
"Donaldsonville, LA",30.1010323,-90.9928773
"Greenwell Springs, LA",30.5796316,-90.9942696
"St. Gabriel, LA",30.2536111,-91.1013889
"Ladysmith, WI",45.4630231,-91.1040358
"Baton Rouge, LA",30.4582829,-91.1403196
"White Castle, LA",30.1699194,-91.1470487
"Patterson, LA",29.6932641,-91.3020502
"Hannibal, MO",39.7083789,-91.3584816
"Marion, IA",42.033279,-91.5968958
"New Iberia, LA",30.0035365,-91.8187285
"Bastrop, LA",32.7562463,-91.8723497
"Breaux Bridge, LA",30.2735323,-91.8992837
"Lafayette, LA",30.2240897,-92.0198427
"Monroe, LA",32.5093109,-92.1193012
"West Monroe, LA",32.5184775,-92.1476353
"Columbia, MO",38.9517053,-92.3340724
"Eunice, LA",30.4943669,-92.4176324
"Rochester, MN",44.0234,-92.46295
"Ruston, LA",32.5232053,-92.637927
"Osceola, WI",45.3205199,-92.7049303
"Welsh, LA",30.2360403,-92.8226453
"Lake Elmo, MN",44.9957998,-92.8793768
"Saint Ansgar, IA",43.3784811,-92.9203887
"West St. Paul, MN",44.9075,-93.0875
"Strafford, MO",37.2683802,-93.1171264
"Longville, LA",30.6051979,-93.2318269
"Westlake, LA",30.2421496,-93.2507099
"Leesville, LA",31.1435194,-93.260998
"DeRidder, LA",30.8463055,-93.2890527
"Robbinsdale, MN",45.032187,-93.3385614
"Coushatta, LA",32.0148834,-93.3421165
"Sulphur, LA",30.2365943,-93.3773783
