"","CIP_Classificaiton","Year","White.Men","Foreign.Men","Foreign.Women","Asian.Islander.Men","Asian.Islander.Women","White.Women","Hispanic.Men","Hispanic.Women","Black.Men","Black.Women","Other.Men","Other.Women"
"247","Agricultural Sciences","1989-1990",783,64,12,5,4,464,20,18,8,8,15,10
"248","Natural Resources and Conservation","1989-1990",241,6,1,2,1,83,2,0,0,0,9,7
"249","Architecture and Related Services","1989-1990",910,96,43,47,22,549,60,38,20,17,9,6
"250","Marketing and Distribution","1989-1990",531,21,7,8,9,494,18,12,15,34,8,7
"251","Communication- Journalism- and Related Programs","1989-1990",2292,34,49,38,106,4049,86,147,97,260,36,44
"252","Computer and Information Sciences and Support Services","1989-1990",959,160,66,131,86,242,21,18,40,22,35,9
"253","Education","1989-1990",1721,18,31,14,63,5937,41,127,72,133,43,132
"254","Engineering","1989-1990",6208,709,73,654,153,1138,249,64,174,93,83,13
"255","Foreign Languages- Literatures- and Linguistics","1989-1990",318,8,19,9,35,792,35,71,12,32,9,17
"256","Health Sciences","1989-1990",635,18,23,44,109,2210,41,85,16,157,12,33
"257","Family and Consumer Sciences/Human Sciences","1989-1990",151,1,13,6,28,1540,3,29,8,56,2,22
"258","English language and literature/letters.","1989-1990",1628,6,28,46,73,3011,55,88,44,153,25,54
"259","Biological and Biomedical Sciences","1989-1990",1629,51,32,224,213,1388,118,81,68,114,27,17
"260","Mathematics and Statistics","1989-1990",576,38,23,38,25,427,21,15,30,27,13,5
"261","Parks- Recreation- Leisure and Fitness Studies","1989-1990",220,6,2,2,2,272,4,4,11,3,7,8
"262","Philosophy and Religious Studies","1989-1990",331,3,1,17,7,152,15,6,11,9,9,4
"263","Physical Sciences","1989-1990",843,36,17,59,33,253,39,14,16,21,20,5
"264","Science Technologies","1989-1990",6,0,0,0,0,8,0,0,1,2,0,0
"265","Psychology","1989-1990",1323,17,42,60,125,3212,63,161,58,211,25,34
"266","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1989-1990",456,5,0,17,5,264,18,17,58,65,9,1
"267","Public administration and social service professions.","1989-1990",231,11,20,6,15,477,19,24,16,73,4,21
"268","Social Sciences and History","1989-1990",7373,170,111,277,257,4726,354,234,331,398,118,73
"269","Visual and performing arts.","1989-1990",1161,17,39,35,74,1779,55,51,39,50,39,39
"270","Health Professions and Related Programs","1989-1990",127,2,7,5,39,666,9,25,7,20,3,10
"271","Business- Management- Marketing- and Related Support Services","1989-1990",9697,491,324,338,430,6785,344,246,260,389,141,101
"272","Area- Ethnic- Cultural- Gender- and Group Studies","1989-1990",207,4,8,12,21,291,9,16,16,32,7,8
"273","Engineering Technologies and Engineering-related Fields","1989-1990",715,31,0,24,5,48,66,3,14,6,10,0
"274","Legal professions and studies.","1989-1990",19,0,0,0,0,13,2,1,0,1,0,0
"275","Liberal arts and sciences- general studies and humanities.","1989-1990",601,5,5,14,15,673,17,33,33,51,16,23
"276","Multi/Interdisciplinary Studies","1989-1990",392,6,6,26,36,582,17,20,14,29,10,7
"277","Transportation and materials moving.","1989-1990",97,1,0,3,0,13,0,0,1,1,4,1
"278","Theology and religious vocations.","1989-1990",13,0,0,0,0,11,1,1,1,0,0,0
"279","Library Science","1989-1990",0,0,0,0,0,0,0,0,0,1,0,0
"280","Communications Technologies/Technicians and Support Services","1989-1990",114,4,1,0,2,100,5,2,6,5,2,1
"281","Military technologies.","1989-1990",1,0,0,0,0,0,0,0,0,0,0,0
"282","Mechanics and Repairers","1989-1990",1,0,0,0,0,0,0,0,0,0,0,0
"283","Agriculture- Agriculture Operations and Related Sciences","1990-1991",633,22,4,1,1,158,16,5,21,14,34,5
"284","Agricultural Sciences","1990-1991",758,41,21,5,7,454,18,20,7,7,8,5
"285","Natural Resources and Conservation","1990-1991",290,6,1,3,4,92,2,0,2,0,5,3
"286","Architecture and Related Services","1990-1991",974,48,38,33,27,541,51,39,16,11,13,6
"287","Marketing and Distribution","1990-1991",576,24,8,4,11,562,11,9,20,31,17,18
"288","Communication- Journalism- and Related Programs","1990-1991",2151,77,103,25,90,3909,96,161,95,269,37,44
"289","Computer and Information Sciences and Support Services","1990-1991",888,184,73,108,60,211,35,12,31,15,42,20
"290","Education","1990-1991",1631,28,80,9,33,5804,44,108,62,148,58,93
"291","Engineering","1990-1991",5903,685,80,582,152,1079,295,50,176,101,79,13
"292","Foreign Languages- Literatures- and Linguistics","1990-1991",320,11,32,11,34,800,42,100,16,37,9,11
"293","Health Sciences","1990-1991",622,14,105,50,129,2093,38,74,19,144,10,28
"294","Family and Consumer Sciences/Human Sciences","1990-1991",200,6,25,3,32,1620,5,32,12,64,5,21
"295","English language and literature/letters.","1990-1991",1795,44,68,41,83,3164,47,105,54,188,35,63
"296","Biological and Biomedical Sciences","1990-1991",1700,61,64,229,197,1408,120,92,69,105,35,41
"297","Mathematics and Statistics","1990-1991",543,40,18,23,33,447,22,14,28,38,12,3
"298","Parks- Recreation- Leisure and Fitness Studies","1990-1991",156,6,8,1,0,236,7,4,5,5,1,3
"299","Philosophy and Religious Studies","1990-1991",318,9,6,11,9,159,6,9,6,2,3,1
"300","Physical Sciences","1990-1991",854,50,21,70,33,305,30,9,19,15,15,7
"301","Science Technologies","1990-1991",4,0,0,0,0,5,0,0,0,2,0,0
"302","Psychology","1990-1991",1372,27,118,70,132,3396,79,162,77,235,16,45
"303","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1990-1991",579,35,15,10,3,277,19,10,66,67,3,4
"304","Public administration and social service professions.","1990-1991",185,0,11,2,11,449,2,19,14,56,7,14
"305","Social Sciences and History","1990-1991",7366,254,175,255,248,4725,365,253,345,406,123,85
"306","Visual and performing arts.","1990-1991",1089,57,108,35,77,1767,56,51,45,49,29,39
"307","Health Professions and Related Programs","1990-1991",152,4,30,5,18,554,5,13,6,26,5,5
"308","Business- Management- Marketing- and Related Support Services","1990-1991",9208,526,424,268,351,6326,317,272,275,394,147,94
"309","Area- Ethnic- Cultural- Gender- and Group Studies","1990-1991",233,4,11,9,19,299,14,18,18,26,0,-3
"310","Engineering Technologies and Engineering-related Fields","1990-1991",645,99,9,53,7,39,39,3,18,3,17,0
"311","Legal professions and studies.","1990-1991",18,0,1,0,0,12,2,2,0,3,1,1
"312","Liberal arts and sciences- general studies and humanities.","1990-1991",1697,201,124,356,289,1473,138,93,133,129,10,23
"313","Multi/Interdisciplinary Studies","1990-1991",402,20,18,21,21,618,11,42,6,19,10,9
"314","Theology and religious vocations.","1990-1991",5,0,0,0,0,7,0,0,0,0,0,0
"315","Communications Technologies/Technicians and Support Services","1990-1991",96,0,1,1,0,64,0,3,2,10,1,0
"316","Military Services","1990-1991",1,0,0,0,0,0,0,0,0,0,0,0
"317","Transportation and materials moving.","1990-1991",89,1,0,0,0,14,2,0,1,0,0,0
"318","Agriculture- Agriculture Operations and Related Sciences","1991-1992",600,20,3,3,3,154,7,2,19,17,25,15
"319","Agricultural Sciences","1991-1992",892,32,14,8,4,487,22,18,8,12,16,10
"320","Natural Resources and Conservation","1991-1992",380,4,5,3,6,197,9,10,1,3,18,4
"321","Architecture and Related Services","1991-1992",956,38,22,41,26,348,51,26,17,7,16,6
"322","Marketing and Distribution","1991-1992",478,6,4,10,16,418,11,9,12,15,5,8
"323","Communication- Journalism- and Related Programs","1991-1992",2135,30,45,51,94,3733,91,163,106,245,48,49
"324","Computer and Information Sciences and Support Services","1991-1992",854,121,49,112,33,215,30,18,24,23,26,10
"325","Education","1991-1992",1405,10,23,10,50,5051,36,77,56,148,42,107
"326","Engineering","1991-1992",6140,573,75,725,153,1138,273,62,204,119,107,12
"327","Foreign Languages- Literatures- and Linguistics","1991-1992",457,19,23,14,30,946,42,112,14,33,13,22
"328","Family and Consumer Sciences/Human Sciences","1991-1992",214,6,19,7,33,1625,5,26,10,52,7,34
"329","English language and literature/letters.","1991-1992",1922,5,28,55,106,3387,56,128,80,220,28,34
"330","Biological and Biomedical Sciences","1991-1992",1796,40,46,287,253,1508,121,120,68,134,17,21
"331","Mathematics and Statistics","1991-1992",534,33,22,34,34,434,17,14,18,41,6,8
"332","Parks- Recreation- Leisure and Fitness Studies","1991-1992",450,5,1,7,3,525,9,11,21,15,9,14
"333","Philosophy and Religious Studies","1991-1992",328,6,2,16,6,189,11,8,17,10,11,4
"334","Physical Sciences","1991-1992",882,26,10,69,32,337,30,16,17,22,19,8
"335","Science Technologies","1991-1992",8,0,0,0,1,3,0,0,2,0,0,0
"336","Psychology","1991-1992",1450,15,39,77,136,3638,97,205,70,262,27,64
"337","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1991-1992",694,3,0,12,7,407,32,25,69,96,18,3
"338","Public administration and social service professions.","1991-1992",179,1,5,4,21,555,10,23,24,71,6,19
"339","Social Sciences and History","1991-1992",7638,176,107,278,265,4988,393,299,406,454,155,128
"340","Visual and performing arts.","1991-1992",1283,34,50,48,84,2176,69,86,52,48,41,53
"341","Health Professions and Related Programs","1991-1992",719,11,40,37,159,2754,35,112,41,168,22,48
"342","Business- Management- Marketing- and Related Support Services","1991-1992",9776,429,287,350,430,6884,335,279,319,410,162,134
"343","Area- Ethnic- Cultural- Gender- and Group Studies","1991-1992",215,8,14,12,21,320,13,25,26,50,5,7
"344","Engineering Technologies and Engineering-related Fields","1991-1992",652,25,1,69,6,48,43,2,27,1,28,1
"345","Legal professions and studies.","1991-1992",111,0,0,0,0,139,2,1,1,1,8,0
"346","Multi/Interdisciplinary Studies","1991-1992",391,7,7,21,31,832,29,52,15,23,15,14
"347","Construction Trades","1991-1992",7,0,0,1,0,0,0,0,0,0,1,0
"348","Liberal arts and sciences- general studies and humanities.","1991-1992",1688,196,71,382,318,1569,154,110,134,168,19,28
"349","Theology and religious vocations.","1991-1992",9,0,0,0,0,5,0,0,1,0,0,0
"350","Communications Technologies/Technicians and Support Services","1991-1992",56,1,0,0,4,79,0,0,4,12,2,0
"351","Transportation and materials moving.","1991-1992",117,2,0,2,1,8,2,1,3,1,8,0
"352","Agriculture- Agriculture Operations and Related Sciences","1992-1993",652,21,8,5,2,213,18,5,14,15,14,3
"353","Agricultural Sciences","1992-1993",861,30,18,8,7,560,28,17,11,21,14,4
"354","Natural Resources and Conservation","1992-1993",550,7,2,13,9,231,6,9,5,4,14,6
"355","Architecture and Related Services","1992-1993",966,43,15,54,32,364,59,13,20,13,14,10
"356","Marketing and Distribution","1992-1993",476,9,8,5,8,413,20,11,23,25,10,11
"357","Communication- Journalism- and Related Programs","1992-1993",2190,39,57,41,122,3600,93,180,134,320,51,68
"358","Computer and Information Sciences and Support Services","1992-1993",932,162,70,121,69,230,35,12,39,27,23,8
"359","Education","1992-1993",1527,10,19,26,58,4996,29,98,59,155,7,80
"360","Engineering","1992-1993",6175,629,76,805,218,1167,313,79,231,136,124,28
"361","Foreign Languages- Literatures- and Linguistics","1992-1993",448,14,33,26,57,990,36,113,16,51,9,28
"362","Family and Consumer Sciences/Human Sciences","1992-1993",209,4,26,7,30,1655,10,48,15,65,5,27
"363","Biological and Biomedical Sciences","1992-1993",1851,46,47,327,309,1744,142,116,76,140,38,23
"364","Mathematics and Statistics","1992-1993",629,30,25,47,48,504,36,18,30,42,12,6
"365","Parks- Recreation- Leisure and Fitness Studies","1992-1993",363,3,5,4,4,439,19,13,12,13,6,12
"366","Philosophy and Religious Studies","1992-1993",376,5,2,21,8,167,19,7,10,10,9,7
"367","Physical Sciences","1992-1993",928,40,20,84,44,337,36,12,19,27,29,9
"368","Science Technologies","1992-1993",4,0,0,1,0,8,0,0,0,0,0,0
"369","Psychology","1992-1993",1536,7,40,86,214,3723,98,259,92,289,33,78
"370","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1992-1993",748,3,4,22,11,363,36,33,72,99,19,11
"371","Public administration and social service professions.","1992-1993",251,4,2,17,21,598,19,37,27,62,9,26
"372","Social Sciences and History","1992-1993",7540,198,132,340,323,5074,371,327,399,488,179,140
"373","Transportation and materials moving.","1992-1993",177,0,0,3,1,19,2,0,5,1,1,2
"374","Visual and performing arts.","1992-1993",1352,34,51,83,146,2334,75,109,63,75,49,64
"375","Health Professions and Related Programs","1992-1993",887,8,40,45,213,3242,38,116,32,224,21,41
"376","Business- Management- Marketing- and Related Support Services","1992-1993",9755,524,426,502,584,6589,435,316,346,482,183,135
"377","Area- Ethnic- Cultural- Gender- and Group Studies","1992-1993",180,1,12,17,25,337,14,26,23,50,1,12
"378","Engineering Technologies and Engineering-related Fields","1992-1993",686,15,1,74,11,47,33,4,27,3,18,4
"379","Legal professions and studies.","1992-1993",18,0,0,1,0,13,1,4,0,1,0,0
"380","Multi/Interdisciplinary Studies","1992-1993",391,5,6,25,55,1000,31,98,7,24,13,13
"381","Construction Trades","1992-1993",12,0,0,0,0,2,1,0,0,0,0,0
"382","Liberal arts and sciences- general studies and humanities.","1992-1993",557,8,8,21,32,849,23,31,39,60,18,31
"383","Theology and religious vocations.","1992-1993",5,0,0,0,0,5,0,0,0,0,0,0
"384","Communications Technologies/Technicians and Support Services","1992-1993",123,3,2,2,3,102,5,3,6,6,5,2
"385","Agriculture- Agriculture Operations and Related Sciences","1993-1994",673,22,5,3,4,186,14,5,20,18,8,3
"386","Agricultural Sciences","1993-1994",971,38,20,3,13,606,21,22,11,15,13,12
"387","Natural Resources and Conservation","1993-1994",634,10,3,10,11,302,12,12,3,5,17,10
"388","Architecture and Related Services","1993-1994",844,47,20,54,36,394,64,35,22,9,9,11
"389","Marketing and Distribution","1993-1994",345,12,9,6,9,280,10,5,17,23,4,8
"390","Communication- Journalism- and Related Programs","1993-1994",2120,44,63,63,117,3219,109,193,135,271,48,53
"391","Computer and Information Sciences and Support Services","1993-1994",862,171,62,116,76,192,39,17,43,37,23,7
"392","Education","1993-1994",1509,13,19,20,63,5013,33,108,72,220,31,78
"393","Engineering","1993-1994",6401,665,84,838,208,1223,379,89,232,150,147,29
"394","Foreign Languages- Literatures- and Linguistics","1993-1994",488,15,36,26,55,954,59,114,16,52,10,28
"395","Family and Consumer Sciences/Human Sciences","1993-1994",298,5,38,15,38,1785,4,30,24,81,4,18
"396","English language and literature/letters.","1993-1994",1829,14,19,65,111,3147,80,176,70,238,57,70
"397","Biological and Biomedical Sciences","1993-1994",2139,43,53,401,367,1927,156,127,84,168,34,37
"398","Mathematics and Statistics","1993-1994",507,35,10,47,44,422,43,39,29,49,14,10
"399","Parks- Recreation- Leisure and Fitness Studies","1993-1994",465,8,3,8,4,535,20,20,19,20,8,10
"400","Philosophy and Religious Studies","1993-1994",356,6,5,19,14,181,20,15,10,9,12,9
"401","Physical Sciences","1993-1994",917,49,14,84,43,393,41,16,31,19,18,12
"402","Science Technologies","1993-1994",6,0,0,0,1,8,2,0,1,4,0,0
"403","Psychology","1993-1994",1602,14,61,119,231,3679,104,244,68,309,44,67
"404","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1993-1994",771,2,1,32,12,385,46,39,72,101,15,6
"405","Public administration and social service professions.","1993-1994",231,1,1,19,30,583,22,43,39,75,3,13
"406","Social Sciences and History","1993-1994",7218,233,130,372,345,4847,427,359,425,477,160,132
"407","Visual and performing arts.","1993-1994",1407,45,62,81,124,2174,70,92,57,73,62,62
"408","Health Professions and Related Programs","1993-1994",944,14,43,70,236,3330,43,122,28,201,19,52
"409","Business- Management- Marketing- and Related Support Services","1993-1994",8935,629,511,559,609,6003,406,335,334,529,179,110
"410","Area- Ethnic- Cultural- Gender- and Group Studies","1993-1994",197,5,10,14,30,339,23,34,21,49,4,7
"411","Liberal arts and sciences- general studies and humanities.","1993-1994",556,19,13,20,32,839,21,34,32,64,17,36
"412","Multi/Interdisciplinary Studies","1993-1994",434,4,9,35,90,1006,35,84,10,30,18,17
"413","Construction Trades","1993-1994",20,0,0,1,0,0,0,0,0,0,0,0
"414","Engineering Technologies and Engineering-related Fields","1993-1994",590,13,4,62,14,48,53,7,16,3,25,5
"415","Legal professions and studies.","1993-1994",15,0,1,0,0,13,2,0,1,0,0,0
"416","Theology and religious vocations.","1993-1994",16,0,0,2,1,16,0,1,0,0,1,1
"417","Communications Technologies/Technicians and Support Services","1993-1994",109,4,2,2,4,97,4,2,9,13,4,1
"418","Military technologies.","1993-1994",1,0,0,0,0,0,0,0,0,0,0,0
"419","Transportation and materials moving.","1993-1994",141,1,0,4,0,16,4,0,3,0,6,0
"420","Agriculture- Agriculture Operations and Related Sciences","1994-1995",758,22,6,4,2,217,19,6,8,16,7,11
"421","Agricultural Sciences","1994-1995",1009,32,14,10,11,629,23,24,10,15,23,10
"422","Natural Resources and Conservation","1994-1995",641,12,6,16,16,367,18,11,8,9,18,8
"423","Architecture and Related Services","1994-1995",819,39,21,45,22,343,93,30,18,13,11,6
"424","Area- Ethnic- Cultural- Gender- and Group Studies","1994-1995",190,7,11,10,30,343,17,29,19,59,6,5
"425","Marketing and Distribution","1994-1995",279,17,16,4,11,221,15,8,12,33,3,4
"426","Communication- Journalism- and Related Programs","1994-1995",1981,41,68,59,132,2946,112,179,113,252,52,44
"427","Computer and Information Sciences and Support Services","1994-1995",772,188,72,132,87,169,53,12,43,15,30,9
"428","Education","1994-1995",1722,14,25,33,76,4765,42,109,86,205,31,84
"429","Engineering","1994-1995",6245,745,108,868,238,1222,382,110,259,169,138,26
"430","Foreign Languages- Literatures- and Linguistics","1994-1995",433,14,42,20,60,889,52,132,11,46,17,22
"431","Family and Consumer Sciences/Human Sciences","1994-1995",288,9,30,15,36,1777,7,52,22,81,3,30
"432","English language and literature/letters.","1994-1995",1812,16,33,68,141,2941,84,171,82,216,48,67
"433","Biological and Biomedical Sciences","1994-1995",2174,43,54,454,465,2003,164,145,58,158,57,56
"434","Mathematics and Statistics","1994-1995",523,31,18,54,51,398,29,17,28,39,8,8
"435","Parks- Recreation- Leisure and Fitness Studies","1994-1995",488,7,7,10,11,517,21,18,26,18,9,7
"436","Philosophy and Religious Studies","1994-1995",361,3,3,19,15,123,24,9,6,6,6,4
"437","Physical Sciences","1994-1995",1020,46,24,96,62,396,43,18,30,48,25,13
"438","Science Technologies","1994-1995",5,0,0,0,0,8,0,0,0,1,0,0
"439","Psychology","1994-1995",1660,19,57,113,251,3769,121,284,108,296,47,81
"440","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1994-1995",721,2,4,31,10,339,54,43,87,108,14,6
"441","Public administration and social service professions.","1994-1995",190,0,4,13,24,547,18,41,20,98,6,14
"442","Social Sciences and History","1994-1995",6489,256,175,389,388,4529,453,354,365,485,184,117
"443","Visual and performing arts.","1994-1995",1347,44,75,79,151,2039,95,108,63,75,51,61
"444","Health Professions and Related Programs","1994-1995",887,14,33,95,261,3251,63,189,42,236,24,65
"445","Business- Management- Marketing- and Related Support Services","1994-1995",7865,669,643,578,628,5180,453,364,281,467,143,112
"446","Legal professions and studies.","1994-1995",22,0,0,1,0,10,0,1,0,4,0,1
"447","Multi/Interdisciplinary Studies","1994-1995",449,6,5,52,92,1074,34,97,16,39,23,10
"448","Construction Trades","1994-1995",12,1,0,1,0,0,0,0,0,0,1,0
"449","Transportation and materials moving.","1994-1995",123,1,0,3,0,14,5,0,4,0,7,1
"450","Engineering Technologies and Engineering-related Fields","1994-1995",606,16,0,65,14,47,40,8,23,6,30,4
"451","Liberal arts and sciences- general studies and humanities.","1994-1995",502,27,18,19,38,735,20,42,41,74,19,36
"452","Theology and religious vocations.","1994-1995",9,0,0,1,0,4,2,0,0,1,0,0
"453","Communications Technologies/Technicians and Support Services","1994-1995",135,6,7,3,7,63,4,5,6,14,2,1
"454","Agriculture- Agriculture Operations and Related Sciences","1995-1996",709,17,4,5,2,228,18,6,14,15,11,9
"455","Agricultural Sciences","1995-1996",1103,24,19,12,14,679,36,31,9,15,13,12
"456","Natural Resources and Conservation","1995-1996",728,10,2,14,11,427,15,15,6,5,24,18
"457","Architecture and Related Services","1995-1996",770,48,23,47,39,333,51,27,25,7,10,6
"458","Marketing and Distribution","1995-1996",288,23,30,5,10,200,13,7,14,20,7,5
"459","Communication- Journalism- and Related Programs","1995-1996",1831,54,83,77,146,2882,119,183,107,253,48,67
"460","Computer and Information Sciences and Support Services","1995-1996",790,149,60,148,78,165,42,13,42,22,20,12
"461","Education","1995-1996",1595,20,22,31,89,4385,45,111,81,188,32,92
"462","Engineering","1995-1996",6209,739,107,901,275,1361,414,90,287,177,161,24
"463","Foreign Languages- Literatures- and Linguistics","1995-1996",474,17,45,22,52,897,69,149,18,44,12,37
"464","Family and Consumer Sciences/Human Sciences","1995-1996",281,1,32,11,61,1736,10,61,21,84,10,29
"465","English language and literature/letters.","1995-1996",1657,13,26,52,150,2799,92,157,72,241,55,61
"466","Biological and Biomedical Sciences","1995-1996",2284,61,58,459,481,2223,173,143,105,189,52,47
"467","Mathematics and Statistics","1995-1996",582,44,20,55,47,444,42,18,28,41,4,5
"468","Parks- Recreation- Leisure and Fitness Studies","1995-1996",490,2,4,13,11,576,27,22,22,28,10,5
"469","Philosophy and Religious Studies","1995-1996",339,3,7,36,20,144,16,10,10,8,11,3
"470","Physical Sciences","1995-1996",961,50,24,113,68,409,40,24,39,51,26,7
"471","Science Technologies","1995-1996",4,0,0,0,0,2,1,0,1,1,0,0
"472","Psychology","1995-1996",1614,21,67,140,275,3627,125,306,107,321,40,95
"473","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1995-1996",698,6,1,19,22,389,68,44,90,128,21,8
"474","Public administration and social service professions.","1995-1996",184,2,1,13,28,519,17,57,33,86,3,23
"475","Social Sciences and History","1995-1996",6187,273,197,391,366,4532,459,369,376,507,169,135
"476","Visual and performing arts.","1995-1996",1246,45,86,82,124,1950,117,128,58,77,59,51
"477","Health Professions and Related Programs","1995-1996",1010,10,31,97,319,3413,55,198,45,246,23,67
"478","Business- Management- Marketing- and Related Support Services","1995-1996",7452,737,634,550,691,5033,477,345,316,461,158,116
"479","Area- Ethnic- Cultural- Gender- and Group Studies","1995-1996",172,8,8,23,49,312,24,42,32,77,8,11
"480","Multi/Interdisciplinary Studies","1995-1996",508,10,15,59,106,1083,53,107,18,41,14,19
"481","Construction Trades","1995-1996",13,0,0,0,0,0,0,0,0,0,0,0
"482","Engineering Technologies and Engineering-related Fields","1995-1996",546,9,0,55,11,44,40,5,20,6,28,5
"483","Liberal arts and sciences- general studies and humanities.","1995-1996",471,30,15,20,43,664,26,40,46,79,24,22
"484","Legal professions and studies.","1995-1996",10,0,1,1,1,6,2,0,0,1,0,0
"485","Theology and religious vocations.","1995-1996",7,0,0,0,1,6,1,0,0,1,0,0
"486","Communications Technologies/Technicians and Support Services","1995-1996",117,4,7,3,7,62,3,4,7,6,4,3
"487","Transportation and materials moving.","1995-1996",95,3,0,4,1,12,6,0,1,2,0,0
"488","Precision Production Trades","1995-1996",5,0,0,0,0,0,0,0,0,0,0,0
"489","Agriculture- Agriculture Operations and Related Sciences","1996-1997",729,19,4,5,4,264,19,5,10,9,8,6
"490","Agricultural Sciences","1996-1997",1086,39,12,8,26,775,41,37,16,21,27,17
"491","Natural Resources and Conservation","1996-1997",793,10,7,28,26,476,23,23,12,8,21,26
"492","Architecture and Related Services","1996-1997",737,56,29,34,17,338,67,40,27,14,13,5
