"","CIPTitle","DBPediaCollege_Name","V1"
"141","Computer and information sciences","University of Nebraska at Lincoln",23
"142","Computer and information sciences","University of Oklahoma",41
"143","Computer and information sciences","University of Oregon",47
"144","Computer and information sciences","University of South Carolina",42
"145","Computer and information sciences","University of Texas at Austin",194
"146","Computer and information sciences","Utah State University",78
"147","Computer and information sciences","Vanderbilt University",19
"148","Construction trades","Notre Dame University",332
"149","Education","Alabama University",304
"150","Education","Boise State University",272
"151","Education","Clemson University",241
"152","Education","Florida State University",267
"153","Education","Kansas State University",306
"154","Education","Louisiana State University",454
"155","Education","Northern Illinois University",371
"156","Education","Northwestern University",149
"157","Education","Ohio State University",390
"158","Education","Oregon State University",71
"159","Education","San Jose State University",12
"160","Education","University of Florida",231
"161","Education","University of Georgia",400
"162","Education","University of Louisville",196
"163","Education","University of Michigan",130
"164","Education","University of Nebraska at Lincoln",301
"165","Education","University of Oklahoma",163
"166","Education","University of Oregon",94
"167","Education","University of South Carolina",190
"168","Education","Utah State University",442
"169","Education","Vanderbilt University",55
"170","Engineering","Alabama University",314
"171","Engineering","Boise State University",124
"172","Engineering","Florida State University",307
"173","Engineering","Kansas State University",357
"174","Engineering","Louisiana State University",483
"175","Engineering","Northern Illinois University",111
"176","Engineering","Northwestern University",171
"177","Engineering","Notre Dame University",189
"178","Engineering","Ohio State University",1128
"179","Engineering","Oregon State University",594
"180","Engineering","Rutgers University",506
"181","Engineering","San Jose State University",381
"182","Engineering","Stanford University",257
"183","Engineering","Texas A&amp;M University",1353
"184","Engineering","University of Florida",1062
"185","Engineering","University of Georgia",52
"186","Engineering","University of Louisville",278
"187","Engineering","University of Michigan",1038
"188","Engineering","University of Nebraska at Lincoln",356
"189","Engineering","University of Oklahoma",367
"190","Engineering","University of South Carolina",244
"191","Engineering","University of Texas at Austin",1067
"192","Engineering","Utah State University",209
"193","Engineering","Vanderbilt University",213
"194","Engineering technologies","Clemson University",585
"195","Engineering technologies","Kansas State University",153
"196","Engineering technologies","Northern Illinois University",63
"197","Engineering technologies","Northwestern University",149
"198","Engineering technologies","Ohio State University",3
"199","Engineering technologies","Stanford University",66
"200","Engineering technologies","Texas A&amp;M University",271
"201","Engineering technologies","University of Florida",98
"202","Engineering technologies","University of Nebraska at Lincoln",87
"203","English","Alabama University",85
"204","English","Boise State University",91
"205","English","Clemson University",138
"206","English","Florida State University",409
"207","English","Kansas State University",47
"208","English","Louisiana State University",147
"209","English","Northern Illinois University",140
"210","English","Notre Dame University",81
"211","English","Ohio State University",370
"212","English","Oregon State University",67
"213","English","Rutgers University",259
"214","English","San Jose State University",234
"215","English","Stanford University",66
"216","English","Texas A&amp;M University",180
"217","English","University of Florida",266
"218","English","University of Georgia",206
"219","English","University of Louisville",104
"220","English","University of Michigan",260
"221","English","University of Nebraska at Lincoln",94
"222","English","University of Oklahoma",82
"223","English","University of Oregon",141
"224","English","University of South Carolina",133
"225","English","University of Texas at Austin",318
"226","English","Utah State University",101
"227","English","Vanderbilt University",73
"228","Family and consumer sciences","Alabama University",324
"229","Family and consumer sciences","Clemson University",69
"230","Family and consumer sciences","Florida State University",432
"231","Family and consumer sciences","Kansas State University",287
"232","Family and consumer sciences","Louisiana State University",28
"233","Family and consumer sciences","Northern Illinois University",159
"234","Family and consumer sciences","Ohio State University",883
"235","Family and consumer sciences","Oregon State University",425
"236","Family and consumer sciences","San Jose State University",160
"237","Family and consumer sciences","Texas A&amp;M University",180
"238","Family and consumer sciences","University of Georgia",312
"239","Family and consumer sciences","University of Nebraska at Lincoln",316
"240","Family and consumer sciences","University of Texas at Austin",291
"241","Family and consumer sciences","Utah State University",142
"242","Family and consumer sciences","Vanderbilt University",29
"243","Foreign languages, literatures, and linguistics","Alabama University",34
"244","Foreign languages, literatures, and linguistics","Boise State University",26
"245","Foreign languages, literatures, and linguistics","Clemson University",34
"246","Foreign languages, literatures, and linguistics","Florida State University",86
"247","Foreign languages, literatures, and linguistics","Kansas State University",29
"248","Foreign languages, literatures, and linguistics","Louisiana State University",65
"249","Foreign languages, literatures, and linguistics","Northern Illinois University",42
"250","Foreign languages, literatures, and linguistics","Notre Dame University",183
"251","Foreign languages, literatures, and linguistics","Ohio State University",330
"252","Foreign languages, literatures, and linguistics","Oregon State University",31
"253","Foreign languages, literatures, and linguistics","Rutgers University",117
"254","Foreign languages, literatures, and linguistics","San Jose State University",52
"255","Foreign languages, literatures, and linguistics","Stanford University",53
"256","Foreign languages, literatures, and linguistics","Texas A&amp;M University",90
"257","Foreign languages, literatures, and linguistics","University of Florida",204
"258","Foreign languages, literatures, and linguistics","University of Georgia",230
"259","Foreign languages, literatures, and linguistics","University of Louisville",41
"260","Foreign languages, literatures, and linguistics","University of Michigan",260
"261","Foreign languages, literatures, and linguistics","University of Nebraska at Lincoln",68
"262","Foreign languages, literatures, and linguistics","University of Oklahoma",82
"263","Foreign languages, literatures, and linguistics","University of Oregon",329
"264","Foreign languages, literatures, and linguistics","University of South Carolina",38
"265","Foreign languages, literatures, and linguistics","University of Texas at Austin",247
"266","Foreign languages, literatures, and linguistics","Utah State University",37
"267","Foreign languages, literatures, and linguistics","Vanderbilt University",93
"268","Health professions and related programs","Alabama University",457
"269","Health professions and related programs","Boise State University",399
"270","Health professions and related programs","Clemson University",241
"271","Health professions and related programs","Florida State University",307
"272","Health professions and related programs","Kansas State University",127
"273","Health professions and related programs","Louisiana State University",79
"274","Health professions and related programs","Northern Illinois University",587
"275","Health professions and related programs","Notre Dame University",137
"276","Health professions and related programs","Ohio State University",839
"277","Health professions and related programs","Oregon State University",142
"278","Health professions and related programs","Rutgers University",123
"279","Health professions and related programs","San Jose State University",421
"280","Health professions and related programs","Texas A&amp;M University",180
"281","Health professions and related programs","University of Florida",658
"282","Health professions and related programs","University of Georgia",254
"283","Health professions and related programs","University of Louisville",210
"284","Health professions and related programs","University of Michigan",195
"285","Health professions and related programs","University of Nebraska at Lincoln",68
"286","Health professions and related programs","University of Oregon",47
"287","Health professions and related programs","University of South Carolina",282
"288","Health professions and related programs","University of Texas at Austin",362
"289","Health professions and related programs","Utah State University",317
"290","History","Alabama University",96
"291","History","Boise State University",39
"292","History","Clemson University",69
"293","History","Florida State University",126
"294","History","Kansas State University",44
"295","History","Louisiana State University",141
"296","History","Northern Illinois University",108
"297","History","Notre Dame University",64
"298","History","Ohio State University",213
"299","History","Oregon State University",55
"300","History","Rutgers University",253
"301","History","San Jose State University",50
"302","History","Stanford University",64
"303","History","Texas A&amp;M University",180
"304","History","University of Florida",176
"305","History","University of Georgia",172
"306","History","University of Louisville",66
"307","History","University of Michigan",130
"308","History","University of Nebraska at Lincoln",66
"309","History","University of Oklahoma",82
"310","History","University of Oregon",141
"311","History","University of South Carolina",109
"312","History","University of Texas at Austin",247
"313","History","Utah State University",74
"314","History","Vanderbilt University",58
"315","Home economics and vocational home economics  ","University of Florida",175
"316","Homeland Security, law enforcement, firefighting, and protective services","Alabama University",70
"317","Homeland Security, law enforcement, firefighting, and protective services","Boise State University",116
"318","Homeland Security, law enforcement, firefighting, and protective services","Florida State University",479
"319","Homeland Security, law enforcement, firefighting, and protective services","Rutgers University",241
"320","Homeland Security, law enforcement, firefighting, and protective services","San Jose State University",202
"321","Homeland Security, law enforcement, firefighting, and protective services","University of Georgia",44
"322","Homeland Security, law enforcement, firefighting, and protective services","University of Louisville",136
"323","Homeland Security, law enforcement, firefighting, and protective services","University of Nebraska at Lincoln",18
"324","Homeland Security, law enforcement, firefighting, and protective services","University of Oklahoma",41
"325","Homeland Security, law enforcement, firefighting, and protective services","University of South Carolina",188
"326","Interdisciplinary studies","Alabama University",98
"327","Interdisciplinary studies","Boise State University",52
"328","Interdisciplinary studies","Kansas State University",69
"329","Interdisciplinary studies","Louisiana State University",151
"330","Interdisciplinary studies","Northern Illinois University",111
"331","Interdisciplinary studies","Notre Dame University",75
"332","Interdisciplinary studies","Ohio State University",93
"333","Interdisciplinary studies","Oregon State University",157
"334","Interdisciplinary studies","Rutgers University",93
"335","Interdisciplinary studies","San Jose State University",7
"336","Interdisciplinary studies","Stanford University",241
"337","Interdisciplinary studies","Texas A&amp;M University",812
"338","Interdisciplinary studies","University of Florida",79
"339","Interdisciplinary studies","University of Georgia",157
"340","Interdisciplinary studies","University of Michigan",130
"341","Interdisciplinary studies","University of Nebraska at Lincoln",10
"342","Interdisciplinary studies","University of Oklahoma",551
"343","Interdisciplinary studies","University of Oregon",235
"344","Interdisciplinary studies","University of Texas at Austin",335
"345","Interdisciplinary studies","Utah State University",172
"346","Interdisciplinary studies","Vanderbilt University",136
"347","Law/legal studies","Utah State University",20
"348","Liberal arts/general studies","Boise State University",52
"349","Liberal arts/general studies","Florida State University",47
"350","Liberal arts/general studies","Kansas State University",7
"351","Liberal arts/general studies","Louisiana State University",239
"352","Liberal arts/general studies","Northwestern University",1089
"353","Liberal arts/general studies","Notre Dame University",27
"354","Liberal arts/general studies","Ohio State University",33
"355","Liberal arts/general studies","Oregon State University",236
"356","Liberal arts/general studies","San Jose State University",70
"357","Liberal arts/general studies","University of Georgia",5
"358","Liberal arts/general studies","University of Louisville",39
"359","Liberal arts/general studies","University of Michigan",65
"360","Liberal arts/general studies","University of Nebraska at Lincoln",1
"361","Liberal arts/general studies","University of Oklahoma",224
"362","Liberal arts/general studies","University of South Carolina",80
"363","Liberal arts/general studies","University of Texas at Austin",123
"364","Liberal arts/general studies","Utah State University",71
"365","Mathematics and statistics","Alabama University",26
"366","Mathematics and statistics","Boise State University",13
"367","Mathematics and statistics","Clemson University",34
"368","Mathematics and statistics","Florida State University",39
"369","Mathematics and statistics","Kansas State University",22
"370","Mathematics and statistics","Louisiana State University",49
"371","Mathematics and statistics","Northern Illinois University",63
"372","Mathematics and statistics","Notre Dame University",35
"373","Mathematics and statistics","Ohio State University",116
"374","Mathematics and statistics","Oregon State University",24
"375","Mathematics and statistics","Rutgers University",111
"376","Mathematics and statistics","San Jose State University",25
"377","Mathematics and statistics","Stanford University",57
"378","Mathematics and statistics","Texas A&amp;M University",90
"379","Mathematics and statistics","University of Florida",101
"380","Mathematics and statistics","University of Georgia",47
"381","Mathematics and statistics","University of Louisville",22
"382","Mathematics and statistics","University of Michigan",195
"383","Mathematics and statistics","University of Nebraska at Lincoln",29
"384","Mathematics and statistics","University of Oklahoma",41
"385","Mathematics and statistics","University of Oregon",47
"386","Mathematics and statistics","University of South Carolina",48
"387","Mathematics and statistics","University of Texas at Austin",185
"388","Mathematics and statistics","Utah State University",17
"389","Mathematics and statistics","Vanderbilt University",55
"390","Mechanic and repair technologies","Kansas State University",7
"391","Mechanic and repair technologies","Utah State University",13
"392","Natural resources and conservation","Alabama University",9
"393","Natural resources and conservation","Boise State University",13
"394","Natural resources and conservation","Clemson University",34
"395","Natural resources and conservation","Florida State University",16
"396","Natural resources and conservation","Louisiana State University",68
"397","Natural resources and conservation","Notre Dame University",37
"398","Natural resources and conservation","Ohio State University",126
"399","Natural resources and conservation","Oregon State University",248
"400","Natural resources and conservation","Rutgers University",117
"401","Natural resources and conservation","San Jose State University",44
"402","Natural resources and conservation","Texas A&amp;M University",271
"403","Natural resources and conservation","University of Florida",138
"404","Natural resources and conservation","University of Georgia",84
"405","Natural resources and conservation","University of Michigan",130
"406","Natural resources and conservation","University of Nebraska at Lincoln",77
"407","Natural resources and conservation","University of Oklahoma",20
"408","Natural resources and conservation","University of Oregon",141
"409","Natural resources and conservation","University of South Carolina",12
"410","Natural resources and conservation","Utah State University",27
"411","Parks and recreation","Boise State University",28
"412","Parks and recreation","Clemson University",103
"413","Parks and recreation","Florida State University",346
"414","Parks and recreation","Kansas State University",124
"415","Parks and recreation","Louisiana State University",133
"416","Parks and recreation","Northern Illinois University",52
"417","Parks and recreation","Ohio State University",126
"418","Parks and recreation","Oregon State University",153
"419","Parks and recreation","Rutgers University",216
"420","Parks and recreation","San Jose State University",173
"421","Parks and recreation","Texas A&amp;M University",361
"422","Parks and recreation","University of Florida",220
"423","Parks and recreation","University of Georgia",208
"424","Parks and recreation","University of Louisville",226
"425","Parks and recreation","University of Michigan",195
"426","Parks and recreation","University of Oklahoma",122
"427","Parks and recreation","University of South Carolina",127
"428","Parks and recreation","University of Texas at Austin",168
"429","Parks and recreation","Utah State University",24
"430","Philosophy and religious studies","Alabama University",18
"431","Philosophy and religious studies","Boise State University",13
"432","Philosophy and religious studies","Clemson University",34
"433","Philosophy and religious studies","Florida State University",71
"434","Philosophy and religious studies","Kansas State University",7
"435","Philosophy and religious studies","Louisiana State University",21
"436","Philosophy and religious studies","Northern Illinois University",16
"437","Philosophy and religious studies","Notre Dame University",29
"438","Philosophy and religious studies","Ohio State University",44
"439","Philosophy and religious studies","Oregon State University",12
"440","Philosophy and religious studies","Rutgers University",80
"441","Philosophy and religious studies","San Jose State University",17
"442","Philosophy and religious studies","Stanford University",21
"443","Philosophy and religious studies","University of Florida",58
"444","Philosophy and religious studies","University of Georgia",62
"445","Philosophy and religious studies","University of Louisville",19
"446","Philosophy and religious studies","University of Michigan",65
"447","Philosophy and religious studies","University of Nebraska at Lincoln",4
"448","Philosophy and religious studies","University of Oklahoma",41
"449","Philosophy and religious studies","University of Oregon",94
"450","Philosophy and religious studies","University of South Carolina",17
"451","Philosophy and religious studies","University of Texas at Austin",79
"452","Philosophy and religious studies","Utah State University",17
"453","Philosophy and religious studies","Vanderbilt University",38
"454","Physical sciences","Alabama University",54
"455","Physical sciences","Boise State University",26
"456","Physical sciences","Clemson University",69
"457","Physical sciences","Florida State University",102
"458","Physical sciences","Kansas State University",33
"459","Physical sciences","Louisiana State University",61
"460","Physical sciences","Northern Illinois University",63
"461","Physical sciences","Notre Dame University",37
"462","Physical sciences","Ohio State University",118
"463","Physical sciences","Oregon State University",63
"464","Physical sciences","Rutgers University",123
"465","Physical sciences","San Jose State University",34
"466","Physical sciences","Stanford University",104
"467","Physical sciences","Texas A&amp;M University",180
"468","Physical sciences","University of Florida",173
"469","Physical sciences","University of Georgia",82
"470","Physical sciences","University of Louisville",42
"471","Physical sciences","University of Michigan",65
"472","Physical sciences","University of Nebraska at Lincoln",52
"473","Physical sciences","University of Oklahoma",122
"474","Physical sciences","University of Oregon",47
"475","Physical sciences","University of South Carolina",69
"476","Physical sciences","University of Texas at Austin",238
"477","Physical sciences","Utah State University",27
"478","Physical sciences","Vanderbilt University",48
"479","Psychology","Alabama University",143
"480","Psychology","Boise State University",132
"481","Psychology","Clemson University",172
"482","Psychology","Florida State University",417
"483","Psychology","Kansas State University",80
"484","Psychology","Louisiana State University",356
"485","Psychology","Northern Illinois University",646
"486","Psychology","Notre Dame University",100
"487","Psychology","Ohio State University",719
"488","Psychology","Oregon State University",130
"489","Psychology","Rutgers University",623
"490","Psychology","San Jose State University",345
"491","Psychology","Stanford University",90
"492","Psychology","Texas A&amp;M University",451
"493","Psychology","University of Florida",462
"494","Psychology","University of Georgia",459
"495","Psychology","University of Louisville",208
"496","Psychology","University of Michigan",649
"497","Psychology","University of Nebraska at Lincoln",202
"498","Psychology","University of Oklahoma",143
"499","Psychology","University of Oregon",376
"500","Psychology","University of South Carolina",273
"501","Psychology","University of Texas at Austin",335
"502","Psychology","Utah State University",108
"503","Psychology","Vanderbilt University",93
"504","Public administration and social services","Alabama University",48
"505","Public administration and social services","Boise State University",65
"506","Public administration and social services","Florida State University",110
"507","Public administration and social services","Kansas State University",33
"508","Public administration and social services","Ohio State University",159
"509","Public administration and social services","Rutgers University",49
"510","Public administration and social services","San Jose State University",74
"511","Public administration and social services","Stanford University",24
"512","Public administration and social services","University of Georgia",59
"513","Public administration and social services","University of Louisville",46
"514","Public administration and social services","University of Michigan",65
"515","Public administration and social services","University of Oklahoma",41
"516","Public administration and social services","University of Oregon",141
"517","Public administration and social services","University of South Carolina",20
"518","Public administration and social services","University of Texas at Austin",79
"519","Public administration and social services","Utah State University",54
"520","Public administration and social services","Vanderbilt University",16
"521","Science technologies","Louisiana State University",181
"522","Science technologies","Northwestern University",85
"523","Security and protective services  ","University of Florida",7
"524","Social sciences","Alabama University",202
"525","Social sciences","Boise State University",179
"526","Social sciences","Clemson University",241
"527","Social sciences","Florida State University",1478
"528","Social sciences","Kansas State University",397
"529","Social sciences","Northern Illinois University",143
"530","Social sciences","Ohio State University",1337
"531","Social sciences","Oregon State University",220
"532","Social sciences","Rutgers University",957
"533","Social sciences","San Jose State University",339
"534","Social sciences","Stanford University",317
"535","Social sciences","Texas A&amp;M University",722
"536","Social sciences","University of Florida",1111
"537","Social sciences","University of Georgia",672
"538","Social sciences","University of Louisville",222
"539","Social sciences","University of Michigan",1038
"540","Social sciences","University of Nebraska at Lincoln",216
"541","Social sciences","University of Oklahoma",265
"542","Social sciences","University of Oregon",986
"543","Social sciences","University of South Carolina",399
"544","Social sciences","University of Texas at Austin",1085
"545","Social sciences","Utah State University",405
"546","Social sciences","Vanderbilt University",473
"547","Theology and religious vocations","Notre Dame University",48
"548","Transportation and materials moving","Kansas State University",22
"549","Transportation and materials moving","Ohio State University",50
"550","Transportation and materials moving","San Jose State University",32
"551","Transportation and materials moving","University of Oklahoma",41
"552","Transportation and materials moving","Utah State University",10
"553","Visual and performing arts","Alabama University",208
"554","Visual and performing arts","Boise State University",119
"555","Visual and performing arts","Clemson University",103
"556","Visual and performing arts","Florida State University",401
"557","Visual and performing arts","Kansas State University",113
"558","Visual and performing arts","Louisiana State University",145
"559","Visual and performing arts","Northwestern University",107
"560","Visual and performing arts","Notre Dame University",100
"561","Visual and performing arts","Ohio State University",321
"562","Visual and performing arts","Oregon State University",134
"563","Visual and performing arts","Rutgers University",210
"564","Visual and performing arts","San Jose State University",373
"565","Visual and performing arts","Stanford University",44
"566","Visual and performing arts","University of Florida",236
"567","Visual and performing arts","University of Georgia",282
"568","Visual and performing arts","University of Louisville",107
"569","Visual and performing arts","University of Michigan",389
"570","Visual and performing arts","University of Nebraska at Lincoln",142
"571","Visual and performing arts","University of Oklahoma",204
"572","Visual and performing arts","University of Oregon",329
"573","Visual and performing arts","University of South Carolina",245
"574","Visual and performing arts","University of Texas at Austin",273
"575","Visual and performing arts","Utah State University",128
"576","Visual and performing arts","Vanderbilt University",89
