"","CIP_Classificaiton","Year","ID_School","White.Men","Foreign.Men","Foreign.Women","Asian.Islander.Men","Asian.Islander.Women","White.Women","Hispanic.Men","Hispanic.Women","Black.Men","Black.Women","Other.Men","Other.Women"
"1343","Health Sciences","1984-1985","BAMA",21,0,0,0,0,137,0,0,6,28,0,0
"1344","Family and Consumer Sciences/Human Sciences","1984-1985","BAMA",1,0,0,0,0,69,0,0,1,4,0,0
"1345","Legal professions and studies.","1984-1985","BAMA",10,0,0,0,0,1,0,0,0,0,0,0
"1346","English language and literature/letters.","1984-1985","BAMA",9,0,0,0,0,23,0,0,4,2,0,0
"1347","Liberal arts and sciences- general studies and humanities.","1984-1985","BAMA",0,0,0,0,0,1,0,0,0,0,0,0
"1348","Biological and Biomedical Sciences","1984-1985","BAMA",22,0,0,0,0,27,0,0,2,1,0,0
"1349","Mathematics and Statistics","1984-1985","BAMA",7,0,0,0,0,11,0,0,0,6,0,0
"1350","Multi/Interdisciplinary Studies","1984-1985","BAMA",50,0,0,0,0,37,0,0,0,4,0,0
"1351","Parks- Recreation- Leisure and Fitness Studies","1984-1985","BAMA",10,0,0,0,0,6,0,0,0,0,0,0
"1352","Philosophy and Religious Studies","1984-1985","BAMA",5,0,0,0,0,0,0,0,0,0,0,0
"1353","Physical Sciences","1984-1985","BAMA",45,0,0,0,0,7,0,0,1,0,0,0
"1354","Psychology","1984-1985","BAMA",22,0,0,0,0,27,0,0,2,7,0,0
"1355","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1984-1985","BAMA",11,0,0,0,0,4,0,0,1,6,0,0
"1356","Public administration and social service professions.","1984-1985","BAMA",1,0,0,0,0,13,0,0,0,0,0,0
"1357","Social Sciences and History","1984-1985","BAMA",76,0,0,0,0,38,0,0,6,3,0,0
"1358","Visual and performing arts.","1984-1985","BAMA",15,0,0,0,0,28,0,0,1,2,0,0
"1359","Health Professions and Related Programs","1984-1985","BAMA",1,0,0,0,0,5,0,0,0,0,0,0
"1360","Business- Management- Marketing- and Related Support Services","1984-1985","BAMA",338,0,0,0,0,250,0,0,9,24,0,0
"1361","Agriculture- Agriculture Operations and Related Sciences","1984-1985","BOS.ST",0,0,0,0,0,1,0,0,0,0,0,0
"1362","Marketing and Distribution","1984-1985","BOS.ST",1,0,0,0,0,2,0,1,0,0,0,0
"1363","Communication- Journalism- and Related Programs","1984-1985","BOS.ST",12,0,0,0,0,17,0,0,0,0,0,0
"1364","Computer and Information Sciences and Support Services","1984-1985","BOS.ST",34,1,0,0,2,13,0,1,0,0,0,0
"1365","Education","1984-1985","BOS.ST",25,0,1,0,2,95,0,6,1,0,1,0
"1366","Engineering","1984-1985","BOS.ST",2,0,0,0,1,3,0,1,0,0,0,0
"1367","Engineering Technologies and Engineering-related Fields","1984-1985","BOS.ST",7,0,0,0,0,0,0,0,0,0,0,0
"1368","Health Sciences","1984-1985","BOS.ST",5,0,0,0,0,16,0,0,0,0,0,0
"1369","English language and literature/letters.","1984-1985","BOS.ST",5,0,0,0,0,9,0,1,0,0,0,0
"1370","Biological and Biomedical Sciences","1984-1985","BOS.ST",9,1,0,0,0,6,0,0,0,0,0,0
"1371","Mathematics and Statistics","1984-1985","BOS.ST",14,0,0,0,0,4,0,0,0,0,0,0
"1372","Multi/Interdisciplinary Studies","1984-1985","BOS.ST",12,0,0,0,0,0,1,0,0,0,0,0
"1373","Parks- Recreation- Leisure and Fitness Studies","1984-1985","BOS.ST",3,0,1,0,1,2,0,0,0,0,0,0
"1374","Physical Sciences","1984-1985","BOS.ST",18,2,0,2,0,10,0,1,0,0,0,0
"1375","Psychology","1984-1985","BOS.ST",3,0,0,0,0,8,0,0,0,0,0,0
"1376","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1984-1985","BOS.ST",24,0,0,0,0,10,3,0,1,0,0,0
"1377","Public administration and social service professions.","1984-1985","BOS.ST",3,0,0,0,0,7,0,0,0,0,0,0
"1378","Social Sciences and History","1984-1985","BOS.ST",46,0,0,1,0,30,3,0,1,0,0,0
"1379","Mechanics and Repairers","1984-1985","BOS.ST",1,0,0,0,0,0,0,0,0,0,0,0
"1380","Precision Production Trades","1984-1985","BOS.ST",1,0,0,0,0,2,1,0,0,0,0,0
"1381","Transportation and materials moving.","1984-1985","BOS.ST",9,1,0,0,0,1,0,0,0,0,0,0
"1382","Visual and performing arts.","1984-1985","BOS.ST",14,0,0,0,1,21,0,0,0,0,0,1
"1383","Health Professions and Related Programs","1984-1985","BOS.ST",3,0,0,0,0,5,0,0,1,0,0,0
"1384","Business- Management- Marketing- and Related Support Services","1984-1985","BOS.ST",147,0,0,1,2,113,1,2,0,0,0,0
"1385","Agriculture- Agriculture Operations and Related Sciences","1984-1985","CLEM",26,0,0,0,0,0,0,0,1,0,0,0
"1386","Agricultural Sciences","1984-1985","CLEM",40,0,2,0,0,24,0,0,1,0,0,1
"1387","Natural Resources and Conservation","1984-1985","CLEM",18,0,0,0,0,6,0,0,0,0,0,0
"1388","Architecture and Related Services","1984-1985","CLEM",79,1,0,2,0,21,1,0,1,1,0,0
"1389","Computer and Information Sciences and Support Services","1984-1985","CLEM",42,2,0,0,0,37,0,0,2,0,0,0
"1390","Education","1984-1985","CLEM",42,0,0,0,0,170,0,0,2,3,0,1
"1391","Engineering","1984-1985","CLEM",426,16,4,3,0,63,0,0,5,10,0,0
"1392","Engineering Technologies and Engineering-related Fields","1984-1985","CLEM",82,0,1,0,0,12,0,0,4,4,0,0
"1393","Foreign Languages- Literatures- and Linguistics","1984-1985","CLEM",1,0,0,0,0,15,0,0,0,0,0,0
"1394","Health Sciences","1984-1985","CLEM",4,0,0,0,1,86,0,0,0,4,0,0
"1395","English language and literature/letters.","1984-1985","CLEM",14,0,1,0,0,33,0,0,0,0,0,0
"1396","Biological and Biomedical Sciences","1984-1985","CLEM",34,0,1,0,0,31,0,0,2,1,0,0
"1397","Mathematics and Statistics","1984-1985","CLEM",12,0,0,0,0,28,0,0,1,1,0,0
"1398","Parks- Recreation- Leisure and Fitness Studies","1984-1985","CLEM",16,1,1,0,0,33,0,0,0,0,0,0
"1399","Physical Sciences","1984-1985","CLEM",15,0,0,0,0,3,0,0,1,0,0,0
"1400","Psychology","1984-1985","CLEM",3,0,0,0,0,22,0,0,0,0,0,0
"1401","Social Sciences and History","1984-1985","CLEM",52,3,0,0,0,63,0,0,1,0,0,0
"1402","Visual and performing arts.","1984-1985","CLEM",1,0,0,0,0,1,0,0,0,0,0,0
"1403","Business- Management- Marketing- and Related Support Services","1984-1985","CLEM",220,1,1,0,0,225,0,0,8,2,0,0
"1404","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","DUKE",3,0,0,1,1,7,0,0,0,1,0,0
"1405","Computer and Information Sciences and Support Services","1984-1985","DUKE",59,0,0,3,4,30,1,0,1,3,0,0
"1406","Engineering","1984-1985","DUKE",147,0,0,5,4,60,7,1,2,3,0,0
"1407","Foreign Languages- Literatures- and Linguistics","1984-1985","DUKE",7,0,0,0,0,18,1,0,0,1,0,0
"1408","Health Sciences","1984-1985","DUKE",0,0,0,0,0,2,0,0,0,0,0,0
"1409","English language and literature/letters.","1984-1985","DUKE",24,0,0,1,0,44,0,1,2,1,0,0
"1410","Biological and Biomedical Sciences","1984-1985","DUKE",57,0,0,5,2,64,1,3,1,2,0,0
"1411","Mathematics and Statistics","1984-1985","DUKE",7,0,0,0,1,10,0,0,0,2,0,0
"1412","Multi/Interdisciplinary Studies","1984-1985","DUKE",5,0,0,0,1,2,0,0,0,0,0,0
"1413","Philosophy and Religious Studies","1984-1985","DUKE",17,0,0,0,0,8,0,1,1,0,0,0
"1414","Physical Sciences","1984-1985","DUKE",51,0,0,3,3,28,0,0,1,0,0,0
"1415","Psychology","1984-1985","DUKE",43,0,0,3,2,88,1,5,1,9,0,1
"1416","Public administration and social service professions.","1984-1985","DUKE",29,0,0,0,2,46,0,0,0,2,0,0
"1417","Social Sciences and History","1984-1985","DUKE",213,0,0,5,7,190,4,1,13,10,0,0
"1418","Visual and performing arts.","1984-1985","DUKE",6,0,0,0,0,21,0,0,0,1,0,0
"1419","Health Professions and Related Programs","1984-1985","DUKE",23,0,0,0,0,24,0,0,0,0,0,0
"1420","Agriculture- Agriculture Operations and Related Sciences","1984-1985","FLA",26,7,2,0,0,9,0,0,1,1,1,0
"1421","Agricultural Sciences","1984-1985","FLA",72,21,2,0,0,40,3,4,0,1,1,1
"1422","Natural Resources and Conservation","1984-1985","FLA",22,1,0,0,0,12,0,0,0,0,0,0
"1423","Architecture and Related Services","1984-1985","FLA",75,4,2,1,0,31,9,6,1,1,0,0
"1424","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","FLA",2,0,0,0,0,2,0,0,0,0,0,0
"1425","Communication- Journalism- and Related Programs","1984-1985","FLA",137,2,3,0,4,269,6,21,4,8,1,2
"1426","Computer and Information Sciences and Support Services","1984-1985","FLA",161,7,4,7,7,96,13,6,5,3,0,0
"1427","Education","1984-1985","FLA",106,2,1,0,1,376,6,12,7,16,0,1
"1428","Engineering","1984-1985","FLA",459,49,4,18,3,64,34,11,5,5,1,0
"1429","Engineering Technologies and Engineering-related Fields","1984-1985","FLA",105,1,0,0,0,2,3,0,2,0,1,0
"1430","Foreign Languages- Literatures- and Linguistics","1984-1985","FLA",5,0,0,0,0,12,0,3,0,0,0,0
"1431","Health Sciences","1984-1985","FLA",49,1,3,2,6,263,4,13,1,7,0,2
"1432","Family and Consumer Sciences/Human Sciences","1984-1985","FLA",0,0,0,0,0,9,0,0,0,0,0,0
"1433","English language and literature/letters.","1984-1985","FLA",44,0,1,2,0,86,6,2,4,9,0,0
"1434","Biological and Biomedical Sciences","1984-1985","FLA",100,3,4,3,4,44,10,10,3,1,0,1
"1435","Mathematics and Statistics","1984-1985","FLA",38,2,0,2,3,17,4,1,5,2,0,0
"1436","Multi/Interdisciplinary Studies","1984-1985","FLA",13,0,0,0,1,11,0,0,0,0,0,0
"1437","Philosophy and Religious Studies","1984-1985","FLA",14,0,0,2,0,5,1,0,0,0,0,0
"1438","Physical Sciences","1984-1985","FLA",65,2,0,1,1,22,1,4,2,1,0,1
"1439","Psychology","1984-1985","FLA",66,1,3,0,2,102,6,9,1,7,0,1
"1440","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1984-1985","FLA",51,0,0,0,1,32,1,1,3,4,1,0
"1441","Social Sciences and History","1984-1985","FLA",245,4,3,1,0,130,16,6,12,8,1,1
"1442","Visual and performing arts.","1984-1985","FLA",38,0,1,0,0,49,3,5,0,3,0,0
"1443","Health Professions and Related Programs","1984-1985","FLA",28,0,0,0,0,75,3,3,2,0,0,0
"1444","Business- Management- Marketing- and Related Support Services","1984-1985","FLA",535,13,9,5,7,396,31,25,11,10,0,1
"1445","Architecture and Related Services","1984-1985","FSU",11,1,2,0,0,55,0,2,0,2,0,0
"1446","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","FSU",2,0,1,0,0,3,0,0,0,1,0,0
"1447","Communication- Journalism- and Related Programs","1984-1985","FSU",63,0,1,0,0,117,1,3,5,9,0,0
"1448","Computer and Information Sciences and Support Services","1984-1985","FSU",46,2,2,0,2,44,0,0,3,4,0,0
"1449","Education","1984-1985","FSU",59,0,1,0,1,268,0,7,0,7,1,0
"1450","Engineering","1984-1985","FSU",9,0,0,0,0,0,0,0,0,0,0,0
"1451","Foreign Languages- Literatures- and Linguistics","1984-1985","FSU",5,1,0,0,0,19,0,3,0,0,0,0
"1452","Health Sciences","1984-1985","FSU",5,0,3,0,2,144,0,6,0,8,0,0
"1453","Family and Consumer Sciences/Human Sciences","1984-1985","FSU",10,0,2,0,0,180,0,2,2,17,0,0
"1454","English language and literature/letters.","1984-1985","FSU",30,0,1,1,0,65,0,0,0,5,0,0
"1455","Liberal arts and sciences- general studies and humanities.","1984-1985","FSU",4,0,0,0,0,9,0,0,0,0,0,0
"1456","Library Science","1984-1985","FSU",1,0,0,0,0,4,0,0,0,0,0,0
"1457","Biological and Biomedical Sciences","1984-1985","FSU",50,0,1,1,2,24,3,0,2,3,0,1
"1458","Mathematics and Statistics","1984-1985","FSU",28,2,2,0,0,14,0,0,4,3,0,0
"1459","Parks- Recreation- Leisure and Fitness Studies","1984-1985","FSU",12,0,0,0,0,40,0,0,0,1,0,1
"1460","Philosophy and Religious Studies","1984-1985","FSU",10,0,0,0,0,6,0,0,0,0,1,0
"1461","Physical Sciences","1984-1985","FSU",49,0,1,2,0,12,2,0,1,0,1,0
"1462","Psychology","1984-1985","FSU",55,2,0,1,0,77,2,5,4,7,1,0
"1463","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1984-1985","FSU",136,0,0,1,0,54,3,1,12,15,1,0
"1464","Public administration and social service professions.","1984-1985","FSU",8,0,0,0,0,35,0,1,2,7,0,1
"1465","Social Sciences and History","1984-1985","FSU",266,2,0,1,1,121,10,6,16,16,0,0
"1466","Visual and performing arts.","1984-1985","FSU",68,0,0,0,1,88,2,0,6,4,1,0
"1467","Health Professions and Related Programs","1984-1985","FSU",4,0,0,0,0,23,0,2,0,3,0,1
"1468","Business- Management- Marketing- and Related Support Services","1984-1985","FSU",548,11,9,5,5,386,15,5,13,31,1,0
"1469","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","GTOWN",5,0,0,0,0,7,0,0,0,0,0,0
"1470","Foreign Languages- Literatures- and Linguistics","1984-1985","GTOWN",31,0,6,0,1,89,2,1,2,5,0,0
"1471","Health Sciences","1984-1985","GTOWN",3,0,1,0,2,101,0,0,0,5,0,0
"1472","English language and literature/letters.","1984-1985","GTOWN",37,1,0,3,0,68,2,1,0,7,0,0
"1473","Liberal arts and sciences- general studies and humanities.","1984-1985","GTOWN",1,0,0,0,0,2,0,0,0,0,0,0
"1474","Biological and Biomedical Sciences","1984-1985","GTOWN",29,3,0,2,1,14,3,2,1,2,0,0
"1475","Mathematics and Statistics","1984-1985","GTOWN",2,0,0,0,0,4,0,0,0,0,0,0
"1476","Multi/Interdisciplinary Studies","1984-1985","GTOWN",2,0,0,0,0,3,0,0,0,0,0,0
"1477","Philosophy and Religious Studies","1984-1985","GTOWN",19,0,0,0,1,4,0,0,0,0,0,0
"1478","Theology and religious vocations.","1984-1985","GTOWN",5,0,1,0,0,4,0,0,0,1,0,0
"1479","Physical Sciences","1984-1985","GTOWN",21,3,0,1,1,4,2,0,1,1,0,0
"1480","Psychology","1984-1985","GTOWN",11,0,1,0,2,28,0,5,2,2,0,0
"1481","Social Sciences and History","1984-1985","GTOWN",295,18,9,6,5,191,23,13,13,18,0,1
"1482","Visual and performing arts.","1984-1985","GTOWN",4,0,0,0,0,5,0,0,1,1,0,0
"1483","Business- Management- Marketing- and Related Support Services","1984-1985","GTOWN",122,14,5,1,2,63,7,5,10,24,0,0
"1484","Agriculture- Agriculture Operations and Related Sciences","1984-1985","KAN.ST",116,0,0,1,1,17,0,0,2,0,0,0
"1485","Agricultural Sciences","1984-1985","KAN.ST",137,1,1,0,1,43,4,0,2,0,0,0
"1486","Natural Resources and Conservation","1984-1985","KAN.ST",11,0,0,0,0,4,0,0,0,0,0,0
"1487","Architecture and Related Services","1984-1985","KAN.ST",98,0,0,1,0,48,1,0,1,0,0,0
"1488","Communication- Journalism- and Related Programs","1984-1985","KAN.ST",52,0,0,0,0,65,1,1,1,1,0,0
"1489","Computer and Information Sciences and Support Services","1984-1985","KAN.ST",57,0,2,1,1,35,1,1,1,0,0,0
"1490","Education","1984-1985","KAN.ST",51,0,0,0,0,250,0,1,1,5,0,0
"1491","Engineering","1984-1985","KAN.ST",326,11,1,15,1,33,6,1,3,2,1,0
"1492","Engineering Technologies and Engineering-related Fields","1984-1985","KAN.ST",72,0,0,0,0,4,1,0,1,0,0,0
"1493","Foreign Languages- Literatures- and Linguistics","1984-1985","KAN.ST",7,0,0,0,0,13,0,0,0,0,0,0
"1494","Health Sciences","1984-1985","KAN.ST",17,0,0,1,1,11,0,0,1,0,0,0
"1495","Family and Consumer Sciences/Human Sciences","1984-1985","KAN.ST",11,0,0,0,2,142,0,0,1,4,0,0
"1496","Legal professions and studies.","1984-1985","KAN.ST",1,0,0,0,0,1,0,0,0,0,0,0
"1497","English language and literature/letters.","1984-1985","KAN.ST",9,0,0,0,0,25,1,0,0,1,0,0
"1498","Biological and Biomedical Sciences","1984-1985","KAN.ST",53,1,0,1,2,56,3,1,1,0,0,0
"1499","Mathematics and Statistics","1984-1985","KAN.ST",13,0,0,1,0,14,0,0,0,0,0,0
"1500","Multi/Interdisciplinary Studies","1984-1985","KAN.ST",21,0,0,0,0,21,1,0,0,0,0,0
"1501","Physical Sciences","1984-1985","KAN.ST",60,0,0,2,0,11,1,0,0,0,0,0
"1502","Psychology","1984-1985","KAN.ST",10,0,0,0,0,38,0,1,0,1,0,0
"1503","Public administration and social service professions.","1984-1985","KAN.ST",3,0,1,0,0,35,0,1,0,1,0,0
"1504","Social Sciences and History","1984-1985","KAN.ST",97,0,3,2,0,76,7,0,4,2,1,0
"1505","Visual and performing arts.","1984-1985","KAN.ST",16,0,0,0,0,31,1,1,1,0,1,0
"1506","Health Professions and Related Programs","1984-1985","KAN.ST",0,0,0,0,0,10,1,1,0,0,0,0
"1507","Business- Management- Marketing- and Related Support Services","1984-1985","KAN.ST",284,1,1,2,3,223,2,2,4,5,0,0
"1508","Architecture and Related Services","1984-1985","LOUIS",3,0,0,0,0,13,0,0,0,1,0,0
"1509","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","LOUIS",1,0,0,0,0,0,0,0,0,1,0,0
"1510","Communication- Journalism- and Related Programs","1984-1985","LOUIS",47,0,0,0,1,49,0,1,6,11,0,0
"1511","Computer and Information Sciences and Support Services","1984-1985","LOUIS",3,0,0,0,0,5,0,0,0,0,0,0
"1512","Education","1984-1985","LOUIS",23,0,1,2,0,115,0,0,1,7,1,0
"1513","Engineering","1984-1985","LOUIS",136,8,0,5,0,38,1,0,3,1,0,0
"1514","Foreign Languages- Literatures- and Linguistics","1984-1985","LOUIS",2,0,0,0,0,3,0,0,0,0,0,0
"1515","Health Sciences","1984-1985","LOUIS",1,0,0,1,0,17,0,0,0,1,0,0
"1516","Family and Consumer Sciences/Human Sciences","1984-1985","LOUIS",0,0,0,0,1,2,0,0,0,0,0,0
"1517","English language and literature/letters.","1984-1985","LOUIS",9,0,0,0,0,19,0,0,0,3,0,0
"1518","Liberal arts and sciences- general studies and humanities.","1984-1985","LOUIS",5,0,0,0,0,13,0,0,1,3,0,0
"1519","Biological and Biomedical Sciences","1984-1985","LOUIS",37,1,0,1,2,23,0,1,1,0,0,0
"1520","Mathematics and Statistics","1984-1985","LOUIS",11,0,0,0,1,5,0,0,1,0,0,0
"1521","Multi/Interdisciplinary Studies","1984-1985","LOUIS",3,0,0,0,0,3,0,0,0,0,0,0
"1522","Parks- Recreation- Leisure and Fitness Studies","1984-1985","LOUIS",3,1,0,0,0,4,0,0,0,0,0,0
"1523","Philosophy and Religious Studies","1984-1985","LOUIS",3,0,0,0,0,1,0,0,0,0,0,0
"1524","Physical Sciences","1984-1985","LOUIS",25,0,0,2,0,7,0,0,1,0,0,0
"1525","Psychology","1984-1985","LOUIS",10,0,0,0,1,35,0,0,1,1,1,1
"1526","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1984-1985","LOUIS",19,0,0,0,0,9,0,0,1,1,0,0
"1527","Social Sciences and History","1984-1985","LOUIS",56,0,0,1,1,62,0,1,4,7,0,0
"1528","Visual and performing arts.","1984-1985","LOUIS",18,0,0,0,0,23,0,0,0,1,0,0
"1529","Health Professions and Related Programs","1984-1985","LOUIS",3,0,1,0,0,31,0,0,0,1,0,0
"1530","Business- Management- Marketing- and Related Support Services","1984-1985","LOUIS",214,1,1,1,1,174,3,0,12,10,0,1
"1531","Agriculture- Agriculture Operations and Related Sciences","1984-1985","LSU",17,12,2,0,0,6,0,0,0,1,0,0
"1532","Agricultural Sciences","1984-1985","LSU",24,13,4,0,1,20,2,1,1,0,0,0
"1533","Natural Resources and Conservation","1984-1985","LSU",10,3,0,0,1,0,0,1,0,0,0,0
"1534","Architecture and Related Services","1984-1985","LSU",48,10,7,0,0,50,3,2,2,2,0,0
"1535","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","LSU",1,0,0,0,0,1,0,0,0,0,0,0
"1536","Communication- Journalism- and Related Programs","1984-1985","LSU",50,0,2,0,0,105,0,1,2,10,0,0
"1537","Computer and Information Sciences and Support Services","1984-1985","LSU",32,7,4,1,1,17,1,0,0,0,0,0
"1538","Education","1984-1985","LSU",37,1,1,0,0,237,1,1,2,8,0,0
"1539","Engineering","1984-1985","LSU",329,104,8,1,1,58,8,0,3,4,0,0
"1540","Engineering Technologies and Engineering-related Fields","1984-1985","LSU",100,2,0,1,0,15,0,0,0,1,0,0
"1541","Foreign Languages- Literatures- and Linguistics","1984-1985","LSU",5,1,2,0,0,9,0,0,0,1,0,0
"1542","Health Sciences","1984-1985","LSU",47,1,2,0,0,26,2,3,1,0,0,0
"1543","Family and Consumer Sciences/Human Sciences","1984-1985","LSU",3,0,5,0,0,113,1,1,1,3,1,2
"1544","Legal professions and studies.","1984-1985","LSU",17,0,0,0,0,6,0,0,0,1,0,0
"1545","English language and literature/letters.","1984-1985","LSU",16,0,1,0,0,37,0,0,0,1,0,0
"1546","Liberal arts and sciences- general studies and humanities.","1984-1985","LSU",164,3,4,0,0,135,1,0,6,4,0,1
"1547","Biological and Biomedical Sciences","1984-1985","LSU",45,2,4,0,1,23,3,2,0,0,0,0
"1548","Mathematics and Statistics","1984-1985","LSU",1,0,0,0,0,6,1,0,0,0,0,0
"1549","Multi/Interdisciplinary Studies","1984-1985","LSU",3,0,0,0,0,1,0,0,0,0,0,0
"1550","Philosophy and Religious Studies","1984-1985","LSU",1,0,0,0,0,4,0,0,0,0,0,0
"1551","Physical Sciences","1984-1985","LSU",43,4,1,0,0,11,1,0,0,1,0,0
"1552","Psychology","1984-1985","LSU",24,0,2,0,0,68,0,0,0,3,0,0
"1553","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1984-1985","LSU",30,0,1,0,0,11,0,0,5,4,0,0
"1554","Public administration and social service professions.","1984-1985","LSU",2,0,0,0,0,2,0,0,0,0,0,0
"1555","Social Sciences and History","1984-1985","LSU",86,2,0,0,1,60,4,3,0,4,0,0
"1556","Visual and performing arts.","1984-1985","LSU",33,3,2,0,0,58,0,1,1,2,0,0
"1557","Health Professions and Related Programs","1984-1985","LSU",2,0,0,0,0,24,0,0,0,1,0,0
"1558","Business- Management- Marketing- and Related Support Services","1984-1985","LSU",322,22,15,0,0,314,8,3,11,23,1,0
"1559","Architecture and Related Services","1984-1985","ND",30,0,0,1,0,7,0,0,0,0,1,0
"1560","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","ND",36,0,1,0,0,34,1,0,1,1,0,1
"1561","Engineering","1984-1985","ND",272,2,0,6,3,51,5,4,1,0,1,0
"1562","Foreign Languages- Literatures- and Linguistics","1984-1985","ND",5,0,0,0,1,6,0,1,1,0,0,0
"1563","Health Sciences","1984-1985","ND",90,0,0,1,1,33,3,5,0,1,1,0
"1564","English language and literature/letters.","1984-1985","ND",53,0,0,0,0,48,0,1,0,0,1,0
"1565","Liberal arts and sciences- general studies and humanities.","1984-1985","ND",45,0,0,0,1,22,1,0,0,0,0,1
"1566","Biological and Biomedical Sciences","1984-1985","ND",49,0,0,0,0,31,3,2,0,0,1,1
"1567","Mathematics and Statistics","1984-1985","ND",23,0,0,0,0,29,0,0,0,0,0,0
"1568","Philosophy and Religious Studies","1984-1985","ND",18,0,0,0,0,6,0,0,1,0,0,0
"1569","Theology and religious vocations.","1984-1985","ND",5,0,0,0,0,1,0,0,0,0,0,0
"1570","Physical Sciences","1984-1985","ND",31,0,1,0,0,13,0,0,0,0,0,1
