"","Stated_Major","CIP_ID","Graduation_Year","freq"
"58","General Business","BUSINESS.MANAGEMENT.MARKETING",2013,2
"65","Health Promotion","HEALTH.PROFESSION",2011,2
"66","Health Promotion","HEALTH.PROFESSION",2012,2
"74","Marketing","BUSINESS.MANAGEMENT.MARKETING",2010,2
"80","Marketing","BUSINESS.MANAGEMENT.MARKETING",2016,2
"83","Physical Education","EDUCATION",2008,2
"84","Physical Education","EDUCATION",2010,2
"85","Physical Education","EDUCATION",2011,2
"87","Political Science","SOCIAL.SCIENCE",2005,2
"102","Sociology","SOCIAL.SCIENCE",2009,2
"104","Sociology","SOCIAL.SCIENCE",2011,2
"107","Sociology","SOCIAL.SCIENCE",2015,2
"110","Sports Management","PARKS.REC",2010,2
"111","Sports Management","PARKS.REC",2011,2
"115","Sports Management","PARKS.REC",2016,2
"1","Agricultural Business","AGRICULTURE",2007,1
"2","Agricultural Business","AGRICULTURE",2008,1
"3","Agricultural Business","AGRICULTURE",2014,1
"4","Agriculture Sciences","AGRICULTURE",2006,1
"5","Art","VISUAL.ARTS",2007,1
"6","Biomedical Science","BIO",2009,1
"8","Broadcasting","COMM.JOURN",2013,1
"9","Broadcasting","COMM.JOURN",2015,1
"10","Business Management","BUSINESS.MANAGEMENT.MARKETING",2006,1
"12","Business Management","BUSINESS.MANAGEMENT.MARKETING",2008,1
"14","Business Management","BUSINESS.MANAGEMENT.MARKETING",2010,1
"19","Computer Science","COMP.SCI",2010,1
"20","Criminal Justice","SECURITY",2006,1
"21","Criminal Justice","SECURITY",2007,1
"22","Economics","SOCIAL.SCIENCE",2005,1
"24","Economics","SOCIAL.SCIENCE",2007,1
"30","Economics","SOCIAL.SCIENCE",2014,1
"31","Education","EDUCATION",2004,1
"32","Education","EDUCATION",2005,1
"46","Entrepreneurship","BUSINESS.MANAGEMENT.MARKETING",2012,1
"47","Entrepreneurship","BUSINESS.MANAGEMENT.MARKETING",2014,1
"49","Finance","BUSINESS.MANAGEMENT.MARKETING",2013,1
"50","Finance","BUSINESS.MANAGEMENT.MARKETING",2014,1
"52","General Business","BUSINESS.MANAGEMENT.MARKETING",2006,1
"57","General Business","BUSINESS.MANAGEMENT.MARKETING",2011,1
"61","Geology","PHYSICAL.SCI",2010,1
"62","Geology","PHYSICAL.SCI",2016,1
"63","Health Promotion","HEALTH.PROFESSION",2007,1
"64","Health Promotion","HEALTH.PROFESSION",2009,1
"67","Hotel Management","BUSINESS.MANAGEMENT.MARKETING",2009,1
"68","Hotel Management","BUSINESS.MANAGEMENT.MARKETING",2015,1
"69","International Business","BUSINESS.MANAGEMENT.MARKETING",2008,1
"70","Journalism","COMM.JOURN",2006,1
"72","Marketing","BUSINESS.MANAGEMENT.MARKETING",2007,1
"73","Marketing","BUSINESS.MANAGEMENT.MARKETING",2008,1
"75","Marketing","BUSINESS.MANAGEMENT.MARKETING",2011,1
"76","Marketing","BUSINESS.MANAGEMENT.MARKETING",2012,1
"77","Marketing","BUSINESS.MANAGEMENT.MARKETING",2013,1
"78","Marketing","BUSINESS.MANAGEMENT.MARKETING",2014,1
"79","Marketing","BUSINESS.MANAGEMENT.MARKETING",2015,1
"81","Microbiology","BIO",2005,1
"82","Physical Education","EDUCATION",2007,1
"86","Physical Education","EDUCATION",2013,1
"88","Political Science","SOCIAL.SCIENCE",2009,1
"89","Political Science","SOCIAL.SCIENCE",2015,1
"90","Pre-Medicine","HEALTH.PROFESSION",2012,1
"91","Pre-Medicine","HEALTH.PROFESSION",2013,1
"92","Psychology","PYSCH",2011,1
"93","Psychology","PYSCH",2013,1
"94","Psychology","PYSCH",2014,1
"95","Secondary Education","EDUCATION",2005,1
"96","Secondary Education","EDUCATION",2010,1
"97","Secondary Education","EDUCATION",2012,1
"98","Social Studies","EDUCATION",2007,1
"99","Sociology","SOCIAL.SCIENCE",2005,1
"103","Sociology","SOCIAL.SCIENCE",2010,1
"105","Sociology","SOCIAL.SCIENCE",2013,1
"106","Sociology","SOCIAL.SCIENCE",2014,1
"113","Sports Management","PARKS.REC",2014,1
"114","Sports Management","PARKS.REC",2015,1
