Draft Year,ID Pick,Round,Round.Pick,Pick Number,Draft Team,Team Traded To,Team,Player,Height,Height (inches),Weight (lbs),College,Birthday
2009,2.9,2,9,39,Pistons,,Pistons,Jonas Jerebko,6'9'',81,210,Angelico Biella,3/2/1987
2009,2.1,2,1,40,Bobcats,,Bobcats,Derrick Brown,6'7'',79,225,Xavier,9/7/1987
2009,2.11,2,11,41,Bucks,,Bucks,Jodie Meeks,6'4'',76,208,Kentucky,8/21/1987
2009,2.12,2,12,42,Lakers,Heat,Heat,Patrick Beverley,6'1'',73,172,Dnipro,7/12/1988
2009,2.13,2,13,43,Heat,Hornets,Hornets,Marcus Thornton,6'4'',76,198,LSU,6/5/1987
2009,2.14,2,14,44,Pistons,Rockets,Rockets,Chase Budinger,6'7'',79,218,Arizona,12/31/1987
2009,2.15,2,15,45,Timberwolves,Mavericks,Mavericks,Nick Calathes,6'5'',77,185,Florida,2/7/1989
2009,2.16,2,16,46,Suns,Cavaliers,Cavaliers,Danny Green,6'6'',78,210,North Carolina,6/22/1987
2009,2.17,2,17,47,Timberwolves,,Timberwolves,Henk Norel,6'11'',83,212,DKV Joventut,9/17/1987
2009,2.18,2,18,48,Suns,,Suns,Taylor Griffin,6'7'',79,238,Oklahoma State,4/18/1986
2009,2.19,2,19,49,Hawks,,Hawks,Sergey Gladyr,6'5'',77,190,MBC Mykolaiv,10/17/1989
2009,2.2,2,2,50,Jazz,,Jazz,Goran Suton,6'10'',82,245,Michigan State,8/11/1985
2009,2.21,2,21,51,Spurs,,Spurs,Jack McClinton,6'1'',73,185,"Miami, FL",1/19/1985
2009,2.22,2,22,52,Pacers,,Pacers,A.J. Price,6'2'',74,190,Connecticut,10/7/1986
2009,2.23,2,23,53,Spurs,,Spurs,Nando De Colo,6'5'',77,187,Cholet,6/23/1987
2009,2.24,2,24,54,Bobcats,Thunder,Thunder,Robert Vaden,6'5'',77,200,UAB,3/3/1985
2009,2.25,2,25,55,Trail Blazers,,Trail Blazers,Patrick Mills,6'0'',72,175,Saint Mary's,8/11/1988
2009,2.26,2,26,56,Mavericks,,Mavericks,Ahmad Nivins,6'9'',81,235,Saint Joseph's,2/10/1987
2009,2.27,2,27,57,Suns,Cavaliers,Cavaliers,Emir Preldzic,6'9'',81,220,Fenerbahce Ulker,9/6/1987
2009,2.28,2,28,58,Celtics,,Celtics,Lester Hudson,6'3'',75,190,Tenn. Martin,8/7/1984
2009,2.29,2,29,59,Lakers,,Lakers,Chinemelu Elonu,6'10'',82,235,Texas A&M,3/11/1987
2009,2.3,2,3,60,Heat,,Heat,Robert Dozier,6'10'',82,205,Memphis,11/6/1985
2008,1.1,1,1,1,Bulls,,Bulls,Derrick Rose,6'3'',75,190,Memphis,10/1/1988
2008,1.2,1,2,2,Heat,,Heat,Michael Beasley,6'9'',81,235,Kansas State,1/9/1989
2008,1.3,1,3,3,Timberwolves,Grizzlies,Grizzlies,O.J. Mayo,6'5'',77,195,USC,11/5/1987
2008,1.4,1,4,4,Supersonics,,Supersonics,Russell Westbrook,6'3'',75,187,UCLA,11/12/1988
