FundAssetClass,FreebaseURI_FundAssetClass,FundType,FundManager,OpenCorporatesURI_FundManager,DBPediaURI_FundManager,DBPediaJSON_FundManager,FundName,FundTargetSize.Billions,FundTargetNetIRR,FeeDescription,FundManagementFees,FundOtherFees,FundOtherFeeType,FundPref,FundWaterfallDescription,FundWaterfallTier1Description,FundWaterfallTier1Split,FundWaterfallTier1GP,FundWaterfallTier1LP,FundWaterfallTier1HurdleRate,FundWaterfallTier1HurdleRateType,FundWaterfallTier2,FundWaterfallTier2GP,FundWaterfallTier2LP,FundIRRForPromote,DateData,Source
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,Northland Investment,http://opencorporates.com/companies/us_fl/F08000004478,,,Northland Fund 4,100,16-18,1.5% management ,0.015,,,0.09,"50/50 to 20% Distribution, then 20/80",50/50 to 20% Distribution,50/50,0.50,0.50,0.20, Distribution,20/80,0.20,0.80,0.15,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,Prudential Real Estate Investors,,http://dbpedia.org/resource/Prudential_Real_Estate,http://dbpedia.org/data/Prudential_Real_Estate.json,PLA Industrial Fund 4,350,15-18,1-1.75% management (1-1.25% invested) ,0.0175,,,0.1,"80/20 to 20% Distribution, then 40/60",80/20 to 20% Distribution,80/20,0.90,0.20,0.20, Distribution,40/60,0.40,0.60,0.13,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,Sperry Equities,,,,SVN Distressed Asset Opportunity Fund,100,16-18,"1% management, 1% acquisition ",0.01,0.01,Acquisition,0.08,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,TerraCap Management,http://opencorporates.com/companies/us_fl/P08000060133,,,TerraCap Partners 2,200,20+,2% management ,0.02,,,0.1,"50/50 to 20% Distribution, then 20/80",50/50 to 20% Distribution,50/50,0.50,0.50,0.20, Distribution,20/80,0.20,0.80,0.17,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,Woodbourne Investment,,,,Woodbourne Canada Partners 2,291,18,1.5% management ,0.015,,,0.09,"50/50 to 20% Distribution, then 20/80",50/50 to 20% Distribution,50/50,0.50,0.50,0.20, Distribution,20/80,0.20,0.80,0.15,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Abacus Capital,http://opencorporates.com/companies/us_pa/3195771,,,Abacus Multi-Family Partners 2,250,13-15,1.5% management ,0.015,,,0.1,"60/40 to 20% Distribution, then 20/80",60/40 to 20% Distribution,60/40,0.60,0.40,0.20, Distribution,20/80,0.20,0.80,0.14,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,American Real Estate Partners,http://opencorporates.com/companies/us_de/4760612,http://dbpedia.org/resource/American_Real_Estate_Partners,http://dbpedia.org/data/American_Real_Estate_Partners.json,American R.E. Partners Strategic Office Fund,250,14-16,1.5% management ,0.015,,,0.09,"50/50 to 20% Distribution, then 20/80",50/50 to 20% Distribution,50/50,0.50,0.50,0.20, Distribution,20/80,0.20,0.80,0.15,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,AREA Property,,http://dbpedia.org/resource/AREA_Property_Partners,http://dbpedia.org/data/AREA_Property_Partners.json,AREA Value Enhancement Fund 8,750,12-15,1.5% management ,0.015,,,0.09,"40/60 to 20% Distribution, then 20/80",40/60 to 20% Distribution,40/60,0.40,0.60,0.20, Distribution,20/80,0.20,0.80,0.18,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Astrum Investment,,,,Astrum Fund 1,50,15,"1.5% management, 0.25% loan fee ",0.015,0.025,Loan,0.09,35/65,35/65,35/65,0.35,0.65,,,,,,0.21,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Berkeley Capital,http://opencorporates.com/companies/us_ct/0574250,,,Berkeley Capital Partners 3,150,14-16,2% management ,0.02,,,0.09,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Brightside Investment,http://opencorporates.com/companies/us_ga/1758140,,,Brightside Hotel Fund,350,15,1.5% management ,0.015,,,0.09,"50/50 to 20% Distribution, then 20/80",50/50 to 20% Distribution,50/50,0.50,0.50,0.20, Distribution,20/80,0.20,0.80,0.15,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,"CityView, Lincoln Property",,,,CityView Southwest Multifamily Partners,200,12-14,1.5% management ,0.015,,,0.09,"80/20 to 20% Distribution, then 20/80",80/20 to 20% Distribution,80/20,0.90,0.20,0.20, Distribution,20/80,0.20,0.80,0.12,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Equity Global Management,,http://dbpedia.org/resource/Equity_Global_Management,http://dbpedia.org/data/Equity_Global_Management.json,EGM Income & Growth Fund 5,250,15,1.5% management ,0.015,,,0.09,"50/50 to 20% Distribution, then 20/80",50/50 to 20% Distribution,50/50,0.50,0.50,0.20, Distribution,20/80,0.20,0.80,0.15,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Griffith Properties,http://opencorporates.com/companies/us_ca/C0526607,,,Griffith Properties Fund 3,100,15+,1.5% management ,0.015,,,0.1,"25/75 to 15% IRR, then 30/70",25/75 to 15% IRR,25/75,0.25,0.75,0.15, IRR,30/70,0.30,0.70,0.33,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,"Hart Realty, Investment Strategies Group",,,,Strategic Development Partners,200,13.5,1.25% management ,0.0125,,,0.09,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Ivy Equities,http://opencorporates.com/companies/us_nj/0600036953,,,Ivy Realty Fund 3,250,15+,1.75% management ,0.0175,,,0.08,"80/20 to 20% Distribution, then 20/80",80/20 to 20% Distribution,80/20,0.90,0.20,0.20, Distribution,20/80,0.20,0.80,0.11,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Laurus Corp.,http://opencorporates.com/companies/us_mo/00708486,,,Ethika Hospitality Fund,200,14-17,2% management ,0.02,,,0.1,"100/0 to 20% Distribution, then 20/80",100/0 to 20% Distribution,100/0,0.80,0.00,0.20, Distribution,20/80,0.20,0.80,0.13,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Milestone Group,http://opencorporates.com/companies/us_pa/1083430,,,Milestone Real Estate Investors 3,300,12-14,1.5% management ,0.015,,,0.09,"50/50 to 20% Distribution, then 20/80",50/50 to 20% Distribution,50/50,0.50,0.50,0.20, Distribution,20/80,0.20,0.80,0.15,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,O'Connor Capital,http://opencorporates.com/companies/us_ma/133708170,,,O'Connor Retail Partners,500,15,1.25% management ,0.0125,,,0.1,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Redwood Group,http://opencorporates.com/companies/us_md/D03239423,,,Redwood Japan Logistics Fund,400,15-16,1.5% management ,0.015,,,0.1,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Rialto Capital,http://opencorporates.com/companies/us_de/4605915,,,Rialto Real Estate Fund 2,950,14-17,1.5% management ,0.015,,,0.1,"50/50 to 12% IRR, then 20/80",50/50 to 12% IRR,50/50,0.50,0.50,0.12, IRR,20/80,0.20,0.80,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Sack Properties,http://opencorporates.com/companies/us_de/0530816,,,Sack Properties Multifamily Fund,50,12-14,1% management ,0.01,,,0.08,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Unico Properties,http://opencorporates.com/companies/pa/171668,,,Unico Partners 1,300,13-15,1.5% management ,0.015,,,0.09,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Value-Added,Walton Group,http://opencorporates.com/companies/us_ma/001016831,,,Walton Edmonton Land Development,145,15,"1% management, 4% development ",0.01,0.04,Development,0.08,25/75,25/75,25/75,0.25,0.75,,,,,,0.40,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Core-Plus,Colony Realty,http://opencorporates.com/companies/us_ca/C0608217,http://dbpedia.org/resource/Colony_Capital,http://dbpedia.org/data/Colony_Capital.json,Colony Realty Partners 4,500,10-13,1.5% management ,0.015,,,0.09,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Core-Plus,Paradigm Capital,http://opencorporates.com/companies/pa/313867,,,Paradigm Industrial Partners 2,75,10-13,1.5% management ,0.015,,,0.09,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Core-Plus,Paramount Group,http://opencorporates.com/companies/us_ga/1130741,,,Paramount Group Real Estate Fund 7,1000,11-12,"1.5% management, 0.5% acquisition ",0.015,0.005,Acquisition,0.08,"50/50 to 12% IRR, then 20/80",50/50 to 12% IRR,50/50,0.50,0.50,0.12, IRR,20/80,0.20,0.80,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Core-Plus,Potomac Capital,http://opencorporates.com/companies/us_ga/1146306,,,"Potomac Capital, Unnamed Vehicle",50,12,1.5% management ,0.015,,,0.08,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Core-Plus,Western National Group,http://opencorporates.com/companies/us_md/D03846946,,,Western National Realty Fund 3,300,12+,1.25% management (1% invested) ,0.0125,,,0.09,"50/50 to 20% Distribution, then 20/80",50/50 to 20% Distribution,50/50,0.50,0.50,0.20, Distribution,20/80,0.20,0.80,0.15,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,High-Yield Debt,BlackRock,http://opencorporates.com/companies/us_nj/0100577365,http://dbpedia.org/resource/BlackRock,http://dbpedia.org/data/BlackRock.json,Carbon Capital Fund 5,400,13-15,1.5% management ,0.015,,,0.08,"20/80 to 13% IRR, then 35/65",20/80 to 13%,20/80,0.20,0.80,0.13,,35/65,0.35,0.65,0.24,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,High-Yield Debt,C-III Capital,http://opencorporates.com/companies/us_de/4787749,,,C-III High Yield Real Estate Debt Fund 1,250,14-16,1.25% management ,0.0125,,,0.08,"50/50 to 20% Distribution, then 20/80",50/50 to 20% Distribution,50/50,0.50,0.50,0.20, Distribution,20/80,0.20,0.80,0.13,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,High-Yield Debt,G4 Capital,http://opencorporates.com/companies/us_de/4037734,,,G4 Capital Partners 2,250,14-16,2% management ,0.02,,,0.08,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,High-Yield Debt,Invesco Real Estate,http://opencorporates.com/companies/us_ga/2424,http://dbpedia.org/resource/Invesco_Ltd.,http://dbpedia.org/data/Invesco_Ltd..json,Invesco Real Estate Debt Fund 3,300,12,1% management ,0.01,,,0.08,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,High-Yield Debt,LEM Partners,http://opencorporates.com/companies/us_pa/3046631,,,LEM R.E. High-Yield Debt and Pref. Equity 3,300,11-14,1.75% management ,0.0175,,,0.08,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,High-Yield Debt,RCG Longview,http://opencorporates.com/companies/us_de/4693010,http://dbpedia.org/resource/Cowen_Group,http://dbpedia.org/data/Cowen_Group.json,RCG Longview Debt Fund 5,500,12.5-14.5,1.5% management ,0.015,,,0.08,"50/50 to 20% Distribution, then 20/80",50/50 to 20% Distribution,50/50,0.50,0.50,0.20, Distribution,20/80,0.20,0.80,0.13,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,High-Yield Debt,Talmage,http://opencorporates.com/companies/us_de/3575309,,,Talmage Total Return Partners,500,10-15,1% invested ,0.01,,,0.1,Oct-90,Oct-90,Oct-90,0.10,0.90,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,High-Yield Debt,Tyndaris,http://opencorporates.com/companies/lu/B173830,,,Tyndaris European Commercial R.E. Finance,752,12,2% management ,0.02,,,0.08,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
