"","Variable","Facet_Type","Facet_Value","Value","Value_Type","Period","Source"
"40","Collegiate Licensing Revenue","University","University of Tennessee","275","Rank",2011,"Collegiate Licensing Company"
"41","Collegiate Licensing Revenue","University","West Virginia University","276","Rank",2011,"Collegiate Licensing Company"
"42","Collegiate Licensing Revenue","University","University of Nebraska","277","Rank",2011,"Collegiate Licensing Company"
"43","Collegiate Licensing Revenue","University","Auburn University","278","Rank",2011,"Collegiate Licensing Company"
"44","Collegiate Licensing Revenue","University","University of Wisconsin","279","Rank",2011,"Collegiate Licensing Company"
"45","Collegiate Licensing Revenue","University","University of Kansas","280","Rank",2011,"Collegiate Licensing Company"
"46","Collegiate Licensing Revenue","University","University of Missouri","281","Rank",2011,"Collegiate Licensing Company"
"47","Collegiate Licensing Revenue","University","Florida State University","282","Rank",2011,"Collegiate Licensing Company"
"48","Collegiate Licensing Revenue","University","University of Arkansas","283","Rank",2011,"Collegiate Licensing Company"
"49","Collegiate Licensing Revenue","University","Texas A&M University","284","Rank",2011,"Collegiate Licensing Company"
"50","Collegiate Licensing Revenue","University","University of Illinois","285","Rank",2011,"Collegiate Licensing Company"
"51","Collegiate Licensing Revenue","University","University of South Carolina","286","Rank",2011,"Collegiate Licensing Company"
"52","Collegiate Licensing Revenue","University","Texas Tech University","287","Rank",2011,"Collegiate Licensing Company"
"53","Collegiate Licensing Revenue","University","University of Clemson","288","Rank",2011,"Collegiate Licensing Company"
"54","Collegiate Licensing Revenue","Segment","Gifts/novelties","198","Dollars_Millions",2011,"Collegiate Licensing Company"
"55","Collegiate Licensing Revenue","University","University of Texas","1","Rank",2011,"Collegiate Licensing Company"
