CIPFamily,CIP_ID,CIPFamilyTitle,CIPFamilyDefinition
35,INT.SOCIAL.SKILL,Interpersonal and Social Skills,"Programs that focus on the development of methods and skills for effective interactions with others in a variety of settings (private, social, and business settings). These CIP codes are not valid for IPEDS reporting."
36,LEISURE.REC,Leisure and Recreational Activities,Programs that focus on the development of an appreciation for and competency in recreational and leisure-related activities. These CIP codes are not valid for IPEDS reporting.
37,AWARENESS,Personal Awareness and Self-improvement,"Programs that focus on the development of improved self-awareness, avoidance of stressful behavior, and improved decision-making skills. These CIP codes are not valid for IPEDS reporting."
38,PHILOSOPHY,Philosophy and Religious Studies,"Instructional programs that focus on logical inquiry, philosophical analysis, and the academic study of organized systems of belief and religious practices."
39,THEOLOGY,Theology and Religious Vocations,Instructional programs that focus on the intramural study of theology and that prepare individuals for the professional practice of religious vocations.
40,PHYSICAL.SCI,Physical Sciences,"Instructional programs that focus on the scientific study of inanimate objects, processes of matter and energy, and associated phenomena."
41,SCI.TECH,"Science Technologies, and Technicians",Instructional programs that prepare individuals to apply scientific principles and technical skills in support of scientific research and development.
42,PYSCH,Psychology,"Instructional programs that focus on the scientific study of the behavior of individuals, independently or collectively, and the physical and environmental bases of mental, emotional, and neurological activity."
43,SECURITY,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services","Instructional programs that focus on the principles and procedures for providing homeland security, police, fire, and other safety services and managing penal institutions. Note: this series is titled Security and Protective Services in the Canadian CIP."
44,PUBLIC.ADMIN,Public Administration and Social Service Professions,"Instructional programs that prepare individuals to analyze, manage, and deliver public programs and services."
45,SOCIAL.SCIENCE,Social Sciences,"Instructional programs that focus on the systematic study of social systems, social institutions, and social behavior."
46,CONSTRUCTION,Construction Trades,"Instructional programs that prepare individuals to apply technical knowledge and skills in the building, inspecting, and maintaining of structures and related properties."
47,MECHANIC,Mechanic and Repair Technologies/Technicians,"Instructional programs that prepare individuals to apply technical knowledge and skills in the adjustment, maintenance, part replacement, and repair of tools, equipment, and machines."
48,PRODUCTION,Precision Production,Instructional programs that prepare individuals to apply technical knowledge and skills to create products using techniques of precision craftsmanship or technical illustration.
49,TRANSPORT,Transportation and Materials Moving,Instructional programs that prepare individuals to apply technical knowledge and skills to perform tasks and services that facilitate the movement of people or materials.
50,VISUAL.ARTS,Visual and Performing Arts,"Instructional programs that focus on the creation and interpretation of works and performances that use auditory, kinesthetic, and visual phenomena to express ideas and emotions in various forms, subject to aesthetic criteria."
51,HEALTH.PROFESSION,Health Professions and Related Programs,Instructional programs that prepare individuals to practice as licensed professionals and assistants in the health care professions and related clinical sciences and administrative and support services.
52,BUSINESS.MANAGEMENT.MARKETING,"Business, Management, Marketing, and Related Support Services","Instructional programs that prepare individuals to perform managerial, technical support, and applied research functions related to the operation of commercial and non-profit enterprises and the buying and selling of goods and services."
53,HIGH.SCHOOL,High School/Secondary Diplomas and Certificates,Instructional programs that define the prescribed requirements for high school/secondary school graduation. These CIP codes are not valid for IPEDS reporting.
54,HISTORY,History,"Instructional programs that focus on the study and interpretation of past events, institutions, issues, and cultures."
60,RESIDENCY,Residency Programs,"Programs that prepare medical doctors (MD), osteopaths (DO), dentists (DDS, DMD), veterinarians (DVM), and podiatrists (DPM) for certification as practitioners of recognized specialties in their respective professions. These programs are approved and accredited by designated professional associations and require from one to five years to complete, depending on the program. Residency programs that also result in an academic degree completion, such as an MS or PhD, should be reported under one of the clinical sciences codes located in Series 26, 51.05, or 51.25, rather than in a residency code located in Series 60. These CIP codes are not valid for IPEDS reporting."
