"","Fund_Type","Fund_Manager","Fund_Name","Fund_Contact","Fund_Contact_Telephone","Fund_Projected_Equity","Fund_Equity_Raised","Fund_Equity_Invested","Fund_Target_IRR","Fund_Minimum_IRR","Fund_Asset_Classes","Fund_Target_Locations","Fund_Data_Date","Fund_Currency"
"43","Core","Potomac Capital","Potomac Capital, Unnamed Vehicle","Jim Powers","301-961-9096","50,000,000","0","0","12","0.12","Office, Retail, Multifamily, Niche","Washington D.C., Maryland, Northern Virginia","3/1/13","USD"
"44","Core","Potomac Capital","Unnamed Vehicle","Jim Powers","301-961-9096","$50,000,000 ","$0 ","$0 ","","","Office","Washington D.C.","1/11/12",NA
"45","Core","Potomac Capital","Washington Capital Fund","Jim Powers","301-961-9096","$50,000,000 ","$25,000,000 ","$12,500,000 ","12","12","Office","United States","1/11/12",NA
"46","Core","Prudential Real Estate Investors","Senior Housing Partners 4","Gary Kaufmann","973-734-1300","568,000,000","568,000,000","193,000,000","10","0.1","Senior Housing","United States, Canada","3/1/13","USD"
"47","Core","Prudential Real Estate Investors","Senior Housing Partners 4","Gary Kaufmann","973-734-1300","$600,000,000 ","","","12","12","Senior Housing","United States, Asia, United States, International","1/11/12",NA
"48","Core","Prudential Real Estate Investors","Senior Housing Partners 4","Gary Kaufmann","973-734-1300","$600,000,000 ","$0 ","$0 ","","","Senior Housing","United States","1/11/12",NA
"49","Core","Rockspring Capital","Rockspring TransEuropean Fund 5","Paul Hampton","44-207-761-3333","459,000,000","459,000,000","117,000,000","11","0.11","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Europe","3/1/13","EU"
"50","Core","TA Associates Realty","Realty Associates Fund 10","Tom Landry","617-476-2740","1,575,000,000","1,575,000,000","0","12","0.12","Industrial, Multifamily, Retail, Office","United States","3/1/13","USD"
"51","Core","Thackeray Partners","Thackeray Partners Realty Fund 3","Tony Dona","214-360-7833","227,000,000","227,000,000","46,000,000","10","0.1","Multifamily, Industrial, Retail","United States","3/1/13","USD"
"52","Core","Thackeray Partners","Thackeray Partners Realty Fund 3","Tony Dona","214-360-7833","$225,000,000 ","$225,000,000 ","$0 ","10-13","10","Multifamily","United States","1/11/12",NA
"53","Core","Thackeray Partners","Thackeray Partners Realty Fund 2","Tony Dona","214-360-7833","$295,000,000 ","$295,000,000 ","$200,000,000 ","10-13","10","Office","United States","1/11/12",NA
"54","Core","Trade Street Capital","Trade Street Capital Property Fund 1","Ryan Hanks","704-998-8646","110,000,000","110,000,000","62,000,000","12","0.12","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Southwestern United States","3/1/13","USD"
"55","Core","Trade Street Capital","Trade Street Capital Property Fund 1","Ryan Hanks","704-998-8646","$110,000,000 ","$110,000,000 ","$62,000,000 ","","","Office","Southwestern United States","1/11/12",NA
"56","Core","Trade Street Capital","Trade Street Capital Property Fund 1","Ryan Hanks","704-998-8646","$110,000,000 ","$110,000,000 ","$62,000,000 ","12","12","Office, Multifamily, Retail, Lodging","Europe, Asia, Latin America, South America","1/11/12",NA
"57","Core","Tristan Capital","Curzon Capital Partners 3","Cameron Spry","44-203-463-8851","546,000,000","546,000,000","382,000,000","11","0.11","Office, Multifamily, Retail, Industrial","Europe","3/1/13","EU"
"58","Core","Tristan Capital","Curzon Capital Partners 3","Cameron Spry","44-203-463-8851","$559,062,000 ","$559,062,000 ","$223,069,605 ","11","11","Office","Europe","1/11/12",NA
"59","Core","Velocis Partners","Velocis Fund","Fred Hamm","214-702-0221","150,000,000","110,000,000","40,000,000","10","0.1","Office, Medical Office, Retail","United States","3/1/13","USD"
"60","Core","Velocis Partners","Velocis Fund","Fred Hamm","214-702-0221","$150,000,000 ","$41,200,000 ","$15,200,000 ","10","10","Office","United States","1/11/12",NA
"61","Core","Western National","Western National Realty Fund 3","Steve Jasa","949-862-6291","300,000,000","0","0","12+","0.12","Multifamily","California","3/1/13","USD"
"62","Core","Advalurem Group","Advalurem Group Middle Market Fund 1","Paul Sygrove","212-634-6890","$100,000,000 ","$0 ","$0 ","10-12","10","Office","United States","1/11/12",NA
"63","Core","Archstone","Archstone Multifamily Partners","R. Scot Sellers","303-708-5959","$500,000,000 ","$300,000,000 ","$0 ","11-13","11","Multifamily","Eastern United States, Western United States, Washington D.C., Boston, New York City, Philadelphia, Los Angeles, San Francisco, Seattle, Portland, San Diego","1/11/12",NA
"64","Core","Cathedral Real Estate","Cathedral Real Estate Opportunity Fund 1","Thomas Lorenz","877-469-1122","$100,000,000 ","$0 ","$0 ","8-12","8","Office, Multifamily, Retail","Miami, New York City, Phoenix","1/11/12",NA
"65","Core","Colony Realty","Colony Realty Partners 4","Scott Freeman","617-235-6363","$500,000,000 ","$0 ","$0 ","10-13","10","Office","United States","1/11/12",NA
"66","Core","DivcoWest Properties","Divcowest Fund 3","Stuart Schiff","415-284-5700","$400,000,000 ","","","10-13","10","Office","United States","1/11/12",NA
"67","Core","DivcoWest Properties","Divcowest Fund 3","Stuart Schiff","415-284-5700","$471,000,000 ","$471,000,000 ","$60,000,000 ","10-13","10","Office, Land","United States","1/11/12",NA
"68","Core","DivcoWest Properties","Divcowest Fund 3 Co-investment Vehicle","Stuart Schiff","415-284-5700","$400,000,000 ","$400,000,000 ","$60,000,000 ","10-13","10","Office","United States","1/11/12",NA
"69","Core","Henderson Global Investors","Casa Partners 5","J.P. Rachmaninoff","312-397-1486","$400,000,000 ","$105,000,000 ","$25,000,000 ","11-13","11","Multifamily","United States","1/11/12",NA
"70","Core","Henderson Global Investors","Casa Partners 5","J.P. Rachmaninoff","312-397-1486","$400,000,000 ","$30,000,000 ","","11-13","11","Multifamily","United States","1/11/12",NA
"71","Core","PCG Equity","Pcg Net Lease Income Fund","Roy Epstein","212-750-0149","$500,000,000 ","","","10","10","Office, Retail, Industrial","United States","1/11/12",NA
"72","Core","PRP Real Estate Investors","U.S. Government Properties Income & Growth Fund","Bill Trimble","202-741-8400","$400,000,000 ","$45,000,000 ","$24,300,000 ","11","11","Office","United States","1/11/12",NA
"73","Core","Rockspring Property","Rockspring Transeuropean Fund 5","Paul Hampton","44-207-761-3333","$698,827,500 ","$170,401,777 ","$0 ","11","11","Office","Europe","1/11/12",NA
"74","Core","Sarofim Realty","Sarofim Multifamily Development Fund 2","Michael Doramus","214-692-4200","$60,000,000 ","$60,000,000 ","$37,000,000 ","12.5+","12.5+","Senior Housing","Southwestern United States","1/11/12",NA
"75","Core","Sarofim Realty","Sarofim Multifamily Development Fund 2","Michael Doramus","214-692-4200","$60,000,000 ","$60,000,000 ","$37,000,000 ","12.5+","12.5+","Senior Housing","United States","1/11/12",NA
"76","Core","Thomas Properties","Thomas High Performance Real Estate Fund","Steve Todd","213-830-2268","$180,000,000 ","$180,000,000 ","","12+","12+","Office","California","1/11/12",NA
"77","Core","Transwestern Investment","Transwestern Multifamily Partners","Edward Ryder","312-499-1917","$227,000,000 ","$227,000,000 ","$103,000,000 ","12-13","12","Multifamily","United States","1/11/12",NA
"78","Core","Trecap Partners","Trecap Fund 4 - Apartment Partners","Michael Mcnamara","917-301-8063","$300,000,000 ","","","12","12","Multifamily","United States","1/11/12",NA
"79","Core","USAA Real Estate","U.S. Core Plus Fund","Bruce Petersen","210-641-8409","$325,000,000 ","$0 ","$0 ","10-12","10","Office","United States","1/11/12",NA
"80","Core","USAA Real Estate","U.S. Core Plus Fund","Bruce Petersen","210-641-8408","$325,000,000 ","","","10-12","10","Office","Canada","1/11/12",NA
"81","Core","USAA Real Estate","U.S. Industrial Reit 3","Bruce Petersen","210-641-8408","$241,700,000 ","$241,700,000 ","$170,000,000 ","11-12","11","Industrial","United States","1/11/12",NA
"82","Core","Western National Realty","Western National Realty Fund 3","Steve Jasa","949-862-6291","$300,000,000 ","$0 ","$0 ","12+","12+","Multifamily","California","1/11/12",NA
"83","Core","Western National Realty","Western National Realty Advisors Fund 2","Jerry Lapointe","949-862-6205","$227,000,000 ","$227,000,000 ","$71,000,000 ","12+","12+","Multifamily","United States","1/11/12",NA
"84","Fund of Funds","Aberdeen Asset Management","Aberdeen Asia 3 Property Fund of Funds","Roberto Varandas","44-207-463-6437","600,000,000","472,000,000","0","13-17","0.13","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Asia","3/1/13","USD"
"85","Fund of Funds","Aberdeen Asset Management","Aberdeen Asia 3 Property Fund of Funds","Roberto Varandas","44-207-463-6437","$400,000,000 ","$0 ","$0 ","13-17","13","Office, Retail","Asia","1/11/12",NA
"86","Fund of Funds","Aberdeen Asset Management","Aberdeen European Opportunties Fund of Funds","Roberto Varandas","215-405-5759","$133,110,000 ","$113,153,630 ","$0 ","15","15","Office","Europe","1/11/12",NA
"87","Fund of Funds","Cohen & Steers Capital","Cohen & Steers Global Realty Partners","S. Coyle, S. Dunn","212-446-9187","250,000,000","100,000,000","0","15","0.15","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States, Canada, Europe","3/1/13","USD"
"88","Fund of Funds","Cohen & Steers Capital","Cohen & Steers Global Realty Partners","Stephen Coyle, Stephen Dunn","212-446-9187","$250,000,000 ","","","15","15","Office, Multifamily","Europe","1/11/12",NA
"89","Fund of Funds","Cohen & Steers Capital","Cohen & Steers Global Realty Partners","Stephen Coyle, Stephen Dunn","212-446-9187","$250,000,000 ","$100,000,000 ","$0 ","","","Office, Retail","United States, Canada","1/11/12",NA
"90","Fund of Funds","Composition Capital","Composition Capital Asia Fund 2","William Shaw","852-3-101-7681","$172,300,000 ","$172,300,000 ","$86,150,000 ","15","15","Office","United States","1/11/12",NA
"91","Fund of Funds","FLAG Capital","FLAG Real Estate Partners 3","Aliza Samuels","617-557-5717","125,000,000","0","0","","0","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Global","3/1/13","USD"
"92","Fund of Funds","Franklin Templeton Real Estate Investments","Franklin Templeton Private Real Estate Fund","Marc Weidner","212-632-4206","319,000,000","319,000,000","158,000,000","15","0.15","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Global","3/1/13","USD"
"93","Fund of Funds","Franklin Templeton Real Estate Investments","Franklin Templeton Real Estate Fund","Marc Weidner","212-632-4206","$300,000,000 ","$250,000,000 ","","","","Office","United States","1/11/12",NA
"94","Fund of Funds","Franklin Templeton Real Estate Investments","Franklin Templeton Real Estate Fund","Marc Weidner","212-632-4206","$300,000,000 ","$70,000,000 ","","15","15","Office","Mountain States","1/11/12",NA
"95","Fund of Funds","Hawkeye Partners","Hawkeye Partners Scout Fund 2","Claudia Faust","512-628-4000","1,000,000,000","0","0","13-15","0.13","Seed Capital","United States","3/1/13","USD"
"96","Fund of Funds","Hawkeye Partners","Hawkeye Partners Scout Fund 2","Claudia Faust","512-628-4000","$1,000,000,000 ","","","13-15","13","Seed Capital","United States","1/11/11",NA
"97","Fund of Funds","Hawkeye Partners","Hawkeye Partners Scout Fund 2","Claudia Faust","512-628-4000","$1,000,000,000 ","","","13-15","13","Seed Capital","United States","1/11/12",NA
"98","Fund of Funds","Investors Diversified Realty","Investors Diversified Realty Fund","Gary Zdolshek","216-622-0004","150,000,000","150,000,000","100,000,000","12-Oct","0.1","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"99","Fund of Funds","Investors Diversified Realty","Investors Diversified Realty Fund","Gary Zdolshek","216-622-0004","$250,000,000 ","$150,000,000 ","$80,000,000 ","10-12","10","Office","United States","1/11/12",NA
"100","Fund of Funds","Investors Diversified Realty","Investors Diversified Realty Fund","Gary Zdolshek","216-622-0004","$300,000,000 ","$50,000,000 ","","10-12","10","Office, Multifamily, Retail","United States, Canada, Mexico","1/11/12",NA
"101","Fund of Funds","LGT Clerestory","Crown Small Cap Real Estate Fund 2","Joanne Douvas","212-584-2020","400,000,000","0","0","18","0.18","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States, Europe, Asia","3/1/13","USD"
"102","Fund of Funds","Mesirow Financial","MFIRE Global Real Estate Inv. Program 2","Joshua Daitch","312-595-6062","300,000,000","100,000,000","35,000,000","12","0.12","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Global","3/1/13","USD"
"103","Fund of Funds","Mesirow Financial","Mfire Domestic Partnership Fund 1","Joshua Daitch","312-595-6062","$70,400,000 ","$70,400,000 ","$12,500,000 ","11","11","Office, Multifamily, Lodging, Self Storage, Land, Distressed, Mortgages, Mezzanine Loans, Preferred Equity","United States","1/11/12",NA
"104","Fund of Funds","Mesirow Financial","Mfire Global Real Estate Investment Program 2","Joshua Daitch","312-595-6062","$300,000,000 ","$100,000,000 ","$0 ","12","12","Office, Industrial","United States","1/11/12",NA
"105","Fund of Funds","Mesirow Financial","Mfire Global Real Estate Investment Program 2","Joshua Daitch","312-595-6062","$500,000,000 ","","","12","12","Office","United States","1/11/12",NA
"106","Fund of Funds","Mesirow Financial","Mfire International Partnership Fund 1","Joshua Daitch","312-595-6062","$226,200,000 ","$226,200,000 ","$155,000,000 ","12","12","Office","United States","1/11/12",NA
"107","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners 8","Jeff Gardner","212-812-4945","129,000,000","129,000,000","0","13-15","0.13","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"108","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners 8","Jeff Gardner","212-812-4945","$129,000,000 ","$129,000,000 ","","13-15","13","Office","United States","1/11/12",NA
"109","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners 9","Jeff Gardner","212-812-4945","150,000,000","0","0","13-15","0.13","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"110","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners Global 5","Jeff Gardner","212-812-4945","72,000,000","72,000,000","0","13-15","0.13","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States, Europe, Asia","3/1/13","USD"
"111","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners Global 5","Jeff Gardner","212-812-4945","$72,000,000 ","$72,000,000 ","","13-15","13","Office","United States","1/11/12",NA
"112","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners Global 6","Jeff Gardner","212-812-4945","200,000,000","0","0","13-15","0.13","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States, Europe, Asia","3/1/13","USD"
"113","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners Intl. 4","Jeff Gardner","212-812-4945","156,000,000","156,000,000","0","13-15","0.13","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Europe, Asia","3/1/13","USD"
"114","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners Intl. 5","Jeff Gardner","212-812-4945","150,000,000","0","0","13-15","0.13","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Global, Non United States","3/1/13","USD"
"115","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners 7","Jeff Gardner","212-812-4945","$200,000,000 ","$54,000,000 ","","13-15","13","Office","United States","1/11/11",NA
"116","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners 7","Jeff Gardner","212-812-4945","$292,000,000 ","$292,000,000 ","$0 ","13-15","13","Office","United States","1/11/12",NA
"117","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners Distressed Strategies Fund 2","Jeff Gardner","212-812-4945","$150,000,000 ","$20,000,000 ","","13-15","13","Office","United States","1/11/11",NA
"118","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners International 4","Jeff Gardner","212-812-4945","$156,000,000 ","$156,000,000 ","","13-15","13","Office","Europe","1/11/12",NA
"119","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners International Fund 3","Jeff Gardner","212-812-4945","$168,000,000 ","$168,000,000 ","$5,000,000 ","13-15","13","Office","Europe","1/11/12",NA
"120","Fund of Funds","Metropolitan Real Estate Equity","Metropolitan Real Estate Partners International Fund 3","Jeff Gardner","212-812-4945","$168,000,000 ","$168,000,000 ","$5,000,000 ","13-15","13","Office","United States","1/11/12",NA
"121","Fund of Funds","Metropolitan Real Estate Equity","Mrep Distressed Strategies Fund 2","Jeff Gardner","212-812-4945","$89,000,000 ","$89,000,000 ","","13-15","13","Office","United States","1/11/12",NA
"122","Fund of Funds","Oak Street Real Estate Capital","Oak Street Added Alpha Real Estate Fund","Larissa Herczeg","312-448-4833","150,000,000","0","0","13-16","0.13","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"123","Fund of Funds","Partners Group","Partners Group Asia-Pacific Real Estate 2011","Claude Angeloz","41-41-784-6000","190,000,000","190,000,000","0","15","0.15","Secondary Stakes, Fund Pledges","Asia","3/1/13","USD"
"124","Fund of Funds","Partners Group","Partners Group Global Real Estate 2011","Claude Angeloz","41-41-784-6000","875,000,000","875,000,000","0","16+","0.16","Secondary Stakes, Debt, Preferred Equity","Global","3/1/13","USD"
"125","Fund of Funds","Penn Square Real Estate, Townsend","TREA/TownSquare Real Estate Alpha Fund","Jon Albro","610-745-4861","300,000,000","161,000,000","12,000,000","15+","0.15","Special Situations, Secondary Stakes","Global","3/1/13","USD"
"126","Fund of Funds","Portfolio Advisors","Portfolio Advisors Real Estate Fund 5","Kenneth Wisdom","203-662-3467","400,000,000","50,000,000","0","14","0.14","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Global","3/1/13","USD"
"127","Fund of Funds","Portfolio Advisors","Portfolio Advisors Real Estate Fund 5","Kenneth Wisdom","203-662-3467","$400,000,000 ","$0 ","$0 ","","","Office","United States","1/11/12",NA
"128","Fund of Funds","Portfolio Advisors","Portfolio Advisors Real Estate Fund 4","Kenneth Wisdom","203-662-3467","$309,900,000 ","$309,900,000 ","","14","14","Office","California","1/11/12",NA
"129","Fund of Funds","Portfolio Advisors","Portfolio Advisors Real Estate Fund 4","Kenneth Wisdom","203-662-3467","$400,000,000 ","$400,000,000 ","$220,000,000 ","","","Office","United States","1/11/12",NA
"130","Fund of Funds","Quilvest Private Equity","QS REP 2","Ione S.V. Permison","212-920-3863","300,000,000","250,000,000","23,000,000","15","0.15","Secondary Stakes, Fund Pledges","Global","3/1/13","USD"
"131","Fund of Funds","Verdis Investment","Verdis Real Estate Partners 3","Jamie Biddle, Brooks Blake","610-397-1600","125,000,000","45,000,000","0","15+","0.15","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"132","Fund of Funds","Verdis Investment","Verdis Real Estate Partners 3","Jamie Biddle, Brooks Blake","610-397-1600","$125,000,000 ","$0 ","$0 ","15+","15+","Office, Retail","United States","1/11/12",NA
"133","Fund of Funds","Verdis Investment","Verdis Real Assets Fund 2","Jamie Biddle","610-397-1600","$50,000,000 ","$26,600,000 ","","15+","15+","Office","United States","1/11/11",NA
"134","Fund of Funds","AVP Advisors","American Value Partners Fund 1","Barry Chase","310-689-7716","$400,000,000 ","$400,000,000 ","$227,000,000 ","13-15","13","Office","United States","1/11/12",NA
"135","Fund of Funds","Clerestory Capital","Clerestory Small Cap Real Estate Fund 1","Joanne Douvas","212-584-2020","$195,000,000 ","$195,000,000 ","$135,000,000 ","18","18","Office","England","1/11/12",NA
"136","Fund of Funds","Clerestory Capital","Clerestory Small Cap Real Estate Fund 2","Joanne Douvas","212-584-2020","$400,000,000 ","$0 ","$0 ","","","Office, Retail, Industrial","United States, Europe, Asia","1/11/12",NA
