"","Quote","Person","Position","Company","Outlet","Date","Sector","Event","Sport"
"13","“In the past 20 years, 75% of American sports teams have either built or remodeled their venues, with luxury suite additions being  major reason for the construction and renovation.”",NA,NA,NA,"USA Today",2012-02-05,"Stadiums",NA,NA
"14","“More business schools, including some major- league MBA players, are getting into the sports game.  They are creating specialized courses and degree programs to teach students how to make winning moves as managers and marketers in the sports world.  The schools hope to give graduates a shot at the growing career opportunities for professionally trained managers in the major athletic leagues, equipment and apparel companies, the media, and other sports-related businesses.”",NA,NA,NA,"Wall Street Journal",NA,"Sports Business Academics",NA,NA
"15","“The value of any potential deal is the most significant question.  Other issues include whether jersey advertising would be sold as team or league inventory, and how any jersey logo deal would affect league broadcast and marketing revenue.”",NA,NA,NA,"Sports Business Journal",2012-04-23,"Jersey Sponsorship License",NA,NA
"16","“Some of the results are intriguing.  For example, rating the top North American sports events against the widest audience, the Super Bowl is a clear winner.  However, who would guess that the World Series is second or that the Rose Bowl is third, ahead of the Final Four or MLB All-Star Game.  And the NFL Pro Bowl ranks fifth, ahead of the Stanley Cup, the NBA Finals and the Masters.  Accounting for that discrepancy is that while some of these properties may not score as high an awareness rating, those that are familiar give them high score in avidity, appeal and excitement.  The higher the passion score, the more powerful the property will be in delivering a marketing message.”",NA,NA,NA,"Sports Business Journal",2011-03-28,"Sports Ratings",NA,NA
"17","""More consumers now connect to the Internet via a mobile device than on desktop computers.""",NA,NA,"Pew Research","Pew Research",2012-02-01,"Mobile",NA,NA
"18","""many sports sites including ESPN.com,
247Sports.com, and MLB Advanced Media garner at least 20%, and sometimes much
more, of their traffic from mobile sources. For comparison, smartphone and other noncomputer
online traffic is 6.8%, according to comScore.""",NA,NA,NA,"Sports Business Journal",NA,"Mobile",NA,NA
"19","“Some people watch the game with their laptops handy, searching for terms ranging from ‘hot wings’ and ‘Hail Mary’ to the brand name of their favorite Super Bowl advertiser. Other people seem so tethered to their smartphones that they must have watched the game with a beer in one hand and an iPhone in the other.”",NA,NA,"eMarketer",NA,2012-02-21,"Mobile",NA,NA
"20","“We’ve got to get people used to coming to NBC Sports Network to watch soccer, just like we had to with hockey on Versus.  Over time, we’ll do a good job and build this brand up.”","Jon Miller"," President of Programming","NBC Sports Network","Sports Business Journal",2012-03-05,"MLS Socer",NA,NA
"21","“As much as cycling is about sport, it is also about advertising.  And the Tour de France, more than any other event, is the time when companies hope to reap the benefit of the millions of dollars they spend each year supplying teams with salaries, uniforms, bikes, hotel rooms and all manner of luxury.  The presence of advertising at the Tour can hardly be overstated.  Each of the main prizes in the race – for the overall winner, the best mountain climber, the best sprinter and so forth – conforms to the colors or logo of its corporate sponsor.  The race is preceded each day over its entire route by a publicity caravan, a mile- long parade of 45 corporate floats.” ",NA,NA,NA,"New York Times",NA,"Cycling",NA,NA
"22","“There is not a comparable entity that does what they do for their sport.  They represent their rights globally and understand the markets throughout the world.  And then they help make it an efficient production, pivoting between the tournament, the ATP and then the broadcasters It is one-stop shopping.”","Jason Bernstein
","Senior Director of Programming","ESPN","Sports Business Journal",2011-08-29,"ATP",NA,NA
"23","“NASCAR now says that its multicultural audience is 20% of its total audience, which is pegged at 75 million.  About half of that multicultural audience is Hispanic, which would equal 7.5 million fans.”",NA,NA,NA,"Sports Business Journal",2011-08-29,"NASCAR",NA,NA
"24","“Sponsorships are the lifeblood of NASCAR … 75% of team revenues are derived from them.”",NA,NA,NA,"Forbes",2012-03-12,"NASCAR",NA,NA
"25","“The UFC is definitely bigger now than boxing or wrestling, maybe even the two combined, though not yet as big as either during their peaks.  It’s clearly the flavor of the month, but that was once true of poker and then the numbers fell like a rock.”","Rich Luker, Ph.D.",NA," ESPN Sports Poll","New York Times",2011-11-11,"MMA",NA,NA
"26","One recent UFC event, held inNewark, drew more than 17,000 and a gate of $4 million; an estimated a of spectators were from New York City",NA,NA,NA,NA,NA,"MMA",NA,NA
"27","“In addition to their youthful demographics, MMA fans have sound financials.  They are 15% more likely than the average American adult to have a household income of $75,000 and 10% more likely to own a second home.  They are selective investors and 6% more likely to have stocks or stock options in their household and 33% more likely to invest online.”",NA,NA,NA,"Scarborough Sports Marketing",NA,"MMA",NA,NA
"28","“College sports as a whole is changing so rapidly and profoundly that even the people in charge are struggling to describe what it has become.”",NA,NA,NA,"Bloomberg BusinessWeek",2011-12-19,"NCAA",NA,NA
"29","“What’s different about London coverage, which NBC got through a $1.18 billion rights fee, is how it is using what it has. Like a savvy butcher, the network finally learned to use all parts of the pig and will air 5,535 total TV/online hours – up from 170 hours for the 1996 Atlanta Games.”",NA,NA,NA,"USA Today",2012-07-27,NA,"2012 Summer Olympics",NA
"30","“More than 219 million Americans watched the Games over 5,535 hours of broadcasting on NBC, NBC Sports Network, MSNBC, CNBC, Bravo, Telemundo, two specialty channels, and NBCOlympics.com, Nielsen data show. The figures eclipse those of the 2008 Beijing Olympics (also on NBC), which were watched by 215 million viewers.”",NA,NA,NA,"CNN Entertainment",2012-08-13,NA,"2012 Summer Olympics",NA
"31","“With smartphones in more hands than ever and mobile video viewing growing, the Olympics will see an increase of consumers viewing the games on their phones rather tthan on their TVs.”",NA,NA,NA,"eMarketer",2012-07-20,NA,"2012 Summer Olympics",NA
"32","“Though the America’s Cup is less familiar to Americans than other major global sports properties like Formula One and the UEFA Champions League, it is considered alongside FIFA’s World Cup and the Olympics to be one of the world’s largest sporting events.”",NA,NA,NA,"Sports Business Journal",2012-05-14,NA,"America's Cup",NA
"33","“Experts in the sport may appreciate a helmsman’s split-second tactical decisions or a crew’s athleticism, yet the drama often goes over the heads of landlubbers who don’t know how points are scored, or even who is ahead.  Now technology may change that.  Starting in August, a two-year series of regattas, culminating in the 34th America’s Cup in 2013 at San Francisco, will have a feature intended to demystify the sport for television and Web audiences.  Live footage will be superimposed with ingenious graphics – including lines and pointers that show who is ahead or behind in the welter of foam and hulls, and tags that identify yachts as they race to coveted positions.”",NA,NA,NA,"New York Times",2011-06-18,NA,"America's Cup",NA
"34","""Rather than establish rules that assured he’d win again, Ellison and his Oracle Racing skipper, Russell Coutts, spent the last three years evaluating criticisms of professional sailing and altering the America’s Cup rules in an effort to create a less expensive and more commercially viable property.  They created a uniform boat that competitors can race at high speeds on compact courses close to the shore, and they developed a series of lead-in races that would appeal to sponsors and broadcasters by giving them more events to promote and program.”",NA,NA,NA,"Sports Business Journal",2012-05-14,NA,NA,NA
"35","“Someone can win a million bucks by predicting (actually, more like guessing) which fisherman will hook the biggest bass.  All the fantasy baseball leagues that give $1,000 to the winner are small fry compared with the high-stakesworld of fantasy fishing.”",NA,NA,NA,"Time",NA,NA,NA,"Bass Fishing"
