,Athlete,Country,Sport,League,Variable,Value,Value_Type,Region,Period,Source
61,David Beckham,Great Britain,Soccer,MLS,Total Earnings,26.8,Dollars_Millions,Europe,2011,Sports Illustrated
62,Ronaldinho,Brazil,Soccer,UEFA,Total Earnings,25.8,Dollars_Millions,South America,2011,Sports Illustrated
63,Ichiro Suzuki,Japan,Professional Baseball,MLB,Total Earnings,24,Dollars_Millions,Asia,2011,Sports Illustrated
64,Lewis Hamilton,Great Britain,Auto Racing,Formula One,Total Earnings,24,Dollars_Millions,Europe,2011,Sports Illustrated
65,Carlos T̩vez,Argentina,Soccer,UEFA,Total Earnings,21.7,Dollars_Millions,South America,2011,Sports Illustrated
66,Dirk Nowitzki,Germany,Professional Basketball,NBA,Total Earnings,21.3,Dollars_Millions,Europe,2011,Sports Illustrated
67,Pau Gasol,Spain,Professional Basketball,NBA,Total Earnings,20.8,Dollars_Millions,Europe,2011,Sports Illustrated
68,Miguel Cabrera,Venezuela,Professional Baseball,MLB,Total Earnings,20.2,Dollars_Millions,South America,2011,Sports Illustrated
69,Frank Lampard,Great Britain,Soccer,UEFA,Total Earnings,20.1,Dollars_Millions,Europe,2011,Sports Illustrated
70,Michael Schumacher,Germany,Auto Racing,Formula One,Total Earnings,20,Dollars_Millions,Europe,2011,Sports Illustrated
