"","year","cip_family","cipfamilytitle","total","males","females","males_white","females_white","males_black","females_black"
"195",1990,31,"Parks- Recreation- Leisure and Fitness Studies",29,11,18,11,16,0,0
"196",1990,38,"Philosophy and Religious Studies",3,1,2,1,2,0,0
"197",1990,40,"Physical Sciences",15,12,3,10,3,0,0
"198",1990,42,"Psychology",81,29,52,29,50,0,0
"199",1990,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",20,19,1,18,0,0,0
"200",1990,45,"Social Sciences and History",132,72,60,67,53,2,2
"201",1990,50,"Visual and performing arts.",27,10,17,9,15,0,0
"202",1991,2,"Agricultural Sciences",128,82,46,76,42,0,0
"203",1991,18,"Health Sciences",23,2,21,2,20,0,1
"204",1991,1,"Agriculture- Agriculture Operations and Related Sciences",70,52,18,51,17,0,0
"205",1991,4,"Architecture and Related Services",32,26,6,24,3,0,0
"206",1991,26,"Biological and Biomedical Sciences",107,67,40,64,36,1,1
"207",1991,52,"Business- Management- Marketing- and Related Support Services",820,470,350,400,288,13,12
"208",1991,52,"Business- Management- Marketing- and Related Support Services",2,0,2,0,2,0,0
"209",1991,9,"Communication- Journalism- and Related Programs",106,47,59,46,57,0,1
"210",1991,11,"Computer and Information Sciences and Support Services",47,39,8,25,5,0,0
"211",1991,13,"Education",421,141,280,128,269,2,1
"212",1991,15,"Engineering Technologies and Engineering-related Fields",115,109,6,98,4,2,0
"213",1991,14,"Engineering",208,178,30,111,20,6,0
"214",1991,23,"English language and literature/letters.",52,18,34,17,31,0,1
"215",1991,16,"Foreign Languages- Literatures- and Linguistics",15,6,9,6,8,0,0
"216",1991,51,"Health Professions and Related Programs",7,4,3,3,3,0,0
"217",1991,19,"Family and Consumer Sciences/Human Sciences",143,11,132,8,122,1,5
"218",1991,24,"Liberal arts and sciences- general studies and humanities.",6,4,2,4,2,0,0
"219",1991,27,"Mathematics and Statistics",22,12,10,11,10,0,0
"220",1991,28,"Military Services",1,1,0,1,0,0,0
"221",1991,3,"Natural Resources and Conservation",9,8,1,7,1,0,0
"222",1991,38,"Philosophy and Religious Studies",5,3,2,3,2,0,0
"223",1991,40,"Physical Sciences",14,8,6,8,6,0,0
"224",1991,42,"Psychology",74,22,52,21,47,1,0
"225",1991,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",34,30,4,29,2,0,0
"226",1991,45,"Social Sciences and History",170,89,81,81,73,1,2
"227",1991,50,"Visual and performing arts.",34,14,20,11,18,0,0
"228",1992,2,"Agricultural Sciences",121,91,30,82,28,0,1
"229",1992,1,"Agriculture- Agriculture Operations and Related Sciences",62,41,21,36,21,0,0
"230",1992,4,"Architecture and Related Services",27,18,9,15,9,0,0
"231",1992,26,"Biological and Biomedical Sciences",70,40,30,36,27,0,1
"232",1992,52,"Business- Management- Marketing- and Related Support Services",807,446,361,386,311,4,8
"233",1992,9,"Communication- Journalism- and Related Programs",134,56,78,49,73,2,0
"234",1992,11,"Computer and Information Sciences and Support Services",32,24,8,17,6,0,0
"235",1992,13,"Education",413,115,298,108,278,2,1
"236",1992,15,"Engineering Technologies and Engineering-related Fields",102,98,4,75,3,4,0
"237",1992,14,"Engineering",192,163,29,118,22,3,2
"238",1992,23,"English language and literature/letters.",65,16,49,13,48,1,0
"239",1992,16,"Foreign Languages- Literatures- and Linguistics",21,7,14,5,11,0,1
"240",1992,51,"Health Professions and Related Programs",31,1,30,1,29,0,0
"241",1992,19,"Family and Consumer Sciences/Human Sciences",151,5,146,4,137,0,2
"242",1992,24,"Liberal arts and sciences- general studies and humanities.",6,3,3,3,3,0,0
"243",1992,27,"Mathematics and Statistics",26,12,14,9,12,1,1
"244",1992,3,"Natural Resources and Conservation",7,5,2,4,2,0,0
"245",1992,38,"Philosophy and Religious Studies",2,2,0,2,0,0,0
"246",1992,40,"Physical Sciences",21,13,8,11,8,0,0
"247",1992,42,"Psychology",70,22,48,22,42,0,2
"248",1992,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",27,25,2,23,1,0,0
"249",1992,45,"Social Sciences and History",224,110,114,91,104,10,3
"250",1992,49,"Transportation and materials moving.",35,34,1,31,0,0,0
"251",1992,50,"Visual and performing arts.",46,13,33,12,30,0,1
"252",1993,2,"Agricultural Sciences",131,89,42,83,40,0,1
"253",1993,1,"Agriculture- Agriculture Operations and Related Sciences",74,54,20,48,19,0,0
"254",1993,4,"Architecture and Related Services",36,32,4,28,3,1,1
"255",1993,26,"Biological and Biomedical Sciences",94,67,27,63,24,1,0
"256",1993,52,"Business- Management- Marketing- and Related Support Services",756,403,353,354,288,8,9
"257",1993,9,"Communication- Journalism- and Related Programs",107,37,70,32,67,3,1
"258",1993,11,"Computer and Information Sciences and Support Services",35,27,8,22,4,0,0
"259",1993,13,"Education",352,92,260,87,244,0,1
"260",1993,15,"Engineering Technologies and Engineering-related Fields",110,104,6,83,4,5,1
"261",1993,14,"Engineering",225,194,31,138,21,0,1
"262",1993,16,"Foreign Languages- Literatures- and Linguistics",20,4,16,3,13,1,1
"263",1993,51,"Health Professions and Related Programs",54,3,51,2,47,0,1
"264",1993,19,"Family and Consumer Sciences/Human Sciences",141,5,136,5,129,0,0
"265",1993,24,"Liberal arts and sciences- general studies and humanities.",6,3,3,3,3,0,0
"266",1993,27,"Mathematics and Statistics",23,10,13,9,11,0,0
"267",1993,3,"Natural Resources and Conservation",17,15,2,13,2,0,0
"268",1993,31,"Parks- Recreation- Leisure and Fitness Studies",46,17,29,16,25,0,1
"269",1993,38,"Philosophy and Religious Studies",7,6,1,6,1,0,0
"270",1993,40,"Physical Sciences",16,12,4,11,4,0,0
"271",1993,42,"Psychology",83,19,64,18,61,0,2
"272",1993,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",28,26,2,23,2,1,0
"273",1993,45,"Social Sciences and History",194,95,99,84,85,7,10
"274",1993,49,"Transportation and materials moving.",46,42,4,39,2,1,0
"275",1993,50,"Visual and performing arts.",30,16,14,15,13,0,0
"276",1994,2,"Agricultural Sciences",142,96,46,91,40,0,0
"277",1994,1,"Agriculture- Agriculture Operations and Related Sciences",62,47,15,47,15,0,0
"278",1994,4,"Architecture and Related Services",38,30,8,23,6,0,0
"279",1994,26,"Biological and Biomedical Sciences",116,62,54,57,51,0,0
"280",1994,52,"Business- Management- Marketing- and Related Support Services",736,374,362,307,288,6,11
"281",1994,9,"Communication- Journalism- and Related Programs",99,51,48,45,46,2,1
"282",1994,11,"Computer and Information Sciences and Support Services",27,17,10,11,7,0,0
"283",1994,13,"Education",351,106,245,96,228,2,4
"284",1994,15,"Engineering Technologies and Engineering-related Fields",89,84,5,65,4,2,0
"285",1994,14,"Engineering",256,225,31,149,23,1,3
"286",1994,23,"English language and literature/letters.",48,15,33,12,32,1,0
"287",1994,16,"Foreign Languages- Literatures- and Linguistics",14,2,12,2,11,0,0
"288",1994,51,"Health Professions and Related Programs",48,7,41,5,37,0,0
"289",1994,19,"Family and Consumer Sciences/Human Sciences",178,7,171,7,152,0,1
"290",1994,24,"Liberal arts and sciences- general studies and humanities.",8,3,5,3,5,0,0
"291",1994,27,"Mathematics and Statistics",41,18,23,13,21,0,0
"292",1994,29,"Military technologies.",1,1,0,1,0,0,0
"293",1994,3,"Natural Resources and Conservation",19,16,3,13,2,0,0
"294",1994,31,"Parks- Recreation- Leisure and Fitness Studies",59,18,41,14,35,1,2
"295",1994,38,"Philosophy and Religious Studies",8,6,2,4,2,0,0
"296",1994,40,"Physical Sciences",21,17,4,15,3,0,0
"297",1994,42,"Psychology",84,26,58,25,47,0,1
"298",1994,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",48,46,2,43,2,0,0
"299",1994,45,"Social Sciences and History",159,84,75,76,65,6,6
"300",1994,49,"Transportation and materials moving.",67,62,5,51,5,2,0
"301",1994,50,"Visual and performing arts.",43,17,26,16,23,1,1
"302",1995,2,"Agricultural Sciences",134,89,45,78,39,1,1
"303",1995,1,"Agriculture- Agriculture Operations and Related Sciences",68,40,28,36,24,0,1
"304",1995,4,"Architecture and Related Services",37,30,7,28,6,0,0
"305",1995,26,"Biological and Biomedical Sciences",109,56,53,51,44,0,0
"306",1995,52,"Business- Management- Marketing- and Related Support Services",624,349,275,263,200,7,8
"307",1995,9,"Communication- Journalism- and Related Programs",100,43,57,40,48,1,3
"308",1995,11,"Computer and Information Sciences and Support Services",44,40,4,14,1,1,0
"309",1995,13,"Education",355,126,229,113,206,2,2
"310",1995,15,"Engineering Technologies and Engineering-related Fields",82,77,5,64,4,2,1
"311",1995,14,"Engineering",253,223,30,150,22,4,1
"312",1995,23,"English language and literature/letters.",46,23,23,17,20,2,0
"313",1995,16,"Foreign Languages- Literatures- and Linguistics",14,3,11,3,9,0,0
"314",1995,51,"Health Professions and Related Programs",59,4,55,4,52,0,0
"315",1995,19,"Family and Consumer Sciences/Human Sciences",168,4,164,2,147,1,3
"316",1995,24,"Liberal arts and sciences- general studies and humanities.",4,3,1,3,1,0,0
"317",1995,27,"Mathematics and Statistics",20,9,11,8,9,0,0
"318",1995,3,"Natural Resources and Conservation",13,10,3,10,3,0,0
"319",1995,31,"Parks- Recreation- Leisure and Fitness Studies",33,8,25,7,25,0,0
"320",1995,38,"Philosophy and Religious Studies",4,4,0,4,0,0,0
"321",1995,40,"Physical Sciences",29,24,5,22,3,0,0
"322",1995,42,"Psychology",89,31,58,26,51,0,1
"323",1995,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",27,24,3,21,3,1,0
"324",1995,45,"Social Sciences and History",142,70,72,61,61,2,1
"325",1995,49,"Transportation and materials moving.",76,70,6,60,6,1,0
"326",1995,50,"Visual and performing arts.",30,17,13,14,11,2,0
"327",1996,2,"Agricultural Sciences",138,86,52,76,49,0,0
"328",1996,1,"Agriculture- Agriculture Operations and Related Sciences",58,39,19,36,16,0,0
"329",1996,4,"Architecture and Related Services",30,24,6,20,6,0,0
"330",1996,26,"Biological and Biomedical Sciences",99,53,46,46,36,0,0
"331",1996,52,"Business- Management- Marketing- and Related Support Services",529,280,249,172,171,6,4
"332",1996,9,"Communication- Journalism- and Related Programs",74,29,45,24,35,0,1
"333",1996,11,"Computer and Information Sciences and Support Services",24,21,3,14,0,0,0
"334",1996,13,"Education",313,106,207,96,185,2,1
"335",1996,15,"Engineering Technologies and Engineering-related Fields",91,84,7,70,5,0,0
"336",1996,14,"Engineering",256,209,47,153,35,1,0
"337",1996,23,"English language and literature/letters.",48,18,30,16,26,0,1
"338",1996,16,"Foreign Languages- Literatures- and Linguistics",19,3,16,3,15,0,0
"339",1996,51,"Health Professions and Related Programs",39,3,36,3,34,0,0
"340",1996,19,"Family and Consumer Sciences/Human Sciences",127,9,118,6,104,0,1
"341",1996,24,"Liberal arts and sciences- general studies and humanities.",4,3,1,3,1,0,0
"342",1996,27,"Mathematics and Statistics",26,12,14,10,14,0,0
"343",1996,3,"Natural Resources and Conservation",18,15,3,15,3,0,0
"344",1996,31,"Parks- Recreation- Leisure and Fitness Studies",22,5,17,4,16,0,0
"345",1996,38,"Philosophy and Religious Studies",9,7,2,6,2,0,0
"346",1996,40,"Physical Sciences",16,10,6,9,5,0,0
"347",1996,42,"Psychology",87,32,55,27,46,0,1
"348",1996,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",52,48,4,37,3,0,0
"349",1996,45,"Social Sciences and History",130,64,66,47,56,6,5
"350",1996,49,"Transportation and materials moving.",58,54,4,48,3,1,0
"351",1996,50,"Visual and performing arts.",36,17,19,14,17,0,0
"352",1997,2,"Agricultural Sciences",159,98,61,87,54,0,0
"353",1997,1,"Agriculture- Agriculture Operations and Related Sciences",68,47,21,46,17,0,0
"354",1997,4,"Architecture and Related Services",30,23,7,18,5,0,0
"355",1997,26,"Biological and Biomedical Sciences",143,79,64,64,56,2,4
"356",1997,52,"Business- Management- Marketing- and Related Support Services",708,383,325,246,219,10,3
"357",1997,9,"Communication- Journalism- and Related Programs",98,41,57,37,49,0,1
"358",1997,11,"Computer and Information Sciences and Support Services",29,24,5,15,1,0,0
"359",1997,13,"Education",359,117,242,101,214,0,2
"360",1997,15,"Engineering Technologies and Engineering-related Fields",87,78,9,60,6,1,0
"361",1997,14,"Engineering",288,241,47,119,34,5,1
"362",1997,23,"English language and literature/letters.",63,29,34,24,25,1,0
"363",1997,16,"Foreign Languages- Literatures- and Linguistics",19,5,14,2,9,0,0
"364",1997,51,"Health Professions and Related Programs",35,4,31,3,26,0,1
"365",1997,19,"Family and Consumer Sciences/Human Sciences",161,14,147,12,125,0,2
"366",1997,24,"Liberal arts and sciences- general studies and humanities.",3,1,2,1,2,0,0
"367",1997,27,"Mathematics and Statistics",16,8,8,4,6,0,1
"368",1997,3,"Natural Resources and Conservation",24,14,10,9,9,1,0
"369",1997,31,"Parks- Recreation- Leisure and Fitness Studies",34,9,25,8,20,0,1
"370",1997,38,"Philosophy and Religious Studies",5,5,0,5,0,0,0
"371",1997,40,"Physical Sciences",21,14,7,8,5,1,0
