Date,Season,Details
11/29/1994,1994-1995,"Alonzo Mourning (Cha) was fined $5,000 by the league for verbally abusing the refs and not leaving the court in a timely manner in Wednesday's Cha-Bos game."
12/6/1994,1994-1995,"Vernon Maxwell (Hou) was fined $5,000 for berating the officials and not leaving the court in a timely manner after being tossed from Thursday's game against Golden State."
12/10/1994,1994-1995,San Antonio removed Dennis Rodman from the suspended list.
12/12/1994,1994-1995,"Jay Humphries (Uta) was fined $3,500 by the league for a flagrant elbow thrown during Thursday's game against San Antonio."
12/13/1994,1994-1995,Dallas suspended Roy Tarpley without pay for insubordination. Dallas set Roy Tarpley's suspension to 1 game (tonight vs Boston).
12/26/1994,1994-1995,Minnesota suspended Isaiah Rider for Monday's game vs LA Clippers for violating team rules. Rider missed the team's mandatory shoot around on Monday morning.
12/29/1994,1994-1995,Seattle suspended Vincent Askew without pay for Thursday's game vs the LA Lakers. He was suspended for refusing to re-enter the game Wednesday night vs Philadelphia.
12/29/1994,1994-1995,New Jersey fined Kenny Anderson $500 for missing Wednesday's practice.
12/30/1994,1994-1995,"Shawn Bradley (Phi) was fined $4,000 for a flagrant elbow thrown in Wednesday's game vs Seattle."
1/4/1995,1994-1995,Philadelphia suspended B.J. Tyler for one game for violating team policy.
1/5/1995,1994-1995,Golden State suspended Latrell Sprewell for one game for missing practice.
1/9/1995,1994-1995,Seattle fined Kendall Gill for missing Sunday's practice. Gill had missed a flight from Chicago.
1/13/1995,1994-1995,"The NBA fined Reggie Miller (Ind) $5,000 for trying to start a fight with Charles Smith (NY) after Tuesday's NY-Ind game."
1/19/1995,1994-1995,"The NBA suspended Olden Polynice (Sac), Rod Strickland (Por), Mark Bryant (Por), Clyde Drexler (Por), James Edwards (Por), Harvey Grant (Por), and Jerome Kersey (Por) for one game. Strickland and Polynice were suspended and fined $5,000 for fighting during Tuesday's Sac-Por game. Polynice served his suspension Thursday (last night) vs GS and Strickland served his suspension Thursday vs Pho. The other 5 Blazers were suspended and fined $2,500 for leaving the bench during the fight. Bryant and Drexler missed Thursday's game vs Pho and Edwards, Grant, and Kersey will miss Friday's game vs LAC. Players receive an automatic suspension for leaving the bench, a new rule this season that came about due to two ugly brawls during the 1994 playoffs. Which games the 5 who left the bench miss was determined alphabetically by their last names (the league allows the suspensions to be split among games if 5 or more players are suspended for leaving the bench so that the team stays above the 8 player minimum for a game)."
1/24/1995,1994-1995,"Sam Mitchell (Ind) was fined $4,000 by the league for shoving Dennis Rodman (SA) near the end of the SA-Ind game from last Sunday."
1/26/1995,1994-1995,"Scottie Pippen (Chi) has been suspended 1 game and fined $6,000 by the"
1/31/1995,1994-1995,Golden State suspended Clifford Rozier for one game for missing practice. Rozier served his suspension Tuesday night vs New York.
2/3/1995,1994-1995,"The NBA fined Tom Chambers (Uta) $6,000 for throwing an elbow in the Utah-Denver game. Brian Williams (Den) was also fined $2,500 and suspended for 1 game for leaving the bench during the incident. Williams served his suspension during the Den-LAL game."
2/3/1995,1994-1995,Washington suspended Kevin Duckworth for 3 games for not staying in good physical condition.
2/8/1995,1994-1995,"The league has suspended Vernon Maxwell (Hou) for a minimum of 10 games and fined him $20,000 for going into the stands and punching a fan during Monday's Hou-Por game. Maxwell will have to meet with league officials later to determine if he should be allowed to return after the 10 games or if his suspension should be extended. The fine ties the highest fine in league history and the suspension is the 2nd longest in league history [Kermit Washington was suspended for 28 games for punching Rudy Tomjanovich in 1977]. The suspension will cost Maxwell over $200,000 in lost salary."
2/16/1995,1994-1995,"NBA suspended Danny Ainge (Pho) for 1 game and fined him $7,500 for hitting Chris Dudley (Por) in the face during the Por-Pho game Wednesday night. Ainge will miss Friday's game vs Golden State."
2/17/1995,1994-1995,Washington activated Kevin Duckworth from the suspended list.
2/25/1995,1994-1995,"The NBA suspended Shaquille O'Neal (Orl) for 1 game and fined him $5,000 for punching Eric Montross in Friday's Boston-Orlando game. O'Neal will miss Sunday's game vs Chicago."
2/27/1995,1994-1995,Vernon Maxwell (Hou) has completed his 10 game suspension and has been reinstated by the league. Maxwell met with league officials on Friday.
2/28/1995,1994-1995,Washington suspended Kevin Duckworth indefinitely for not maintaining playing shape.
2/28/1995,1994-1995,"The NBA fined Seattle coach George Karl $10,000 for remarks regarding the refs after the Sea-Cha game on Monday."
3/3/1995,1994-1995,Washington activated Kevin Duckworth from the suspended list.
3/7/1995,1994-1995,Atlanta suspended Kevin Willis for one game for not complying with the team's rehabilitation program. Willis has been suffering from back problems.
3/7/1995,1994-1995,Minnesota fined Isaiah Rider for missing an injury rehabilitation session.
3/13/1995,1994-1995,"The NBA has cleared Richard Dumas (Pho) to resume playing in the league. Dumas had been suspended without pay by the league for violating the league's anti-drug policy. Phoenix has 7 days to activate Dumas, else he becomes a free agent."
3/14/1995,1994-1995,"Apparently Phoenix has done a complete 180 on the Richard Dumas situation. Despite comments in that past that Dumas would never play for Phoenix again, Phoenix activated Dumas from the suspended list and he played 2 minutes and scored 4 points in last night's game vs Detroit. To make room for Dumas, Phoenix placed Wayman Tisdale on IR with a strained left rib."
3/16/1995,1994-1995,New York placed Anthony Mason on the suspended list for conduct detrimental to the team and violation of team rules. A player placed on the suspended list must miss at least 5 games.
3/26/1995,1994-1995,New York activated Anthony Mason from the suspended list.
3/28/1995,1994-1995,"The NBA fined Ken Norman (Atl) $4,000 for failing to leave the court in a timely manner after being ejected from the Atl-Chi game on March 25."
4/3/1995,1994-1995,Golden State suspended Latrell Sprewell for 2 games without pay for conduct determental to the team.
4/4/1995,1994-1995,"The NBA fined Rick Mahorn (NJ) $7,000 and Patrick Ewing (NY) $3,500 for their altercation in Sunday's NY-NJ game. Derek Harper (NY) was also fined $5,000 for comments made to the refs after being ejected (while he was at the free throw line)."
4/15/1995,1994-1995,The NBA suspended Charles Barkley (Pho) for 1 game for exceeding the league flagrant foul limit. Barkley received his 6th flagrant foul of the season during Friday's Phoenix-Denver game. Barkley served his suspension during the LA Lakers game Saturday night.
4/17/1995,1994-1995,The LA Clippers have indefinitely suspended Lamond Murray.
4/18/1995,1994-1995,The LA Clippers reinstated Lamond Murray after a one-game suspension.
4/20/1995,1994-1995,"The NBA fined Sherman Douglas (Bos) $4,000 for not leaving the court in a timely manner and verbally abusing the refs after Monday's Bos-NJ game."
5/1/1995,1994-1995,"The league handed out the fines for Sunday's San Antonio-Denver game. Dennis Rodman (SA) was fined $7,500 for undercutting Dikembe Mutombo. Greg Grant (Den) was fined $5,000 for his flagrant push and Avery Johnson (SA) was fined $2,500 for his retaliation. Jack Haley (SA) was fined $7,500 for his flagrant foul on Greg Grant. Haley and Johnson also received an automatic $1,000 fine for their ejections."
5/4/1995,1994-1995,"Bernie Bickerstaff (coach Den) was fined $10,000 for verbally abusing the refs and not leaving the court in a timely manner after being ejected from Tuesday's SA-Den game."
5/11/1995,1994-1995,"The NBA fined Michael Jordan $5,000 for wear non-conforming shoes (his were mostly white while the rest of the Bulls wore black) and fined the Chicago Bulls $25,000 for permitting Jordan to wear #23 instead of his roster listed #45. The league most be notified in advance and approve any number changes. The league also warned the Bulls that if Jordan continues to wear #23, they will continue to assess fines and the infraction will be dealt with ""in an appropriate manner"" after the playoffs end."
10/19/1995,1995-1996,"The NBA fined Chris Webber (Was) $7,500 and suspended him for the first game of the regular season and fined Luc Longley $7,500 and suspended him for the first game of the regular season for fighting in October 17's Was-Chi game. Rasheed Wallace was also fined $5,000 for throwing the ball at Longley during the fight."
10/19/1995,1995-1996,"The NBA fined Oliver Miller (Tor) $5,000 and suspended him for the first game of the regular season for leaving the bench to confront Shawn Bradley during October 14's Tor-Phi game. Toronto was fined a matching $5,000 for Miller's action."
10/27/1995,1995-1996,"The NBA fined Matt Geiger (Mia) $10,000 and suspended him for the first game of the regular season for what the NBA ruled as a flagrant foul on Shaquille O'Neal during the Orl-Mia game on October 24. No foul was called on the play during the game."
10/31/1995,1995-1996,"The NBA fined Charles Oakley (NY) $6,000 and suspended him for one game for throwing a punch during a NY-Phi game Oct. 29."
10/31/1995,1995-1996,"The NBA fined Vernon Maxwell $3,000 for verbally abusing the ref."
11/2/1995,1995-1996,Dallas placed Donald Hodge on IR and placed Roy Tarpley on the suspended list. Tarpley has yet to pass his physical and must complete a timed conditioning test.
11/6/1995,1995-1996,"The NBA fined Chris Mills (Cle) $10,000 and suspended him for one game and fined Predrag Danilovic (Mia) $3,500 and suspended him for one game for fighting in Friday's Cle-Mia game."
11/6/1995,1995-1996,Dallas moved Roy Tarpley from the suspended list to IR.
11/10/1995,1995-1996,"The NBA fined Larry Brown (coach Ind) $11,000 and suspended him for 1 game for verbally abusing the refs and refusing to leave the court in a timely manner. Indiana was also fined $50,000 for Brown's actions."
11/11/1995,1995-1996,"As a result of the Indiana-Sacramento brawl during Friday's game, the NBA has fined and suspended a one game record of 16 players. Dale Davis (Ind) had Michael Smith (Sac) were fined $20,000 and suspended for 2 games. Duane Causwell (Sac) was fined $7,500 and suspended for 1 game. Travis Best (Ind), Adrian Caldwell (Ind), Duane Ferrell (Ind), Fred Hoiberg (Ind), Mark Jackson (Ind), Reggie Miller (Ind), Dwayne Schintzius (Ind), Tyus Edney (Sac), Byron Houston (Sac), Sarunas Marciulionis (Sac), Olden Polynice (Sac), Lionel Simmons (Sac), and Walt Williams (Sac) were automatically fined $2,500 and suspended for 1 game for leaving the bench. Since the league requires 8 dressed players per game, the suspensions were divided amongst different games. Besides M Smith and D Davis, the suspensions will be served alphabetically. Causwell, Edney, Houston, and M Smith missed last night's (Saturday's) game at New Jersey; Marciulionis, Simmons, M Smith, and Polynice will miss Tuesday's game vs the LA Lakers; and W Williams will miss Thursday's game at Portland. Best Caldwell, D Davis, and Ferrell will miss Wednesday's game at Miami; D Davis, Hoiberg, M Jackson, and Miller will miss Thursday's game at Orlando; and Schintzius will miss Saturday's game vs Seattle."
12/1/1995,1995-1996,"The NBA fined Charles Oakley (NY) $7,500 and Larry Johnson (Cha) $2,500 for their scuffle in the Cha-NY game on November 29."
12/1/1995,1995-1996,"The NBA fined Hakeem Olajuwon (Hou) $5,000 for hitting a ref with the ball."
12/5/1995,1995-1996,"The NBA fined Kurt Thomas (Mia) $10,000 and suspended him for one game and fined Pervis Ellison (Bos) $2,500 for fighting in the Mia-Bos game on Monday. Alton Lister (Bos) and Eric Williams (Bos) were each fined $2,500 and suspended for one game for leaving the bench during the fight."
12/6/1995,1995-1996,"The NBA dismissed Roy Tarpley (Dal) from the league for violating his aftercare program. Tarpley tested positive for alcohol consumption. Tarpley's contract is null and void. He was scheduled to make $3.9 million this season (he already received $665,582), 4.8 million each of the next 3 season, and $4.5 million in 99-00. Dallas is free to use Tarpley's money for trade purposes or free agent signings."
12/9/1995,1995-1996,"The NBA fined Ricky Pierce $5,000 and gave him a one game suspension for pushing a ref during Friday's Ind-NJ game."
12/20/1995,1995-1996,"The NBA fined Miami $25,000 for failing to make the players available to the media prior to Tuesday's game vs New York."
12/21/1995,1995-1996,"The NBA fined Chris Gatling (GS) $5,000 and Don MacLean (Den) $3,500 and suspended each for one game for fighting in Wednesday's Den-GS game."
12/22/1995,1995-1996,Boston moved Thomas Hamilton from IR to the suspended list.
1/12/1996,1995-1996,"The NBA fined Pat Riley (Mia) $10,000 for criticizing the refs following Wednesday's Por-Mia game."
1/12/1996,1995-1996,"The NBA fined Dennis Rodman (Chi) $5,000 for verbally abusing the refs and failing to leave the court in a timely manner during Wednesday's Chi-Sea game."
1/19/1996,1995-1996,"The NBA fined Juwan Howard (Was) $12,000 and Bimbo Coles (Mia) $6,000 and suspended each for one game for fighting in the Mia-Was game on January 17."
1/30/1996,1995-1996,"The NBA fined Butch Beard (NJ) $7,500 for criticizing the refs after Saturday's LAL-NJ game."
1/30/1996,1995-1996,"The NBA fined Tim Hardaway (GS) $5,000 for making an obscene gesture at the refs in Saturday's GS-Uta game."
1/30/1996,1995-1996,"The NBA fined Shaquille O'Neal (Orl) $5,000 for failing to leave the court in a timely manner and verbally abusing the refs in Saturday's Ind-Orl game."
2/2/1996,1995-1996,"The NBA fined Jalen Rose (Den) $7,500 and Sherman Douglas (Mil) $4,000 and suspended each for one game for fighting in Thursday's Den-Mil game."
2/15/1996,1995-1996,"Charles Barkley (Pho) was fined $5,000 for slamming the ball at the feet of the ref after Tuesday night's loss to Seattle."
2/15/1996,1995-1996,"Sean Higgins (Phi) was fined $5,000 for making an obscene gesture following his ejection in February 7th's Phi-Ind game."
2/22/1996,1995-1996,"The NBA suspended Charles Smith (SA) for one game and fined him $5,000 for punching Chris Gatling (then of GS) during Wednesday's SA-GS game."
2/22/1996,1995-1996,"Portland suspended Rod Strickland for one game for ""numerous violations of team rules"". Strickland is unhappy in Portland and wanted to be traded."
2/22/1996,1995-1996,Boston moved Thomas Hamilton from IR to the suspended list.
2/23/1996,1995-1996,"The NBA fined Doug Edwards (Van) $3,500 for throwing a flagrant elbow at Detlef Schrempf (Sea) during the Sea-Van game on February 10."
2/24/1996,1995-1996,Rod Strickland (Por) skipped the team's Saturday practice and Portland announced that Strickland's suspension would be extended indefinitely.
2/26/1996,1995-1996,"The NBA fined J.R. Reid (NY) $10,000 and suspended him for 2 games for throwing a flagrant elbow that knocked out 2 of A.C. Green's (Pho) teeth during Sunday's Pho-NY game."
2/27/1996,1995-1996,"The NBA fined Juwan Howard (Was) $5,000 for making an obscene gesture after being ejected from Tuesday's Was-Cha game."
2/28/1996,1995-1996,"The NBA fined Michael Jordan (Chi) and Charles Barkley (Pho) $10,000 each for not attending the media session for the All-Star weekend."
3/6/1996,1995-1996,"The NBA fined Charles Barkley (Pho) $7,500 for criticizing the refs following Sunday's Pho-Dal game."
3/12/1996,1995-1996,"The NBA suspended Mahmoud Abdul-Rauf (Den) indefinitely for refusing to stand during the national anthem. Deputy commissioner Russ Granik: ""The NBA's rule on this point is very clear and all our rules apply equally to all players."" The suspension will continue as long as Abdul-Rauf refuses to comply. Abdul-Rauf has stated that he does not believe in standing for any nationalistic ideology and called the American flag ""a symbol of oppression, of tyranny."" Abdul-Rauf: ""My beliefs are more important than anything. If I have to give up basketball, I will."" Abdul-Rauf has not been standing for the anthem all season and has recently been remaining in the locker room until after the anthem."
3/12/1996,1995-1996,"The NBA fined Isaiah Rider (Min) $5,000 for failing to leave the court in a timely manner after being ejected from Sunday's Uta-Min game."
3/13/1996,1995-1996,Boston activated Thomas Hamilton from the suspended list.
3/14/1996,1995-1996,The NBA has lifted the Mahmoud Abdul-Rauf's (Den) suspension as Abdul-Rauf has agreed to standing during the national anthem.
3/14/1996,1995-1996,"The NBA fined Gary Payton (Sea) $6,000 and suspended him for one game for head butting Joe Wolf (Orl) during Wednesday's Sea-Orl game."
3/18/1996,1995-1996,"The NBA fined Dennis Rodman (Chi) $20,000 and suspended him for 6 games for head-butting a ref and failing to leave the court in a timely manner after being ejected from Saturday's Chi-NJ game."
3/20/1996,1995-1996,"The NBA fined Greg Anthony (Van) $5,000 and suspended him for 1 game for throwing a punch at Shawn Bradley (NJ) during Tuesday's NJ-Van game."
3/20/1996,1995-1996,"The NBA fined Doug Collins (Det) $5,000 for instructing his players not to defend on Orlando's final play and leaving the court before the game clock had expired during Tuesday's Orl-Det game. Anthony Bowie (Orl) called timeout with 3 seconds left and Orlando up by 20 points to set up a play so he could get his 10th assist and first career triple-double."
3/21/1996,1995-1996,"The NBA fined Jerry Stackhouse (Phi) $7,500 and suspended him for 2 games for throwing punches at Jeff Hornacek (Uta) during Wednesday's Uta-Phi game."
3/21/1996,1995-1996,The LA Lakers suspended Cedric Ceballos for one game for missing the team's charter flight to Seattle.
3/22/1996,1995-1996,"The LA Lakers suspended indefinitely without pay Cedric Ceballos. Ceballos has not been in touch with the team for a few days, but has contacted his agent."
3/25/1996,1995-1996,The LA Lakers activated Cedric Ceballos from the suspended list.
4/10/1996,1995-1996,"The NBA fined Nick Van Exel (LAL) a record $25,000 and suspended him for 7 games for shoving a ref during Friday's LAL-Den game."
4/11/1996,1995-1996,"The NBA fined Horace Grant (Orl) $5,000 and suspended him for 1 game for punching Danny Ferry (Cle) during Wednesday's Orl-Cle game."
4/15/1996,1995-1996,"The NBA fined the Miami Heat $25,000 for failing to make the players available to the media prior to Wednesday's Cha-Mia game."
4/15/1996,1995-1996,"The NBA fined Magic Johnson (LAL) $10,000 and suspended him for 3 games for bumping a ref in Sunday's LAL-Pho game."
4/23/1996,1995-1996,"The NBA fined Ledell Eackles (Was) $7,500 and suspended him for one game for throwing a punch at James Edwards (Chi) in Friday's Was-Chi game. Eackles will miss the first game of the 1995-96 season."
4/23/1996,1995-1996,"The NBA fined Shawn Kemp (Sea) and Tom Hammonds (Den) $7,500 and suspended each for one game for their altercation in Friday's Sea-Den game. Kemp will miss the first game of the playoffs and Hammonds will miss the first game of the 1996-97 season."
4/29/1996,1995-1996,"The NBA fined Dennis Rodman (Chi) $5,000 for making an obscene gesture at a ref after being ejected from Sunday's Chi-Mia game."
5/8/1996,1995-1996,"The NBA fined Hakeem Olajuwon (Hou) $5,000 for throwing an elbow at Detlef Schrempf (Sea) in game one of the Sea-Hou series on Saturday."
5/10/1996,1995-1996,"The NBA fined Jim Cleamons (Chi assistant coach) $2,50 for initiating a verbal confrontation with Patrick Ewing in Tuesday's Chi-NY game 2."
6/11/1996,1995-1996,"Vincent Askew (Sea) was fined $10,000 for not appearing at a mandatory media session on Monday."
10/7/1996,1996-1997,The LA Clippers suspended indefinitely Stanley Roberts for conduct detrimental to the team.
10/18/1996,1996-1997,The LA Clippers ended their suspension of Stanley Roberts.
10/28/1996,1996-1997,"The NBA has fined Charles Oakley (NY) $10,000 and suspended him for 2 games and fined Charles Barkley (Hou) $5,000 and suspended him for 1 game for their fight in Friday's NY-Hou game. The suspensions will start with the first game of the season."
10/28/1996,1996-1997,Portland has suspended Isaiah Rider for one game for missing Sunday's pre-season game. Rider claims that that a cab had taken him to the wrong hotel.
10/31/1996,1996-1997,Denver suspended Jeff McInnis for conduct detrimental to the team.
10/31/1996,1996-1997,Golden State suspended Rony Seikaly for his holdout.
11/2/1996,1996-1997,"Golden State released Anthony Harris, placed Lou Roe and Andrew DeClercq on IR, and placed Marcus Mann on the suspended list."
11/8/1996,1996-1997,Denver placed LaPhonso Ellis on IR and lift the suspension from Jeff McInnis.
11/18/1996,1996-1997,"The NBA fined Reggie Miller (Ind) $10,000 and Larry Brown (Ind coach) $5,000 for comments they made about the refs following Thursday's Ind-Hou game."
11/21/1996,1996-1997,"Dallas suspended without pay Tony Dumas for one game and fined him $1,000 for skipping Wednesday's practice."
12/7/1996,1996-1997,"The NBA fined Larry Johnson (NY) $5,000 and suspended him for one game for throwing a punch at Keith Askins (Mia) during Friday's Mia-NY game."
12/9/1996,1996-1997,"The NBA fined George Karl (Sea coach) $7,500 for verbally abusing the refs and refusing to leave the court in a timely manner during Thursday's Sea-Min game."
12/10/1996,1996-1997,Chicago suspended without pay Dennis Rodman for 2 games for a profanity laced ref bashing interview following the Tor-Chi game.
12/12/1996,1996-1997,Portland suspended Isaiah Rider for one game for walking out of Wednesday's practice.
12/20/1996,1996-1997,"The NBA fined Charles Barkley (Hou) $7,500 and suspended him for 2 games and fined Clyde Drexler (Hou) $5,000 and suspended him for 1 game for making contact with a ref during Thursday's Hou-SA game. Barkley accidentally cut the ref's nose."
1/3/1997,1996-1997,Golden State suspended Donyell Marshall for one game for a verbal altercation with two of Golden State's coaches.
1/6/1997,1996-1997,Phoenix suspended Robert Horry for 2 games without pay for throwing a towel at coach Danny Ainge after he was pulled during Sunday's Pho-Bos game.
1/10/1997,1996-1997,Portland suspended Clifford Robinson for one game for calling the coach a bad name after Wednesday's Mia-Por game.
1/17/1997,1996-1997,"The NBA fined Dennis Rodman (Chi) $25,000 and suspended him through at least the All-Star game for kicking a baseline cameraman during Wednesday's Min-Chi game. Rodman will miss at least 11 games. NBA commissioner David Stern: ""Until Dennis can provide meaningful assurances that he will conform his conduct on the playing court to acceptable standards, including not placing others at physical risk, his suspension will continue."""
1/24/1997,1996-1997,Utah suspended Chris Morris for one game for breaking team rules.
1/27/1997,1996-1997,Philadelphia fined Derrick Coleman for missing Saturday's game in Detoit and Monday's practice in Philly. Coleman is on IR.
1/28/1997,1996-1997,Dallas suspended Chris Gatling for one game for insubordination.
2/4/1997,1996-1997,David Stern announced that Dennis Rodman (Chi) will be reinstated after he completes the rest of his 11 game suspension (2 more games).
2/15/1997,1996-1997,"The NBA fined Shawn Kemp (Sea) $3,000 and suspended him for 1 game for throwing a punch at Kevin Willis (Hou) and fined Charles Barkley (Hou) $2,500 and suspended him for 1 game for leaving the bench during the altercation in Friday's Hou-Sea game. Leaving the bench is an automatic fine and suspension."
2/19/1997,1996-1997,"NBA ref Mike Mathis became the 3rd ref indicted on tax-evasion charges. George Toliver and Hank Armstrong are the other refs that have been indicted so far. The government's investigation concerns the refs downgrading 1st class airline tickets and pocketing the difference. Mathis' amount pocketed is believed to be nearly $70,000. Any ref indicted is automatically suspended by the league. Other refs are being investigated."
2/19/1997,1996-1997,"The NBA fined Darrell Walker (Tor coach) $7,500 for verbally abusing the refs and failing to leave the court in a timely manner during Monday's Tor-Ind game."
3/4/1997,1996-1997,"The NBA fined Dennis Rodman (Chi) $7,500 and suspended him for one game for striking Joe Wolf (Mil) in the groin during Monday's Chi-Mil game."
3/9/1997,1996-1997,Portland suspended Dontonio Wingfield for one game for conduct determental to the team.
3/10/1997,1996-1997,San Antonio suspended Vernon Maxwell for one game for gestures and body language made during Saturday's SA-Ind game at Indiana.
3/10/1997,1996-1997,"The NBA fined Armon Gilliam (Mil) $7,500 for his flagrant foul committed against Bob Sura in Saturday's Cle-Mil game."
3/22/1997,1996-1997,New York suspended John Starks for one game for arguments between Starks and coach Jeff Van Gundy.
3/22/1997,1996-1997,"The NBA fined Nick Van Exel (LAL) $10,000 for his comments regarding the refs after Friday's LAL-Mia game."
3/26/1997,1996-1997,"The NBA fined John Calipari (NJ coach) $25,000 for a hispanic racial slur aimed at a newspaper columnist."
3/26/1997,1996-1997,"The NBA fined David Halberstam (Mia broadcaster) $2,500 for a comment referring to slaves during a broadcast."
4/3/1997,1996-1997,"Orlando fined Brian Shaw $2,000 for flipping the bird with both hands at a fan in Orlando at the end of Tuesday's Philadelphia game."
4/5/1997,1996-1997,Seattle fined Shawn Kemp an undisclosed amount for failing to notify the team that he would miss practice Friday.
4/14/1997,1996-1997,"The NBA fined Alonzo Mourning (Mia) $7,500, Buck Williams (NY) $5,000, and Charles Oakley (NY) $4,000 for their scuffle in Saturday's NY-Mia game."
4/15/1997,1996-1997,"The NBA fined Lorenzen Wright (LAC) $5,000 and suspended him for one game for throwing an elbow at Shawn Bradley (Dal) during Monday's LAC-Dal. Wright was ejected from that game with a flagrant foul 2."
4/17/1997,1996-1997,Portland fined Isaiah Rider Thursday for refusing to enter Wednesday's Por-Den game in the 2nd quarter. Rider did not start in that game due to being late for two practices.
4/28/1997,1996-1997,"The NBA fined Sam Mitchell (Min) $10,000 for his flagrant foul 2 against Kevin Willis (Hou) during Saturday's Min-Hou game. Willis was also fined $7,500 for his flagrant foul 1 of elbowing Mitchell in the head during the game."
5/8/1997,1996-1997,"The NBA fined Chicago $25,000 for failing to make the players available to the media following Wednesday's practice."
5/13/1997,1996-1997,"The NBA fined Brian Williams (Chi) $5,000 for making an obscene gesture at the crowd during Sunday's Chi-Atl game."
5/15/1997,1996-1997,"The NBA handed out the fines and suspensions for Wednesday's NY-Mia fight. P.J. Brown (Mia) was fined $10,000 and suspended for 2 games. If the NY-Mia series does not go to 7 games, his 2nd game suspension will be moved to the first game of the 97-98 season. Charlie Ward (NY) was fined $6,000 and suspended for 1 game. Patrick Ewing (NY), Allan Houston (NY), Larry Johnson (NY), and John Starks (NY) were fined $2,500 and suspended for 1 game for leaving the bench. Because playoff teams are required to dress 9 players, Ward, Ewing, and Houston will miss game 6 and Johnson and Starks will miss game 7 or game 1 vs Chicago. The games for the suspension of the players who left the bench was determined alphabetically. Starks was also fined $5,000 for making an obscene gesture at the crowd. Dontae' Jones, who is not on the Knick's playoff roster, also left the bench and has been restricted from sitting on the bench for the rest of the playoffs and has been suspended for the first game of the 97-98 season."
5/16/1997,1996-1997,"The NBA fined Kevin Willis (Hou) $10,000 for elbowing Shawn Kemp (Sea) in the mouth and fined Kemp $5,000 for pushing Willis' head."
5/22/1997,1996-1997,"The NBA fined Chicago $50,000 for not making their players available to the media after Wednesday's practice."
5/28/1997,1996-1997,"The NBA fined Alonzo Mourning (Mia) and Dennis Rodman (Chi) $5,000 each for their clashes in Monday's Chi-Mia game."
6/12/1997,1996-1997,"The NBA fined Dennis Rodman (Chi) $50,000 for his obscene and insensitive remarks regarding Mormons."
10/3/1997,1997-1998,The NBA has suspended Isaiah Rider (Por) for the first two games of the regular season for being convicted of possession of marijuana and pleading no contest to possession of illegal cellular phones this summer.
10/3/1997,1997-1998,The NBA has suspended Allen Iverson (Phi) for the first game of the regular season for pleading no contest to carrying a concealed weapon this summer.
