Player,Wikipedia_Player_URL,Position_ID,Position,Last_Name,First_Name,Height,Height (inches),Height (meters),Weight (lbs),Weight (kg),DOB,From,TeamCode,Jersey
Reggie Evans,http://en.wikipedia.org/wiki/Reggie_Evans,4,F,Evans,Reggie,6'8'',80,2.03,245,111,5/18/1980,Iowa,BKN,30
Kris Humphries,http://en.wikipedia.org/wiki/Kris_Humphries,4,F,Humphries,Kris,6'9'',81,2.06,235,107,2/6/1985,Minnesota,BKN,43
Joe Johnson,http://en.wikipedia.org/wiki/Joe_Johnson,2.5,G/F,Johnson,Joe,6'7'',79,2.01,240,109,6/29/1981,Arkansas,BKN,7
Brook Lopez,http://en.wikipedia.org/wiki/Brook_Lopez,6,C,Lopez,Brook,7'0'',84,2.13,265,120,4/1/1988,Stanford,BKN,11
Tornike Shengelia,http://en.wikipedia.org/wiki/Tornike_Shengelia,4,F,Shengelia,Tornike,6'9'',81,2.06,228,103,10/5/1991,Republic of Georgia,BKN,20
Jerry Stackhouse,http://en.wikipedia.org/wiki/Jerry_Stackhouse,2.5,G/F,Stackhouse,Jerry,6'6'',78,1.98,218,99,11/5/1974,North Carolina,BKN,42
Tyshawn Taylor,http://en.wikipedia.org/wiki/Tyshawn_Taylor,1.5,G,Taylor,Tyshawn,6'3'',75,1.91,185,84,4/12/1990,Kansas,BKN,41
Mirza Teletovic,http://en.wikipedia.org/wiki/Mirza_Teletovic,4,F,Teletovic,Mirza,6'9'',81,2.06,255,116,9/17/1985,Bosnia,BKN,33
Gerald Wallace,http://en.wikipedia.org/wiki/Gerald_Wallace,4,F,Wallace,Gerald,6'7'',79,2.01,220,100,7/3/1982,Alabama,BKN,45
C. J. Watson,http://en.wikipedia.org/wiki/C. J._Watson,1.5,G,Watson,C. J.,6'2'',74,1.88,175,79,4/17/1984,Tennessee,BKN,1
Deron Williams,http://en.wikipedia.org/wiki/Deron_Williams,1.5,G,Williams,Deron,6'3'',75,1.91,209,95,6/26/1984,Illinois,BKN,8
Leandro Barbosa,http://en.wikipedia.org/wiki/Leandro_Barbosa,2.5,PG/SG,Barbosa,Leandro,6'3'',75,1.91,194,88,11/28/1982,Brazil,BOS,12
Brandon Bass,http://en.wikipedia.org/wiki/Brandon_Bass,4,F,Bass,Brandon,6'8'',80,2.03,250,113,4/30/1985,LSU,BOS,30
Avery Bradley,http://en.wikipedia.org/wiki/Avery_Bradley,1.5,G,Bradley,Avery,6'2'',74,1.88,180,82,11/26/1990,Texas,BOS,0
Dionte Christmas,http://en.wikipedia.org/wiki/Dionte_Christmas,1.5,G,Christmas,Dionte,6'5'',77,1.96,205,93,9/15/1986,Temple,BOS,50
Jason Collins,http://en.wikipedia.org/wiki/Jason_Collins,6,C,Collins,Jason,7'0'',84,2.13,255,116,12/2/1978,Stanford,BOS,36
Kevin Garnett,http://en.wikipedia.org/wiki/Kevin_Garnett,5.5,F/C,Garnett,Kevin,6'11'',83,2.11,253,115,5/19/1976,Farragut HS (IL),BOS,5
Jeff Green,http://en.wikipedia.org/wiki/Jeff_Green_(basketball),3,F,Green,Jeff,6'9,81,2.06,235,107,8/28/2006,Georgetown,BOS,8
Kris Joseph,http://en.wikipedia.org/wiki/Kris_Joseph,4,F,Joseph,Kris,6'7'',79,2.01,210,95,12/17/1988,Syracuse,BOS,43
Courtney Lee,http://en.wikipedia.org/wiki/Courtney_Lee,2.5,G/F,Lee,Courtney,6'5'',77,1.96,200,91,10/3/1985,Western Kentucky,BOS,11
Fab Melo,http://en.wikipedia.org/wiki/Fab_Melo,6,C,Melo,Fab,7'0'',84,2.13,255,116,6/20/1990,Syracuse,BOS,13
Darko Milicic,http://en.wikipedia.org/wiki/Darko_Mili%C4%8Di%C4%87,5,C,Milicic,Darko,7'0'',84,2.13,175,125,6/20/1985,Serbia,BOS,99
Paul Pierce,http://en.wikipedia.org/wiki/Paul_Pierce,4,F,Pierce,Paul,6'7'',79,2.01,235,107,10/13/1977,Kansas,BOS,34
Rajon Rondo,http://en.wikipedia.org/wiki/Rajon_Rondo,1.5,G,Rondo,Rajon,6'1'',73,1.85,186,84,2/22/1986,Kentucky,BOS,9
Jamar Smith,http://en.wikipedia.org/wiki/Jamar_Smith,1.5,G,Smith,Jamar,6'3'',75,1.91,185,84,4/7/1987,Southern Indiana,BOS,12
Jared Sullinger,http://en.wikipedia.org/wiki/Jared_Sullinger,4,F,Sullinger,Jared,6'9'',81,2.06,260,118,3/4/1992,Ohio State,BOS,7
Jason Terry,http://en.wikipedia.org/wiki/Jason_Terry,1.5,G,Terry,Jason,6'2'',74,1.88,180,82,9/15/1977,Arizona,BOS,4
Chris Wilcox,http://en.wikipedia.org/wiki/Chris_Wilcox,5.5,F/C,Wilcox,Chris,6'10'',82,2.08,235,107,9/3/1982,Maryland,BOS,44
Bismack Biyombo,http://en.wikipedia.org/wiki/Bismack_Biyombo,5.5,F/C,Biyombo,Bismack,6'9'',81,2.06,245,111,8/28/1992,DR Congo,CHA,0
DeSagana Diop,http://en.wikipedia.org/wiki/DeSagana_Diop,6,C,Diop,DeSagana,7'0'',84,2.13,280,127,1/30/1982,Oak Hill Academy (VA),CHA,7
Ben Gordon,http://en.wikipedia.org/wiki/Ben_Gordon,1.5,G,Gordon,Ben,6'3'',75,1.91,200,91,4/4/1983,Connecticut,CHA,32
Brendan Haywood,http://en.wikipedia.org/wiki/Brendan_Haywood,6,C,Haywood,Brendan,7'0'',84,2.13,263,119,11/27/1979,North Carolina,CHA,33
Gerald Henderson,http://en.wikipedia.org/wiki/Gerald_Henderson,2.5,G/F,Henderson,Gerald,6'5'',77,1.96,215,98,12/9/1987,Duke,CHA,9
Michael Kidd-Gilchrist,http://en.wikipedia.org/wiki/Michael_Kidd-Gilchrist,4,F,Kidd-Gilchrist,Michael,6'7'',79,2.01,232,105,9/26/1993,Kentucky,CHA,14
Byron Mullens,http://en.wikipedia.org/wiki/Byron_Mullens,6,C,Mullens,Byron,7'0'',84,2.13,275,125,2/14/1989,Ohio State,CHA,22
Ramon Sessions,http://en.wikipedia.org/wiki/Ramon_Sessions,1.5,G,Sessions,Ramon,6'3'',75,1.91,190,86,4/11/1986,Nevada,CHA,3
Jeffery Taylor,http://en.wikipedia.org/wiki/Jeffery_Taylor,2.5,G/F,Taylor,Jeffery,6'7'',79,2.01,225,102,5/23/1989,Vanderbilt,CHA,44
Tyrus Thomas,http://en.wikipedia.org/wiki/Tyrus_Thomas,4,F,Thomas,Tyrus,6'10'',82,2.08,225,102,8/17/1986,LSU,CHA,12
Kemba Walker,http://en.wikipedia.org/wiki/Kemba_Walker,1.5,G,Walker,Kemba,6'1'',73,1.85,184,83,5/8/1990,Connecticut,CHA,15
Reggie Williams,http://en.wikipedia.org/wiki/Reggie_Williams,2.5,G/F,Williams,Reggie,6'6'',78,1.98,205,93,9/14/1986,Virginia Military,CHA,55
Marco Belinelli,http://en.wikipedia.org/wiki/Marco_Belinelli,1.5,G,Belinelli,Marco,6'5'',77,1.96,195,88,3/25/1986,Italy,CHI,8
Carlos Boozer,http://en.wikipedia.org/wiki/Carlos_Boozer,4,F,Boozer,Carlos,6'9'',81,2.06,266,121,11/20/1981,Duke,CHI,5
Jimmy Butler,http://en.wikipedia.org/wiki/Jimmy_Butler,2.5,G/F,Butler,Jimmy,6'7'',79,2.01,220,100,9/14/1989,Marquette,CHI,21
Luol Deng,http://en.wikipedia.org/wiki/Luol_Deng,4,F,Deng,Luol,6'9'',81,2.06,220,100,4/16/1985,Duke,CHI,9
Taj Gibson,http://en.wikipedia.org/wiki/Taj_Gibson,4,F,Gibson,Taj,6'9'',81,2.06,225,102,6/24/1985,Southern California,CHI,22
Richard Hamilton,http://en.wikipedia.org/wiki/Richard_Hamilton,2.5,G/F,Hamilton,Richard,6'7'',79,2.01,193,88,2/14/1978,Connecticut,CHI,32
Kirk Hinrich,http://en.wikipedia.org/wiki/Kirk_Hinrich,1.5,G,Hinrich,Kirk,6'4'',76,1.93,190,86,1/2/1981,Kansas,CHI,12
Nazr Mohammed,http://en.wikipedia.org/wiki/Nazr_Mohammed,6,C,Mohammed,Nazr,6'10'',82,2.08,250,113,9/5/1977,Kentucky,CHI,6
Joakim Noah,http://en.wikipedia.org/wiki/Joakim_Noah,6,C,Noah,Joakim,6'11'',83,2.11,232,105,2/25/1985,Florida,CHI,13
Vladimir Radmanovic,http://en.wikipedia.org/wiki/Vladimir_Radmanovic,4,F,Radmanovic,Vladimir,6'10'',82,2.08,235,107,11/19/1980,Serbia,CHI,77
Nate Robinson,http://en.wikipedia.org/wiki/Nate_Robinson,1.5,G,Robinson,Nate,5'9'',69,1.75,180,82,5/31/1984,Washington,CHI,2
Derrick Rose,http://en.wikipedia.org/wiki/Derrick_Rose,1.5,G,Rose,Derrick,6'3'',75,1.91,190,86,10/4/1988,Memphis,CHI,1
Marquis Teague,http://en.wikipedia.org/wiki/Marquis_Teague,1.5,G,Teague,Marquis,6'2'',74,1.88,190,86,2/28/1993,Kentucky,CHI,25
Omri Casspi,http://en.wikipedia.org/wiki/Omri_Casspi,4,F,Casspi,Omri,6'9'',81,2.06,225,102,6/22/1988,Israel,CLE,36
Alonzo Gee,http://en.wikipedia.org/wiki/Alonzo_Gee,2.5,SG/SF,Gee,Alonzo,6'6,78,1.98,219,99,5/29/1987,Alabama,CLE,33
Daniel Gibson,http://en.wikipedia.org/wiki/Daniel_Gibson,1.5,G,Gibson,Daniel,6'2'',74,1.88,200,91,2/27/1986,Texas,CLE,1
Luke Harangody,http://en.wikipedia.org/wiki/Luke_Harangody,4,F,Harangody,Luke,6'7'',79,2.01,245,111,1/2/1986,Notre Dame,CLE,44
Kyrie Irving,http://en.wikipedia.org/wiki/Kyrie_Irving,1.5,G,Irving,Kyrie,6'3'',75,1.91,191,87,3/23/1992,Duke,CLE,2
Jon Leuer,http://en.wikipedia.org/wiki/Jon_Leuer,4,F,Leuer,Jon,6'10'',82,2.08,228,103,5/14/1989,Wisconsin,CLE,30
Jeremy Pargo,http://en.wikipedia.org/wiki/Jeremy_Pargo,1.5,G,Pargo,Jeremy,6'2'',74,1.88,219,99,3/17/1986,Gonzaga,CLE,8
Samardo Samuels,http://en.wikipedia.org/wiki/Samardo_Samuels,5.5,F/C,Samuels,Samardo,6'9'',81,2.06,260,118,1/9/1989,Louisville,CLE,24
Donald Sloan,http://en.wikipedia.org/wiki/Donald_Sloan,1.5,G,Sloan,Donald,6'3'',75,1.91,205,93,1/15/1988,Texas A&M,CLE,15
Tristan Thompson,http://en.wikipedia.org/wiki/Tristan_Thompson,5.5,F/C,Thompson,Tristan,6'9'',81,2.06,227,103,3/13/1991,Texas,CLE,13
Anderson Varejão,http://en.wikipedia.org/wiki/Anderson_Varejão,5.5,F/C,Varejão,Anderson,6'11'',83,2.11,260,118,9/28/1982,Brazil,CLE,17
Dion Waiters,http://en.wikipedia.org/wiki/Dion_Waiters,1.5,G,Waiters,Dion,6'4'',76,1.93,215,98,12/1/1991,Syracuse,CLE,3
Luke Walton,http://en.wikipedia.org/wiki/Luke_Walton,4,F,Walton,Luke,6'8'',80,2.03,235,107,3/28/1980,Arizona,CLE,4
Tyler Zeller,http://en.wikipedia.org/wiki/Tyler_Zeller,6,C,Zeller,Tyler,7'0'',84,2.13,250,113,1/17/1990,North Carolina,CLE,40
Rodrigue Beaubois,http://en.wikipedia.org/wiki/Rodrigue_Beaubois,1.5,G,Beaubois,Rodrigue,6'2'',74,1.88,185,84,2/24/1988,France,DAL,3
Elton Brand,http://en.wikipedia.org/wiki/Elton_Brand,4,F,Brand,Elton,6'9'',81,2.06,254,115,3/11/1979,Duke,DAL,42
Vince Carter,http://en.wikipedia.org/wiki/Vince_Carter,2.5,G/F,Carter,Vince,6'6'',78,1.98,220,100,1/26/1977,North Carolina,DAL,25
Darren Collison,http://en.wikipedia.org/wiki/Darren_Collison,1.5,G,Collison,Darren,6'0'',72,1.83,160,73,8/23/1987,UCLA,DAL,4
Jae Crowder,http://en.wikipedia.org/wiki/Jae_Crowder,4,F,Crowder,Jae,6'6'',78,1.98,235,107,4/6/1990,Marquette,DAL,9
Jared Cunningham,http://en.wikipedia.org/wiki/Jared_Cunningham,1.5,G,Cunningham,Jared,6'4'',76,1.93,195,88,5/22/1991,Oregon State,DAL,1
Eddy Curry,http://en.wikipedia.org/wiki/Eddy_Curry,5,C,Curry,Eddy,7'0'',84,2.13,295,134,12/5/1982,Thornwood (IL),DAL,52
Bernard James,http://en.wikipedia.org/wiki/Bernard_James,6,C,James,Bernard,6'10'',82,2.08,240,109,2/7/1985,Florida State,DAL,5
Dahntay Jones,http://en.wikipedia.org/wiki/Dahntay_Jones,2.5,G/F,Jones,Dahntay,6'6'',78,1.98,225,102,12/27/1980,Duke,DAL,30
Dominique Jones,http://en.wikipedia.org/wiki/Dominique_Jones,1.5,G,Jones,Dominique,6'4'',76,1.93,215,98,10/15/1988,South Florida,DAL,20
Chris Kaman,http://en.wikipedia.org/wiki/Chris_Kaman,6,C,Kaman,Chris,7'0'',84,2.13,265,120,4/28/1982,Central Michigan,DAL,35
Shawn Marion,http://en.wikipedia.org/wiki/Shawn_Marion,4,F,Marion,Shawn,6'7'',79,2.01,228,103,5/7/1978,UNLV,DAL,0
O. J. Mayo,http://en.wikipedia.org/wiki/O. J._Mayo,1.5,G,Mayo,O. J.,6'4'',76,1.93,210,95,11/5/1987,Southern California,DAL,32
Dirk Nowitzki,http://en.wikipedia.org/wiki/Dirk_Nowitzki,4,F,Nowitzki,Dirk,7'0'',84,2.13,245,111,6/19/1978,Germany,DAL,41
Brandan Wright,http://en.wikipedia.org/wiki/Brandan_Wright,5.5,F/C,Wright,Brandan,6'10'',82,2.08,210,95,10/5/1987,North Carolina,DAL,34
Corey Brewer,http://en.wikipedia.org/wiki/Corey_Brewer,2.5,G/F,Brewer,Corey,6'9'',81,2.06,188,85,3/5/1986,Florida,DEN,13
Wilson Chandler,http://en.wikipedia.org/wiki/Wilson_Chandler,2.5,G/F,Chandler,Wilson,6'8'',80,2.03,225,102,5/10/1987,DePaul,DEN,21
Kenneth Faried,http://en.wikipedia.org/wiki/Kenneth_Faried,4,F,Faried,Kenneth,6'8'',80,2.03,228,103,11/18/1989,Morehead State,DEN,35
Evan Fournier,http://en.wikipedia.org/wiki/Evan_Fournier,1.5,G,Fournier,Evan,6'6'',78,1.98,200,91,10/29/1992,France,DEN,94
Danilo Gallinari,http://en.wikipedia.org/wiki/Danilo_Gallinari,4,F,Gallinari,Danilo,6'10'',82,2.08,225,102,8/8/1988,Italy,DEN,8
Jordan Hamilton,http://en.wikipedia.org/wiki/Jordan_Hamilton,2.5,G/F,Hamilton,Jordan,6'7'',79,2.01,220,100,6/10/1990,Texas,DEN,1
Andre Iguodala,http://en.wikipedia.org/wiki/Andre_Iguodala,2.5,G/F,Iguodala,Andre,6'6'',78,1.98,207,94,1/28/1984,Arizona,DEN,9
Kosta Koufos,http://en.wikipedia.org/wiki/Kosta_Koufos,6,C,Koufos,Kosta,7'0'',84,2.13,265,120,2/24/1989,Ohio State,DEN,41
Ty Lawson,http://en.wikipedia.org/wiki/Ty_Lawson,1.5,G,Lawson,Ty,5'11'',71,1.8,195,88,11/3/1987,North Carolina,DEN,3
JaVale McGee,http://en.wikipedia.org/wiki/JaVale_McGee,6,C,McGee,JaVale,7'0'',84,2.13,252,114,1/19/1988,Nevada,DEN,34
Andre Miller,http://en.wikipedia.org/wiki/Andre_Miller,1.5,G,Miller,Andre,6'2'',74,1.88,200,91,3/19/1976,Utah,DEN,24
Quincy Miller,http://en.wikipedia.org/wiki/Quincy_Miller,4,F,Miller,Quincy,6'9'',81,2.06,210,95,11/18/1992,Baylor,DEN,30
Timofey Mozgov,http://en.wikipedia.org/wiki/Timofey_Mozgov,6,C,Mozgov,Timofey,7'1'',85,2.16,250,113,7/16/1986,Russia,DEN,25
Anthony Randolph,http://en.wikipedia.org/wiki/Anthony_Randolph,5.5,F/C,Randolph,Anthony,6'11'',83,2.11,225,102,7/15/1989,LSU,DEN,15
Julyan Stone,http://en.wikipedia.org/wiki/Julyan_Stone,1.5,G,Stone,Julyan,6'6'',78,1.98,200,91,12/7/1988,Texas-El Paso,DEN,10
Will Bynum,http://en.wikipedia.org/wiki/Will_Bynum,1.5,G,Bynum,Will,6'0'',72,1.83,185,84,1/4/1983,Georgia Tech,DET,12
Austin Daye,http://en.wikipedia.org/wiki/Austin_Daye,4,F,Daye,Austin,6'11'',83,2.11,200,91,6/5/1988,Gonzaga,DET,5
Andre Drummond,http://en.wikipedia.org/wiki/Andre_Drummond,5.5,F/C,Drummond,Andre,6'10'',82,2.08,270,122,10/8/1993,Connecticut,DET,1
Kim English,http://en.wikipedia.org/wiki/Kim_English,1.5,G,English,Kim,6'6'',78,1.98,192,87,9/24/1988,Missouri,DET,24
Jonas Jerebko,http://en.wikipedia.org/wiki/Jonas_Jerebko,4,F,Jerebko,Jonas,6'10'',82,2.08,231,105,3/2/1987,Sweden,DET,33
Brandon Knight,http://en.wikipedia.org/wiki/Brandon_Knight,1.5,G,Knight,Brandon,6'3'',75,1.91,185,84,12/2/1991,Kentucky,DET,7
Vyacheslav Kravtsov,http://en.wikipedia.org/wiki/Vyacheslav_Kravtsov,6,C,Kravtsov,Vyacheslav,6'11'',83,2.11,254,115,8/25/1987,Ukraine,DET,55
Corey Maggette,http://en.wikipedia.org/wiki/Corey_Maggette,2.5,G/F,Maggette,Corey,6'6'',78,1.98,225,102,11/12/1979,Duke,DET,50
Jason Maxiell,http://en.wikipedia.org/wiki/Jason_Maxiell,4,F,Maxiell,Jason,6'7'',79,2.01,260,118,2/18/1983,Cincinnati,DET,54
Khris Middleton,http://en.wikipedia.org/wiki/Khris_Middleton,2.5,G/F,Middleton,Khris,6'8'',80,2.03,216,98,12/8/1991,Texas,DET,32
Greg Monroe,http://en.wikipedia.org/wiki/Greg_Monroe,5.5,F/C,Monroe,Greg,6'11'',83,2.11,250,113,6/4/1990,Georgetown,DET,10
Tayshaun Prince,http://en.wikipedia.org/wiki/Tayshaun_Prince,4,F,Prince,Tayshaun,6'9'',81,2.06,215,98,2/28/1980,Kentucky,DET,22
Kyle Singler,http://en.wikipedia.org/wiki/Kyle_Singler,4,F,Singler,Kyle,6'8'',80,2.03,230,104,5/4/1988,Duke,DET,25
Rodney Stuckey,http://en.wikipedia.org/wiki/Rodney_Stuckey,1.5,G,Stuckey,Rodney,6'5'',77,1.96,205,93,4/21/1986,Eastern Washington,DET,3
Charlie Villanueva,http://en.wikipedia.org/wiki/Charlie_Villanueva,4,F,Villanueva,Charlie,6'11'',83,2.11,232,105,8/24/1984,Connecticut,DET,31
Harrison Barnes,http://en.wikipedia.org/wiki/Harrison_Barnes,4,F,Barnes,Harrison,6'8'',80,2.03,228,103,5/30/1992,North Carolina,GSW,40
Kent Bazemore,http://en.wikipedia.org/wiki/Kent_Bazemore,2.5,G/F,Bazemore,Kent,6'5'',77,1.96,201,91,7/1/1989,Old Dominion,GSW,20
Andris Biedrinš,http://en.wikipedia.org/wiki/Andris_Biedrinš,6,C,Biedrinš,Andris,7'0'',84,2.13,240,109,4/2/1986,Latvia,GSW,15
Andrew Bogut,http://en.wikipedia.org/wiki/Andrew_Bogut,6,C,Bogut,Andrew,7'0'',84,2.13,260,118,11/28/1984,Utah,GSW,12
Stephen Curry,http://en.wikipedia.org/wiki/Stephen_Curry,1.5,G,Curry,Stephen,6'3'',75,1.91,185,84,3/14/1988,Davidson,GSW,30
Festus Ezeli,http://en.wikipedia.org/wiki/Festus_Ezeli,6,C,Ezeli,Festus,6'11'',83,2.11,264,120,10/21/1989,Vanderbilt,GSW,31
Draymond Green,http://en.wikipedia.org/wiki/Draymond_Green,4,F,Green,Draymond,6'7'',79,2.01,236,107,3/4/1990,Michigan State,GSW,23
Jarrett Jack,http://en.wikipedia.org/wiki/Jarrett_Jack,1.5,G,Jack,Jarrett,6'3'',75,1.91,197,89,10/28/1983,Georgia Tech,GSW,2
Richard Jefferson,http://en.wikipedia.org/wiki/Richard_Jefferson,4,F,Jefferson,Richard,6'7'',79,2.01,230,104,6/21/1980,Arizona,GSW,44
Charles Jenkins,http://en.wikipedia.org/wiki/Charles_Jenkins,1.5,G,Jenkins,Charles,6'3'',75,1.91,220,100,2/28/1989,Hofstra,GSW,22
Carl Landry,http://en.wikipedia.org/wiki/Carl_Landry,4,F,Landry,Carl,6'9'',81,2.06,248,112,9/19/1983,Purdue,GSW,7
David Lee,http://en.wikipedia.org/wiki/David_Lee,5.5,F/C,Lee,David,6'9'',81,2.06,240,109,4/29/1983,Florida,GSW,10
Brandon Rush,http://en.wikipedia.org/wiki/Brandon_Rush,1.5,G,Rush,Brandon,6'6'',78,1.98,210,95,7/7/1985,Kansas,GSW,4
Klay Thompson,http://en.wikipedia.org/wiki/Klay_Thompson,2.5,G/F,Thompson,Klay,6'7'',79,2.01,205,93,2/8/1990,Washington State,GSW,11
Jeremy Tyler,http://en.wikipedia.org/wiki/Jeremy_Tyler,5.5,F/C,Tyler,Jeremy,6'10'',82,2.08,260,118,6/21/1991,San Diego HS (CA),GSW,3
Cole Aldrich,http://en.wikipedia.org/wiki/Cole_Aldrich,6,C,Aldrich,Cole,6'11'',83,2.11,245,111,10/31/1988,Kansas,HOU,31
Ömer Asik,http://en.wikipedia.org/wiki/Ömer_Asik,6,C,Asik,Ömer,7'0'',84,2.13,255,116,7/4/1986,Turkey,HOU,3
Daequan Cook,http://en.wikipedia.org/wiki/Daequan_Cook,1.5,G,Cook,Daequan,6'5'',77,1.96,210,95,4/28/1987,Ohio State,HOU,14
Carlos Delfino,http://en.wikipedia.org/wiki/Carlos_Delfino,2.5,G/F,Delfino,Carlos,6'6,78,1.98,230,104,8/29/1982,Argentina,HOU,10
Toney Douglas,http://en.wikipedia.org/wiki/Toney_Douglas,1.5,G,Douglas,Toney,6'2'',74,1.88,185,84,6/16/1986,Florida State,HOU,15
James Harden,http://en.wikipedia.org/wiki/James_Harden,1.5,G,Harden,James,6'5'',77,1.96,220,100,8/26/1989,Arizona State,HOU,13
Terrence Jones,http://en.wikipedia.org/wiki/Terrence_Jones,4,F,Jones,Terrence,6'9'',81,2.06,252,114,1/9/1992,Kentucky,HOU,6
Jeremy Lin,http://en.wikipedia.org/wiki/Jeremy_Lin,1.5,G,Lin,Jeremy,6'3'',75,1.91,200,91,8/23/1988,Harvard,HOU,7
Scott Machado,http://en.wikipedia.org/wiki/Scott_Machado,1,PG,Machado,Scott,6'1,73,1.85,205,93,6/8/1990,Iona College,HOU,3
Marcus Morris,http://en.wikipedia.org/wiki/Marcus_Morris,4,F,Morris,Marcus,6'9'',81,2.06,235,107,2/9/1989,Kansas,HOU,2
Donatas Motiejunas,http://en.wikipedia.org/wiki/Donatas_Motiejunas,5.5,F/C,Motiejunas,Donatas,7'0'',84,2.13,224,102,9/20/1990,Lithuania,HOU,20
Chandler Parsons,http://en.wikipedia.org/wiki/Chandler_Parsons,4,F,Parsons,Chandler,6'9'',81,2.06,227,103,10/25/1988,Florida,HOU,25
Patrick Patterson,http://en.wikipedia.org/wiki/Patrick_Patterson,4,F,Patterson,Patrick,6'9'',81,2.06,235,107,3/14/1989,Kentucky,HOU,54
Royce White,http://en.wikipedia.org/wiki/Royce_White,4,F,White,Royce,6'8'',80,2.03,270,122,4/10/1991,Iowa State,HOU,30
D. J. Augustin,http://en.wikipedia.org/wiki/D. J._Augustin,1.5,G,Augustin,D. J.,6'0'',72,1.83,180,82,11/10/1987,Texas,IND,14
Sundiata Gaines,http://en.wikipedia.org/wiki/Sundiata_Gaines,1,PG,Gaines,Sundiata ,6'1,73,1.85,200,91,4/18/1986,Georgia,IND,2
Paul George,http://en.wikipedia.org/wiki/Paul_George,2.5,G/F,George,Paul,6'8'',80,2.03,215,98,5/2/1990,Fresno State,IND,24
Danny Granger,http://en.wikipedia.org/wiki/Danny_Granger,4,F,Granger,Danny,6'8'',80,2.03,228,103,4/20/1983,New Mexico,IND,33
Gerald Green,http://en.wikipedia.org/wiki/Gerald_Green,2.5,G/F,Green,Gerald,6'8'',80,2.03,200,91,1/26/1986,Gulf Shores Academy (TX),IND,25
Tyler Hansbrough,http://en.wikipedia.org/wiki/Tyler_Hansbrough,4,F,Hansbrough,Tyler,6'9'',81,2.06,250,113,11/3/1985,North Carolina,IND,50
Roy Hibbert,http://en.wikipedia.org/wiki/Roy_Hibbert,6,C,Hibbert,Roy,7'2'',86,2.18,260,118,12/11/1986,Georgetown,IND,55
