School_Label,BD_C,BD_C_Percentage,CIPFamily,CIPTitle,Year
Boise State,78,0.030104207,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2011-2012
Boise State,518,0.19992281,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2011-2012
Boise State,181,0.069857198,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2011-2012
Boise State,52,0.020069471,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2011-2012
Boise State,272,0.104978773,13,EDUCATION.,2011-2012
Boise State,124,0.04785797,14,ENGINEERING.,2011-2012
Boise State,91,0.035121575,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2011-2012
Boise State,26,0.010034736,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",2011-2012
Boise State,52,0.020069471,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2011-2012
Boise State,13,0.005017368,27,MATHEMATICS AND STATISTICS.,2011-2012
Boise State,116,0.044770359,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",2011-2012
Boise State,52,0.020069471,30,MULTI/INTERDISCIPLINARY STUDIES.,2011-2012
Boise State,13,0.005017368,38,PHILOSOPHY AND RELIGIOUS STUDIES.,2011-2012
Boise State,13,0.005017368,3,NATURAL RESOURCES AND CONSERVATION.,2011-2012
Boise State,28,0.010806638,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2011-2012
Clemson,69,0.02005814,4,ARCHITECTURE AND RELATED SERVICES.,2011-2012
Clemson,241,0.07005814,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2011-2012
Clemson,34,0.009883721,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",2011-2012
Clemson,241,0.07005814,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2011-2012
Clemson,69,0.02005814,54,HISTORY.,2011-2012
Clemson,34,0.009883721,27,MATHEMATICS AND STATISTICS.,2011-2012
Clemson,34,0.009883721,3,NATURAL RESOURCES AND CONSERVATION.,2011-2012
Clemson,103,0.02994186,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2011-2012
Clemson,275,0.07994186,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2011-2012
Clemson,654,0.190116279,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2011-2012
Clemson,34,0.009883721,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2011-2012
Clemson,241,0.07005814,13,EDUCATION.,2011-2012
Clemson,585,0.17005814,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,2011-2012
Clemson,138,0.040116279,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2011-2012
Clemson,69,0.02005814,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2011-2012
Clemson,34,0.009883721,38,PHILOSOPHY AND RELIGIOUS STUDIES.,2011-2012
Clemson,69,0.02005814,40,PHYSICAL SCIENCES.,2011-2012
Clemson,172,0.05,42,PSYCHOLOGY.,2011-2012
Clemson,241,0.07005814,45,SOCIAL SCIENCES.,2011-2012
Clemson,103,0.02994186,50,VISUAL AND PERFORMING ARTS.,2011-2012
Florida,522,0.060690617,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2011-2012
Florida,114,0.013254273,4,ARCHITECTURE AND RELATED SERVICES.,2011-2012
Florida,22,0.002557842,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2011-2012
Florida,786,0.091384723,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2011-2012
Florida,1065,0.123822811,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2011-2012
Florida,630,0.073247297,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2011-2012
Florida,7,0.000813859,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2011-2012
Florida,231,0.026857342,13,EDUCATION.,2011-2012
Florida,1062,0.123474015,14,ENGINEERING.,2011-2012
Florida,98,0.011394024,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,2011-2012
Florida,266,0.030926636,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2011-2012
Florida,175,0.020346471,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2011-2012
Florida,204,0.023718172,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",2011-2012
Florida,658,0.076502732,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2011-2012
Florida,176,0.020462737,54,HISTORY.,2011-2012
Florida,7,0.000813859,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",2011-2012
Florida,79,0.009184978,30,MULTI/INTERDISCIPLINARY STUDIES.,2011-2012
Florida,101,0.011742821,27,MATHEMATICS AND STATISTICS.,2011-2012
Florida,138,0.016044646,3,NATURAL RESOURCES AND CONSERVATION.,2011-2012
Florida,220,0.025578421,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2011-2012
Florida,58,0.006743402,38,PHILOSOPHY AND RELIGIOUS STUDIES.,2011-2012
Florida,173,0.02011394,40,PHYSICAL SCIENCES.,2011-2012
Florida,462,0.053714684,42,PSYCHOLOGY.,2011-2012
Florida,1111,0.129171027,45,SOCIAL SCIENCES.,2011-2012
Florida,236,0.02743867,50,VISUAL AND PERFORMING ARTS.,2011-2012
Florida State,346,0.044098904,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2011-2012
Florida State,71,0.009049197,38,PHILOSOPHY AND RELIGIOUS STUDIES.,2011-2012
Florida State,102,0.013000255,40,PHYSICAL SCIENCES.,2011-2012
Florida State,16,0.002039256,3,NATURAL RESOURCES AND CONSERVATION.,2011-2012
Florida State,110,0.014019883,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,2011-2012
Florida State,1478,0.188376243,45,SOCIAL SCIENCES.,2011-2012
Florida State,401,0.051108845,50,VISUAL AND PERFORMING ARTS.,2011-2012
Florida State,417,0.053148101,42,PSYCHOLOGY.,2011-2012
Florida State,24,0.003058884,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2011-2012
Florida State,354,0.045118532,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2011-2012
Florida State,1580,0.201376498,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2011-2012
Florida State,291,0.037088963,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2011-2012
Florida State,157,0.020010196,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2011-2012
Florida State,267,0.034030079,13,EDUCATION.,2011-2012
Florida State,307,0.039128218,14,ENGINEERING.,2011-2012
Florida State,409,0.052128473,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2011-2012
Florida State,432,0.055059903,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2011-2012
Florida State,86,0.010960999,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",2011-2012
Florida State,307,0.039128218,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2011-2012
Florida State,126,0.016059138,54,HISTORY.,2011-2012
Florida State,479,0.061050217,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",2011-2012
Florida State,47,0.005990314,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2011-2012
Florida State,39,0.004970686,27,MATHEMATICS AND STATISTICS.,2011-2012
Georgia,246,0.035854832,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2011-2012
Georgia,65,0.009473838,4,ARCHITECTURE AND RELATED SERVICES.,2011-2012
Georgia,11,0.001603265,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2011-2012
Georgia,590,0.085993295,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2011-2012
Georgia,1436,0.209298936,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2011-2012
Georgia,27,0.003935286,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.,2011-2012
Georgia,657,0.095758636,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2011-2012
Georgia,42,0.006121557,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2011-2012
Georgia,400,0.058300539,13,EDUCATION.,2011-2012
Georgia,52,0.00757907,14,ENGINEERING.,2011-2012
Georgia,206,0.030024778,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2011-2012
Georgia,312,0.045474421,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2011-2012
Georgia,230,0.03352281,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",2011-2012
Georgia,254,0.037020842,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2011-2012
Georgia,172,0.025069232,54,HISTORY.,2011-2012
Georgia,44,0.006413059,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",2011-2012
Georgia,157,0.022882962,30,MULTI/INTERDISCIPLINARY STUDIES.,2011-2012
Georgia,5,0.000728757,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2011-2012
Georgia,47,0.006850313,27,MATHEMATICS AND STATISTICS.,2011-2012
Georgia,84,0.012243113,3,NATURAL RESOURCES AND CONSERVATION.,2011-2012
Georgia,208,0.03031628,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2011-2012
Georgia,62,0.009036584,38,PHILOSOPHY AND RELIGIOUS STUDIES.,2011-2012
Georgia,82,0.011951611,40,PHYSICAL SCIENCES.,2011-2012
Georgia,459,0.066899869,42,PSYCHOLOGY.,2011-2012
Georgia,59,0.00859933,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,2011-2012
Georgia,672,0.097944906,45,SOCIAL SCIENCES.,2011-2012
Georgia,282,0.04110188,50,VISUAL AND PERFORMING ARTS.,2011-2012
Kansas State,306,0.084065934,13,EDUCATION.,2011-2012
Kansas State,357,0.098076923,14,ENGINEERING.,2011-2012
Kansas State,153,0.042032967,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,2011-2012
Kansas State,47,0.012912088,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2011-2012
Kansas State,287,0.078846154,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2011-2012
Kansas State,29,0.007967033,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",2011-2012
Kansas State,415,0.114010989,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2011-2012
Kansas State,4,0.001098901,4,ARCHITECTURE AND RELATED SERVICES.,2011-2012
Kansas State,11,0.003021978,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2011-2012
Kansas State,142,0.039010989,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2011-2012
Kansas State,589,0.161813187,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2011-2012
Kansas State,131,0.035989011,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2011-2012
Kansas State,84,0.023076923,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2011-2012
Kansas State,124,0.034065934,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2011-2012
Kansas State,7,0.001923077,38,PHILOSOPHY AND RELIGIOUS STUDIES.,2011-2012
Kansas State,33,0.009065934,40,PHYSICAL SCIENCES.,2011-2012
Kansas State,80,0.021978022,42,PSYCHOLOGY.,2011-2012
Kansas State,33,0.009065934,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,2011-2012
Kansas State,397,0.109065934,45,SOCIAL SCIENCES.,2011-2012
Kansas State,22,0.006043956,49,TRANSPORTATION AND MATERIALS MOVING.,2011-2012
Kansas State,127,0.03489011,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2011-2012
Kansas State,44,0.012087912,54,HISTORY.,2011-2012
Kansas State,69,0.018956044,30,MULTI/INTERDISCIPLINARY STUDIES.,2011-2012
Kansas State,7,0.001923077,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2011-2012
Kansas State,22,0.006043956,27,MATHEMATICS AND STATISTICS.,2011-2012
Kansas State,7,0.001923077,47,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS.,2011-2012
Kansas State,113,0.031043956,50,VISUAL AND PERFORMING ARTS.,2011-2012
Louisiana State,34,0.007392912,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2011-2012
Louisiana State,454,0.098717112,13,EDUCATION.,2011-2012
Louisiana State,483,0.105022831,14,ENGINEERING.,2011-2012
Louisiana State,28,0.00608828,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2011-2012
Louisiana State,65,0.014133507,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",2011-2012
Louisiana State,79,0.017177647,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2011-2012
Louisiana State,147,0.03196347,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2011-2012
Louisiana State,151,0.032833225,30,MULTI/INTERDISCIPLINARY STUDIES.,2011-2012
Louisiana State,239,0.051967819,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2011-2012
Louisiana State,49,0.01065449,27,MATHEMATICS AND STATISTICS.,2011-2012
Louisiana State,68,0.014785823,3,NATURAL RESOURCES AND CONSERVATION.,2011-2012
Louisiana State,133,0.02891933,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2011-2012
Louisiana State,21,0.00456621,38,PHILOSOPHY AND RELIGIOUS STUDIES.,2011-2012
Louisiana State,61,0.013263753,40,PHYSICAL SCIENCES.,2011-2012
Louisiana State,356,0.077408132,42,PSYCHOLOGY.,2011-2012
Louisiana State,181,0.039356382,41,SCIENCE TECHNOLOGIES/TECHNICIANS.,2011-2012
Louisiana State,145,0.031528593,50,VISUAL AND PERFORMING ARTS.,2011-2012
Louisiana State,85,0.018482279,4,ARCHITECTURE AND RELATED SERVICES.,2011-2012
Louisiana State,1,0.000217439,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2011-2012
Louisiana State,141,0.030658839,54,HISTORY.,2011-2012
Louisiana State,210,0.0456621,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2011-2012
Louisiana State,318,0.069145466,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2011-2012
Louisiana State,357,0.077625571,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2011-2012
Louisiana State,793,0.172428789,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2011-2012
Louisville,14,0.005183265,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2011-2012
Louisville,104,0.038504258,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2011-2012
Louisville,409,0.151425398,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2011-2012
Louisville,212,0.078489448,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2011-2012
Louisville,196,0.072565716,13,EDUCATION.,2011-2012
Louisville,278,0.102924843,14,ENGINEERING.,2011-2012
Louisville,104,0.038504258,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2011-2012
Louisville,41,0.015179563,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",2011-2012
Louisville,210,0.077748982,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2011-2012
Louisville,66,0.024435394,54,HISTORY.,2011-2012
Louisville,136,0.050351722,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",2011-2012
Louisville,39,0.014439097,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2011-2012
Louisville,22,0.008145131,27,MATHEMATICS AND STATISTICS.,2011-2012
Louisville,226,0.083672714,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2011-2012
Louisville,19,0.007034432,38,PHILOSOPHY AND RELIGIOUS STUDIES.,2011-2012
Louisville,42,0.015549796,40,PHYSICAL SCIENCES.,2011-2012
Louisville,208,0.077008515,42,PSYCHOLOGY.,2011-2012
Louisville,46,0.017030729,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,2011-2012
Louisville,222,0.082191781,45,SOCIAL SCIENCES.,2011-2012
Louisville,107,0.039614957,50,VISUAL AND PERFORMING ARTS.,2011-2012
Michigan,65,0.010012323,4,ARCHITECTURE AND RELATED SERVICES.,2011-2012
Michigan,130,0.020024646,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2011-2012
Michigan,519,0.079944547,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2011-2012
Michigan,389,0.059919901,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2011-2012
Michigan,195,0.030036969,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2011-2012
Michigan,195,0.030036969,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2011-2012
Michigan,130,0.020024646,13,EDUCATION.,2011-2012
Michigan,1038,0.159889094,14,ENGINEERING.,2011-2012
Michigan,260,0.040049291,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2011-2012
Michigan,260,0.040049291,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",2011-2012
Michigan,195,0.030036969,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2011-2012
Michigan,130,0.020024646,54,HISTORY.,2011-2012
Michigan,130,0.020024646,30,MULTI/INTERDISCIPLINARY STUDIES.,2011-2012
Michigan,65,0.010012323,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2011-2012
Michigan,195,0.030036969,27,MATHEMATICS AND STATISTICS.,2011-2012
Michigan,130,0.020024646,3,NATURAL RESOURCES AND CONSERVATION.,2011-2012
Michigan,195,0.030036969,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2011-2012
Michigan,65,0.010012323,38,PHILOSOPHY AND RELIGIOUS STUDIES.,2011-2012
Michigan,65,0.010012323,40,PHYSICAL SCIENCES.,2011-2012
Michigan,649,0.099969193,42,PSYCHOLOGY.,2011-2012
Michigan,65,0.010012323,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,2011-2012
Michigan,1038,0.159889094,45,SOCIAL SCIENCES.,2011-2012
Michigan,389,0.059919901,50,VISUAL AND PERFORMING ARTS.,2011-2012
Nebraska,233,0.062668101,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2011-2012
Nebraska,76,0.020441097,4,ARCHITECTURE AND RELATED SERVICES.,2011-2012
Nebraska,14,0.003765465,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2011-2012
Nebraska,172,0.046261431,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2011-2012
Nebraska,833,0.224045186,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2011-2012
Nebraska,260,0.06993007,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2011-2012
Nebraska,23,0.006186122,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2011-2012
Nebraska,301,0.080957504,13,EDUCATION.,2011-2012
Nebraska,356,0.095750403,14,ENGINEERING.,2011-2012
Nebraska,87,0.023399677,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,2011-2012
Nebraska,94,0.02528241,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2011-2012
Nebraska,316,0.084991931,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2011-2012
Nebraska,68,0.018289403,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",2011-2012
Nebraska,68,0.018289403,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2011-2012
Nebraska,66,0.017751479,54,HISTORY.,2011-2012
Nebraska,18,0.004841313,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",2011-2012
Nebraska,10,0.002689618,30,MULTI/INTERDISCIPLINARY STUDIES.,2011-2012
Nebraska,1,0.000268962,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2011-2012
Nebraska,29,0.007799892,27,MATHEMATICS AND STATISTICS.,2011-2012
Nebraska,77,0.020710059,3,NATURAL RESOURCES AND CONSERVATION.,2011-2012
Nebraska,4,0.001075847,38,PHILOSOPHY AND RELIGIOUS STUDIES.,2011-2012
Nebraska,52,0.013986014,40,PHYSICAL SCIENCES.,2011-2012
Nebraska,202,0.054330285,42,PSYCHOLOGY.,2011-2012
Nebraska,216,0.05809575,45,SOCIAL SCIENCES.,2011-2012
Nebraska,142,0.038192577,50,VISUAL AND PERFORMING ARTS.,2011-2012
Northern Illinois,734,0.187197144,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2011-2012
Northern Illinois,115,0.029329253,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2011-2012
Northern Illinois,159,0.04055088,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2011-2012
Northern Illinois,42,0.010711553,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",2011-2012
Northern Illinois,587,0.149706707,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2011-2012
Northern Illinois,108,0.027543994,54,HISTORY.,2011-2012
Northern Illinois,111,0.028309105,30,MULTI/INTERDISCIPLINARY STUDIES.,2011-2012
Northern Illinois,63,0.01606733,27,MATHEMATICS AND STATISTICS.,2011-2012
Northern Illinois,52,0.013261923,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2011-2012
Northern Illinois,330,0.084162204,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2011-2012
Northern Illinois,67,0.017087478,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2011-2012
Northern Illinois,371,0.09461872,13,EDUCATION.,2011-2012
Northern Illinois,111,0.028309105,14,ENGINEERING.,2011-2012
Northern Illinois,63,0.01606733,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,2011-2012
Northern Illinois,140,0.035705177,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2011-2012
Northern Illinois,63,0.01606733,40,PHYSICAL SCIENCES.,2011-2012
Northern Illinois,646,0.164753889,42,PSYCHOLOGY.,2011-2012
Northern Illinois,143,0.036470288,45,SOCIAL SCIENCES.,2011-2012
Northern Illinois,16,0.004080592,38,PHILOSOPHY AND RELIGIOUS STUDIES.,2011-2012
Northwestern,171,0.080093677,14,ENGINEERING.,2011-2012
Northwestern,149,0.069789227,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,2011-2012
Northwestern,1089,0.510070258,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2011-2012
Northwestern,85,0.039812646,41,SCIENCE TECHNOLOGIES/TECHNICIANS.,2011-2012
Northwestern,107,0.050117096,50,VISUAL AND PERFORMING ARTS.,2011-2012
Northwestern,149,0.069789227,13,EDUCATION.,2011-2012
Northwestern,171,0.080093677,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.,2011-2012
Northwestern,214,0.100234192,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2011-2012
Notre Dame,42,0.020221473,4,ARCHITECTURE AND RELATED SERVICES.,2011-2012
Notre Dame,10,0.004814636,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",2011-2012
Notre Dame,137,0.06596052,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2011-2012
Notre Dame,64,0.030813674,54,HISTORY.,2011-2012
Notre Dame,75,0.036109774,30,MULTI/INTERDISCIPLINARY STUDIES.,2011-2012
Notre Dame,27,0.012999519,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",2011-2012
