Degree_Type,Degree,DBPediaCollege_Name,Value
BD,Communications/Journalism,University of Georgia,0.10
BD,Social Sciences,University of Georgia,0.10
BD,Biology,University of Georgia,0.09
BD,Psychology,University of Georgia,0.07
BD,Education,University of Georgia,0.06
BD,Family and Consumer Sciences,University of Georgia,0.05
BD,Business/Marketing,University of Louisville,0.18
BD,Engineering,University of Louisville,0.09
BD,Education,University of Louisville,0.08
BD,Parks And Recreation,University of Louisville,0.08
BD,Psychology,University of Louisville,0.08
BD,Communications/Journalism,University of Louisville,0.07
BD,Health Professions,University of Louisville,0.07
BD,Social Sciences,University of Louisville,0.07
BD,Biology,University of Louisville,0.05
BD,Security and Protective Services,University of Louisville,0.05
BD,Visual and Performing Arts,University of Louisville,0.05
BD,Engineering,University of Michigan,0.16
BD,Social Sciences,University of Michigan,0.16
BD,Psychology,University of Michigan,0.10
BD,Biology,University of Michigan,0.08
BD,Business/Marketing,University of Michigan,0.06
BD,Visual and Performing Arts,University of Michigan,0.06
BD,Business/Marketing,University of Nebraska at Lincoln,0.22
BD,Engineering,University of Nebraska at Lincoln,0.10
BD,Family and Consumer Sciences,University of Nebraska at Lincoln,0.09
BD,Education,University of Nebraska at Lincoln,0.08
BD,Communications/Journalism,University of Nebraska at Lincoln,0.07
BD,Agriculture,University of Nebraska at Lincoln,0.06
BD,Social Sciences,University of Nebraska at Lincoln,0.06
BD,Biology,University of Nebraska at Lincoln,0.05
BD,Psychology,University of Nebraska at Lincoln,0.05
BD,Business/Marketing,University of Oklahoma,0.17
BD,Health Professions,University of Oklahoma,0.13
BD,Interdisciplinary Studies,University of Oklahoma,0.12
BD,Communications/Journalism,University of Oklahoma,0.08
BD,Engineering,University of Oklahoma,0.08
BD,Social Sciences,University of Oklahoma,0.06
BD,Biology,University of Oklahoma,0.05
BD,Liberal Arts,University of Oklahoma,0.05
BD,Social Sciences,University of Oregon,0.21
BD,Business/Marketing,University of Oregon,0.13
BD,Communications/Journalism,University of Oregon,0.10
BD,Psychology,University of Oregon,0.08
BD,Foreign Languages and Literature,University of Oregon,0.07
BD,Visual and Performing Arts,University of Oregon,0.07
BD,Biology,University of Oregon,0.06
BD,Interdisciplinary Studies,University of Oregon,0.05
BD,Business/Marketing,University of South Carolina,0.27
BD,Biology,University of South Carolina,0.11
BD,Social Sciences,University of South Carolina,0.09
BD,Communications/Journalism,University of South Carolina,0.07
BD,Health Professions,University of South Carolina,0.06
BD,Psychology,University of South Carolina,0.06
BD,Engineering,University of South Carolina,0.05
BD,Visual and Performing Arts,University of South Carolina,0.05
BD,Business/Marketing,University of Texas at Austin,0.12
BD,Communications/Journalism,University of Texas at Austin,0.12
BD,Engineering,University of Texas at Austin,0.12
BD,Social Sciences,University of Texas at Austin,0.12
BD,Biology,University of Texas at Austin,0.09
BD,Business/Marketing,Utah State University,0.16
BD,Education,Utah State University,0.13
BD,Social Sciences,Utah State University,0.12
BD,Health Professions,Utah State University,0.09
BD,Engineering,Utah State University,0.06
BD,Interdisciplinary Studies,Utah State University,0.05
BD,Social Sciences,Vanderbilt University,0.28
BD,Engineering,Vanderbilt University,0.17
BD,Interdisciplinary Studies,Vanderbilt University,0.08
BD,Biology,Vanderbilt University,0.06
BD,Psychology,Vanderbilt University,0.06
BD,English,Vanderbilt University,0.05
BD,History,Vanderbilt University,0.05
BD,Visual and Performing Arts,Vanderbilt University,0.05
