"","CIPTitle","DBPediaCollege_Name","BD_C_Percent","BD_C","Year","BD_Conferred","CIPFamily"
"318","English","Utah State University",0.03,3371,"2011-2012",101,"23"
"319","English","Clemson University",0.04,3441,"2011-2012",138,"23"
"320","English","Louisiana State University",0.032,4600,"2011-2012",147,"23"
"322","Family and consumer sciences","Texas A&amp;M University",0.02,9020,"2011-2012",180,"19"
"323","Family and consumer sciences","Louisiana State University",0.006,4600,"2011-2012",28,"19"
"324","Family and consumer sciences","Clemson University",0.02,3441,"2011-2012",69,"19"
"325","Family and consumer sciences","Northern Illinois University",0.040550879877582,3921,"2010-2011",159,"19"
"326","Family and consumer sciences","University of Nebraska at Lincoln",0.0849,3719,"2011-2012",316,"19"
"328","Family and consumer sciences","Utah State University",0.042,3371,"2011-2012",142,"19"
"329","Family and consumer sciences","Oregon State University",0.108,3932,"2011-2012",425,"19"
"332","Family and consumer sciences","University of Texas at Austin",0.033,8821,"2011-2012",291,"19"
"334","Family and consumer sciences","University of Georgia",0.0455,6861,"2011-2012",312,"19"
"335","Family and consumer sciences","Vanderbilt University",0.0174,1673,"2011-2012",29,"19"
"336","Family and consumer sciences","Alabama University",0.072596907909478,4463,"2010-2011",324,"19"
"337","Family and consumer sciences","Ohio State University",0.0781,11309,"2011-2012",883,"19"
"338","Family and consumer sciences","San Jose State University",0.0327,4900,"2011-2012",160,"19"
"343","Family and consumer sciences","Kansas State University",0.079,3638,"2011-2012",287,"19"
"344","Family and consumer sciences","Florida State University",0.055,7860,"2011-2012",432,"19"
"345","Foreign languages, literatures, and linguistics","University of Georgia",0.0335,6861,"2011-2012",230,"16"
"346","Foreign languages, literatures, and linguistics","Texas A&amp;M University",0.01,9020,"2011-2012",90,"16"
"347","Foreign languages, literatures, and linguistics","University of South Carolina",0.0083,4566,"2011-2012",38,"16"
"348","Foreign languages, literatures, and linguistics","Utah State University",0.011,3371,"2011-2012",37,"16"
"349","Foreign languages, literatures, and linguistics","Kansas State University",0.008,3638,"2011-2012",29,"16"
"350","Foreign languages, literatures, and linguistics","University of Florida",0.0237,8601,"2011-2012",204,"16"
"351","Foreign languages, literatures, and linguistics","Northern Illinois University",0.01071155317521,3921,"2010-2011",42,"16"
"352","Foreign languages, literatures, and linguistics","Boise State University",0.01,2588,"2011-2012",26,"16"
"353","Foreign languages, literatures, and linguistics","Louisiana State University",0.0142,4600,"2011-2012",65,"16"
"354","Foreign languages, literatures, and linguistics","University of Texas at Austin",0.028,8821,"2011-2012",247,"16"
"355","Foreign languages, literatures, and linguistics","University of Nebraska at Lincoln",0.0183,3719,"2011-2012",68,"16"
"356","Foreign languages, literatures, and linguistics","University of Oklahoma",0.02,4079,"2011-2012",82,"16"
"357","Foreign languages, literatures, and linguistics","Vanderbilt University",0.0554,1673,"2011-2012",93,"16"
"358","Foreign languages, literatures, and linguistics","University of Louisville",0.0153,2702,"2011-2012",41,"16"
"359","Foreign languages, literatures, and linguistics","Stanford University",0.0307,1715,"2011-2012",53,"16"
"360","Foreign languages, literatures, and linguistics","Notre Dame University",0.088,2078,"2010-2011",183,"16"
"361","Foreign languages, literatures, and linguistics","Rutgers University",0.019,6171,"2010-2011",117,"16"
"362","Foreign languages, literatures, and linguistics","San Jose State University",0.0106,4900,"2011-2012",52,"16"
"363","Foreign languages, literatures, and linguistics","University of Michigan",0.04,6490,"2011-2012",260,"16"
"365","Foreign languages, literatures, and linguistics","University of Oregon",0.07,4694,"2011-2012",329,"16"
"366","Foreign languages, literatures, and linguistics","Ohio State University",0.0292,11309,"2011-2012",330,"16"
"367","Foreign languages, literatures, and linguistics","Clemson University",0.01,3441,"2011-2012",34,"16"
"368","Foreign languages, literatures, and linguistics","Alabama University",0.007618194039883,4463,"2010-2011",34,"16"
"369","Foreign languages, literatures, and linguistics","Oregon State University",0.008,3932,"2011-2012",31,"16"
"370","Foreign languages, literatures, and linguistics","Florida State University",0.011,7860,"2011-2012",86,"16"
"371","Health professions and related programs","Florida State University",0.039,7860,"2011-2012",307,"51"
"372","Health professions and related programs","Ohio State University",0.0742,11309,"2011-2012",839,"51"
"373","Health professions and related programs","Clemson University",0.07,3441,"2011-2012",241,"51"
"374","Health professions and related programs","Rutgers University",0.02,6171,"2010-2011",123,"51"
"375","Health professions and related programs","University of Georgia",0.037,6861,"2011-2012",254,"51"
"376","Health professions and related programs","Texas A&amp;M University",0.02,9020,"2011-2012",180,"51"
"377","Health professions and related programs","Kansas State University",0.035,3638,"2011-2012",127,"51"
"378","Health professions and related programs","Boise State University",0.154,2588,"2011-2012",399,"51"
"379","Health professions and related programs","University of Texas at Austin",0.041,8821,"2011-2012",362,"51"
"380","Health professions and related programs","University of Louisville",0.0779,2702,"2011-2012",210,"51"
"381","Health professions and related programs","University of Florida",0.0765,8601,"2011-2012",658,"51"
"382","Health professions and related programs","Utah State University",0.094,3371,"2011-2012",317,"51"
"383","Health professions and related programs","Alabama University",0.102397490477257,4463,"2010-2011",457,"51"
"385","Health professions and related programs","University of Nebraska at Lincoln",0.0183,3719,"2011-2012",68,"51"
"386","Health professions and related programs","Louisiana State University",0.0172,4600,"2011-2012",79,"51"
"387","Health professions and related programs","Oregon State University",0.036,3932,"2011-2012",142,"51"
"388","Health professions and related programs","University of Michigan",0.03,6490,"2011-2012",195,"51"
"389","Health professions and related programs","University of South Carolina",0.0617,4566,"2011-2012",282,"51"
"391","Health professions and related programs","San Jose State University",0.0859,4900,"2011-2012",421,"51"
"393","Health professions and related programs","Notre Dame University",0.066,2078,"2010-2011",137,"51"
"394","Health professions and related programs","Northern Illinois University",0.149706707472584,3921,"2010-2011",587,"51"
"395","Health professions and related programs","University of Oregon",0.01,4694,"2011-2012",47,"51"
"396","History","Oregon State University",0.014,3932,"2011-2012",55,"54"
"397","History","Florida State University",0.016,7860,"2011-2012",126,"54"
"398","History","Clemson University",0.02,3441,"2011-2012",69,"54"
"399","History","San Jose State University",0.0102,4900,"2011-2012",50,"54"
"400","History","Kansas State University",0.012,3638,"2011-2012",44,"54"
"401","History","Boise State University",0.015,2588,"2011-2012",39,"54"
"402","History","Alabama University",0.021510194936142,4463,"2010-2011",96,"54"
"403","History","University of Michigan",0.02,6490,"2011-2012",130,"54"
"404","History","University of Georgia",0.0251,6861,"2011-2012",172,"54"
"405","History","University of Nebraska at Lincoln",0.0178,3719,"2011-2012",66,"54"
"406","History","Rutgers University",0.041,6171,"2010-2011",253,"54"
"407","History","University of South Carolina",0.0239,4566,"2011-2012",109,"54"
"408","History","Northern Illinois University",0.027543993879112,3921,"2010-2011",108,"54"
"409","History","Stanford University",0.0375,1715,"2011-2012",64,"54"
"411","History","University of Louisville",0.0246,2702,"2011-2012",66,"54"
"412","History","University of Texas at Austin",0.028,8821,"2011-2012",247,"54"
"413","History","Louisiana State University",0.0307,4600,"2011-2012",141,"54"
"414","History","Texas A&amp;M University",0.02,9020,"2011-2012",180,"54"
"415","History","Utah State University",0.022,3371,"2011-2012",74,"54"
"416","History","University of Oregon",0.03,4694,"2011-2012",141,"54"
"417","History","University of Oklahoma",0.02,4079,"2011-2012",82,"54"
"418","History","Ohio State University",0.0188,11309,"2011-2012",213,"54"
"419","History","Notre Dame University",0.031,2078,"2010-2011",64,"54"
"420","History","Vanderbilt University",0.0348,1673,"2011-2012",58,"54"
"421","History","University of Florida",0.0205,8601,"2011-2012",176,"54"
"422","Home economics and vocational home economics  ","University of Florida",0.0203,8601,"2011-2012",175,"60"
"426","Homeland Security, law enforcement, firefighting, and protective services","San Jose State University",0.0412,4900,"2011-2012",202,"43"
"427","Homeland Security, law enforcement, firefighting, and protective services","University of Nebraska at Lincoln",0.0049,3719,"2011-2012",18,"43"
"430","Homeland Security, law enforcement, firefighting, and protective services","University of Louisville",0.0502,2702,"2011-2012",136,"43"
"431","Homeland Security, law enforcement, firefighting, and protective services","Rutgers University",0.039,6171,"2010-2011",241,"43"
"432","Homeland Security, law enforcement, firefighting, and protective services","Alabama University",0.015684517140937,4463,"2010-2011",70,"43"
"434","Homeland Security, law enforcement, firefighting, and protective services","University of South Carolina",0.0411,4566,"2011-2012",188,"43"
"437","Homeland Security, law enforcement, firefighting, and protective services","University of Georgia",0.0064,6861,"2011-2012",44,"43"
"438","Homeland Security, law enforcement, firefighting, and protective services","Boise State University",0.045,2588,"2011-2012",116,"43"
"441","Homeland Security, law enforcement, firefighting, and protective services","Florida State University",0.061,7860,"2011-2012",479,"43"
"442","Homeland Security, law enforcement, firefighting, and protective services","University of Oklahoma",0.01,4079,"2011-2012",41,"43"
"445","Interdisciplinary studies","University of Michigan",0.02,6490,"2011-2012",130,"30"
"446","Interdisciplinary studies","University of Nebraska at Lincoln",0.0027,3719,"2011-2012",10,"30"
"447","Interdisciplinary studies","Northern Illinois University",0.028309104820199,3921,"2010-2011",111,"30"
"448","Interdisciplinary studies","University of Oregon",0.05,4694,"2011-2012",235,"30"
"449","Interdisciplinary studies","Kansas State University",0.019,3638,"2011-2012",69,"30"
"451","Interdisciplinary studies","University of Oklahoma",0.135,4079,"2011-2012",551,"30"
"452","Interdisciplinary studies","Louisiana State University",0.0329,4600,"2011-2012",151,"30"
"453","Interdisciplinary studies","University of Georgia",0.0229,6861,"2011-2012",157,"30"
"455","Interdisciplinary studies","Texas A&amp;M University",0.09,9020,"2011-2012",812,"30"
"457","Interdisciplinary studies","San Jose State University",0.0014,4900,"2011-2012",7,"30"
"458","Interdisciplinary studies","Vanderbilt University",0.0814,1673,"2011-2012",136,"30"
"459","Interdisciplinary studies","Notre Dame University",0.036,2078,"2010-2011",75,"30"
"460","Interdisciplinary studies","Utah State University",0.051,3371,"2011-2012",172,"30"
"461","Interdisciplinary studies","Ohio State University",0.0082,11309,"2011-2012",93,"30"
"462","Interdisciplinary studies","Rutgers University",0.015,6171,"2010-2011",93,"30"
"464","Interdisciplinary studies","Alabama University",0.021958323997311,4463,"2010-2011",98,"30"
"465","Interdisciplinary studies","Oregon State University",0.04,3932,"2011-2012",157,"30"
"467","Interdisciplinary studies","University of Florida",0.0092,8601,"2011-2012",79,"30"
"468","Interdisciplinary studies","Boise State University",0.02,2588,"2011-2012",52,"30"
"469","Interdisciplinary studies","Stanford University",0.1408,1715,"2011-2012",241,"30"
"470","Interdisciplinary studies","University of Texas at Austin",0.038,8821,"2011-2012",335,"30"
"479","Law/legal studies","Utah State University",0.006,3371,"2011-2012",20,"22"
"495","Liberal arts/general studies","University of Oklahoma",0.055,4079,"2011-2012",224,"24"
"497","Liberal arts/general studies","Boise State University",0.02,2588,"2011-2012",52,"24"
