ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Weight,Height,Year,Eligibility,Hometown/Prior_School,Player_URL
LSU,FBALL,2011-2012,16,Trent Hebert,Trent,Hebert,DB,5/9/13,192,Sr.,SQ,"Cecilia, La.; (Cecilia HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1208560
LSU,FBALL,2011-2012,16,Stephen Rivers,Stephen,Rivers,QB,6/7/13,212,Fr.,HS,"Athens, Ala.; (Athens HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087915
LSU,FBALL,2011-2012,17,Morris Claiborne,Morris,Claiborne,CB,6/1/00,185,Jr.,2L,"Shreveport, La.; (Fair Park HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660179
LSU,FBALL,2011-2012,18,Brandon Taylor,Brandon,Taylor,S,6/1/00,194,Sr.,4L,"Franklinton, La.; (Franklinton HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382590
LSU,FBALL,2011-2012,19,David Detz,David,Detz,LB,6/1/00,208,Sr.,SQ,"Leesville, La.; (Leesville HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1580604
LSU,FBALL,2011-2012,19,Deangelo Peterson,Deangelo,Peterson,TE,6/4/13,235,Sr.,4L,"New Orleans, La.; (Desire Street Academy)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382581
LSU,FBALL,2011-2012,21,Taylor Debusk,Taylor,Debusk,DB,5/11/13,199,Sr.,SQ,"Tupelo, Miss.; (Tupelo HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973446
LSU,FBALL,2011-2012,21,Paul Turner,Paul,Turner,WR,5/11/13,186,Fr.,HS,"West Monroe, La.; (West Monroe HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087919
LSU,FBALL,2011-2012,22,Ryan Baker,Ryan,Baker,LB,6/1/00,236,Sr.,4L,"Grand Ridge, Fla.; (Blountstown HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382546
LSU,FBALL,2011-2012,23,Stefoin Francois,Stefoin,Francois,LB,6/1/13,223,Sr.,3L,"Reserve, La.; (East St. John HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=785337
LSU,FBALL,2011-2012,24,Tharold Simon,Tharold,Simon,DB,6/3/13,187,So.,1L,"Eunice, La.; (Eunice HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879622
LSU,FBALL,2011-2012,25,David Jenkins,David,Jenkins,DB,6/1/13,193,Fr.,RS,"Jena, La.; (Hebron)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087838
LSU,FBALL,2011-2012,26,Ronald Martin,Ronald,Martin,DB,6/1/13,199,Fr.,HS,"White Castle, La.; (White Castle HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087843
LSU,FBALL,2011-2012,27,Kenny Hilliard,Kenny,Hilliard,RB,5/11/13,240,Fr.,HS,"Patterson, La.; (Patterson HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205084664
LSU,FBALL,2011-2012,28,Ronnie Vinson,Ronnie,Vinson,DB,5/11/13,185,Fr.,1L,"New Orleans, La.; (Newman HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879597
LSU,FBALL,2011-2012,29,Sam Gibson,Sam,Gibson,S,6/1/13,203,Fr.,RS,"Prattville, Ala.; (Prattville HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879589
LSU,FBALL,2011-2012,30,Drew Alleman,Drew,Alleman,PK/P,5/11/13,183,Jr.,SQ,"Lafayette, La.; (Acadiana HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1456279
LSU,FBALL,2011-2012,30,James Hairston,James,Hairston,PK/P,6/1/00,200,Fr.,HS,"Dallas, Texas; (Jesuit College Prep)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087805
LSU,FBALL,2011-2012,31,D.J. Welter,D.J.,Welter,LB,6/1/00,226,Fr.,RS,"Crowley, La.; (Notre Dame HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879600
LSU,FBALL,2011-2012,32,Jalen Collins,Jalen,Collins,DB,6/1/13,184,Fr.,HS,"Olive Branch, Miss.; (Olive Branch HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087831
LSU,FBALL,2011-2012,33,Odell Beckham Jr.,Odell,Beckham Jr.,WR,5/11/13,183,Fr.,HS,"New Orleans, La.; (Isidore Newman HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087798
LSU,FBALL,2011-2012,34,Micah Eugene,Micah,Eugene,DB,5/11/13,194,Fr.,HS,"Lafayette, La.; (Acadiana HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087803
LSU,FBALL,2011-2012,35,James Stampley,James,Stampley,FB,5/10/13,239,Sr.,3L,"Baker, La.; (Baker HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204860581
LSU,FBALL,2011-2012,36,Derrick Bryant,Derrick,Bryant,S,5/11/13,195,Sr.,2L,"Lawrenceville, Ga.; (Peachtree Ridge HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382553
LSU,FBALL,2011-2012,37,Karnell Hatcher,Karnell,Hatcher,LB,6/2/13,223,Sr.,4L,"Delray Beach, Fla.; (Atlantic Community HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382567
LSU,FBALL,2011-2012,38,DJ Howard,DJ,Howard,P,6/2/13,191,Sr.,1L,"Baton Rouge, La.; (West Feliciana HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204781873
LSU,FBALL,2011-2012,38,Brad Wing,Brad,Wing,P,6/3/13,184,Fr.,RS,"Melbourne, Australia; (Parkview Baptist HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879604
LSU,FBALL,2011-2012,39,Josh Johns,Josh,Johns,LB,6/2/13,206,So.,SQ,"Baton Rouge, La.; (Central HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660182
LSU,FBALL,2011-2012,40,Rockey Duplessis,Rockey,Duplessis,S,6/1/13,209,So.,1L,"Belle Chasse, La.; (Belle Chasse HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382560
LSU,FBALL,2011-2012,40,Tabari Williams,Tabari,Williams,RB,5/7/13,167,So.,SQ,"Hiram, Ga.; (The Culver Academies)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204967270
LSU,FBALL,2011-2012,41,Travis Dickson,Travis,Dickson,TE,6/3/13,230,Fr.,RS,"Ocean Springs, Miss.; (Ocean Springs HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879584
LSU,FBALL,2011-2012,42,Michael Ford,Michael,Ford,RB,5/10/13,215,So.,1L,"Leesville, La.; (Leesville HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660017
LSU,FBALL,2011-2012,43,Connor Neighbors,Connor,Neighbors,FB,5/10/13,233,So.,SQ,"Huntsville, Ala.; (Huntsville HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973410
LSU,FBALL,2011-2012,44,J.C. Copeland,J.C.,Copeland,FB,6/1/13,280,So.,SQ,"LaGrange, Ga.; (Troup County HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204880018
LSU,FBALL,2011-2012,46,Hunter Kinchen,Hunter,Kinchen,WR,5/11/13,172,Fr.,RS,"Baton Rouge, La.; (Dunham)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973442
LSU,FBALL,2011-2012,46,Kevin Minter,Kevin,Minter,LB,6/2/13,242,So.,1L,"Suwanee, Ga.; (Peachtree Ridge HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660011
LSU,FBALL,2011-2012,47,Tyler Edwards,Tyler,Edwards,TE,6/4/13,235,Jr.,2L,"Monroe, La.; (Ouachita Parish HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382562
LSU,FBALL,2011-2012,48,Seth Fruge,Seth,Fruge,LB,5/11/13,200,So.,1L,"Welsh, La.; (Notre Dame HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973413
LSU,FBALL,2011-2012,49,Austin Kinchen,Austin,Kinchen,SNP,6/2/13,209,Sr.,SQ,"Baton Rouge, La.; (Parkview Baptist)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1580602
LSU,FBALL,2011-2012,49,Barkevious Mingo,Barkevious,Mingo,DE,6/5/13,240,So.,1L,"West Monroe, La.; (West Monroe HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660186
LSU,FBALL,2011-2012,50,Joey Crappell,Joey,Crappell,SNP,6/2/13,245,Sr.,3L,"Patterson, La.; (Patterson HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1148283
LSU,FBALL,2011-2012,51,Logan Boudreaux,Logan,Boudreaux,SNP,6/1/13,210,Fr.,HS,"St. Amant, La.; (St. Amant HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205237770
LSU,FBALL,2011-2012,51,Trevon Randle,Trevon,Randle,LB,6/1/13,210,Fr.,RS,"League City, Texas; (Clear Springs HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087845
LSU,FBALL,2011-2012,52,Luke Muncie,Luke,Muncie,LB,6/3/13,220,So.,1L,"Klein, Texas; (Oak HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879594
LSU,FBALL,2011-2012,53,T-Bob Hebert,T-Bob,Hebert,C/OG,6/3/13,304,Sr.,4L,"Norcross, Ga.; (Greater Atlanta Christian HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=785339
LSU,FBALL,2011-2012,54,Justin Maclin,Justin,Maclin,DE,6/4/13,241,So.,SQ,"Memphis, Tenn.; (Ridgeway HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879592
LSU,FBALL,2011-2012,55,Jarrett Hardnett,Jarrett,Hardnett,LB,6/1/13,235,So.,SQ,"Baton Rouge, La.; (Woodlawn HS/Northwestern St.)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973409
LSU,FBALL,2011-2012,56,Anthony Johnson,Anthony,Johnson,DT,6/3/13,310,Fr.,HS,"New Orleans, La.; (O.P. Walker HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205084471
LSU,FBALL,2011-2012,57,Lamin Barrow,Lamin,Barrow,LB,6/2/13,229,So.,1L,"Marrero, La.; (John Ehret HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660124
LSU,FBALL,2011-2012,58,Tahj Jones,Tahj,Jones,LB,6/2/13,205,So.,1L,"Sulphur, La.; (Sulphur HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660018
LSU,FBALL,2011-2012,59,Jermauria Rasco,Jermauria,Rasco,DL,6/3/13,255,Fr.,HS,"Shreveport, La.; (Evangel Christian Academy)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087914
LSU,FBALL,2011-2012,60,Will Blackwell,Will,Blackwell,OG,6/4/13,290,Sr.,4L,"West Monroe, La.; (West Monroe HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=785327
LSU,FBALL,2011-2012,61,Ben Domingue,Ben,Domingue,C,6/3/13,272,So.,SQ,"Lafayette, La.; (St. Thomas More HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973443
LSU,FBALL,2011-2012,63,Branch Kampe,Branch,Kampe,LB,6/1/13,225,Fr.,HS,"Rochester, Mich.; (Shrine Catholic HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205245879
LSU,FBALL,2011-2012,63,Trai Turner,Trai,Turner,OL,6/2/13,332,Fr.,HS,"New Orleans, La.; (St. Augustine HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087847
LSU,FBALL,2011-2012,64,P.J. Lonergan,P.J.,Lonergan,C,6/4/13,305,Jr.,2L,"New Orleans, La.; (Rummel HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382576
LSU,FBALL,2011-2012,65,Elliott Porter,Elliott,Porter,OL,6/4/13,278,Fr.,TR,"Waggaman, La.; (Shaw HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879595
LSU,FBALL,2011-2012,67,Corey White,Corey,White,OL,6/3/13,328,Fr.,HS,"Baton Rouge, La.; (Capitol HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087848
LSU,FBALL,2011-2012,68,Josh Dworaczyk,Josh,Dworaczyk,OG,6/6/13,301,Sr.,3L,"New Iberia, La.; (Catholic-New Iberia HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=785336
LSU,FBALL,2011-2012,69,Alex Bonnette,Alex,Bonnette,OT,6/2/13,284,So.,SQ,"LaPlace, La.; (Riverside Academy)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973414
LSU,FBALL,2011-2012,70,Evan Washington,Evan,Washington,OT,6/5/13,326,Fr.,RS,"DeSoto, Texas; (DeSoto HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879623
LSU,FBALL,2011-2012,71,Jonah Austin,Jonah,Austin,OL,6/6/13,322,Fr.,HS,"New Orleans, La.; (St. Augustine HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087827
LSU,FBALL,2011-2012,72,Alex Hurst,Alex,Hurst,OT,6/6/13,340,Jr.,2L,"Bartlett, Tenn.; (Arlington HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382570
LSU,FBALL,2011-2012,73,Chris Davenport,Chris,Davenport,OT,6/4/13,320,So.,SQ,"Mansfield, La.; (Mansfield HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3659751
LSU,FBALL,2011-2012,74,Josh Williford,Josh,Williford,OG,6/7/13,324,So.,1L,"Dothan, Ala.; (Houston Academy)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660132
LSU,FBALL,2011-2012,75,Greg Shaw,Greg,Shaw,OT,6/5/13,281,Sr.,2L,"Hialeah, Fla.; (Edward Pace HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382584
LSU,FBALL,2011-2012,76,Chris Faulk,Chris,Faulk,OT,6/6/13,325,So.,1L,"Slidell, La.; (Northshore HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660016
LSU,FBALL,2011-2012,77,Josh Downs,Josh,Downs,DT,6/1/13,287,Jr.,2L,"Bastrop, La.; (Bastrop HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660180
LSU,FBALL,2011-2012,78,La'el Collins,La'el,Collins,OT,6/5/13,320,Fr.,HS,"Baton Rouge, La.; (Redemptorist HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087832
LSU,FBALL,2011-2012,79,Matt Branch,Matt,Branch,OG,6/6/13,287,Jr.,2L,"Monroe, La.; (Sterlington HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382551
LSU,FBALL,2011-2012,80,Jarvis Landry,Jarvis,Landry,WR,6/1/00,190,Fr.,HS,"Convent, La.; (Lutcher HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087909
LSU,FBALL,2011-2012,81,Armand Williams,Armand,Williams,WR,6/3/13,200,Fr.,RS,"Slidell, La.; (Slidell HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204880058
LSU,FBALL,2011-2012,82,James Wright,James,Wright,WR,6/2/13,201,So.,1L,"Belle Chasse, La.; (Belle Chasse HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879606
LSU,FBALL,2011-2012,83,Mitch Joseph,Mitch,Joseph,TE,6/5/13,268,Sr.,4L,"New Iberia, La.; (Catholic-New Iberia HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=785345
LSU,FBALL,2011-2012,84,Nic Jacobs,Nic,Jacobs,TE,6/5/13,253,Fr.,RS,"Many, La.; (Many HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879590
LSU,FBALL,2011-2012,85,Alex Russian,Alex,Russian,SNP,6/5/13,235,Sr.,2L,"Round Rock, Texas; (Round Rock HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=785353
LSU,FBALL,2011-2012,86,Kadron Boone,Kadron,Boone,WR,6/1/00,195,So.,1L,"Ocala, Fla.; (Trinity Catholic HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879974
LSU,FBALL,2011-2012,87,Chancey Aghayere,Chancey,Aghayere,DE,6/4/13,279,Jr.,2L,"Garland, Texas; (Garland HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382537
LSU,FBALL,2011-2012,88,Chase Clement,Chase,Clement,TE,6/5/13,251,Jr.,2L,"Thibodaux, La.; (E.D. White HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382558
