Player,Team,Salary,Season,Contract_End,Option,Contract Years,Total Contract,Shamsports_Player_URL
Steve Nash,Dallas Mavericks,"$5,750,000 ",2001-2002,2003-2004,,6,6000000,
Steve Smith,San Antonio Spurs,"$9,000,000 ",2001-2002,2002-2003,,7,7000000,
Steven Hunter,Orlando Magic,"$1,244,880 ",2001-2002,2004-2005,,4,4000000,
Stromile Swift,Memphis Grizzlies,"$3,401,640 ",2001-2002,2003-2004,,4,4000000,
Tang Hamilton,Miami Heat,"$332,817 ",2001-2002,2001-2002,,1,1000000,
Tariq Abdul-Wahad,Denver Nuggets,"$5,062,500 ",2001-2002,2006-2007,,7,7000000,
Terence Morris,Houston Rockets,"$490,000 ",2001-2002,2002-2003,,2,2000000,
Terrell Brandon,Minnesota Timberwolves,"$9,250,000 ",2001-2002,2004-2005,,6,6000000,
Terry Porter,San Antonio Spurs,"$2,400,000 ",2001-2002,2001-2002,,3,3000000,
Theo Ratliff,Atlanta Hawks,"$8,593,750 ",2001-2002,2004-2005,,7,7000000,
Tierre Brown,Houston Rockets,"$332,817 ",2001-2002,2001-2002,,1,1000000,
Tim Duncan,San Antonio Spurs,"$10,865,250 ",2001-2002,2003-2004,,4,4000000,
Tim Hardaway,Dallas Mavericks,"$3,360,390 ",2001-2002,2003-2004,,3,3000000,
Tim James,Philadelphia 76ers,"$521,761 ",2001-2002,2001-2002,,1,1000000,
Tim Thomas,Milwaukee Bucks,"$9,675,000 ",2001-2002,2005-2006,,6,6000000,
Todd MacCulloch,New Jersey Nets,"$4,538,000 ",2001-2002,2005-2006,,6,6000000,
Tom Gugliotta,Phoenix Suns,"$10,113,465 ",2001-2002,2003-2004,,6,6000000,
Tom Hammonds,Minnesota Timberwolves,"$1,800,000 ",2001-2002,2001-2002,,1,1000000,
Toni Kukoc,Atlanta Hawks,"$8,050,000 ",2001-2002,2003-2004,,4,4000000,
Tony Battie,Boston Celtics,"$3,600,000 ",2001-2002,2005-2006,,6,6000000,
Tony Delk,Phoenix Suns,"$2,475,000 ",2001-2002,2005-2006,,6,6000000,
Tony Massenburg,Memphis Grizzlies,"$1,500,000 ",2001-2002,2002-2003,,3,3000000,
Tony Parker,San Antonio Spurs,"$744,480 ",2001-2002,2004-2005,,4,4000000,
Tracy McGrady,Orlando Magic,"$10,865,250 ",2001-2002,2006-2007,,7,7000000,
Tracy Murray,Toronto Raptors,"$3,400,000 ",2001-2002,2002-2003,,7,7000000,
Tranjan Langdon,Cleveland Cavaliers,"$1,604,880 ",2001-2002,2001-2002,,3,3000000,
Travis Best,Indiana Pacers,"$3,375,000 ",2001-2002,2001-2002,,4,4000000,
Travis Knight,New York Knicks,"$3,600,000 ",2001-2002,2003-2004,,7,7000000,
Trenton Hassell,Chicago Bulls,"$332,817 ",2001-2002,2001-2002,,1,1000000,
Troy Hudson,Orlando Magic,"$590,850 ",2001-2002,2001-2002,,1,1000000,
Troy Murphy,Golden State Warriors,"$2,343,635 ",2001-2002,2004-2005,,4,4000000,
Tryone Hill,Cleveland Cavaliers,"$6,600,000 ",2001-2002,2002-2003,,5,5000000,
Tyrone Nesby,Washington Bullets,"$3,260,000 ",2001-2002,2001-2002,,3,3000000,
Tyronn Lue,Washington Bullets,"$1,700,000 ",2001-2002,2002-2003,,2,2000000,
Tyson Chandler,Chicago Bulls,"$3,308,160 ",2001-2002,2004-2005,,4,4000000,
V. Alexander,Detroit Pistons,"$590,850 ",2001-2002,2001-2002,,1,1000000,
V. Del Negro,Phoenix Suns,"$2,275,000 ",2001-2002,2001-2002,,4,4000000,
Vin Baker,Seattle Supersonics,"$11,250,000 ",2001-2002,2005-2006,,7,7000000,
Vince Carter,Toronto Raptors,"$3,073,032 ",2001-2002,2007-2008,,6,6000000,
Vitaly Potapenko,Boston Celtics,"$4,762,500 ",2001-2002,2004-2005,,6,6000000,
Vlade Divac,Sacramento Kings,"$10,444,642 ",2001-2002,2003-2004,,6,6000000,
Vladimir Radmanovic,Seattle Supersonics,"$1,452,000 ",2001-2002,2004-2005,,4,4000000,
Vladimir Stepania,Miami Heat,"$565,850 ",2001-2002,2001-2002,,1,1000000,
Vonteego Cummings,Philadelphia 76ers,"$810,000 ",2001-2002,2002-2003,,4,4000000,
Voshon Lenard,Denver Nuggets,"$4,252,434 ",2001-2002,2001-2002,,5,5000000,
Wally Szczerbiak,Minnesota Timberwolves,"$2,313,240 ",2001-2002,2002-2003,,4,4000000,
Walt Williams,Houston Rockets,"$5,000,000 ",2001-2002,2001-2002,,5,5000000,
Walter McCarty,Boston Celtics,"$3,125,000 ",2001-2002,2001-2002,,3,3000000,
Wang Zhizhi,Dallas Mavericks,"$465,850 ",2001-2002,2001-2002,,2,2000000,
Wesley Person,Cleveland Cavaliers,"$6,300,000 ",2001-2002,2003-2004,,7,7000000,
William Avery,Minnesota Timberwolves,"$1,375,920 ",2001-2002,2002-2003,,4,4000000,
Willie Solomon,Memphis Grizzlies,"$332,817 ",2001-2002,2001-2002,,1,1000000,
Z. Ilgauskas,Cleveland Cavaliers,"$11,250,000 ",2001-2002,2004-2005,,6,6000000,
Zach Randolph,Portland Trail Blazers,"$1,019,400 ",2001-2002,2004-2005,,4,4000000,
Zeljko Rebraca,Detroit Pistons,"$3,500,000 ",2001-2002,2003-2004,,3,3000000,
Zendon Hamilton,Denver Nuggets,"$465,850 ",2001-2002,2001-2002,,1,1000000,
Aaron McKie,Philadelphia 76ers,"$4,500,000 ",2002-2003,2005-2006 ,Player,7,7000000,
Aaron Williams,New Jersey Nets,"$2,700,000 ",2002-2003,2004-2005,,6,6000000,
Adonal Foyle,Golden State Warriors,"$4,400,000 ",2002-2003,2003-2004,,4,4000000,
Adrian Griffin,Dallas Mavericks,"$637,435 ",2002-2003,2002-2003,,1,1000000,
Al Harrington,Indiana Pacers,"$5,060,000 ",2002-2003,2005-2006,,4,4000000,
Alan Henderson,Atlanta Hawks,"$7,091,000 ",2002-2003,2002-2003 ,Player,7,7000000,
Allan Houston,New York Knicks,"$14,343,750 ",2002-2003,2006-2007,,7,7000000,
Allen Iverson,Philadelphia 76ers,"$12,375,000 ",2002-2003,2003-2004 ,Player,6,6000000,
Alonzo Mourning,Miami Heat,"$20,629,800 ",2002-2003,2002-2003,,7,7000000,
Alton Ford,Phoenix Suns,"$512,435 ",2002-2003,2002-2003,,2,2000000,
Alvin Williams,Toronto Raptors,"$5,350,000 ",2002-2003,2004-2005 ,Player,7,7000000,
Amare Stoudemire,Phoenix Suns,"$1,767,120 ",2002-2003,2004-2005 ,Team,4,4000000,
Andre Miller,Los Angeles Clippers,"$2,460,709 ",2002-2003,2002-2003 ,Team,4,4000000,
Andrei Kirilenko,Utah Jazz,"$893,400 ",2002-2003,2003-2004 ,Team,4,4000000,
Andrew DeClercq,Orlando Magic,"$3,262,500 ",2002-2003,2002-2003 ,Team,3,3000000,
Anfernee Hardaway,Phoenix Suns,"$12,375,000 ",2002-2003,2003-2004 ,Player,7,7000000,
Ansu Sesay,Seattle Supersonics,"$512,435 ",2002-2003,2003-2004,,2,2000000,
Antawn Jamison,Golden State Warriors,"$10,067,750 ",2002-2003,2005-2006 ,Player,6,6000000,
Anthony Carter,Miami Heat,"$3,656,250 ",2002-2003,2002-2003 ,Player,3,3000000,
Anthony Johnson,New Jersey Nets,"$699,935 ",2002-2003,2002-2003,,1,1000000,
Anthony Mason,Milwaukee Bucks,"$4,991,800 ",2002-2003,2004-2005,,4,4000000,
Anthony Peeler,Minnesota Timberwolves,"$3,350,812 ",2002-2003,2004-2005,,6,6000000,
Antoine Rigaudeau,Dallas Mavericks,"$600,000 ",2002-2003,2004-2005 ,Team,3,3000000,
Antoine Walker,Boston Celtics,"$12,375,000 ",2002-2003,2004-2005,,6,6000000,
Antonio Daniels,Portland Trail Blazers,"$3,375,000 ",2002-2003,2002-2003,,3,3000000,
Antonio Davis,Toronto Raptors,"$12,000,000 ",2002-2003,2005-2006,,5,5000000,
Antonio McDyess,New York Knicks,"$12,600,000 ",2002-2003,2003-2004,,6,6000000,
Arvydas Sabonis,Portland Trail Blazers,"$6,850,000 ",2002-2003,2004-2005,,3,3000000,
Austin Croshere,Indiana Pacers,"$6,960,000 ",2002-2003,2004-2005 ,Player,7,7000000,
Avery Johnson,Dallas Mavericks,"$4,991,800 ",2002-2003,2003-2004,,3,3000000,
Baron Davis,New Orleans Hornets,"$3,942,922 ",2002-2003,2008-2009,,6,6000000,
Ben Wallace,Detroit Pistons,"$5,200,000 ",2002-2003,2005-2006,,6,6000000,
Bimbo Coles,Boston Celtics,"$1,030,000 ",2002-2003,2002-2003,,1,1000000,
Bo Outlaw,Phoenix Suns,"$6,585,000 ",2002-2003,2004-2005,,5,5000000,
Bob Sura,Golden State Warriors,"$5,639,999 ",2002-2003,2003-2004,,7,7000000,
Bobby Jackson,Sacramento Kings,"$2,700,000 ",2002-2003,2004-2005,,5,5000000,
Bobby Simmons,Washington Bullets,"$337,457 ",2002-2003,2002-2003,,1,1000000,
Bonzi Wells,Portland Trail Blazers,"$6,300,000 ",2002-2003,2005-2006 ,Team,4,4000000,
Bostjan Nachbar,Houston Rockets,"$1,224,000 ",2002-2003,2004-2005 ,Team,4,4000000,
Brad Miller,Indiana Pacers,"$4,800,000 ",2002-2003,2002-2003,,3,3000000,
Brandon Armstrong,New Jersey Nets,"$930,720 ",2002-2003,2003-2004 ,Team,4,4000000,
Brandon Williams,Atlanta Hawks,"$587,435 ",2002-2003,2002-2003,,1,1000000,
Brendan Haywood,Washington Bullets,"$1,051,920 ",2002-2003,2003-2004 ,Team,4,4000000,
Brent Barry,Seattle Supersonics,"$5,040,000 ",2002-2003,2003-2004,,6,6000000,
Brent Price,Sacramento Kings,"$4,048,000 ",2002-2003,2002-2003,,7,7000000,
Brevin Knight,Memphis Grizzlies,"$5,000,000 ",2002-2003,2003-2004,,4,4000000,
Brian Cardinal,Washington Bullets,"$587,435 ",2002-2003,2002-2003,,2,2000000,
Brian Grant,Miami Heat,"$11,027,862 ",2002-2003,2004-2005 ,Player,7,7000000,
Brian Scalabrine,New Jersey Nets,"$512,435 ",2002-2003,2002-2003,,2,2000000,
Brian Shaw,Los Angeles Lakers,"$1,030,000 ",2002-2003,2002-2003,,1,1000000,
Brian Skinner,Philadelphia 76ers,"$637,435 ",2002-2003,2002-2003,,1,1000000,
Bruce Bowen,San Antonio Spurs,"$3,360,000 ",2002-2003,2004-2005,,3,3000000,
Bruno Sundov,Boston Celtics,"$637,435 ",2002-2003,2002-2003,,1,1000000,
Bryce Drew,New Orleans Hornets,"$1,300,000 ",2002-2003,2003-2004,,3,3000000,
Bryon Russell,Washington Bullets,"$1,400,000 ",2002-2003,2002-2003 ,Team,2,2000000,
Calbert Cheaney,Utah Jazz,"$1,000,000 ",2002-2003,2002-2003,,1,1000000,
Calvin Booth,Seattle Supersonics,"$4,992,900 ",2002-2003,2006-2007,,6,6000000,
Carlos Arroyo,Utah Jazz,"$546,000 ",2002-2003,2002-2003,,1,1000000,
Carlos Boozer,Cleveland Cavaliers,"$425,000 ",2002-2003,2003-2004,,2,2000000,
Caron Butler,Miami Heat,"$1,678,800 ",2002-2003,2004-2005 ,Team,4,4000000,
Casey Jacobsen,Phoenix Suns,"$941,040 ",2002-2003,2004-2005 ,Team,4,4000000,
Cezary Trybanski,Memphis Grizzlies,"$1,500,000 ",2002-2003,2004-2005,,3,3000000,
Charles Oakley,Washington Bullets,"$1,030,000 ",2002-2003,2002-2003,,1,1000000,
Charles R. Smith,Portland Trail Blazers,"$637,435 ",2002-2003,2002-2003,,2,2000000,
Charlie Ward,New York Knicks,"$5,570,000 ",2002-2003,2002-2003 ,Player,6,6000000,
Chauncey Billups,Detroit Pistons,"$4,546,000 ",2002-2003,2007-2008,,6,6000000,
Cherokee Parks,Los Angeles Clippers,"$824,935 ",2002-2003,2002-2003,,1,1000000,
Chris Andersen,Denver Nuggets,"$512,435 ",2002-2003,2002-2003 ,Team,2,2000000,
Chris Childs,New Jersey Nets,"$1,750,000 ",2002-2003,2003-2004,,2,2000000,
Chris Crawford,Atlanta Hawks,"$2,750,000 ",2002-2003,2004-2005,,6,6000000,
Chris Dudley,Portland Trail Blazers,"$1,030,000 ",2002-2003,2002-2003,,1,1000000,
Chris Jefferies,Toronto Raptors,"$781,800 ",2002-2003,2004-2005 ,Team,4,4000000,
Chris Mihm,Cleveland Cavaliers,"$2,212,200 ",2002-2003,2003-2004 ,Team,4,4000000,
Chris Mills,Golden State Warriors,"$6,000,000 ",2002-2003,2003-2004,,7,7000000,
Chris Owens,Memphis Grizzlies,"$349,458 ",2002-2003,2002-2003,,1,1000000,
Chris Webber,Sacramento Kings,"$14,343,750 ",2002-2003,2005-2006 ,Player,7,7000000,
Chris Whitney,Orlando Magic,"$1,000,000 ",2002-2003,2002-2003,,1,1000000,
Chris Wilcox,Los Angeles Clippers,"$1,922,520 ",2002-2003,2004-2005 ,Team,4,4000000,
Christian Laettner,Washington Bullets,"$5,062,500 ",2002-2003,2004-2005,,4,4000000,
Chucky Atkins,Detroit Pistons,"$3,600,000 ",2002-2003,2005-2006,,6,6000000,
Clarence Weatherspoon,New York Knicks,"$4,991,800 ",2002-2003,2005-2006,,5,5000000,
Clifford Robinson,Detroit Pistons,"$8,421,875 ",2002-2003,2004-2005,,6,6000000,
Corey Maggette,Los Angeles Clippers,"$2,069,764 ",2002-2003,2002-2003 ,Team,4,4000000,
Corie Blount,Chicago Bulls,"$1,400,000 ",2002-2003,2002-2003,,1,1000000,
Corliss Williamson,Detroit Pistons,"$4,500,000 ",2002-2003,2006-2007,,6,6000000,
Courtney Alexander,New Orleans Hornets,"$1,517,280 ",2002-2003,2002-2003 ,Team,4,4000000,
Curtis Borchardt,Utah Jazz,"$1,113,720 ",2002-2003,2004-2005 ,Team,4,4000000,
Cuttino Mobley,Houston Rockets,"$4,903,750 ",2002-2003,2004-2005 ,Player,6,6000000,
Dajuan Wagner,Cleveland Cavaliers,"$2,298,840 ",2002-2003,2004-2005 ,Team,4,4000000,
Dale Davis,Portland Trail Blazers,"$8,055,000 ",2002-2003,2004-2005,,9,9000000,
Dalibor Bagaric,Chicago Bulls,"$830,947 ",2002-2003,2003-2004 ,Team,4,4000000,
Damon Jones,Sacramento Kings,"$637,435 ",2002-2003,2002-2003,,1,1000000,
Damon Stoudamire,Portland Trail Blazers,"$12,375,000 ",2002-2003,2004-2005,,4,4000000,
Dan Dickau,Atlanta Hawks,"$776,880 ",2002-2003,2004-2005 ,Team,4,4000000,
Dan Gadzuric,Milwaukee Bucks,"$349,458 ",2002-2003,2002-2003,,1,1000000,
Dan Langhi,Phoenix Suns,"$587,435 ",2002-2003,2002-2003,,1,1000000,
Danny Ferry,San Antonio Spurs,"$4,546,000 ",2002-2003,2002-2003 ,Team,2,2000000,
Danny Fortson,Golden State Warriors,"$5,039,068 ",2002-2003,2004-2005 ,Player,7,7000000,
Danny Manning,Detroit Pistons,"$1,030,000 ",2002-2003,2002-2003,,1,1000000,
Darius Miles,Cleveland Cavaliers,"$3,267,960 ",2002-2003,2003-2004 ,Team,4,4000000,
Darrell Armstrong,Orlando Magic,"$4,010,000 ",2002-2003,2002-2003,,5,5000000,
Darvin Ham,Atlanta Hawks,"$699,935 ",2002-2003,2002-2003,,1,1000000,
David Robinson,San Antonio Spurs,"$10,500,000 ",2002-2003,2002-2003,,2,2000000,
David Wesley,New Orleans Hornets,"$3,600,000 ",2002-2003,2005-2006,,9,9000000,
Derek Anderson,Portland Trail Blazers,"$7,144,500 ",2002-2003,2006-2007,,6,6000000,
Derek Fisher,Los Angeles Lakers,"$3,000,000 ",2002-2003,2005-2006,,7,7000000,
DerMarr Johnson,Atlanta Hawks,"$2,423,000 ",2002-2003,2002-2003 ,Team,3,3000000,
Derrick Coleman,Philadelphia 76ers,"$9,380,000 ",2002-2003,2002-2003,,5,5000000,
DeSagana Diop,Cleveland Cavaliers,"$1,980,600 ",2002-2003,2004-2005 ,Team,4,4000000,
DeShawn Stevenson,Utah Jazz,"$952,320 ",2002-2003,2003-2004,,4,4000000,
Desmond Mason,Milwaukee Bucks,"$1,235,880 ",2002-2003,2003-2004 ,Team,4,4000000,
Devean George,Los Angeles Lakers,"$4,545,000 ",2002-2003,2004-2005 ,Player,4,4000000,
Dikembe Mutombo,New Jersey Nets,"$16,105,264 ",2002-2003,2004-2005,,4,4000000,
Dion Glover,Atlanta Hawks,"$1,584,312 ",2002-2003,2002-2003 ,Team,4,4000000,
Dirk Nowitzki,Dallas Mavericks,"$10,067,750 ",2002-2003,2005-2006 ,Player,6,6000000,
Don Reid,Detroit Pistons,"$2,412,500 ",2002-2003,2002-2003,,2,2000000,
Donnell Harvey,Denver Nuggets,"$992,040 ",2002-2003,2002-2003,,2,2000000,
Donyell Marshall,Chicago Bulls,"$4,545,000 ",2002-2003,2004-2005,,3,3000000,
Doug Christie,Sacramento Kings,"$6,250,000 ",2002-2003,2005-2006,,5,5000000,
Drew Gooden,Orlando Magic,"$2,794,920 ",2002-2003,2004-2005 ,Team,4,4000000,
Earl Boykins,Golden State Warriors,"$512,435 ",2002-2003,2002-2003,,1,1000000,
Earl Watson,Memphis Grizzlies,"$1,215,000 ",2002-2003,2004-2005,,3,3000000,
Eddie Curry,Chicago Bulls,"$2,879,280 ",2002-2003,2003-2004 ,Team,4,4000000,
Eddie Griffin,Houston Rockets,"$2,161,920 ",2002-2003,2003-2004 ,Team,4,4000000,
Eddie House,Miami Heat,"$737,000 ",2002-2003,2002-2003 ,Team,2,2000000,
Eddie Jones,Miami Heat,"$11,212,500 ",2002-2003,2004-2005 ,Player,7,7000000,
Eddie Robinson,Chicago Bulls,"$5,687,000 ",2002-2003,2005-2006,,6,6000000,
Eduardo Najera,Dallas Mavericks,"$3,047,620 ",2002-2003,2006-2007,,6,6000000,
Efthimios Rentzias,Philadelphia 76ers,"$903,360 ",2002-2003,2004-2005 ,Team,4,4000000,
Elden Campbell,Seattle Supersonics,"$8,050,000 ",2002-2003,2002-2003,,7,7000000,
Elton Brand,Los Angeles Clippers,"$4,895,656 ",2002-2003,2002-2003 ,Team,4,4000000,
Emanual Davis,Atlanta Hawks,"$824,935 ",2002-2003,2002-2003,,2,2000000,
Emanuel Ginobili,San Antonio Spurs,"$1,325,000 ",2002-2003,2003-2004,,2,2000000,
Eric Montross,Toronto Raptors,"$2,720,000 ",2002-2003,2004-2005,,11,11000000,
Eric Piatkowski,Los Angeles Clippers,"$3,000,000 ",2002-2003,2002-2003,,4,4000000,
Eric Snow,Philadelphia 76ers,"$4,125,000 ",2002-2003,2003-2004 ,Player,7,7000000,
Eric Williams,Boston Celtics,"$5,004,000 ",2002-2003,2003-2004,,6,6000000,
Erick Dampier,Golden State Warriors,"$6,858,500 ",2002-2003,2003-2004 ,Player,7,7000000,
Erick Strickland,Indiana Pacers,"$762,435 ",2002-2003,2002-2003,,1,1000000,
Ervin Johnson,Milwaukee Bucks,"$3,998,679 ",2002-2003,2004-2005,,9,9000000,
Etan Thomas,Washington Bullets,"$1,597,200 ",2002-2003,2003-2004 ,Team,4,4000000,
Evan Eschmeyer,Dallas Mavericks,"$3,103,800 ",2002-2003,2006-2007,,6,6000000,
Felipe Lopez,Minnesota Timberwolves,"$637,435 ",2002-2003,2002-2003,,2,2000000,
Frank Williams,New York Knicks,"$832,560 ",2002-2003,2004-2005 ,Team,4,4000000,
Fred Hoiberg,Chicago Bulls,"$1,400,000 ",2002-2003,2002-2003,,3,3000000,
Fred Jones,Indiana Pacers,"$1,367,400 ",2002-2003,2004-2005 ,Team,4,4000000,
Gary Payton,Milwaukee Bucks,"$13,079,593 ",2002-2003,2002-2003,,7,7000000,
Gary Trent,Minnesota Timberwolves,"$824,935 ",2002-2003,2002-2003,,1,1000000,
George Lynch,New Orleans Hornets,"$2,600,000 ",2002-2003,2004-2005,,6,6000000,
Gerald Wallace,Sacramento Kings,"$857,760 ",2002-2003,2003-2004 ,Team,4,4000000,
Gilbert Arenas,Golden State Warriors,"$512,435 ",2002-2003,2002-2003,,2,2000000,
Glen Rice,Houston Rockets,"$9,200,000 ",2002-2003,2003-2004,,4,4000000,
Glenn Robinson,Atlanta Hawks,"$9,860,000 ",2002-2003,2004-2005,,11,11000000,
Gordan Giricek,Orlando Magic,"$1,400,000 ",2002-2003,2003-2004,,2,2000000,
Grant Hill,Orlando Magic,"$12,072,500 ",2002-2003,2004-2005 ,Player,7,7000000,
Grant Long,Boston Celtics,"$1,030,000 ",2002-2003,2002-2003,,1,1000000,
Greg Buckner,Philadelphia 76ers,"$2,400,000 ",2002-2003,2006-2007 ,Player,6,6000000,
Greg Ostertag,Utah Jazz,"$7,799,996 ",2002-2003,2003-2004,,6,6000000,
Hidayet Turkoglu,Sacramento Kings,"$1,300,920 ",2002-2003,2003-2004,,4,4000000,
Howard Eisley,New York Knicks,"$5,312,500 ",2002-2003,2005-2006 ,Team,7,7000000,
Hubert Davis,Detroit Pistons,"$2,687,500 ",2002-2003,2003-2004,,4,4000000,
Igor Rakocevic,Minnesota Timberwolves,"$349,458 ",2002-2003,2002-2003,,1,1000000,
Ira Newble,Atlanta Hawks,"$587,435 ",2002-2003,2002-2003,,1,1000000,
J.R. Bremer,Boston Celtics,"$349,458 ",2002-2003,2002-2003,,1,1000000,
Jacque Vaughn,Orlando Magic,"$699,935 ",2002-2003,2002-2003,,1,1000000,
Jahidi White,Washington Bullets,"$4,903,750 ",2002-2003,2004-2005,,5,5000000,
Jake Tsakalidis,Phoenix Suns,"$877,680 ",2002-2003,2003-2004 ,Team,4,4000000,
Jake Voskuhl,Phoenix Suns,"$587,435 ",2002-2003,2003-2003,,3,3000000,
Jalen Rose,Chicago Bulls,"$12,072,500 ",2002-2003,2004-2005 ,Player,7,7000000,
Jamaal Magloire,New Orleans Hornets,"$1,121,280 ",2002-2003,2002-2003 ,Team,4,4000000,
Jamaal Tinsley,Indiana Pacers,"$805,320 ",2002-2003,2003-2004 ,Team,4,4000000,
Jamal Crawford,Chicago Bulls,"$2,026,680 ",2002-2003,2003-2004 ,Team,4,4000000,
Jamal Mashburn,New Orleans Hornets,"$7,750,000 ",2002-2003,2004-2005 ,Player,6,6000000,
Jamal Sampson,Milwaukee Bucks,"$349,458 ",2002-2003,2002-2003,,1,1000000,
James Posey,Houston Rockets,"$1,723,606 ",2002-2003,2002-2003 ,Team,4,4000000,
Jamie Feick,New Jersey Nets,"$2,600,000 ",2002-2003,2003-2004 ,Player,6,6000000,
Jamison Brewer,Indiana Pacers,"$512,435 ",2002-2003,2002-2003,,2,2000000,
Jannero Pargo,Los Angeles Lakers,"$349,458 ",2002-2003,2003-2004,,2,2000000,
Jared Jeffries,Washington Bullets,"$1,594,920 ",2002-2003,2004-2005 ,Team,4,4000000,
Jarron Collins,Utah Jazz,"$1,150,000 ",2002-2003,2003-2004,,2,2000000,
Jason Caffey,Milwaukee Bucks,"$5,250,000 ",2002-2003,2002-2003 ,Player,7,7000000,
Jason Collier,Houston Rockets,"$1,369,440 ",2002-2003,2002-2003,,3,3000000,
Jason Collins,New Jersey Nets,"$1,147,440 ",2002-2003,2003-2004 ,Team,4,4000000,
Jason Kidd,New Jersey Nets,"$9,265,000 ",2002-2003,2002-2003 ,Player,10,10000000,
Jason Richardson,Golden State Warriors,"$2,607,360 ",2002-2003,2003-2004 ,Team,4,4000000,
Jason Terry,Atlanta Hawks,"$2,153,934 ",2002-2003,2002-2003 ,Team,4,4000000,
Jason Williams,Memphis Grizzlies,"$5,500,000 ",2002-2003,2007-2008,,6,6000000,
Jay Williams,Chicago Bulls,"$3,451,000 ",2002-2003,2004-2005 ,Team,4,4000000,
Jeff Foster,Indiana Pacers,"$1,571,335 ",2002-2003,2008-2009,,10,10000000,
Jeff McInnis,Portland Trail Blazers,"$3,000,000 ",2002-2003,2004-2005,,3,3000000,
Jelani McCoy,Toronto Raptors,"$637,435 ",2002-2003,2002-2003,,1,1000000,
Jermaine Jackson,Atlanta Hawks,"$587,435 ",2002-2003,2002-2003,,1,1000000,
Jermaine O'Neal,Indiana Pacers,"$6,900,000 ",2002-2003,2002-2003,,4,4000000,
Jerome James,Seattle Supersonics,"$4,546,000 ",2002-2003,2004-2005,,3,3000000,
Jerome Moiso,New Orleans Hornets,"$1,681,200 ",2002-2003,2002-2003,,3,3000000,
Jerome Williams,Toronto Raptors,"$5,250,000 ",2002-2003,2006-2007 ,Player,7,7000000,
Jerry Stackhouse,Washington Bullets,"$6,375,000 ",2002-2003,2002-2003 ,Player,7,7000000,
Jeryl Sasser,Orlando Magic,"$969,480 ",2002-2003,2003-2004 ,Team,4,4000000,
Jim Jackson,Sacramento Kings,"$791,341 ",2002-2003,2002-2003,,1,1000000,
Jiri Welsch,Golden State Warriors,"$1,234,080 ",2002-2003,2004-2005 ,Team,4,4000000,
Joe Johnson,Phoenix Suns,"$1,729,560 ",2002-2003,2003-2004 ,Team,4,4000000,
Joe Smith,Minnesota Timberwolves,"$4,991,800 ",2002-2003,2006-2007,,6,6000000,
Joel Przybilla,Milwaukee Bucks,"$1,862,880 ",2002-2003,2002-2003 ,Team,4,4000000,
John Amaechi,Utah Jazz,"$2,392,500 ",2002-2003,2003-2004 ,Player,4,4000000,
John Salmons,Philadelphia 76ers,"$670,800 ",2002-2003,2004-2005 ,Team,4,4000000,
John Stockton,Utah Jazz,"$7,875,000 ",2002-2003,2002-2003,,2,2000000,
Jon Barry,Detroit Pistons,"$3,175,000 ",2002-2003,2002-2003,,3,3000000,
Jonathan Bender,Indiana Pacers,"$3,226,745 ",2002-2003,2006-2007,,8,8000000,
Joseph Forte,Seattle Supersonics,"$1,009,920 ",2002-2003,2003-2004 ,Team,4,4000000,
Juan Dixon,Washington Bullets,"$1,172,400 ",2002-2003,2004-2005 ,Team,4,4000000,
Juaquin Hawkins,Houston Rockets,"$587,435 ",2002-2003,2002-2003,,1,1000000,
Jumaine Jones,Cleveland Cavaliers,"$1,419,026 ",2002-2003,2002-2003 ,Team,4,4000000,
Junior Harrington,Denver Nuggets,"$349,458 ",2002-2003,2002-2003,,1,1000000,
Juwan Howard,Denver Nuggets,"$20,152,000 ",2002-2003,2002-2003,,7,7000000,
Kareem Rush,Los Angeles Lakers,"$1,021,080 ",2002-2003,2004-2005 ,Team,4,4000000,
Karl Malone,Utah Jazz,"$19,250,000 ",2002-2003,2002-2003,,4,4000000,
Kedrick Brown,Boston Celtics,"$1,643,040 ",2002-2003,2004-2005 ,Team,4,4000000,
Keith Van Horn,Philadelphia 76ers,"$12,072,500 ",2002-2003,2004-2005 ,Player,6,6000000,
Kelvin Cato,Houston Rockets,"$6,696,000 ",2002-2003,2005-2006,,6,6000000,
Ken Johnson,Miami Heat,"$349,458 ",2002-2003,2002-2003 ,Team,2,2000000,
Kendall Gill,Minnesota Timberwolves,"$1,030,000 ",2002-2003,2002-2003,,1,1000000,
Kenny Anderson,New Orleans Hornets,"$9,185,000 ",2002-2003,2002-2003,,7,7000000,
Kenny Thomas,Philadelphia 76ers,"$1,557,684 ",2002-2003,2002-2003 ,Team,4,4000000,
Kenyon Martin,New Jersey Nets,"$4,067,160 ",2002-2003,2003-2004 ,Team,4,4000000,
Keon Clark,Sacramento Kings,"$4,546,000 ",2002-2003,2002-2003 ,Player,2,2000000,
Kerry Kittles,New Jersey Nets,"$8,966,667 ",2002-2003,2004-2005,,6,6000000,
Kevin Garnett,Minnesota Timberwolves,"$25,200,000 ",2002-2003,2003-2004,,6,6000000,
Kevin Ollie,Seattle Supersonics,"$1,000,000 ",2002-2003,2002-2003,,1,1000000,
Kevin Willis,San Antonio Spurs,"$1,030,000 ",2002-2003,2002-2003,,1,1000000,
Keyon Dooling,Los Angeles Clippers,"$1,769,760 ",2002-2003,2003-2004 ,Team,4,4000000,
