Team,Player,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,Signed Using,Total Guaranteed,Notes
Boston Celtics,Rajon Rondo,"$11,000,000 ","$11,954,545 ","$12,909,091 ",,,Bird Rights,"$35,863,636 ","Signed extension on 11/2/09 for an assumed $55,000,000 for 5 years starting in 2010-11"
Boston Celtics,Kevin Garnett,"$11,550,000 ","$12,400,000 ","$13,250,000 ",,,Bird Rights,"$37,200,000 ","Signed 7/14/12 for an assumed $37,200,000 for 3 years"
Boston Celtics,Paul Pierce,"$16,790,345 ","$15,333,334 ",,,,Bird Rights,"$16,790,345 ","2013-14 is a Player Option   /   2013-14 is partially guaranteed for $4,000,000   /   Signed 7/15/10 for an assumed $61,333,334 for 4 years"
Brooklyn Nets,Tornike Shengalia,"$473,604 ","$788,872 ",,,,Minimum Salary,"$1,262,476 ",Signed 7/24/12 for an assumed minimum salary for 2 years
Brooklyn Nets,Tyshawn Taylor,"$473,604 ","$788,872 ",,,,Minimum Salary,"$1,262,476 ",Signed 7/7/12 for an assumed minimum salary for 2 years
Brooklyn Nets,C.J. Watson,"$992,680 ","$1,106,942 ",,,,Minimum Salary,"$992,680 ",2013-14 is a Player Option   /   Signed 7/23/12 for an assumed minimum salary for 2 years
Brooklyn Nets,MarShon Brooks,"$1,160,040 ","$1,210,080 ","$2,179,354 ",,,1st Round Pick,"$1,160,040 ",Signed 12/9/11
Brooklyn Nets,Keith Bogans,"$1,229,255 ",,,,,Minimum Salary,"$854,389 ",Signed 7/19/12 for an assumed minimum salary for 1 year
Brooklyn Nets,Jerry Stackhouse,"$1,352,181 ",,,,,Minimum Salary,"$854,389 ",Signed 7/16/12 for an assumed minimum salary for 1 year
Brooklyn Nets,Reggie Evans,"$1,622,617 ","$1,695,635 ","$1,768,653 ",,,Non Bird Rights,"$5,086,905 ","Signed 7/11/12 for an assumed $5,086,905 for 3 years"
Brooklyn Nets,Mirza Teletovic,"$3,090,000 ","$3,229,050 ","$3,368,100 ",,,Mini MLE,"$9,687,150 ","Signed 7/16/12 for an assumed $9,687,150 for 3 years"
Brooklyn Nets,Gerald Wallace,"$9,682,435 ","$10,105,855 ","$10,105,855 ","$10,105,855 ",,Bird Rights,"$40,000,000 ","Signed 7/11/12 for an assumed $40,000,000 for 4 years"
Brooklyn Nets,Kris Humphries,"$12,000,000 ","$12,000,000 ",,,,Bird Rights,"$24,000,000 ","Signed 7/20/12 for an assumed $24,000,000 for 2 years"
Brooklyn Nets,Brook Lopez,"$13,668,750 ","$14,693,906 ","$15,719,063 ","$16,744,219 ",,Bird Rights,"$60,825,938 ","Signed 7/11/12 for an assumed $60,825,938 for 4 years"
Brooklyn Nets,Deron Williams,"$17,177,795 ","$18,466,130 ","$19,754,464 ","$21,042,799 ","$22,331,134 ",Bird Rights,"$98,772,322 ","Contract includes a 15% trade kicker   /   2017-18 is an ETO   /   Signed 7/11/12 for an assumed $98,772,322 for 5 years"
Brooklyn Nets,Joe Johnson,"$19,752,645 ","$21,466,718 ","$23,180,790 ","$24,894,863 ",,Bird Rights,"$89,295,016 ","Signed 7/8/10 for an assumed $123,658,089 for 6 years"
Charlotte Bobcats,Jeffrey Taylor,"$575,000 ","$788,872 ","$915,243 ",,,Cap Space,"$575,000 ","Signed 7/13/12 for an assumed $2,279,115 for 3 years"
Charlotte Bobcats,Brendan Haywood,"$1,900,000 ","$1,900,000 ","$1,900,000 ","$1,900,000 ",,Cap Space,"$7,600,000 ","Claimed off of amnesty waivers for an assumed $7,600,000 for 4 years"
Charlotte Bobcats,B.J. Mullens,"$2,253,062 ",,,,,1st Round Pick,"$2,253,062 ","2012-13 includes $150,204 in likely incentives   /   Team Option for 2012-13 was picked up on 6/28/11   /   Team Option for 2011-12 picked up on 10/25/10   /   Signed 7/11/09"
Charlotte Bobcats,Kemba Walker,"$2,462,400 ","$2,568,360 ","$3,272,091 ",,,1st Round Pick,"$2,462,400 ",Signed 12/10/11
Charlotte Bobcats,Reggie Williams,"$2,612,500 ",,,,,MLE,"$2,612,500 ","Signed 12/14/11 for an assumed $5,112,500 for 2 years"
Charlotte Bobcats,Bismack Biyombo,"$2,923,920 ","$3,049,920 ","$3,873,398 ",,,1st Round Pick,"$2,923,920 ",Signed 12/19/11
Charlotte Bobcats,Gerald Henderson,"$3,101,327 ",,,,,1st Round Pick,"$3,101,327 ",Team Option for 2012-13 picked up on 1/25/12   /   Team Option for 2011-12 picked up on 10/29/10   /   Signed 7/8/09
Charlotte Bobcats,Matt Carroll,"$3,500,000 ",,,,,Cap Space,"$3,500,000 ","ETO for 2012-13 was not exercised   /   Signed 7/17/07 for an assumed $26,900,000 for 6 years"
Charlotte Bobcats,Michael Kidd-Gilchrist,"$4,602,720 ","$4,809,840 ","$5,016,960 ","$6,331,404 ",,1st Round Pick,"$9,412,560 ",Signed 7/7/12
Charlotte Bobcats,Ramon Sessions,"$5,000,000 ","$5,000,000 ",,,,Cap Space,"$10,000,000 ","Signed 7/13/12 for an assumed $10,000,000 for 2 years"
Charlotte Bobcats,DeSagana Diop,"$7,372,200 ",,,,,MLE,"$7,372,200 ","Player Option for 2012-13 was exercised   /   Signed 7/9/08 for an assumed $32,393,000 for 5 years"
Charlotte Bobcats,Tyrus Thomas,"$8,000,000 ","$8,694,215 ","$9,388,430 ",,,Bird Rights,"$26,082,645 ","Signed 7/12/10 for an assumed $40,000,000 for 5 years"
Charlotte Bobcats,Ben Gordon,"$12,400,000 ","$13,200,000 ",,,,Cap Space,"$12,400,000 ","2012-13 and 2013-14 each have up to $400,000 in unlikely incentives not included here   /   2013-14 is a Player Option   /   Signed 7/8/09 for an assumed $58,000,000 plus incentives for 5 years"
Chicago Bulls,Marquis Teague,"$857,000 ","$1,074,720 ","$1,120,920 ","$2,023,261 ",,1st Round Pick,"$1,931,720 ",2012-13 is 100% of rookie scale but the remainder of the contract is based on 120% of rookie scale   /   Signed 8/8/12
Chicago Bulls,Nikola Mirotic,"$1,003,800 ","$1,049,000 ","$1,094,100 ","$1,856,688 ",,,, #23 in 2011/Not on Roster
Chicago Bulls,Jimmy Butler,"$1,066,920 ","$1,112,880 ","$2,008,748 ",,,1st Round Pick,"$1,066,920 ",Signed 12/9/11
Chicago Bulls,Nate Robinson,"$1,146,337 ",,,,,Minimum Salary,"$854,389 ",Signed 7/31/12 for an asumed minimum salary for 1 year
Chicago Bulls,Nazr Mohammed,"$1,352,181 ",,,,,Minimum Salary,"$854,389 ",Signed 7/27/12 for an assumed minimum salary for 1 year
Chicago Bulls,Vladimir Radmanovic,"$1,352,181 ",,,,,Minimum Salary,"$854,389 ",Signed 7/19/12 for an assumed minimum salary for 1 year
Chicago Bulls,Marco Belinelli,"$1,957,000 ",,,,,BAE,"$1,957,000 ","Signed 7/24/12 for an assumed $1,957,000 for 1 years"
Chicago Bulls,Taj Gibson,"$2,155,811 ",,,,,1st Round Pick,"$2,155,811 ",Team Option for 2012-13 was picked up on 6/29/11   /   Team Option for 2011-12 picked up on 10/25/10   /   Signed 7/9/09
Chicago Bulls,Kirk Hinrich,"$3,925,000 ","$4,101,625 ",,,,MLE,"$8,026,625 ","Signed 7/20/12 for an assumed $8,026,625 for 2 years"
Chicago Bulls,Richard Hamilton,"$5,000,000 ","$5,000,000 ",,,,MLE,"$6,000,000 ","2013-14 is partially guaranteed for $1,000,000   /   Signed 12/15/11 for an assumed $15,000,000 for 3 years"
Chicago Bulls,Joakim Noah,"$11,300,000 ","$11,100,000 ","$12,200,000 ","$13,400,000 ",,Bird Rights,"$48,000,000 ","Extension signed on 10/4/10 for an assumed $60,000,000 for 5 years plus incentives that starts in 2011-12"
Chicago Bulls,Luol Deng,"$13,305,000 ","$14,275,000 ",,,,Bird Rights,"$27,580,000 ","2012-13 and 2013-14 each have up to $1,500,000 in unlikely incentives not included here   /   Signed 7/31/08 for an assumed $71,000,000 plus incentives for 6 years"
Chicago Bulls,Carlos Boozer,"$15,000,000 ","$15,300,000 ","$16,800,000 ",,,Bird Rights,"$47,100,000 ","Signed 7/8/10 for an assumed $75,000,000 for 5 years"
Chicago Bulls,Derrick Rose,"$16,402,552 ","$17,632,743 ","$18,862,935 ","$20,093,126 ","$21,323,318 ",Bird Rights,"$94,314,674 ","Extension signed on 12/12/11 for an assumed $94,314,674 for 5 years that starts in the 2012-13 season   /   Designated at Team's Franchise Player starting in 2012-13"
Cleveland Cavaliers,Michael Eric,"$473,604 ","$788,872 ","$915,243 ",,,Cap Space,,"Contract is not guaranteed   /   Signed 7/13/12 for an assumed $2,177,719 for 3 years"
Cleveland Cavaliers,Donald Sloan,"$762,195 ","$884,293 ",,,,MLE,,Signed 3/16/12 for an assumed minimum salary for the remainder of the season and for 2012-13 and 2013-14
Cleveland Cavaliers,Jon Leuer,"$762,195 ",,,,,Minimum Salary,,Claimed off of waivers on 7/20/12   /   Waived 7/18/12   /   Signed 12/15/11 for an assumed minimum salary for 2 years
Cleveland Cavaliers,Samardo Samuels,"$854,389 ",,,,,MLE,,"2012-13 is not guaranteed   /   Signed 8/16/10 for an assumed $2,204,115 for 3 years"
Cleveland Cavaliers,Jeremy Pargo,"$1,000,000 ",,,,,BAE,"$1,000,000 ","Signed 12/10/11 for an assumed $2,000,000 for 2 years"
Cleveland Cavaliers,Luke Harangody,"$1,054,389 ",,,,,Early Bird Rights,"$1,054,389 ",Signed Qualifying Offer on 7/3/12
Cleveland Cavaliers,Semih Erden,"$1,054,389 ",,,,,,,
Cleveland Cavaliers,Kelanna Azubuike,"$1,069,509 ",,,,,Minimum Salary,"$1,069,509 ",Signed 3/23/12 for an assumed minimum salary for the remainder of the season and for 2012-13
Cleveland Cavaliers,Tyler Zeller,"$1,563,120 ","$1,633,440 ","$1,703,760 ","$2,616,975 ",,1st Round Pick,"$3,196,560 ",Signed 7/5/12
Cleveland Cavaliers,C.J. Miles,"$2,225,000 ","$2,225,000 ",,,,Cap Space,"$2,225,000 ","2013-14 is not fully guaranteed   /   Signed 8/8/12 for an assumed $4,450,000 for 2 years"
Cleveland Cavaliers,Omri Casspi,"$2,277,306 ",,,,,1st Round Pick,"$2,277,306 ","2012-13 includes $379,551 in likely incentives   /   Team Option for 2012-13 picked up on 6/22/11   /   Team Option for 2011-12 picked up on 10/25/10   /   Signed 7/10/09"
Cleveland Cavaliers,Alonzo Gee,"$2,695,391 ",,,,,,,
Cleveland Cavaliers,Dion Waiters,"$3,726,600 ","$3,894,240 ","$4,062,000 ","$5,138,430 ",,1st Round Pick,"$7,620,840 ",Signed 7/5/12
Cleveland Cavaliers,Tristan Thompson,"$3,894,240 ","$4,062,000 ","$5,138,430 ",,,1st Round Pick,"$3,894,240 ",Signed 12/9/11
Cleveland Cavaliers,Daniel Gibson,"$4,792,332 ",,,,,Early Bird Rights,"$2,492,332 ","2012-13 has up to $800,000 in unlikely incentives not included here   /   2012-13 is only partially guaranteed for $2,492,332   /   Signed 7/16/08 for an assumed $21,000,000 plus incentives for 5 years"
Cleveland Cavaliers,Kyrie Irving,"$5,375,760 ","$5,607,240 ","$7,070,730 ",,,1st Round Pick,"$5,375,760 ",Signed 12/9/11
Cleveland Cavaliers,Luke Walton,"$6,091,363 ",,,,,Bird Rights,"$6,091,363 ","2012-13 has up to $1,000,000 in unlikely incentives not included here   /   Assumed trade bonus of $582,726 counts as $291,363 in 2012-13   /   Signed 7/12/07 for an assumed $30,000,000 plus incentives for 6 years"
Cleveland Cavaliers,Anderson Varejao,"$8,368,182 ","$9,036,364 ","$9,704,595 ",,,Bird Rights,"$21,404,546 ","Contract has a 5% trade kicker   /   2012-13 and 2013-14 each have up to $1,000,000 in unlikely incentives not included here   /   2014-15 is partially guaranteed for $4,000,000  /   Signed 7/10/09 for an assumed $47,954,545 plus incentives for 6 years"
Dallas Mavericks,Bernard James,"$473,604 ","$788,872 ",,,,Minimum Salary,"$473,604 ",Signed 7/25/12 for an assumed minimum salary for 2 years
Dallas Mavericks,Jae Crowder,"$600,491 ","$788,872 ","$915,243 ",,,Room Exception,"$1,389,363 ","Signed 7/20/12 for an assumed $2,305,056 for 3 years"
Dallas Mavericks,Petteri Koponen,"$850,800 ","$889,100 ","$927,400 ","$1,673,957 ",,,,Under contract with Virtus Bologna in Italy
Dallas Mavericks,Brandan Wright,"$992,680 ",,,,,Minimum Salary,"$992,680 ",2012-13 is now guaranteed   /   Signed 12/9/11 for an assumed minimum salary for 2 years
Dallas Mavericks,Jared Cunningham,"$1,156,320 ","$1,208,400 ","$1,260,360 ","$2,204,370 ",,1st Round Pick,"$2,364,720 ",Signed 7/21/12
Dallas Mavericks,Delonte West,"$1,223,166 ",,,,,Minimum Salary,"$854,389 ",Signed 7/26/12 for an assumed minimum salary for 1 year
Dallas Mavericks,Dominique Jones,"$1,276,560 ","$2,299,085 ",,,,1st Round Pick,"$1,276,560 ",Team Option for 2012-13 was picked up on 6/28/11   /   Signed 7/13/10
Dallas Mavericks,Elton Brand,"$2,100,500 ",,,,,Cap Space,"$2,100,500 ","Claimed off of amnesty waivers for an assumed $2,100,500 for 1 year"
Dallas Mavericks,Rodrigue Beaubois,"$2,227,333 ",,,,,1st Round Pick,"$2,227,333 ",Team Option for 2012-13 was picked up on 6/30/11   /   Team Option for 2011-12 picked up on 10/26/10   /   Signed 7/7/09
Dallas Mavericks,Darren Collison,"$2,319,344 ",,,,,1st Round Pick,"$2,319,344 ",Team Option for 2012-13 picked up on 6/24/11   /   Team Option for 2011-12 picked up on 10/18/10   /   Signed 7/8/09
Dallas Mavericks,Dahntay Jones,"$2,900,000 ",,,,,MLE,"$2,900,000 ","Player Option for 2012-13 was picked up on 6/26/12   /   Signed 7/14/09 for an assumed $10,600,000 for 4 years"
Dallas Mavericks,Vince Carter,"$3,090,000 ","$3,180,000 ",,,,Mini MLE,"$6,270,000 ","Signed 12/12/11 for an assumed $9,270,000 for 3 years"
Dallas Mavericks,O.J. Mayo,"$4,020,000 ","$4,200,900 ",,,,Cap Space,"$4,020,000 ","Signed 7/19/12 for an assumed $8,220,900 for 2 years"
Dallas Mavericks,Chris Kaman,"$8,000,000 ",,,,,Cap Space,"$8,000,000 ","Signed 7/13/12 for an assumed $8,000,000 for 1 year"
Dallas Mavericks,Shawn Marion,"$8,396,364 ","$9,066,796 ",,,,Bird Rights,"$17,463,160 ","Contract has a 15% trade kicker   /   2012-13 and 2013-14 each have up to $296,517 in unlikely incentives not included here   /   2013-14 is an ETO   /   Signed 7/9/09 for an assumed $39,879,660 plus incentives for 5 years"
Dallas Mavericks,Dirk Nowitzki,"$20,907,128 ","$22,721,381 ",,,,Bird Rights,"$43,628,509 ","Signed 7/19/10 for an assumed $80,000,000 for 4 years   /   Contract has a no trade clause"
Denver Nuggets,Julyan Stone,"$762,195 ",,,,,Minimum Salary,,Signed 12/9/11 for an assumed minimum salary for 2 years
Denver Nuggets,Jordan Hamilton,"$1,121,520 ","$1,169,880 ","$2,109,294 ",,,1st Round Pick,"$1,121,520 ",Signed 12/9/11
Denver Nuggets,Kenneth Faried,"$1,311,240 ","$1,367,640 ","$2,249,768 ",,,1st Round Pick,"$1,311,240 ",Signed 12/9/11
Denver Nuggets,Evan Fournier,"$1,361,400 ","$1,422,720 ","$1,483,920 ","$2,288,205 ",,1st Round Pick,"$2,784,120 ",Signed 7/11/12
Denver Nuggets,Anthony Randolph,"$1,675,000 ","$1,750,375 ",,,,MLE,"$3,425,375 ","Signed 7/20/12 for an assumed $3,425,375 for 2 years"
Denver Nuggets,Ty Lawson,"$2,544,529 ",,,,,1st Round Pick,"$2,544,529 ","2012-13 includes $424,088 in likely incentives   /   Team Option for 2012-13 picked up on 6/20/11   /   Team Option for 2011-12 picked up on 10/21/10   /   Signed 7/15/09"
Denver Nuggets,Kosta Koufos,"$3,000,000 ","$3,000,000 ","$3,000,000 ",,,Bird Rights,"$6,000,000 ","Signed extension on 1/25/12 for an assumed $9,000,000 for 3 years that starts in 2012-13"
Denver Nuggets,Timofey Mozgov,"$3,140,429 ",,,,,Cap Space,"$1,589,415 ","2012-13 is partially guaranteed for an assumed $1,589,415 (including signing bonus) if waived before 6/30/12   /   Contract includes signing bonus of $1,900,000 that counts as $345,808 in 2012-13   /   Signed 7/13/10 for an assumed $9,900,000 for 3 years"
Denver Nuggets,Corey Brewer,"$3,243,000 ",,,,,MLE,"$3,243,000 ","2012-13 includes $575,000 in likely incentives   /   Signed 3/3/11 for an assumed $7,452,000 plus incentives for 3 years"
Denver Nuggets,Andre Miller,"$5,000,000 ","$5,000,000 ","$4,625,000 ",,,Bird Rights,"$12,000,000 ","Signed 7/11/12 for an assumed $14,625,000 for 3 years"
Denver Nuggets,Wilson Chandler,"$5,930,414 ","$6,344,164 ","$6,757,913 ","$7,171,663 ",,Bird Rights,"$21,032,491 ","2015-16 is partially guaranteed for $2,000,000   /   Signed 3/18/12 for an assumed $31,720,818 for 5 years"
Denver Nuggets,Danilo Gallinari,"$9,439,000 ","$10,146,925 ","$10,854,850 ","$11,559,225 ",,Bird Rights,"$42,000,000 ","Signed extension on 1/25/12 for an assumed $42,000,000 for 4 years that starts in 2012-13"
Denver Nuggets,JaVale McGee,"$10,000,000 ","$10,750,000 ","$11,250,000 ","$12,000,000 ",,Bird Rights,"$44,000,000 ","Signed 7/18/12 for an assumed $44,000,000 for 4 years"
Denver Nuggets,Andre Iguodala,"$14,968,250 ","$16,154,750 ",,,,Bird Rights,"$31,123,000 ","2012-13 and 2013-14 each include $250,000 in likely incentives   /   2012-13 and 2013-14 each have up to $500,000 in unlikely incentives not included here   /   2013-14 is an ETO   /   Signed 8/18/08 for an assumed $80,000,000 plus incentives for 6 years"
Detroit Pistons,Khris Middleton,"$473,604 ","$788,872 ","$915,243 ",,,MLE,"$473,604 ",Signed 8/14/12 for an assumed minimum salary for 3 years
Detroit Pistons,Kim English,"$473,604 ","$788,872 ",,,,Minimum Salary,"$473,604 ",Signed 7/6/12 for an assumed minimum salary for 2 years
Detroit Pistons,Kyle Singler,"$1,000,000 ","$1,045,000 ","$1,090,000 ",,,MLE,"$3,135,000 ","Signed 7/11/12 for an assumed $3,135,000 for 3 years"
Detroit Pistons,Slava Kravtsov,"$1,500,000 ","$1,500,000 ","$1,500,000 ",,,MLE,"$3,000,000 ","2014-15 is a Player Option   /   Signed 7/14/12 for an assumed $4,500,000 for 3 years"
Detroit Pistons,Andre Drummond,"$2,356,320 ","$2,462,400 ","$2,568,360 ","$3,272,091 ",,1st Round Pick,"$4,818,720 ",Signed 7/3/12
Detroit Pistons,Brandon Knight,"$2,678,640 ","$2,793,960 ","$3,553,917 ",,,1st Round Pick,"$2,678,640 ",Signed 12/9/11
Detroit Pistons,Austin Daye,"$2,958,077 ",,,,,1st Round Pick,"$2,958,077 ",Team Option for 2012-13 picked up on 6/30/11   /   Team Option for 2011-12 picked up on 10/22/10   /   Signed 8/7/09
Detroit Pistons,Greg Monroe,"$3,217,680 ","$4,086,454 ",,,,1st Round Pick,"$3,217,680 ",Team Option for 2012-13 picked up on 6/30/11   /   Signed 7/6/10
Detroit Pistons,Will Bynum,"$3,250,000 ",,,,,Early Bird Rights,"$3,250,000 ","Signed 8/1/10 for an assumed $9,750,000 for 3 years"
Detroit Pistons,Jonas Jerebko,"$4,500,000 ","$4,500,000 ","$4,500,000 ",,,Early Bird Rights,"$9,000,000 ","2014-15 is a Player Option   /   Signed 12/9/11 for an assumed $18,000,000 for 4 years"
Detroit Pistons,Jason Maxiell,"$5,000,000 ",,,,,Bird Rights,"$5,000,000 ","2012-13 has up to $250,000 in unlikely incentives not included here   /   Player Option for 2012-13 was exercised on 6/27/12   /   Signed extension on 10/31/08 for an assumed $20,000,000 plus incentives for 4 years starting in 2009-10 "
Detroit Pistons,Richard Hamilton,"$6,069,767 ",,,,,,"$6,069,767 ","Agreed to a buyout on 12/12/11 that counts against Detroit's cap for an assumed $14,500,000 combined for 2011-12 and 2012-13"
Detroit Pistons,Tayshaun Prince,"$6,764,045 ","$7,235,955 ","$7,707,865 ",,,Bird Rights,"$21,707,865 ","Signed 12/9/11 for an assumed $28,000,000 for 4 years"
Detroit Pistons,Charlie Villaneuva,"$8,060,000 ","$8,580,000 ",,,,Cap Space,"$8,060,000 ","2012-13 and 2013-14 each have up to $500,000 in unlikely incentives   /   2013-14 is a Player Option   /   Signed 7/8/09 for an assumed $37,700,000 plus incentives for 5 years"
Detroit Pistons,Rodney Stuckey,"$8,500,000 ","$8,500,000 ",,,,Bird Rights,"$12,500,000 ","2013-14 is partially guaranteed for $4,000,000   /   Signed 12/17/11 for an assumed $25,500,000 for 3 years"
Detroit Pistons,Corey Maggette,"$10,924,138 ",,,,,Cap Space,"$10,924,138 ","Signed 7/10/08 for an assumed $48,000,000 for 5 years"
Golden State Warriors,Kent Bazemore,"$473,604 ","$788,872 ",,,,Minimum Salary,"$250,000 ","2012-13 is partially guaranteed for $250,000   /   Signed 7/26/12 for an assumed minimum salary for 2 years"
Golden State Warriors,Charles Jenkins,"$762,195 ",,,,,Cap Space,"$200,000 ","2012-13 is partially guaranteed for $200,000   /   Signed 12/9/11 for an assumed minimum salary for 2 years"
Golden State Warriors,Jeremy Tyler,"$762,195 ","$884,293 ",,,,Cap Space,"$862,195 ","2013-14 is partially guaranteed for $100,000   /   Signed 12/13/11 for an assumed $2,296,488 for 3 years"
Golden State Warriors,Draymond Green,"$850,000 ","$888,250 ","$926,500 ",,,MLE,"$2,664,750 ","Signed 8/3/12 for an assumed $2,664,750 for 3 years"
Golden State Warriors,Festus Ezeli,"$1,020,960 ","$1,066,920 ","$1,112,880 ","$2,008,748 ",,1st Round Pick,"$2,087,880 ",Signed 7/7/12
Golden State Warriors,Klay Thompson,"$2,222,160 ","$2,317,920 ","$3,075,880 ",,,1st Round Pick,"$2,222,160 ",Signed 12/13/11
Golden State Warriors,Harrison Barnes,"$2,798,040 ","$2,923,920 ","$3,049,920 ","$3,873,398 ",,1st Round Pick,"$5,721,960 ",Signed 7/3/12
Golden State Warriors,Stephen Curry,"$3,958,742 ",,,,,1st Round Pick,"$3,958,742 ",Team Option for 2012-13 was picked up on 6/29/11   /   Team Option for 2011-12 picked up on 9/29/10   /   Signed 7/8/09
Golden State Warriors,Brandon Rush,"$4,000,000 ","$4,000,000 ",,,,Bird Rights,"$8,000,000 ","Signed 8/1/12 for an assumed $8,000,000 for 2 years"
Golden State Warriors,Carl Landry,"$4,000,000 ","$4,000,000 ",,,,MLE,"$4,000,000 ","2013-14 is a Player Option   /   Signed 8/1/12 for an assumed $8,000,000 for 2 years"
Golden State Warriors,Jarrett Jack,"$5,400,000 ",,,,,MLE,"$5,400,000 ","Includes an assumed signing bonus of $3,500,000 ($875,000 counts each year)   /   Signed offer sheet on 7/11/09 for an assumed $20,000,000 for 4 years"
Golden State Warriors,Andris Biedrins,"$9,000,000 ","$9,000,000 ",,,,Bird Rights,"$18,000,000 ","2012-13 and 2013-14 each have up to $2,000,000 in unlikely incentives not included here   /   2013-14 is an ETO   /   Signed 7/28/08 for an assumed $54,000,000 plus incentives for 6 years"
